input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,lines,failed,csp_domains_,final_url,tech_,tls_wildcard_certificate,cdn_name,cdn,tls_mismatched,tls_expired,tls_self_signed,location
dms.efsa.europa.eu,,200,1288,dms.efsa.europa.eu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-26T00:00:00Z,2023-08-26T23:59:59Z,CN=dms.efsa.europa.eu,dms.efsa.europa.eu,,dms.efsa.europa.eu,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",3ac3c4cff824f9bf4765860d0990a915,eddebb40c926162916b4601e6345a2d8d24f4fd6f085f980adb67d50dea76a0f,ctls,dms.efsa.europa.eu,443,https://dms.efsa.europa.eu:443,https,,text/html,GET,13.107.237.45,/,270680847,2620:1ec:4f:1::45,35,False,,https://dms.efsa.europa.eu/otdsws/login?RFA=fffc8072%2Debdd%2D4832%2Da5e9%2Dcb99fd7dfa64%3Ahttps%3A%2F%2Fdms%2Eefsa%2Eeuropa%2Eeu%2Fotcs%2Fllisapi%2Edll%3Ffunc%3Dotdsintegration%2Eredirect%26NextURL%3Dhttps%253A%252F%252Fdms%252Eefsa%252Eeuropa%252Eeu%252Fotcs%252Fllisapi%252Edll%26getTZ&PostTicket=true&PostParams=true&ux_version=1&PreserveFragment=true&logon_style=signin-cs&logon_appname=OpenText%20Content%20Suite%20Platform%20CE%2021%2E1,Azure Front Door,,,,,,,
docs.emcdda.europa.eu,"EMCDDA | European Monitoring Centre for Drugs and Drug Addiction —
  information on drugs and drug addiction in Europe",200,5418,,,,,,,,,,,,,,,,,,,80,http://docs.emcdda.europa.eu:80,http,AmazonS3,text/html,GET,52.218.120.108,/,-481198075,52.218.53.236,163,False,,,Amazon Web Services,,,,,,,
doi.echa.europa.eu,"Home
		 · Starter Portal",200,25786,echadoiextprd1.powerappsportals.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-18T05:55:30Z,2024-04-12T05:55:30Z,"CN=*.powerappsportals.com, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",*.powerappsportals.com,Microsoft Corporation,*.powerappsportals.com,"CN=Microsoft Azure TLS Issuing CA 06, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 06,Microsoft Corporation,8cfc4b41c6aeb4442ff63f2ef9d58939,87e2dc23df85698979ac172224aeeb85fdba3f04f1b371078ea40a55d9a069d5,ctls,echadoiextprd1.powerappsportals.com,443,https://doi.echa.europa.eu:443,https,,text/html,GET,194.187.232.219,/,268341443,194.187.232.219,457,False,,https://echadoiextprd1.powerappsportals.com/,Microsoft ASP.NET,True,,,,,,
doi.efsa.europa.eu,,500,310,open.efsa.europa.eu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-10T00:00:00Z,2023-10-10T23:59:59Z,CN=open.efsa.europa.eu,open.efsa.europa.eu,,open.efsa.europa.eu,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",33558790194ba6086c614e4bb90f6b9a,eeff8829b5b926e80787b48e53a9e3310b6303148735ee9862c193d9f578d3ff,ctls,open.efsa.europa.eu,443,https://doi.efsa.europa.eu:443,https,,application/json,GET,91.200.210.112,/,-1040779433,91.200.210.112,1,False,,https://open.efsa.europa.eu/ess/doi,Azure Front Door,,,,,,,
doristest.fpfis.tech.ec.europa.eu,503 Service Temporarily Unavailable,503,162,doristest.fpfis.tech.ec.europa.eu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-09T00:00:00Z,2023-07-26T23:59:59Z,CN=doristest.fpfis.tech.ec.europa.eu,doristest.fpfis.tech.ec.europa.eu,,doristest.fpfis.tech.ec.europa.eu,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,c9265d5cb63194f6646ca95d9f7c614a,cbee4baa2bfdcc40e9385d22e8fae83b41710b6ad51a92faf211188927ab726b,ctls,doristest.fpfis.tech.ec.europa.eu,443,https://doristest.fpfis.tech.ec.europa.eu:443,https,awselb/2.0,text/html,GET,54.75.249.47,/,1862162275,52.17.234.6,7,False,,,,,,,,,,
download.echa.europa.eu,Error Page,403,2381,download.echa.europa.eu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-11-14T08:47:41Z,2023-11-14T08:47:41Z,"CN=*.echa.europa.eu, O=European Chemicals Agency, L=HELSINKI, C=FI",*.echa.europa.eu,European Chemicals Agency,echa.europa.eu,"CN=Telia Server CA v3, O=Telia Finland Oyj, C=FI",Telia Server CA v3,Telia Finland Oyj,8d531d9fe956169a6672a1217e32219c,86b5756e2248b77f8d59b12272c709668441646be02daab8fa165029d68109ce,ctls,download.echa.europa.eu,443,https://download.echa.europa.eu:443,https,Apache/2.4.6 (Red Hat Enterprise Linux) PHP/5.4.16,text/html,GET,194.187.232.157,/,-1801639667,194.187.232.157,27,False,,,Red Hat,True,,,,,,
dpl.cis.consilium.europa.eu,,200,3,dpl.cis.consilium.europa.eu,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2023-09-05T23:59:59Z,CN=dpl.cis.consilium.europa.eu,dpl.cis.consilium.europa.eu,,*.dpl.cis.consilium.europa.eu,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,8f5421cbc388d154b7e61f1dab332a10,36004219ec376be3ca79b8f7418e983f8bed17ba67e52cb5b4f9640de6f8f8f9,ctls,dpl.cis.consilium.europa.eu,443,https://dpl.cis.consilium.europa.eu:443,https,awselb/2.0,text/plain,GET,13.32.27.61,/,1227283093,2600:9000:211e:da00:c:5509:57c0:93a1,1,False,,,HSTS,True,cloudfront,True,,,,
drawio.devel4cph.eea.europa.eu,Flowchart Maker & Online Diagram Software,200,13382,drawio.devel4cph.eea.europa.eu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-10T12:08:33Z,2023-08-08T12:08:32Z,CN=alec-energy.devel4cph.eea.europa.eu,alec-energy.devel4cph.eea.europa.eu,,webscore.garie.devel4cph.eea.europa.eu,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,3982fa2a901dad3b566a012086670184,26d80ae9d5307f2afdee8b6d1437146b842577e79ba78e98c7f0ec45793a4163,ctls,drawio.devel4cph.eea.europa.eu,443,https://drawio.devel4cph.eea.europa.eu:443,https,,text/html,GET,87.54.7.180,/,-216282392,87.54.7.180,475,False,,,HSTS,,,,,,,
drupal.esm.europa.eu,Home | European Stability Mechanism,200,203756,www.esm.europa.eu,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-08T00:00:00Z,2023-06-08T23:59:59Z,CN=www.esm.europa.eu,www.esm.europa.eu,,esm.europa.eu,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",f86e03a9db99553a1e66703ebab05141,4664c19eb4f5ecab1c71cceb2cbde2fe63bef45b41233ab86290a4976fea0711,ctls,www.esm.europa.eu,443,https://drupal.esm.europa.eu:443,https,Apache,text/html,GET,63.34.119.118,/,-780928015,63.34.119.118,3656,False,,https://www.esm.europa.eu/,PHP,,,,,,,
dvcap.esma.europa.eu,,404,223,dvcap.esma.europa.eu,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-07-11T00:00:00Z,2023-07-11T23:59:59Z,"CN=*.vo.msecnd.net, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",*.vo.msecnd.net,Microsoft Corporation,ec-cert-deploy-prod-default.cdn.azure.net,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,5ab8d5bd4695ceeebc3e19d1f238f244,a1f95ad1a4cb395565c629a30c764112a83a7dd265ea691cc514b658a620bde7,ctls,dvcap.esma.europa.eu,443,https://dvcap.esma.europa.eu:443,https,Windows-Azure-Blob/1.0 Microsoft-HTTPAPI/2.0,application/xml,GET,152.199.19.161,/,-1664317507,2606:2800:133:206e:1315:22a5:2006:24fd,3,False,,,Microsoft HTTPAPI:2.0,True,,,True,,,
dx.publications.europa.eu,Home Page,200,23779,www.doi.org,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-16T00:00:00Z,2024-01-14T23:59:59Z,CN=doi.org,doi.org,,*.doi.info,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,831a4b2219aca7209cdba4fe0851fbb4,7d7adf8d7b4afaa742ce75b4b867ebbb9f3e84838602706d131e19e43a7eb1af,ctls,www.doi.org,443,https://dx.publications.europa.eu:443,https,AmazonS3,text/html,GET,35.152.128.11,/,-682715914,15.161.40.34,640,False,,https://www.doi.org/,Hugo:0.101.0,True,,,,,,
e-justice.europa.eu,European e-Justice Portal,200,5854,e-justice.europa.eu,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-27T12:01:03Z,2024-04-27T12:01:02Z,"CN=e-justice.europa.eu, O=European Commission, L=Brussels, ST=Brussels-Capital Region, C=BE",e-justice.europa.eu,European Commission,e-justice.europa.eu,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,bb312923cd2096d8e510318551aaade8,39fe28bdef2ee7e6c41bb54343a433ffc52cf9d71f6444d672206b10bac1a395,ctls,e-justice.europa.eu,443,https://e-justice.europa.eu:443,https,Europa,text/html,GET,147.67.34.20,/,-749576546,2a01:7080:24:100::666:20,128,False,,,Java,,,,,,,
e-learning-staging.fra.europa.eu,FRA e-learning,200,44222,e-learning-staging.fra.europa.eu,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-13T15:30:17Z,2023-10-15T15:30:16Z,"CN=fra.europa.eu, O=European Union Agency for Fundamental Rights, L=Vienna, ST=Vienna, C=AT",fra.europa.eu,European Union Agency for Fundamental Rights,databases.fra.europa.eu,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,ea18ec14a8b32da9f75874fce1d15849,3be289facaf00707b26725648761bb1a96435e109facd877b1e49cdd77c269f0,ctls,e-learning-staging.fra.europa.eu,443,https://e-learning-staging.fra.europa.eu:443,https,Apache/2.4.38 (Debian),text/html,GET,194.30.15.80,/,1229956261,194.30.15.80,547,False,,,PHP,,,,,,,
e-learning.fra.europa.eu,FRA e-learning,200,44084,e-learning.fra.europa.eu,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-13T15:30:17Z,2023-10-15T15:30:16Z,"CN=fra.europa.eu, O=European Union Agency for Fundamental Rights, L=Vienna, ST=Vienna, C=AT",fra.europa.eu,European Union Agency for Fundamental Rights,databases.fra.europa.eu,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,ea18ec14a8b32da9f75874fce1d15849,3be289facaf00707b26725648761bb1a96435e109facd877b1e49cdd77c269f0,ctls,e-learning.fra.europa.eu,443,https://e-learning.fra.europa.eu:443,https,Apache/2.4.38 (Debian),text/html,GET,194.30.15.83,/,-1170081533,194.30.15.83,545,False,,,PHP,,,,,,,
e-recruitment.emcdda.europa.eu,E-Recruitment | EMCDDA E-Recruitment,200,13686,e-recruitment.emcdda.europa.eu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-04-21T14:31:43Z,2023-05-23T14:31:42Z,CN=*.emcdda.europa.eu,*.emcdda.europa.eu,,emcdda.europa.eu,"CN=GlobalSign GCC R3 DV TLS CA 2020, O=GlobalSign nv-sa, C=BE",GlobalSign GCC R3 DV TLS CA 2020,GlobalSign nv-sa,a2008f2f7ce333a4c41056030e4bc459,ea34ff06b368138f83974e55f54fade6f57797006f7fe1be55bc392a315cc019,ctls,e-recruitment.emcdda.europa.eu,443,https://e-recruitment.emcdda.europa.eu:443,https,Apache,text/html,GET,185.41.117.243,/,1645364121,185.41.117.243,322,False,,https://e-recruitment.emcdda.europa.eu/e-recruitment/jobvacancies,Java,True,,,,,,
e3p.jrc.ec.europa.eu,E3P | European Energy Efficiency Platform,200,64838,e3p.jrc.ec.europa.eu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-20T08:36:48Z,2023-06-18T08:36:47Z,CN=e3p.jrc.ec.europa.eu,e3p.jrc.ec.europa.eu,,e3p.jrc.ec.europa.eu,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,a5fd002f83c494f6fbf79d1b1b9943a0,89e9d761fcc652e45892f3588408c6d073c220c1183edb47846384eb80c3961e,ctls,e3p.jrc.ec.europa.eu,443,https://e3p.jrc.ec.europa.eu:443,https,Apache,text/html,GET,139.191.207.52,/,-446365869,139.191.207.52,1193,False,,,PHP,,,,,,,
eacea.ec.europa.eu,,200,238,eacea.ec.europa.eu,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-05-31T12:31:07Z,2023-07-02T12:31:06Z,"CN=*.ec.europa.eu, O=European Commission, L=Brussels, ST=Brussels-Capital Region, C=BE",*.ec.europa.eu,European Commission,ec.europa.eu,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,f651b96da429c16f3ac23102facca952,c8b068586b6b4aae31abf213ea7c815e55988ac2010f3c94496884c6c2181114,ctls,eacea.ec.europa.eu,443,https://eacea.ec.europa.eu:443,https,Europa,text/html,GET,147.67.211.38,/,948145906,147.67.35.38,6,False,,,,True,,,,,,
ear.europa.eu,Access Denied,403,730,ear.europa.eu,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-21T16:36:05Z,2023-07-23T16:36:04Z,"CN=europa.eu, O=European Commission, L=Brussels, ST=Brussels-Capital Region, C=BE",europa.eu,European Commission,www.europa.eu,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,3a71dbd0e62bc83ce09714fcbea91be3,df06fbec8715f7e3566b0de1b71a9f60fa78f0ca63c7d40df1db571c6ddbeb51,ctls,ear.europa.eu,443,https://ear.europa.eu:443,https,,text/html,GET,147.67.210.25,/,1289775467,2a01:7080:14:100::666:25,43,False,,,,,,,True,,,
easa.europa.eu,EASA | European Union Aviation Safety Agency,200,46299,www.easa.europa.eu,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-30T21:42:18Z,2023-10-01T21:42:17Z,CN=www.easa.europa.eu,www.easa.europa.eu,,www.easa.europa.eu,"CN=GlobalSign Atlas R3 DV TLS CA 2022 Q3, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2022 Q3,GlobalSign nv-sa,ea420c3b9d5929ca5279800096da0f08,a8e4bebf973d9ac5018d13f1a30a722011c9695c607c85d811092031ec199d55,ctls,www.easa.europa.eu,443,https://easa.europa.eu:443,https,Apache,text/html,GET,217.239.210.180,/,1694755310,217.239.210.180,212,False,,https://www.easa.europa.eu/en,ZURB Foundation,,,,,,,
easo.europa.eu,Home | European Union Agency for Asylum,200,81569,euaa.europa.eu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-07-27T11:19:24Z,2023-07-27T11:29:00Z,"CN=*.euaa.europa.eu, O=European Union Agency for Asylum, L=Valletta, ST=Valletta, C=MT",*.euaa.europa.eu,European Union Agency for Asylum,easo.europa.eu,"CN=QuoVadis Europe SSL CA G2, O=QuoVadis Trustlink B.V., C=NL",QuoVadis Europe SSL CA G2,QuoVadis Trustlink B.V.,3c5b908c734162f4461379593fd6aa5d,e79d0073b14601c8494d4fe568e20da2531991a6f928a10666ad21ab1b51b4a7,ctls,euaa.europa.eu,443,https://easo.europa.eu:443,https,nginx/1.22.1,text/html,GET,52.169.73.236,/,-253321811,52.169.73.236,1578,False,,https://euaa.europa.eu/,PHP:8.1.18,True,azure,True,,,,
ec.europa.eu,Language selection | European Commission,200,8474,commission.europa.eu,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-10T00:00:00Z,2023-12-09T23:59:59Z,CN=commission.europa.eu,commission.europa.eu,,*.commission.europa.eu,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,a3abd29b5f6a0b833cbf2fcb49d2bd36,f4d5867b1b78fe9433798edf9ad00f3a500e33cba08920c82c0dcc644b8683c1,ctls,commission.europa.eu,443,https://ec.europa.eu:443,https,,text/html,GET,147.67.34.30,/,-446365869,2a01:7080:14:100::666:30,153,False,,https://commission.europa.eu/select-language?destination=/node/1,PHP,True,,,,,,
eca.europa.eu,Home | European Court of Auditors,200,148265,www.eca.europa.eu,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-05-11T13:05:41Z,2023-06-12T13:05:40Z,"CN=*.eca.europa.eu, O=European Court of Auditors, L=Luxembourg, ST=Luxembourg, C=LU",*.eca.europa.eu,European Court of Auditors,eca.europa.eu,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,67b0f69eb64481720f90605360e2bf21,5f7c0b040d5e25047512a3cc851045bbba0a2555f873ae1c630dd5e93f87f63b,ctls,www.eca.europa.eu,443,https://eca.europa.eu:443,https,Microsoft-IIS/10.0,text/html,GET,195.46.249.238,/,-1840324437,195.46.249.238,1069,False,https://static.eca.europa.eu,https://www.eca.europa.eu/en,Windows Server,True,,,,,,
ecademy.eca.europa.eu,ECAdemy,200,67179,ecademy.eca.europa.eu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-02T11:10:53Z,2023-07-01T11:10:52Z,CN=ecademy.eca.europa.eu,ecademy.eca.europa.eu,,ecademy.eca.europa.eu,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,eb9be4d030f35325faf3153005f80642,374f3eb28927966fd1512bee639da130f99bd231d5b917c0728b0586e44f71a9,ctls,ecademy.eca.europa.eu,443,https://ecademy.eca.europa.eu:443,https,nginx,text/html,GET,89.185.150.156,/,-780928015,89.185.150.156,443,False,,,PHP,,,,,,,
ecas.ec.europa.eu,Access Denied,403,642,ecas.ec.europa.eu,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-05-31T12:31:07Z,2023-07-02T12:31:06Z,"CN=*.ec.europa.eu, O=European Commission, L=Brussels, ST=Brussels-Capital Region, C=BE",*.ec.europa.eu,European Commission,ec.europa.eu,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,f651b96da429c16f3ac23102facca952,c8b068586b6b4aae31abf213ea7c815e55988ac2010f3c94496884c6c2181114,ctls,ecas.ec.europa.eu,443,https://ecas.ec.europa.eu:443,https,,text/html,GET,147.67.34.30,/,-444315832,2a01:7080:24:100::666:30,37,False,,,,True,,,,,,
ecdc.europa.eu,Homepage | European Centre for Disease Prevention and Control,200,137759,www.ecdc.europa.eu,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-02-05T23:59:59Z,CN=ecdc.europa.eu,ecdc.europa.eu,,*.vaccination-info.eu,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,8c044f27fddb431607443e6daa53c05c,ed060c9d0edcd88c4bf3edf081e4a7d960be00262b9ae948c16de340b982e42e,ctls,www.ecdc.europa.eu,443,https://ecdc.europa.eu:443,https,,text/html,GET,3.222.246.35,/,-780928015,3.222.246.35,1871,False,,https://www.ecdc.europa.eu/en,PHP,True,,,,,,
echa.europa.eu,Homepage - ECHA,200,243915,echa.europa.eu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-11-14T08:47:41Z,2023-11-14T08:47:41Z,"CN=*.echa.europa.eu, O=European Chemicals Agency, L=HELSINKI, C=FI",*.echa.europa.eu,European Chemicals Agency,echa.europa.eu,"CN=Telia Server CA v3, O=Telia Finland Oyj, C=FI",Telia Server CA v3,Telia Finland Oyj,8d531d9fe956169a6672a1217e32219c,86b5756e2248b77f8d59b12272c709668441646be02daab8fa165029d68109ce,ctls,echa.europa.eu,443,https://echa.europa.eu:443,https,,text/html,GET,194.187.232.199,/,716912385,194.187.232.199,15089,False,,,Java,True,,,,,,
ecqb.easa.europa.eu,Pearson VUE ExamDeveloper,200,17998,ecqb.easa.europa.eu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-11-04T00:00:00Z,2023-12-05T23:59:59Z,"CN=*.easa.europa.eu, O=European Aviation Safety Agency, L=Köln, ST=Nordrhein-Westfalen, C=DE",*.easa.europa.eu,European Aviation Safety Agency,*.easa.europa.eu,"CN=Thawte RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",Thawte RSA CA 2018,DigiCert Inc,1314433e58713d8319aaf10ba33be5d4,a19ab9e7d3adb8e26944d7fab88202c0d298dcf8cbf40d61dcc6c0bb276a21d8,ctls,ecqb.easa.europa.eu,443,https://ecqb.easa.europa.eu:443,https,,text/html,GET,195.82.70.84,/,1631801191,195.82.70.84,402,False,,https://ecqb.easa.europa.eu/ExamDeveloper/login/Login.aspx,Microsoft ASP.NET,True,,,,,,
ecs.echa.europa.eu,ECHA Cloud Services - Home page,200,1991,ecs.echa.europa.eu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-11-14T08:47:41Z,2023-11-14T08:47:41Z,"CN=*.echa.europa.eu, O=European Chemicals Agency, L=HELSINKI, C=FI",*.echa.europa.eu,European Chemicals Agency,echa.europa.eu,"CN=Telia Server CA v3, O=Telia Finland Oyj, C=FI",Telia Server CA v3,Telia Finland Oyj,8d531d9fe956169a6672a1217e32219c,86b5756e2248b77f8d59b12272c709668441646be02daab8fa165029d68109ce,ctls,ecs.echa.europa.eu,443,https://ecs.echa.europa.eu:443,https,,text/html,GET,194.187.232.201,/,1308395390,194.187.232.201,61,False,,https://ecs.echa.europa.eu/cloud/home.html,HSTS,True,,,,,,
ecws.ecb.europa.eu,ECWS - Login for registered users,200,12193,ecws.ecb.europa.eu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-11-09T15:03:11Z,2023-12-08T15:03:11Z,"CN=ecws.ecb.europa.eu, O=European Central Bank, L=Frankfurt am Main, C=DE",ecws.ecb.europa.eu,European Central Bank,ecws.ecb.int,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",2ef12c6ef7d93c474aa6e55f8c1eb35d,4c71c6b7555a3e603ff6eff395c8e759404dc0c93783a54bbdbf9980c9890eb1,ctls,ecws.ecb.europa.eu,443,https://ecws.ecb.europa.eu:443,https,myracloud,text/html,GET,185.5.82.165,/,1645450506,185.5.82.165,282,False,,https://ecws.ecb.europa.eu/frontend/useCases/Login.uc,Java,,,,,,,
ecws.eda.europa.eu,Sign in to your account,200,200638,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-24T00:00:00Z,2024-02-24T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,5a0c035fd36e190a9a002ffd08801cce,51cfd1c52666a532589d6759379eab229c80ad93cf9e47beb8519dd205096065,ctls,login.microsoftonline.com,443,https://ecws.eda.europa.eu:443,https,,text/html,GET,20.52.182.15,/,-2132204821,20.52.182.15,174,False,,https://login.microsoftonline.com/50946f5f-4154-4b9a-8d77-68ee36d55467/oauth2/authorize?response_type=code&client_id=4c920437-2f32-41ca-b4c2-5cae96bca5de&scope=openid&nonce=f61708d2-0b0b-452c-9c3a-f7154f6dccaa&redirect_uri=https%3a%2f%2fecws.eda.europa.eu%2f&state=AppProxyState%3a%7b%22InvalidTokenRetry%22%3anull%2c%22IsMsofba%22%3afalse%2c%22OriginalRawUrl%22%3a%22https%3a%5c%2f%5c%2fecws.eda.europa.eu%5c%2f%22%2c%22RequestProfileId%22%3anull%2c%22SessionId%22%3a%227db267ed-b057-4427-bdc5-ddd13ca74f78%22%7d%23EndOfStateParam%23&client-request-id=7db267ed-b057-4427-bdc5-ddd13ca74f78,HSTS,,azure,True,,,,
edeliverylt-smp.publisher.edelivery.tech.ec.europa.eu,phoss SMP - Start page,200,13090,,,,,,,,,,,,,,,,,,,443,https://edeliverylt-smp.publisher.edelivery.tech.ec.europa.eu:443,https,nginx,text/html,GET,52.174.2.218,/,566218143,52.174.2.218,1,False,,http://smp.edelivery.lt/public,Nginx,,azure,True,,,,
edge.eca.europa.eu,Citrix Gateway,200,2744,auth.eca.europa.eu,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-05-11T13:05:41Z,2023-06-12T13:05:40Z,"CN=*.eca.europa.eu, O=European Court of Auditors, L=Luxembourg, ST=Luxembourg, C=LU",*.eca.europa.eu,European Court of Auditors,eca.europa.eu,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,67b0f69eb64481720f90605360e2bf21,5f7c0b040d5e25047512a3cc851045bbba0a2555f873ae1c630dd5e93f87f63b,ctls,auth.eca.europa.eu,443,https://edge.eca.europa.eu:443,https,Apache,text/html,GET,195.46.249.243,/,12023395,195.46.249.243,61,False,,https://auth.eca.europa.eu/vpn/tmindex.html,Apache,True,,,,,,
ednd-cma.emcdda.europa.eu,403 Forbidden,403,202,ednd-cma.emcdda.europa.eu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-04-21T14:31:43Z,2023-05-23T14:31:42Z,CN=*.emcdda.europa.eu,*.emcdda.europa.eu,,emcdda.europa.eu,"CN=GlobalSign GCC R3 DV TLS CA 2020, O=GlobalSign nv-sa, C=BE",GlobalSign GCC R3 DV TLS CA 2020,GlobalSign nv-sa,a2008f2f7ce333a4c41056030e4bc459,ea34ff06b368138f83974e55f54fade6f57797006f7fe1be55bc392a315cc019,ctls,ednd-cma.emcdda.europa.eu,443,https://ednd-cma.emcdda.europa.eu:443,https,Apache,text/html,GET,185.41.117.234,/,1493760859,185.41.117.234,9,False,,,Apache,True,,,,,,
