input,title,status_code,content_length,tls_host,tls_port,tls_tls_version,tls_cipher,tls_not_before,tls_subject_dn,tls_subject_cn,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,lines,tech_,tls_self_signed,tls_subject_org_,tls_expired,cdn
asp-stg-va-cleanups.k8s-prod.getaws.arubanetworks.com,,,21,asp-stg-va-cleanups.k8s-prod.getaws.arubanetworks.com,443,tls13,TLS_AES_256_GCM_SHA384,2023-05-01T08:25:35Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ctls,asp-stg-va-cleanups.k8s-prod.getaws.arubanetworks.com,443,https://asp-stg-va-cleanups.k8s-prod.getaws.arubanetworks.com:443,https,nginx/1.21.6,text/plain,GET,54.177.224.32,1,Nginx:1.21.6,True,Acme Co,,
asp-stg-va-integrate.k8s-prod.getaws.arubanetworks.com,,,21,asp-stg-va-integrate.k8s-prod.getaws.arubanetworks.com,443,tls13,TLS_AES_256_GCM_SHA384,2023-04-27T13:24:20Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ctls,asp-stg-va-integrate.k8s-prod.getaws.arubanetworks.com,443,https://asp-stg-va-integrate.k8s-prod.getaws.arubanetworks.com:443,https,nginx/1.21.6,text/plain,GET,54.177.224.32,1,Nginx:1.21.6,True,Acme Co,,
asp-stg-va-integrate2.k8s-prod.getaws.arubanetworks.com,,,21,asp-stg-va-integrate2.k8s-prod.getaws.arubanetworks.com,443,tls13,TLS_AES_256_GCM_SHA384,2023-04-27T12:38:57Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ctls,asp-stg-va-integrate2.k8s-prod.getaws.arubanetworks.com,443,https://asp-stg-va-integrate2.k8s-prod.getaws.arubanetworks.com:443,https,nginx/1.21.6,text/plain,GET,54.177.224.32,1,Nginx:1.21.6,True,Acme Co,,
asp-stg-va.k8s-prod.getaws.arubanetworks.com,,,21,asp-stg-va.k8s-prod.getaws.arubanetworks.com,443,tls13,TLS_AES_256_GCM_SHA384,2023-04-27T14:28:26Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ctls,asp-stg-va.k8s-prod.getaws.arubanetworks.com,443,https://asp-stg-va.k8s-prod.getaws.arubanetworks.com:443,https,nginx/1.21.6,text/plain,GET,54.177.224.32,1,Nginx:1.21.6,True,Acme Co,,
asp-stg.account-contacts.k8s-prod.getaws.arubanetworks.com,,,21,asp-stg.account-contacts.k8s-prod.getaws.arubanetworks.com,443,tls13,TLS_AES_256_GCM_SHA384,2023-04-27T11:59:47Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ctls,asp-stg.account-contacts.k8s-prod.getaws.arubanetworks.com,443,https://asp-stg.account-contacts.k8s-prod.getaws.arubanetworks.com:443,https,nginx/1.21.6,text/plain,GET,54.193.199.202,1,Nginx:1.21.6,True,Acme Co,,
asp-stg.atmosphere.k8s-prod.getaws.arubanetworks.com,,,21,asp-stg.atmosphere.k8s-prod.getaws.arubanetworks.com,443,tls13,TLS_AES_256_GCM_SHA384,2023-04-27T11:59:47Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ctls,asp-stg.atmosphere.k8s-prod.getaws.arubanetworks.com,443,https://asp-stg.atmosphere.k8s-prod.getaws.arubanetworks.com:443,https,nginx/1.21.6,text/plain,GET,54.193.199.202,1,Nginx:1.21.6,True,Acme Co,,
asp-stg.case-sharing.k8s-prod.getaws.arubanetworks.com,,,21,asp-stg.case-sharing.k8s-prod.getaws.arubanetworks.com,443,tls13,TLS_AES_256_GCM_SHA384,2023-04-27T14:49:39Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ctls,asp-stg.case-sharing.k8s-prod.getaws.arubanetworks.com,443,https://asp-stg.case-sharing.k8s-prod.getaws.arubanetworks.com:443,https,nginx/1.21.6,text/plain,GET,54.193.199.202,1,Nginx:1.21.6,True,Acme Co,,
asp-stg.ccs-polaris.k8s-prod.getaws.arubanetworks.com,,,21,asp-stg.ccs-polaris.k8s-prod.getaws.arubanetworks.com,443,tls13,TLS_AES_256_GCM_SHA384,2023-04-27T13:41:47Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ctls,asp-stg.ccs-polaris.k8s-prod.getaws.arubanetworks.com,443,https://asp-stg.ccs-polaris.k8s-prod.getaws.arubanetworks.com:443,https,nginx/1.21.6,text/plain,GET,54.193.199.202,1,Nginx:1.21.6,True,Acme Co,,
asp-stg.ccs-test.k8s-prod.getaws.arubanetworks.com,,,21,asp-stg.ccs-test.k8s-prod.getaws.arubanetworks.com,443,tls13,TLS_AES_256_GCM_SHA384,2023-04-27T13:41:47Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ctls,asp-stg.ccs-test.k8s-prod.getaws.arubanetworks.com,443,https://asp-stg.ccs-test.k8s-prod.getaws.arubanetworks.com:443,https,nginx/1.21.6,text/plain,GET,54.193.199.202,1,Nginx:1.21.6,True,Acme Co,,
asp-stg.ccs-ui.k8s-prod.getaws.arubanetworks.com,,,21,asp-stg.ccs-ui.k8s-prod.getaws.arubanetworks.com,443,tls13,TLS_AES_256_GCM_SHA384,2023-04-27T12:11:20Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ctls,asp-stg.ccs-ui.k8s-prod.getaws.arubanetworks.com,443,https://asp-stg.ccs-ui.k8s-prod.getaws.arubanetworks.com:443,https,nginx/1.21.6,text/plain,GET,54.193.199.202,1,Nginx:1.21.6,True,Acme Co,,
asp-stg.ccs.k8s-prod.getaws.arubanetworks.com,,,21,asp-stg.ccs.k8s-prod.getaws.arubanetworks.com,443,tls13,TLS_AES_256_GCM_SHA384,2023-04-27T13:47:59Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ctls,asp-stg.ccs.k8s-prod.getaws.arubanetworks.com,443,https://asp-stg.ccs.k8s-prod.getaws.arubanetworks.com:443,https,nginx/1.21.6,text/plain,GET,54.177.224.32,1,Nginx:1.21.6,True,Acme Co,,
asp-stg.cop.k8s-prod.getaws.arubanetworks.com,,,21,asp-stg.cop.k8s-prod.getaws.arubanetworks.com,443,tls13,TLS_AES_256_GCM_SHA384,2023-04-27T14:11:36Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ctls,asp-stg.cop.k8s-prod.getaws.arubanetworks.com,443,https://asp-stg.cop.k8s-prod.getaws.arubanetworks.com:443,https,nginx/1.21.6,text/plain,GET,54.193.199.202,1,Nginx:1.21.6,True,Acme Co,,
asp-stg.database.k8s-prod.getaws.arubanetworks.com,,,21,asp-stg.database.k8s-prod.getaws.arubanetworks.com,443,tls13,TLS_AES_256_GCM_SHA384,2023-04-27T14:49:39Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ctls,asp-stg.database.k8s-prod.getaws.arubanetworks.com,443,https://asp-stg.database.k8s-prod.getaws.arubanetworks.com:443,https,nginx/1.21.6,text/plain,GET,54.193.199.202,1,Nginx:1.21.6,True,Acme Co,,
asp-stg.defect-analytics-f.k8s-prod.getaws.arubanetworks.com,,,21,asp-stg.defect-analytics-f.k8s-prod.getaws.arubanetworks.com,443,tls13,TLS_AES_256_GCM_SHA384,2023-04-27T13:18:08Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ctls,asp-stg.defect-analytics-f.k8s-prod.getaws.arubanetworks.com,443,https://asp-stg.defect-analytics-f.k8s-prod.getaws.arubanetworks.com:443,https,nginx/1.21.6,text/plain,GET,54.193.199.202,1,Nginx:1.21.6,True,Acme Co,,
asp-stg.defect-asp-connect.k8s-prod.getaws.arubanetworks.com,Aruba Support Portal,,6103,asp-stg.defect-asp-connect.k8s-prod.getaws.arubanetworks.com,443,tls13,TLS_AES_256_GCM_SHA384,2023-03-22T01:33:02Z,CN=asp-stg.defect-asp-connect.k8s-prod.getaws.arubanetworks.com,asp-stg.defect-asp-connect.k8s-prod.getaws.arubanetworks.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,asp-stg.defect-asp-connect.k8s-prod.getaws.arubanetworks.com,443,https://asp-stg.defect-asp-connect.k8s-prod.getaws.arubanetworks.com:443,https,nginx/1.21.6,text/html,GET,54.177.224.32,158,Nginx:1.21.6,,,,
asp-stg.defect-asp-connect.k8s-stg.getaws.arubanetworks.com,,,21,asp-stg.defect-asp-connect.k8s-stg.getaws.arubanetworks.com,443,tls13,TLS_AES_256_GCM_SHA384,2023-04-18T10:32:19Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ctls,asp-stg.defect-asp-connect.k8s-stg.getaws.arubanetworks.com,443,https://asp-stg.defect-asp-connect.k8s-stg.getaws.arubanetworks.com:443,https,nginx/1.19.1,text/plain,GET,54.177.145.51,1,Nginx:1.19.1,True,Acme Co,,
asp-stg.defect-search.k8s-prod.getaws.arubanetworks.com,,,21,asp-stg.defect-search.k8s-prod.getaws.arubanetworks.com,443,tls13,TLS_AES_256_GCM_SHA384,2023-04-27T14:28:26Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ctls,asp-stg.defect-search.k8s-prod.getaws.arubanetworks.com,443,https://asp-stg.defect-search.k8s-prod.getaws.arubanetworks.com:443,https,nginx/1.21.6,text/plain,GET,54.177.224.32,1,Nginx:1.21.6,True,Acme Co,,
asp-stg.develop.k8prod.getaws.arubanetworks.com,,,21,asp-stg.develop.k8s-prod.getaws.arubanetworks.com,443,tls13,TLS_AES_256_GCM_SHA384,2023-04-27T14:11:36Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ctls,asp-stg.develop.k8s-prod.getaws.arubanetworks.com,443,https://asp-stg.develop.k8prod.getaws.arubanetworks.com:443,https,nginx/1.21.6,text/plain,GET,54.177.224.32,1,Nginx:1.21.6,True,Acme Co,,
asp-stg.develop.k8s-prod.getaws.arubanetworks.com,,,21,asp-stg.develop.k8s-prod.getaws.arubanetworks.com,443,tls13,TLS_AES_256_GCM_SHA384,2023-04-27T11:59:47Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ctls,asp-stg.develop.k8s-prod.getaws.arubanetworks.com,443,https://asp-stg.develop.k8s-prod.getaws.arubanetworks.com:443,https,nginx/1.21.6,text/plain,GET,54.193.199.202,1,Nginx:1.21.6,True,Acme Co,,
asp-stg.develop.k8s-stg.getaws.arubanetworks.com,,,21,asp-stg.develop.k8s-stg.getaws.arubanetworks.com,443,tls13,TLS_AES_256_GCM_SHA384,2023-04-18T09:42:20Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ctls,asp-stg.develop.k8s-stg.getaws.arubanetworks.com,443,https://asp-stg.develop.k8s-stg.getaws.arubanetworks.com:443,https,nginx/1.19.1,text/plain,GET,54.177.145.51,1,Nginx:1.19.1,True,Acme Co,,
asp-stg.elastic-test.k8s-prod.getaws.arubanetworks.com,,,21,asp-stg.elastic-test.k8s-prod.getaws.arubanetworks.com,443,tls13,TLS_AES_256_GCM_SHA384,2023-04-27T13:24:20Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ctls,asp-stg.elastic-test.k8s-prod.getaws.arubanetworks.com,443,https://asp-stg.elastic-test.k8s-prod.getaws.arubanetworks.com:443,https,nginx/1.21.6,text/plain,GET,54.177.224.32,1,Nginx:1.21.6,True,Acme Co,,
asp-stg.elastic-upgrade.k8s-prod.getaws.arubanetworks.com,,,21,asp-stg.elastic-upgrade.k8s-prod.getaws.arubanetworks.com,443,tls13,TLS_AES_256_GCM_SHA384,2023-04-27T13:41:47Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ctls,asp-stg.elastic-upgrade.k8s-prod.getaws.arubanetworks.com,443,https://asp-stg.elastic-upgrade.k8s-prod.getaws.arubanetworks.com:443,https,nginx/1.21.6,text/plain,GET,54.193.199.202,1,Nginx:1.21.6,True,Acme Co,,
asp-stg.elastic-upgrades.k8s-prod.getaws.arubanetworks.com,,,21,asp-stg.elastic-upgrades.k8s-prod.getaws.arubanetworks.com,443,tls13,TLS_AES_256_GCM_SHA384,2023-04-27T13:18:08Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ctls,asp-stg.elastic-upgrades.k8s-prod.getaws.arubanetworks.com,443,https://asp-stg.elastic-upgrades.k8s-prod.getaws.arubanetworks.com:443,https,nginx/1.21.6,text/plain,GET,54.193.199.202,1,Nginx:1.21.6,True,Acme Co,,
asp-stg.emdm.k8s-prod.getaws.arubanetworks.com,,,21,asp-stg.emdm.k8s-prod.getaws.arubanetworks.com,443,tls13,TLS_AES_256_GCM_SHA384,2023-04-27T12:11:20Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ctls,asp-stg.emdm.k8s-prod.getaws.arubanetworks.com,443,https://asp-stg.emdm.k8s-prod.getaws.arubanetworks.com:443,https,nginx/1.21.6,text/plain,GET,54.193.199.202,1,Nginx:1.21.6,True,Acme Co,,
asp-stg.entitlement.k8s-prod.getaws.arubanetworks.com,,,21,asp-stg.entitlement.k8s-prod.getaws.arubanetworks.com,443,tls13,TLS_AES_256_GCM_SHA384,2023-04-27T12:38:57Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ctls,asp-stg.entitlement.k8s-prod.getaws.arubanetworks.com,443,https://asp-stg.entitlement.k8s-prod.getaws.arubanetworks.com:443,https,nginx/1.21.6,text/plain,GET,54.177.224.32,1,Nginx:1.21.6,True,Acme Co,,
asp-stg.esa.k8s-prod.getaws.arubanetworks.com,,,21,asp-stg.esa.k8s-prod.getaws.arubanetworks.com,443,tls13,TLS_AES_256_GCM_SHA384,2023-04-27T13:24:20Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ctls,asp-stg.esa.k8s-prod.getaws.arubanetworks.com,443,https://asp-stg.esa.k8s-prod.getaws.arubanetworks.com:443,https,nginx/1.21.6,text/plain,GET,54.177.224.32,1,Nginx:1.21.6,True,Acme Co,,
asp-stg.esa2.k8s-prod.getaws.arubanetworks.com,,,21,asp-stg.esa2.k8s-prod.getaws.arubanetworks.com,443,tls13,TLS_AES_256_GCM_SHA384,2023-04-27T13:47:59Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ctls,asp-stg.esa2.k8s-prod.getaws.arubanetworks.com,443,https://asp-stg.esa2.k8s-prod.getaws.arubanetworks.com:443,https,nginx/1.21.6,text/plain,GET,54.177.224.32,1,Nginx:1.21.6,True,Acme Co,,
asp-stg.export-to-excel.k8s-prod.getaws.arubanetworks.com,,,21,asp-stg.export-to-excel.k8s-prod.getaws.arubanetworks.com,443,tls13,TLS_AES_256_GCM_SHA384,2023-04-27T14:28:26Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ctls,asp-stg.export-to-excel.k8s-prod.getaws.arubanetworks.com,443,https://asp-stg.export-to-excel.k8s-prod.getaws.arubanetworks.com:443,https,nginx/1.21.6,text/plain,GET,54.177.224.32,1,Nginx:1.21.6,True,Acme Co,,
asp-stg.faq.k8s-prod.getaws.arubanetworks.com,,,21,asp-stg.faq.k8s-prod.getaws.arubanetworks.com,443,tls13,TLS_AES_256_GCM_SHA384,2023-04-27T14:28:26Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ctls,asp-stg.faq.k8s-prod.getaws.arubanetworks.com,443,https://asp-stg.faq.k8s-prod.getaws.arubanetworks.com:443,https,nginx/1.21.6,text/plain,GET,54.177.224.32,1,Nginx:1.21.6,True,Acme Co,,
asp-stg.feature-es-ngit-matt.k8s-stg.getaws.arubanetworks.com,,,21,asp-stg.feature-es-ngit-matt.k8s-stg.getaws.arubanetworks.com,443,tls13,TLS_AES_256_GCM_SHA384,2023-04-18T10:25:00Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ctls,asp-stg.feature-es-ngit-matt.k8s-stg.getaws.arubanetworks.com,443,https://asp-stg.feature-es-ngit-matt.k8s-stg.getaws.arubanetworks.com:443,https,nginx/1.19.1,text/plain,GET,54.177.145.51,1,Nginx:1.19.1,True,Acme Co,,
asp-stg.feature-jimmy-1150.k8s-prod.getaws.arubanetworks.com,,,21,asp-stg.feature-jimmy-1150.k8s-prod.getaws.arubanetworks.com,443,tls13,TLS_AES_256_GCM_SHA384,2023-04-27T12:11:20Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ctls,asp-stg.feature-jimmy-1150.k8s-prod.getaws.arubanetworks.com,443,https://asp-stg.feature-jimmy-1150.k8s-prod.getaws.arubanetworks.com:443,https,nginx/1.21.6,text/plain,GET,54.193.199.202,1,Nginx:1.21.6,True,Acme Co,,
asp-stg.feature-jimmy-1173.k8s-prod.getaws.arubanetworks.com,,,21,asp-stg.feature-jimmy-1173.k8s-prod.getaws.arubanetworks.com,443,tls13,TLS_AES_256_GCM_SHA384,2023-04-27T12:11:20Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ctls,asp-stg.feature-jimmy-1173.k8s-prod.getaws.arubanetworks.com,443,https://asp-stg.feature-jimmy-1173.k8s-prod.getaws.arubanetworks.com:443,https,nginx/1.21.6,text/plain,GET,54.193.199.202,1,Nginx:1.21.6,True,Acme Co,,
asp-stg.feature-jimmy-2820.k8s-prod.getaws.arubanetworks.com,,,21,asp-stg.feature-jimmy-2820.k8s-prod.getaws.arubanetworks.com,443,tls13,TLS_AES_256_GCM_SHA384,2023-04-27T12:18:05Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ctls,asp-stg.feature-jimmy-2820.k8s-prod.getaws.arubanetworks.com,443,https://asp-stg.feature-jimmy-2820.k8s-prod.getaws.arubanetworks.com:443,https,nginx/1.21.6,text/plain,GET,54.193.199.202,1,Nginx:1.21.6,True,Acme Co,,
asp-stg.feature-jnlp.k8s-prod.getaws.arubanetworks.com,,,21,asp-stg.feature-jnlp.k8s-prod.getaws.arubanetworks.com,443,tls13,TLS_AES_256_GCM_SHA384,2023-04-27T14:05:18Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ctls,asp-stg.feature-jnlp.k8s-prod.getaws.arubanetworks.com,443,https://asp-stg.feature-jnlp.k8s-prod.getaws.arubanetworks.com:443,https,nginx/1.21.6,text/plain,GET,54.193.199.202,1,Nginx:1.21.6,True,Acme Co,,
asp-stg.feature-s4-ngit-colus.k8s-stg.getaws.arubanetworks.com,,,21,asp-stg.feature-s4-ngit-colus.k8s-stg.getaws.arubanetworks.com,443,tls13,TLS_AES_256_GCM_SHA384,2023-04-18T10:17:30Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ctls,asp-stg.feature-s4-ngit-colus.k8s-stg.getaws.arubanetworks.com,443,https://asp-stg.feature-s4-ngit-colus.k8s-stg.getaws.arubanetworks.com:443,https,nginx/1.19.1,text/plain,GET,54.177.145.51,1,Nginx:1.19.1,True,Acme Co,,
asp-stg.feature-s4-ngit.k8s-prod.getaws.arubanetworks.com,,,21,asp-stg.feature-s4-ngit.k8s-prod.getaws.arubanetworks.com,443,tls13,TLS_AES_256_GCM_SHA384,2023-04-27T12:11:20Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ctls,asp-stg.feature-s4-ngit.k8s-prod.getaws.arubanetworks.com,443,https://asp-stg.feature-s4-ngit.k8s-prod.getaws.arubanetworks.com:443,https,nginx/1.21.6,text/plain,GET,54.193.199.202,1,Nginx:1.21.6,True,Acme Co,,
asp-stg.global-trade.k8s-prod.getaws.arubanetworks.com,,,21,asp-stg.global-trade.k8s-prod.getaws.arubanetworks.com,443,tls13,TLS_AES_256_GCM_SHA384,2023-04-27T14:22:21Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ctls,asp-stg.global-trade.k8s-prod.getaws.arubanetworks.com,443,https://asp-stg.global-trade.k8s-prod.getaws.arubanetworks.com:443,https,nginx/1.21.6,text/plain,GET,54.193.199.202,1,Nginx:1.21.6,True,Acme Co,,
asp-stg.hotfix-2-8-0-c.k8s-prod.getaws.arubanetworks.com,,,21,asp-stg.hotfix-2-8-0-c.k8s-prod.getaws.arubanetworks.com,443,tls13,TLS_AES_256_GCM_SHA384,2023-04-27T12:18:05Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ctls,asp-stg.hotfix-2-8-0-c.k8s-prod.getaws.arubanetworks.com,443,https://asp-stg.hotfix-2-8-0-c.k8s-prod.getaws.arubanetworks.com:443,https,nginx/1.21.6,text/plain,GET,54.193.199.202,1,Nginx:1.21.6,True,Acme Co,,
asp-stg.hotfix-2-8-0-e.k8s-prod.getaws.arubanetworks.com,,,21,asp-stg.hotfix-2-8-0-e.k8s-prod.getaws.arubanetworks.com,443,tls13,TLS_AES_256_GCM_SHA384,2023-04-27T11:59:47Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ctls,asp-stg.hotfix-2-8-0-e.k8s-prod.getaws.arubanetworks.com,443,https://asp-stg.hotfix-2-8-0-e.k8s-prod.getaws.arubanetworks.com:443,https,nginx/1.21.6,text/plain,GET,54.193.199.202,1,Nginx:1.21.6,True,Acme Co,,
