new,host,a,cname,soa,status_code,ns,cdn,cdn-name,aaaa,mx,txt,caa
[x],www.blablalines.com,,ext-cust.squarespace.com,"dns1.p06.nsone.net, dns-admin.squarespace.com",NOERROR,,,,,,,
[x],www.daily.blablacar.fr,,ext-cust.squarespace.com,"dns1.p06.nsone.net, dns-admin.squarespace.com",NOERROR,,,,,,,
[x],www.fr.blablacar.be,,,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,True,google,,,,
[x],zendesk1.blablacar.com,"34.235.62.90, 3.213.143.227, 184.72.174.126",mail1.zendesk.com,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,"ns-1213.awsdns-23.org, ns-1858.awsdns-40.co.uk, ns-444.awsdns-55.com, ns-754.awsdns-30.net",True,cloudflare,,mail.zendesk.com,v=spf1 include:_netblocks.zdsys.com ~all,
[x],zendesk1.blablalines.com,,mail1.zendesk.com,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudflare,,,v=spf1 include:_netblocks.zdsys.com ~all,
[x],zendesk2.blablacar.com,,mail2.zendesk.com,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudflare,,,v=spf1 include:_netblocks.zdsys.com ~all,
[x],zendesk2.blablalines.com,,mail2.zendesk.com,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudflare,,,v=spf1 include:_netblocks.zdsys.com ~all,
[x],zendesk3.blablacar.com,,mail3.zendesk.com,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudflare,,,,
[x],zendesk3.blablalines.com,"184.72.174.126, 3.213.143.227, 34.235.62.90",mail3.zendesk.com,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,"ns-1213.awsdns-23.org, ns-1858.awsdns-40.co.uk, ns-444.awsdns-55.com, ns-754.awsdns-30.net",True,cloudflare,,mail.zendesk.com,v=spf1 include:_netblocks.zdsys.com ~all,
[x],zendesk4.blablacar.com,,mail4.zendesk.com,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudflare,,mail.zendesk.com,v=spf1 include:_netblocks.zdsys.com ~all,
[x],zendesk4.blablalines.com,,mail4.zendesk.com,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudflare,,,v=spf1 include:_netblocks.zdsys.com ~all,
