new,host,a,soa,status_code,aaaa,txt,cname,has_internal_ips,internal_ips,mx,cdn,cdn-name,ns,caa
[x],datasolutions-website.pat.postnl.nl,"104.126.36.227, 104.126.36.211","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:7100::687e:24d3, 2a02:26f0:7100::687e:24e3",,"c207022.edgekey.net, e207022.dscb.akamaiedge.net",,,,,,,
[x],datasolutions-website.postnl.nl,"104.126.37.8, 104.126.36.209","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:7100::687e:2508, 2a02:26f0:7100::687e:24d1",,"postnl.nl.edgekey.net, e77734.dscb.akamaiedge.net",,,,,,,
[x],debijenkorf.mijnlogistiek-accp.postnl.nl,"80.239.150.65, 80.239.150.83","a1-6.akam.net, domain-registry.postnl.nl",NOERROR,"2001:2030:0:17::50ef:fe25, 2001:2030:0:17::50ef:fe02",v=spf1 -all,,,,,,,,
[x],dedigitalebrievenbus.postnl.nl,84.241.158.189,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],dentalair.mijnlogistiek.postnl.nl,"95.101.111.149, 95.101.111.187, 95.101.111.143, 95.101.111.154, 95.101.111.150, 95.101.111.146, 95.101.111.135","a1-6.akam.net, domain-registry.postnl.nl",NOERROR,"2a02:26f0:3500:14::1724:a254, 2a02:26f0:3500:14::1724:a258",v=spf1 -all,,,,,,,,
[x],descartes.ws.postnl.nl,145.78.21.63,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],design.postnl.nl,"96.16.54.120, 96.16.54.130","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:d8::1740:c32, 2a02:26f0:d8::1740:c2b",,"postnl.nl.edgekey.net, e77734.dscb.akamaiedge.net",,,,,,,
[x],dev.byd.ws.postnl.nl,145.78.21.249,,NOERROR,,,,,,,,,,
[x],dev.complaint.crm.ws.postnl.nl,145.78.21.248,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],dev.mb.ws.postnl.nl,145.78.21.203,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],dev.pi.ws.postnl.nl,145.78.26.132,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],dev.supplychaincontrol.postnl.nl,"95.101.74.139, 95.101.74.142","a1-6.akam.net, domain-registry.postnl.nl",NOERROR,"2a02:26f0:c900:9::5f65:4a8e, 2a02:26f0:c900:9::5f65:4a8b",v=spf1 -all,,,,,,,,
[x],developer.postnl.nl,"23.212.251.134, 23.212.251.137",,NOERROR,"2600:1408:c400:20::17d4:fb86, 2600:1408:c400:20::17d4:fb89",,"postnl.nl.edgekey.net, e77734.dscb.akamaiedge.net",,,,,,,
[x],dfa.waz.pat.postnl.nl,52.178.39.128,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,,,dfa-acc-waz.cloudapp.net,,,,True,azure,,
[x],dfa.waz.tst.postnl.nl,0.0.0.0,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,,,dfa-tst-waz.cloudapp.net,True,0.0.0.0,,,,,
[x],dfabeheer.waz.pat.postnl.nl,52.178.39.9,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,,,dfabeheer-acc-waz.cloudapp.net,,,,True,azure,,
[x],dfabeheer.waz.tst.postnl.nl,0.0.0.0,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,,,dfabeheer-tst-waz.cloudapp.net,True,0.0.0.0,,,,,
[x],dfsbeheer.postnl.nl,137.117.201.206,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,,,dfsbeheer-prod-waz.cloudapp.net,,,,True,azure,,
[x],digitalepostzegel.pat.postnl.nl,145.78.21.144,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],dirextion.postnl.nl,213.154.251.108,,NOERROR,,,,,,,,,,
[x],dispatch.dirextion.postnl.nl,213.154.251.108,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],docs.api.postnl.nl,"23.12.145.158, 23.12.145.134","a1-6.akam.net, domain-registry.postnl.nl",NOERROR,"2600:1408:7400::17de:4fa8, 2600:1408:7400::17de:4fb8",v=spf1 -all,,,,,,,,
[x],docuweb.postnl.nl,10.248.107.116,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,True,10.248.107.116,,,,,
[x],doorzenden.pat.postnl.nl,"80.239.254.39, 80.239.254.27","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2001:2030:0:17::50ef:fe27, 2001:2030:0:17::50ef:fe1b",,"doorzenden.pat.edgekey.net, e105134.dscb.akamaiedge.net",,,,,,,
[x],doorzenden.postnl.nl,"54.195.128.68, 54.77.174.20, 54.216.187.106","ns-1.awsdns-00.com, awsdns-hostmaster.amazon.com",NOERROR,,,doorzenden.p04.cldsvc.net,,,,,,,
[x],dropandloop.mijnlogistiek.postnl.nl,"104.126.37.19, 104.126.37.26","a1-6.akam.net, domain-registry.postnl.nl",NOERROR,"2a02:26f0:ab00::214:8e70, 2a02:26f0:ab00::5c7a:d718",v=spf1 -all,,,,,,,,
[x],dzssappi.cloud.postnl.nl,145.78.21.252,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],e-commerce.postnl.nl,"95.101.74.159, 95.101.74.148","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:c900:9::5f65:4a94, 2a02:26f0:c900:9::5f65:4a9f",,"postnl.nl.edgekey.net, e77734.dscb.akamaiedge.net",,,,,,,
[x],e.share.postnl.nl,"185.136.65.7, 185.136.64.6, 185.136.64.7, 185.136.65.6",,NOERROR,,,web.flowmailer.net,,,,,,,"digicert.com, quovadisglobal.com, letsencrypt.org, mailto:abuse@flowmailer.com, sectigo.com, entrust.net"
[x],ecommerce.postnl.nl,145.78.21.83,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],edm.postnl.nl,68.232.201.28,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],elis.mijnlogistiek-accp.postnl.nl,"80.239.150.65, 80.239.150.83","a1-6.akam.net, domain-registry.postnl.nl",NOERROR,"2001:2030:0:17::50ef:fe02, 2001:2030:0:17::50ef:fe25",v=spf1 -all,,,,,,,,
[x],em.events.postnl.nl,3.126.106.228,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],em.postnl.nl,,"aisha.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,v=spf1 ip4:167.89.63.143 -all,u1868029.wl.sendgrid.net,,,mx.sendgrid.net,,,,
[x],email.postnl.nl,91.197.72.25,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],enterpriseenrollment.postnl.com,52.236.189.96,"ns1-201.azure-dns.com, msnhst.microsoft.com, ns1-07.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,,,"enterpriseenrollment.manage.microsoft.com, manage-pe.trafficmanager.net, pexsucpeu02.westeurope.cloudapp.azure.com, pexsucpeu03.swedencentral.cloudapp.azure.com, pexsucpeu01.northeurope.cloudapp.azure.com",,,,True,azure,,
[x],enterpriseenrollment.postnl.nl,20.91.147.72,"ns1-201.azure-dns.com, msnhst.microsoft.com, ns1-07.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,,,"enterpriseenrollment.manage.microsoft.com, manage-pe.trafficmanager.net, pexsucpeu03.swedencentral.cloudapp.azure.com, pexsucpeu02.westeurope.cloudapp.azure.com, pexsucpeu01.northeurope.cloudapp.azure.com",,,,,,,
[x],enterpriseregistration.postnl.com,20.190.137.40,"internal.akadns.net, hostmaster.akamai.com",NOERROR,,,"enterpriseregistration.windows.net, adrs.privatelink.msidentity.com, www.tm.prd.adrs.akadns.net",,,,True,azure,,
[x],enterpriseregistration.postnl.nl,20.190.137.40,"tm1.dns-tm.com, hostmaster.trafficmanager.net",NOERROR,,,"enterpriseregistration.windows.net, adrs.privatelink.msidentity.com, www.tm.prd.adrs.trafficmanager.net",,,,True,azure,,
[x],euregio-laboratory-services.mijnlogistiek-accp.postnl.nl,"95.101.111.173, 95.101.111.178","a1-6.akam.net, domain-registry.postnl.nl",NOERROR,"2a02:26f0:3500:14::1724:a259, 2a02:26f0:3500:14::1724:a24d",v=spf1 -all,,,,,,,,
[x],euregio-laboratory-services.mijnlogistiek.postnl.nl,"95.101.111.135, 95.101.111.143, 95.101.111.149, 95.101.111.150, 95.101.111.161, 95.101.111.166, 95.101.111.171, 95.101.111.187","a1-6.akam.net, domain-registry.postnl.nl",NOERROR,"2a02:26f0:480:22::1726:62cc, 2a02:26f0:480:22::1726:62fb",v=spf1 -all,,,,,,,,
[x],euromail-xmpie.ws.postnl.nl,82.94.160.36,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],events.postnl.nl,,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],examvision.mijnlogistiek-accp.postnl.nl,"23.53.42.251, 23.53.43.50",,NOERROR,"2a02:26f0:ab00::214:8e71, 2a02:26f0:ab00::214:8e63",,,,,,,,,
[x],examvision.mijnlogistiek.postnl.nl,"104.126.116.18, 104.126.116.59","a1-6.akam.net, domain-registry.postnl.nl",NOERROR,"2600:1408:7400::17de:4fa8, 2600:1408:7400::17de:4fb8",v=spf1 -all,,,,,,,,
[x],extrahome.postnl.nl,"23.212.251.137, 23.212.251.134",,NOERROR,"2600:1408:c400:20::17d4:fb86, 2600:1408:c400:20::17d4:fb89",,"postnl.nl.edgekey.net, e77734.dscb.akamaiedge.net",,,,,,,
[x],fat.developer.postnl.nl,"95.101.111.165, 95.101.111.163","a1-6.akam.net, domain-registry.postnl.nl",NOERROR,"2a02:26f0:3500:14::1724:a256, 2a02:26f0:3500:14::1724:a250",v=spf1 -all,,,,,,,,
[x],fat.events.postnl.nl,3.126.106.228,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],fat.postnl.nl,"96.16.54.195, 96.16.54.170","a1-6.akam.net, domain-registry.postnl.nl",NOERROR,"2a02:26f0:d8::1740:c2b, 2a02:26f0:d8::1740:c30",v=spf1 -all,,,,,,,,
[x],fds002.gis.postnl.nl,145.78.25.135,,NOERROR,,,,,,,,,,
[x],fds801.gis.postnl.nl,145.78.27.20,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],fds802.gis.postnl.nl,145.78.27.21,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],fds803.gis.postnl.nl,145.78.27.22,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],fdsdmz.events.postnl.nl,3.126.106.228,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],federation.gis.postnl.nl,145.78.27.5,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],fietsenwinkel.mijnlogistiek-accp.postnl.nl,"104.126.37.26, 104.126.37.33","a1-6.akam.net, domain-registry.postnl.nl",NOERROR,"2a02:26f0:ab00::214:8e63, 2a02:26f0:ab00::214:8e71",v=spf1 -all,,,,,,,,
[x],fietsenwinkel.mijnlogistiek.postnl.nl,"104.126.36.147, 104.126.36.194","a1-6.akam.net, domain-registry.postnl.nl",NOERROR,"2a02:26f0:7100::687e:24c2, 2a02:26f0:7100::687e:2493",,,,,,,,,
[x],fristads.mijnlogistiek-accp.postnl.nl,"95.101.111.173, 95.101.111.178","a1-6.akam.net, domain-registry.postnl.nl",NOERROR,"2a02:26f0:3500:14::1724:a259, 2a02:26f0:3500:14::1724:a24d",v=spf1 -all,,,,,,,,
[x],fristads.mijnlogistiek.postnl.nl,"96.16.54.138, 96.16.54.162","a1-6.akam.net, domain-registry.postnl.nl",NOERROR,"2a02:26f0:d8::1740:c29, 2a02:26f0:d8::1740:c42",v=spf1 -all,,,,,,,,
[x],gebruikerservice.mijnpost.pat.ws.postnl.nl,145.78.21.169,,NOERROR,,,,,,,,,,
[x],gebruikerservice.tst.bp.ws.postnl.nl,145.78.26.8,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],globaladdressapi.postnl.nl,"52.213.73.110, 63.35.168.147, 52.16.83.25","ns-1.awsdns-00.com, awsdns-hostmaster.amazon.com",NOERROR,,,globaladdressapi.p04.cldsvc.net,,,,,,,
[x],go.b2b.postnl.nl,"34.237.219.119, 3.92.120.28, 3.215.172.219, 18.208.125.13, 52.54.96.194","ns-1826.awsdns-36.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,"go.pardot.com, pi.pardot.com, pi-ue1.pardot.com, pi-ue1-public-lb-f0209c6950285322.elb.us-east-1.amazonaws.com",,,,,,,
[x],graphql.staging.shop.postnl.nl,"80.239.254.2, 80.239.254.37","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2001:2030:0:17::50ef:fe25, 2001:2030:0:17::50ef:fe02",,"c129221.edgekey.net, e129221.dscb.akamaiedge.net",,,,,,,
[x],hah.postnl.nl,"95.101.111.176, 95.101.111.177","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:3500:14::1724:a24b, 2a02:26f0:3500:14::1724:a247",,"postnl.nl.edgekey.net, e77734.dscb.akamaiedge.net",,,,,,,
[x],handtekeningservice.mijnpost.ws.postnl.nl,145.78.21.103,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],hulp.mijnpost.postnl.nl,145.78.26.60,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],image.edm.postnl.nl,23.212.219.206,"n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,"akamai-san15.exacttarget.com.edgekey.net, e13897.x.akamaiedge.net",,,,,,,
[x],importer.dirextion.postnl.nl,213.154.251.108,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],informatie.postnl.nl,91.197.72.25,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,v=spf1 a mx include:virtual.dmdelivery.com -all,,,,virtualmail.dmdelivery.com,,,,
[x],informatiebcp.postnl.nl,195.140.243.160,"pns41.cloudns.net, support.cloudns.net",NOERROR,,v=spf1 ip4:195.140.243.160 ip4:195.140.243.162 ip4:195.140.243.163 ~all,"cendris-postnl-bcp.webpower.eu, bcp160.webpower.eu",,,virtualmail-bcp.webpower.eu,,,,
[x],intranetthuis.medewerkers.postnl.nl,145.78.21.134,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],ip15.events.postnl.nl,3.126.106.228,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],isis.nuon.postnl.nl,82.94.234.147,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],jobs.events.postnl.nl,3.126.106.228,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],jobs.postnl.com,77.73.231.213,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],jobs.postnl.nl,77.73.231.213,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,v=spf1 ip4:77.73.231.198 ip4:77.73.231.200 -all,,,,,,,,
[x],jouw.acc.postnl.nl,"63.35.77.252, 99.80.190.65","ns-1889.awsdns-44.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,jouw.postnl.a16.cldsvc.net,,,,,,,
[x],jouw.pat.postnl.nl,"2.19.120.81, 2.19.120.85","n0dscksd.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:3100::217:722, 2a02:26f0:3100::217:723",,"acc.postnl.nl.edgekey.net, e25132.dscksd.akamaiedge.net",,,,,,,
[x],jouw.postnl.nl,"23.212.251.137, 23.212.251.134",,NOERROR,"2600:1408:c400:20::17d4:fb86, 2600:1408:c400:20::17d4:fb89",,,,,,,,,
[x],jpafspraakmaken.mijnlogistiek-accp.postnl.nl,"104.126.37.26, 104.126.37.33","a1-6.akam.net, domain-registry.postnl.nl",NOERROR,"2a02:26f0:ab00::214:8e63, 2a02:26f0:ab00::214:8e71",v=spf1 -all,,,,,,,,
[x],jpafspraakmaken.mijnlogistiek.postnl.nl,"2.16.241.143, 2.16.241.132",,NOERROR,"2a02:26f0:480:c::210:f184, 2a02:26f0:480:c::210:f18f",,,,,,,,,
[x],jumbo.postnl.nl,89.146.5.251,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],kaartenservice.postnl.nl,145.78.21.183,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],kaartenserviceaccount.postnl.nl,145.78.21.183,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],kaartje.postnl.nl,217.195.123.40,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],kaartwereld.postnl.nl,145.78.21.183,,NOERROR,,,,,,,,,,
[x],kaartwereld2.postnl.nl,"95.101.74.159, 95.101.74.148","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:c900:9::5f65:4a9f, 2a02:26f0:c900:9::5f65:4a94",,"postnl.nl.edgekey.net, e77734.dscb.akamaiedge.net",,,,,,,
[x],kaartwereld3.postnl.nl,"104.126.116.90, 104.126.116.73","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2600:1408:7400::17de:4fc9, 2600:1408:7400::17de:4fbb",,"postnl.nl.edgekey.net, e77734.dscb.akamaiedge.net",,,,,,,
[x],kaartwereldaccount.postnl.nl,"104.126.37.56, 104.126.37.51","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:ab00::5c7a:d722, 2a02:26f0:ab00::5c7a:d70b",,"postnl.nl.edgekey.net, e77734.dscb.akamaiedge.net",,,,,,,
[x],ketenmonitor.postnl.nl,145.78.21.217,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],labelgenerationservice.mijnpost.pat.ws.postnl.nl,145.78.21.166,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],labelgenerationservice.mijnpost.tst.ws.postnl.nl,145.78.21.165,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],lazando.mijnlogistiek-accp.postnl.nl,"104.126.36.241, 104.126.36.235","a1-6.akam.net, domain-registry.postnl.nl",NOERROR,"2a02:26f0:7100::687e:24f1, 2a02:26f0:7100::687e:24eb",v=spf1 -all,,,,,,,,
[x],localhost.postnl.post,127.0.0.1,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,True,127.0.0.1,,,,,
[x],login-dev.postnl.nl,"95.101.74.142, 95.101.74.139","a1-6.akam.net, domain-registry.postnl.nl",NOERROR,"2a02:26f0:c900:9::5f65:4a8b, 2a02:26f0:c900:9::5f65:4a8e",v=spf1 -all,,,,,,,,
[x],login-stage.postnl.nl,"104.126.116.26, 104.126.116.25","a1-6.akam.net, domain-registry.postnl.nl",NOERROR,"2600:1408:7400::17de:4fa3, 2600:1408:7400::17de:4fd9",v=spf1 -all,,,,,,,,
[x],login.postnl.nl,"23.12.145.153, 23.12.145.166","a1-6.akam.net, domain-registry.postnl.nl",NOERROR,"2600:1408:7400::17de:4fc9, 2600:1408:7400::17de:4fbb",v=spf1 -all,,,,,,,,
[x],logs.shop.postnl.nl,"95.101.74.159, 95.101.74.148","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:c900:9::5f65:4a94, 2a02:26f0:c900:9::5f65:4a9f",,"shop.postnl.nl, shop.postnl.nl.edgekey.net, e77734.dscb.akamaiedge.net",,,,,,,
[x],logs.test.shop.postnl.nl,"23.50.55.42, 23.50.55.50","n0dscb.akamaiedge-staging.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:3100::1732:372a, 2a02:26f0:3100::1732:3732",,"staging.shop.postnl.nl.edgekey-staging.net, e25132.dscb.akamaiedge-staging.net",,,,,,,
[x],lyncdiscover.events.postnl.nl,3.126.106.228,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],lyncdiscover.postnl.com,52.112.193.16,"admin.nsatc.net, dns.level3.net",NOERROR,2603:1027:0:3::e,,webdir.online.lync.com,,,,,,,
[x],lyncdiscover.postnl.nl,52.112.193.16,"admin.nsatc.net, dns.level3.net",NOERROR,2603:1027:0:48::21,,webdir.online.lync.com,,,,,,,
[x],mail.verpakkingen.postnl.nl,35.156.255.182,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],mailorder2.postnl.nl,83.98.213.33,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],majorel.mijnlogistiek.postnl.nl,"95.101.111.135, 95.101.111.143, 95.101.111.146, 95.101.111.149, 95.101.111.150, 95.101.111.154, 95.101.111.187","a1-6.akam.net, domain-registry.postnl.nl",NOERROR,"2a02:26f0:480:22::1726:62cc, 2a02:26f0:480:22::1726:62fb",,,,,,,,,
[x],manpower.mijnlogistiek-accp.postnl.nl,"96.16.54.155, 96.16.54.185","a1-6.akam.net, domain-registry.postnl.nl",NOERROR,"2a02:26f0:d8::1740:c32, 2a02:26f0:d8::1740:c49",v=spf1 -all,,,,,,,,
[x],manpower.mijnlogistiek.postnl.nl,"23.53.43.64, 23.53.43.11",,NOERROR,,,,,,,,,,
[x],mb.ws.postnl.nl,145.78.21.190,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],medewerkers.postnl.nl,145.78.21.134,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],medlab-stein.mijnlogistiek-accp.postnl.nl,"23.12.145.139, 23.12.145.169","a1-6.akam.net, domain-registry.postnl.nl",NOERROR,"2600:1408:7400::17de:4fa1, 2600:1408:7400::17de:4fb3",v=spf1 -all,,,,,,,,
[x],medlab-stein.mijnlogistiek.postnl.nl,"104.126.37.26, 104.126.37.19","a1-6.akam.net, domain-registry.postnl.nl",NOERROR,"2a02:26f0:ab00::5c7a:d718, 2a02:26f0:ab00::214:8e70",v=spf1 -all,,,,,,,,
[x],mijn.acc.postnl.nl,"95.101.74.145, 95.101.74.143","a1-6.akam.net, domain-registry.postnl.nl",NOERROR,"2a02:26f0:c900:9::5f65:4a91, 2a02:26f0:c900:9::5f65:4a8f","00D3M0000008b43UAA, v=spf1 -all",,,,,,,,
[x],mijn.postnl.nl,"2.19.120.88, 2.19.120.92","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:3100::1735:2b68, 2a02:26f0:3100::1735:2b98",,"postnl.nl.edgekey.net, e77734.dscb.akamaiedge.net",,,,,,,
[x],mijn.tst.postnl.nl,"136.146.32.152, 136.146.46.152, 136.146.47.152","ns1-ia7.salesforce.com, hostmaster.salesforce.com",NOERROR,,,"test-businessportal.cs17.force.com, cs17.force.com, cs276.force.com, cs276-ia7.force.com, cs276-ia7.ia7.r.force.com",,,,,,,
[x],mijnpakket.events.postnl.nl,3.126.106.228,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],mijnpakket.pat.postnl.nl,"34.240.111.59, 52.18.79.191, 52.214.203.114","ns-1236.awsdns-26.org, awsdns-hostmaster.amazon.com",NOERROR,,,mijnpakket.a04.cldsvc.net,,,,,,,
[x],mijnpakket.sandbox.postnl.nl,"52.31.25.125, 52.208.164.54, 52.209.83.58","ns-1236.awsdns-26.org, awsdns-hostmaster.amazon.com",NOERROR,,,mijnpakket.sandbox.a04.cldsvc.net,,,,,,,
[x],mijnpost-sfapi-o.postnl.nl,54.144.128.85,,NOERROR,,,,,,,,,,
[x],mijnpostnlzakelijk.acc.postnl.nl,"95.101.111.153, 95.101.111.157","a1-6.akam.net, domain-registry.postnl.nl",NOERROR,"2a02:26f0:480:22::1726:62eb, 2a02:26f0:480:22::1726:62f0","v=spf1 -all, 00D3M0000008b43UAA, 00dw0000000cncleas",,,,,,,,
[x],mijnpostnlzakelijk.postnl.nl,"23.12.145.153, 23.12.145.166","a1-6.akam.net, domain-registry.postnl.nl",NOERROR,"2600:1408:7400::17de:4fc9, 2600:1408:7400::17de:4fbb","00dw0000000cncleas, google-site-verification=8fmY3V2OJRg_wQO8vCFy0EqO4Xd74gOJI7TdG-234wY, v=spf1 -all",,,,,,,,
[x],mijnregieportaal.interactive.postnl.nl,54.144.128.85,,NOERROR,,,,,,,,,,
[x],mijnservice.events.postnl.nl,3.126.106.228,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],mijnservice.postnl.nl,145.78.26.77,,NOERROR,,,,,,,,,,
[x],mijnwerk.postnl.nl,"96.16.54.120, 96.16.54.130","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:d8::1740:c32, 2a02:26f0:d8::1740:c2b",,"postnl.nl.edgekey.net, e77734.dscb.akamaiedge.net",,,,,,,
[x],mobilecare.mijnlogistiek-accp.postnl.nl,"23.212.251.134, 23.212.251.146",,NOERROR,"2600:1408:c400:20::17d4:fb92, 2600:1408:c400:20::17d4:fb86",,,,,,,,,
[x],mobilecare.mijnlogistiek.postnl.nl,"104.126.37.19, 104.126.37.26","a1-6.akam.net, domain-registry.postnl.nl",NOERROR,"2a02:26f0:ab00::5c7a:d718, 2a02:26f0:ab00::214:8e70",,,,,,,,,
[x],monuta.postnl.nl,37.230.98.148,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],mox-tablet-test.postnl.nl,145.78.21.211,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],msft-tenants-us.events.postnl.nl,3.126.106.228,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],msoid.postnl.com,"20.190.159.75, 40.126.31.67, 40.126.31.69, 20.190.159.2, 20.190.159.64, 20.190.159.68, 20.190.159.71, 20.190.159.73","tm1.dns-tm.com, hostmaster.trafficmanager.net, internal.akadns.net, hostmaster.akamai.com",NOERROR,,,"clientconfig.microsoftonline-p.net, a.privatelink.msidentity.com, prda.aadg.msidentity.com, www.tm.a.prd.aadg.akadns.net, www.tm.a.prd.aadg.trafficmanager.net",,,,True,azure,,
[x],msoid.postnl.nl,"40.126.31.73, 20.190.159.23, 20.190.159.64, 20.190.159.68, 20.190.159.71, 20.190.159.73, 40.126.31.67, 40.126.31.69","internal.akadns.net, hostmaster.akamai.com",NOERROR,,,"clientconfig.microsoftonline-p.net, a.privatelink.msidentity.com, prda.aadg.msidentity.com, www.tm.a.prd.aadg.akadns.net",,,,True,azure,,
[x],mta-sts.postnl.nl,185.104.29.106,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,2a06:2ec0:1::135,,policy.mta-sts.postnl.nl.eu-m9sha5zi.eu.dmarcadvisor.net,,,,,,,
[x],mta.edm.postnl.nl,13.111.33.120,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],mta2.edm.postnl.nl,136.147.142.214,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],mtls.postnl.nl,,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
