input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,webserver,final_url,csp_domains_,cdn_name,cdn,location
fristads.mijnlogistiek.postnl.nl,Retour on Demand,200,69733,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,fristads.mijnlogistiek.postnl.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-03-30T07:36:58Z,2023-06-28T07:36:57Z,CN=prod01.postnl.nl,prod01.postnl.nl,,zwijsen.mijnlogistiek.postnl.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,943cc668808ab9ecc79f5daf37cc94a5,a72c0d9bed4c91ae67ad53aeb84efcfe95bfb2a9eb3ceec319ce659956de702c,,ctls,fristads.mijnlogistiek.postnl.nl,443,https://fristads.mijnlogistiek.postnl.nl:443,https,text/html,GET,104.126.37.26,/,1908147121,2a02:26f0:ab00::5c7a:d718,Windows Server,164,False,Microsoft-IIS/10.0,,,,,
graphql.staging.shop.postnl.nl,401 Authorization Required,401,172,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,graphql.staging.shop.postnl.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-03-02T12:41:32Z,2023-05-31T12:41:31Z,CN=acc01.postnl.nl,acc01.postnl.nl,,zwijsen.mijnlogistiek-accp.postnl.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ff454347754e24d4528ba02f72b09e19,d3249f8b0cf3eb378268b43c5618b4a551bd1ff1477a07b41affbb3791685c2d,,ctls,graphql.staging.shop.postnl.nl,443,https://graphql.staging.shop.postnl.nl:443,https,text/html,GET,104.126.37.33,/,-1710455754,2a02:26f0:ab00::214:8e63,Nginx,8,False,nginx,,,,,
http://beacon.krxd.net/event.gif,,204,,AS16509,AS16509,Unknown,52.216.72.0/24,beacon.krxd.net,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-04-14T00:00:00Z,2024-04-12T23:59:59Z,"CN=beacon.krxd.net, O=salesforce.com\, inc., L=San Francisco, ST=California, C=US",beacon.krxd.net,"salesforce.com, inc.",jslog.krxd.net,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,35a6a5642f12e9e8afbfd396ec8ece32,6c12fd64da1366fcd96c3b84875fe7bec2f9efe746ba61d1a88af9b566df1ccc,,ctls,beacon.krxd.net,443,https://beacon.krxd.net:443/event.gif,https,,GET,52.215.196.100,/event.gif,1021507279,52.211.158.177,,1,False,,,,,,
http://d3u9kj2t4eazrw.cloudfront.net/analytics_global_v2.js,,403,243,AS16509,AMAZON-02,US,52.222.248.0/22,d3u9kj2t4eazrw.cloudfront.net,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-12-08T00:00:00Z,2023-12-07T23:59:59Z,CN=*.cloudfront.net,*.cloudfront.net,,*.cloudfront.net,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,3ce77498ac0d9db2c0fbac4ace488223,0e61dc9128a6d01c3583e46cb871e9590ca7636f3b394e60b910fdb249e90465,True,ctls,d3u9kj2t4eazrw.cloudfront.net,443,https://d3u9kj2t4eazrw.cloudfront.net:443/analytics_global_v2.js,https,application/xml,GET,52.222.250.184,/analytics_global_v2.js,-1117447258,52.222.250.133,Amazon Web Services,2,False,AmazonS3,,,cloudfront,True,
http://pubads.g.doubleclick.net,Enterprise Advertising & Analytics Solutions - Google Marketing Platform,200,128610,AS15169,GOOGLE,US,142.250.82.0/24,marketingplatform.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-24T11:56:06Z,2023-07-17T11:56:05Z,CN=*.google.com,*.google.com,,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ccf98682d60d9e7ef59d3d2493cd2a21,190dea597b07fed314c500a17b16b54a5b1cd3646bd078459020b1653ba147d7,True,ctls,marketingplatform.google.com,443,https://pubads.g.doubleclick.net:443,https,text/html,GET,142.250.74.194,/,-1184133586,2a00:1450:4001:813::2002,HTTP/3,2179,False,sffe,https://marketingplatform.google.com/about/enterprise/,https://csp.withgoogle.com/csp/uxe-owners-acl/marketing_platform,,,
http://s3.amazonaws.com/dc.customer.prod,,404,306,AS16509,AS16509,Unknown,54.232.0.0/15,s3.amazonaws.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-04-11T00:00:00Z,2023-12-20T23:59:59Z,CN=s3.amazonaws.com,s3.amazonaws.com,,s3-deprecated.us-east-1.amazonaws.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,3e6c74e7bcc0a301938b7a3509ca3ace,31494611b3e6659b4e9a3af805171907756aee7e37d017bcc27104768c785fbd,True,ctls,s3.amazonaws.com,443,https://s3.amazonaws.com:443/dc.customer.prod,https,application/xml,GET,54.231.228.208,/dc.customer.prod,40836503,52.217.168.200,Amazon Web Services,2,False,AmazonS3,,,,,
http://s3.amazonaws.com/dc.customer.prod/dev/17/264fa781.js,,404,306,AS16509,AS16509,Unknown,54.232.0.0/15,s3.amazonaws.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-04-11T00:00:00Z,2023-12-20T23:59:59Z,CN=s3.amazonaws.com,s3.amazonaws.com,,s3-deprecated.us-east-1.amazonaws.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,3e6c74e7bcc0a301938b7a3509ca3ace,31494611b3e6659b4e9a3af805171907756aee7e37d017bcc27104768c785fbd,True,ctls,s3.amazonaws.com,443,https://s3.amazonaws.com:443/dc.customer.prod/dev/17/264fa781.js,https,application/xml,GET,54.231.228.208,/dc.customer.prod/dev/17/264fa781.js,1886277489,52.217.168.200,Amazon Web Services,2,False,AmazonS3,,,,,
http://staging.postnl.nl.incentro.com,HTTP Status 404 – Not Found,404,792,AS16509,AS16509,Unknown,52.52.0.0/15,staging.postnl.nl.incentro.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,True,2022-09-19T00:00:00Z,2023-09-19T23:59:59Z,CN=smaato.net,smaato.net,,*.track.smaato.net,"CN=Sectigo ECC Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo ECC Domain Validation Secure Server CA,Sectigo Limited,fb8c0b5bff9ba2b43996b4e858e04d7c,1b2a79499e767bb1183ddd12ba8b5732e51e04ae642586cb9fc35c7c61894cc7,True,ctls,staging.postnl.nl.incentro.com,443,https://staging.postnl.nl.incentro.com:443,https,text/html,GET,52.49.54.186,/,-1840324437,52.49.54.186,,1,False,SOMA,,,,,
https://5119032.fls.doubleclick.net,Error 404 (Not Found)!!1,404,1561,AS15169,GOOGLE,US,172.217.0.0/19,5119032.fls.doubleclick.net,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-04-24T11:55:57Z,2023-07-17T11:55:56Z,CN=*.doubleclick.net,*.doubleclick.net,,doubleclick.net,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,3c4f5e997eada9d1fec9f61cec6c9243,d7fc6f75ca8998e171db5fad77af18373360dc567674417f8cccdc762a94b083,True,ctls,5119032.fls.doubleclick.net,443,https://5119032.fls.doubleclick.net:443,https,text/html,GET,172.217.16.134,/,302920777,172.217.16.134,HTTP/3,12,False,cafe,,,,,
https://6606717.fls.doubleclick.net,Error 404 (Not Found)!!1,404,1561,AS15169,GOOGLE,US,142.250.0.0/15,6606717.fls.doubleclick.net,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-04-24T11:55:57Z,2023-07-17T11:55:56Z,CN=*.doubleclick.net,*.doubleclick.net,,doubleclick.net,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,3c4f5e997eada9d1fec9f61cec6c9243,d7fc6f75ca8998e171db5fad77af18373360dc567674417f8cccdc762a94b083,True,ctls,6606717.fls.doubleclick.net,443,https://6606717.fls.doubleclick.net:443,https,text/html,GET,142.250.186.134,/,302920777,142.250.186.134,HTTP/3,12,False,cafe,,,,,
https://analytics.twitter.com/i/adsct,,200,43,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,analytics.twitter.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-05T00:00:00Z,2024-02-05T23:59:59Z,"CN=*.twitter.com, O=Twitter\, Inc., L=San Francisco, ST=California, C=US",*.twitter.com,"Twitter, Inc.",twitter.com,"CN=DigiCert TLS Hybrid ECC SHA384 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS Hybrid ECC SHA384 2020 CA1,DigiCert Inc,18831f28cabe1e98f981d1ebfaccc202,20d879a1e3661ccdaef3ecb156f7efc8906a26a9533a6f7c75a917a0dbb5764c,True,ctls,analytics.twitter.com,443,https://analytics.twitter.com:443/i/adsct,https,image/gif,GET,104.244.42.3,/i/adsct,-1831547740,104.244.42.131,HSTS,1,False,tsa_o,,,,,
https://api-iam.intercom.io,Making Internet Business Personal | Intercom,200,969429,AS14618,AMAZON-AES,US,52.86.0.0/15,www.intercom.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-01-31T00:00:00Z,2024-02-29T23:59:59Z,CN=*.intercom.com,*.intercom.com,,intercom.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,16a273078de16b234593d38b6d599fb1,1e78e3095b988214d59d22c24591ce1594d50267fd887783e5b5dd71889744ee,True,ctls,www.intercom.com,443,https://api-iam.intercom.io:443,https,text/html,GET,52.87.100.101,/,-1840324437,44.209.97.165,Nginx,12,False,nginx,https://www.intercom.com/,cdn3.optimizely.com,,,
https://api-ping.intercom.io,Making Internet Business Personal | Intercom,200,969479,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,www.intercom.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-01-31T00:00:00Z,2024-02-29T23:59:59Z,CN=*.intercom.com,*.intercom.com,,intercom.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,16a273078de16b234593d38b6d599fb1,1e78e3095b988214d59d22c24591ce1594d50267fd887783e5b5dd71889744ee,True,ctls,www.intercom.com,443,https://api-ping.intercom.io:443,https,text/html,GET,107.22.31.116,/,-1840324437,52.87.100.101,Nginx,12,False,nginx,https://www.intercom.com/,https://api.mutinyhq.io/v2,,,
https://api.intercom.io,Making Internet Business Personal | Intercom,200,969468,AS14618,AMAZON-AES,US,34.224.0.0/12,www.intercom.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-01-31T00:00:00Z,2024-02-29T23:59:59Z,CN=*.intercom.com,*.intercom.com,,intercom.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,16a273078de16b234593d38b6d599fb1,1e78e3095b988214d59d22c24591ce1594d50267fd887783e5b5dd71889744ee,True,ctls,www.intercom.com,443,https://api.intercom.io:443,https,text/html,GET,34.238.207.145,/,-1840324437,3.217.51.107,Nginx,12,False,nginx,https://www.intercom.com/,c.6sc.co,,,
https://api.usabilla.com,Usabilla API,200,230,AS16509,AS16509,Unknown,99.80.0.0/15,api.usabilla.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-02-14T00:00:00Z,2023-07-28T23:59:59Z,CN=app.usabilla.com,app.usabilla.com,,api.usabilla.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,2e4301a2d7a0f4fbcd030ffeca6064f4,cca3ee7df5db0510fabd28533f620fd0f4c10d44943b223004924185d13a9820,,ctls,api.usabilla.com,443,https://api.usabilla.com:443,https,text/html,GET,99.81.6.112,/,231755426,3.248.137.148,Apache,13,False,Apache,,,,,
https://app.getsentry.com,Application Performance Monitoring & Error Tracking Software | Sentry,200,328004,AS396982,GOOGLE-CLOUD-PLATFORM,US,35.188.0.0/15,sentry.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-06-03T00:00:00Z,2023-07-04T23:59:59Z,"CN=sentry.io, O=Sentry, L=San Francisco, ST=California, C=US",sentry.io,Sentry,docs.getsentry.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,6b174547e8f703712daa649b8a08a4bd,de3519d9d81936d595ed94c7d2ffbda0e48bf16e4f3c4e3465091448ea8865c9,,ctls,sentry.io,443,https://app.getsentry.com:443,https,text/html,GET,35.188.42.15,/,-1840324437,35.188.42.15,webpack,72,False,nginx,https://sentry.io/welcome/,calendly.com,google,True,
https://app.intercom.io,Intercom | The easiest way to see and talk to your users,200,12148,AS14618,AMAZON-AES,US,3.228.0.0/17,app.intercom.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-11T00:00:00Z,2024-05-10T23:59:59Z,CN=*.intercom.com,*.intercom.com,,intr.cm,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,c0951bf8e99caddb8b5fb0a86acd849a,8bb4b251f6aa931b7ca267c21ae35bffa2ce16bf2a329c060ff773b643a91397,True,ctls,app.intercom.com,443,https://app.intercom.io:443,https,text/html,GET,3.221.40.136,/,-1840324437,34.203.115.206,Ruby on Rails,245,False,nginx,https://app.intercom.com/admins/sign_in,static.segment.com,,,
https://app.vwo.com,VWO - Application,200,431077,AS15169,GOOGLE,US,34.149.0.0/16,app.vwo.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-24T08:20:31Z,2024-03-27T08:20:31Z,CN=*.vwo.com,*.vwo.com,,vwo.com,"CN=Starfield Secure Certificate Authority - G2, OU=http://certs.starfieldtech.com/repository/, O=Starfield Technologies\, Inc., L=Scottsdale, ST=Arizona, C=US",Starfield Secure Certificate Authority - G2,"Starfield Technologies, Inc.",06fed23eae15af6a548b05cd33eaa54a,7c7390ff6ec4733433d806de584e49e71c0979439d5e8a1ba550e4c3ba163e98,True,ctls,app.vwo.com,443,https://app.vwo.com:443,https,text/html,GET,34.149.83.5,/,-1335621053,34.149.83.5,Stimulus,1948,False,nginx,,https://sentry.io/api/20628/csp-report/?sentry_key=9526abf9e7344823af1e2b046fbc173e,google,True,
https://authorize.omniture.com,Marketing Cloud - 404 Not Found,404,800894,AS15224,OMNITURE,US,192.243.248.0/22,authorize.omniture.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-02-11T00:00:00Z,2024-03-13T23:59:59Z,"CN=*.pnw.an.adobe.com, O=Adobe Inc., L=San Jose, ST=California, C=US",*.pnw.an.adobe.com,Adobe Inc.,omniture-static.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1f5f45f31835dc8f145e56f4e15215e8,993dde37b760d53e554b62bbdc404249b44057bc65e68721758b8d5d7c5b7a75,True,ctls,authorize.omniture.com,443,https://authorize.omniture.com:443,https,text/html,GET,192.243.232.77,/,-1008979497,192.243.232.77,HSTS,11549,False,Apache,,,,,
https://bid.g.doubleclick.net/,Enterprise Advertising & Analytics Solutions - Google Marketing Platform,200,128610,AS15169,GOOGLE,US,64.233.168.0/23,marketingplatform.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-24T11:56:06Z,2023-07-17T11:56:05Z,CN=*.google.com,*.google.com,,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ccf98682d60d9e7ef59d3d2493cd2a21,190dea597b07fed314c500a17b16b54a5b1cd3646bd078459020b1653ba147d7,True,ctls,marketingplatform.google.com,443,https://bid.g.doubleclick.net:443,https,text/html,GET,64.233.167.156,/,302920777,74.125.133.155,HTTP/3,2179,False,sffe,https://marketingplatform.google.com/about/enterprise/,https://csp.withgoogle.com/csp/uxe-owners-acl/marketing_platform,,,
https://cm.g.doubleclick.net/pixel,,200,170,AS15169,GOOGLE,US,216.58.192.0/19,cm.g.doubleclick.net,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-24T11:56:03Z,2023-07-17T11:56:02Z,CN=*.g.doubleclick.net,*.g.doubleclick.net,,media.admob.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,7537813f9cec62d62aeeb713a1d681b1,60265b3d3be43ac96f8f845506ba2d564b975a23d4b654ac18c63f2efaac49d0,True,ctls,cm.g.doubleclick.net,443,https://cm.g.doubleclick.net:443/pixel,https,image/png,GET,216.58.212.162,/pixel,302920777,216.58.212.162,HTTP/3,4,False,HTTP server (unknown),,,,,
https://collect.tealiumiq.com,,404,,AS16509,AS16509,Unknown,18.200.0.0/14,collect.tealiumiq.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-02-10T00:00:00Z,2023-09-23T23:59:59Z,CN=*.tealiumiq.com,*.tealiumiq.com,,*.tealiumiq.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,7325d56433676c626847e5a84a787481,8fe1f20d4225ee1ab48dbe50414dbba7893c60be75683b30482271d6dba2f354,True,ctls,collect.tealiumiq.com,443,https://collect.tealiumiq.com:443,https,,GET,18.195.244.250,/,-594459653,18.156.101.241,,1,False,,,,,,
https://connect.facebook.net,Facebook,200,15691,AS32934,FACEBOOK,US,157.240.192.0/18,m.facebook.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-16T00:00:00Z,2023-05-17T23:59:59Z,"CN=*.facebook.com, O=Meta Platforms\, Inc., L=Menlo Park, ST=California, C=US",*.facebook.com,"Meta Platforms, Inc.",messenger.com,"CN=DigiCert SHA2 High Assurance Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 High Assurance Server CA,DigiCert Inc,5110802e765750624ab3d6785aeec848,e17a08756c6cfcd9128edfa651b071c72c0a753718d5415ccf67041f068f4637,True,ctls,m.facebook.com,443,https://connect.facebook.net:443,https,application/vnd.wap.xhtml+xml,GET,157.240.253.1,/,142313513,2a03:2880:f083:100:face:b00c:0:3,HTTP/3,2,False,,https://m.facebook.com/cookie/consent_prompt/?next_uri=https%3A%2F%2Fm.facebook.com%2F&refsrc=deprecated&_rdr,,,,
https://d6tizftlrpuof.cloudfront.net,,403,243,AS16509,AMAZON-02,US,52.222.192.0/20,d6tizftlrpuof.cloudfront.net,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-12-08T00:00:00Z,2023-12-07T23:59:59Z,CN=*.cloudfront.net,*.cloudfront.net,,*.cloudfront.net,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,3ce77498ac0d9db2c0fbac4ace488223,0e61dc9128a6d01c3583e46cb871e9590ca7636f3b394e60b910fdb249e90465,True,ctls,d6tizftlrpuof.cloudfront.net,443,https://d6tizftlrpuof.cloudfront.net:443,https,application/xml,GET,52.222.206.40,/,194950260,52.222.206.22,Amazon Web Services,2,False,AmazonS3,,,cloudfront,True,
https://d6tizftlrpuof.cloudfront.net/live/,,200,,AS16509,AMAZON-02,US,52.222.192.0/20,d6tizftlrpuof.cloudfront.net,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-12-08T00:00:00Z,2023-12-07T23:59:59Z,CN=*.cloudfront.net,*.cloudfront.net,,*.cloudfront.net,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,3ce77498ac0d9db2c0fbac4ace488223,0e61dc9128a6d01c3583e46cb871e9590ca7636f3b394e60b910fdb249e90465,True,ctls,d6tizftlrpuof.cloudfront.net,443,https://d6tizftlrpuof.cloudfront.net:443/live/,https,binary/octet-stream,GET,52.222.206.40,/live/,-714399733,52.222.206.22,Amazon Web Services,1,False,AmazonS3,,,cloudfront,True,
https://dc.ads.linkedin.com/collect,,200,43,AS8068,MICROSOFT-CORP-MSN-AS-BLOCK,US,13.107.42.0/23,dc.ads.linkedin.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-03-07T00:00:00Z,2023-09-07T23:59:59Z,"CN=www.linkedin.com, O=LinkedIn Corporation, L=Sunnyvale, ST=California, C=US",www.linkedin.com,LinkedIn Corporation,www.linkedin-measure.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,7eb3cbac015363672717f482f365b968,06a0e72c9d2e7adc582c43dce02611f8552d976ef1f1674a0e46ad1af1c32865,,ctls,dc.ads.linkedin.com,443,https://dc.ads.linkedin.com:443/collect,https,image/gif,GET,13.107.42.14,/collect,1711602358,2620:1ec:21::14,,1,False,,,,,,
https://dc.ads.linkedin.com/collect/,,200,43,AS8068,MICROSOFT-CORP-MSN-AS-BLOCK,US,13.107.42.0/23,dc.ads.linkedin.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-03-07T00:00:00Z,2023-09-07T23:59:59Z,"CN=www.linkedin.com, O=LinkedIn Corporation, L=Sunnyvale, ST=California, C=US",www.linkedin.com,LinkedIn Corporation,www.linkedin-measure.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,7eb3cbac015363672717f482f365b968,06a0e72c9d2e7adc582c43dce02611f8552d976ef1f1674a0e46ad1af1c32865,,ctls,dc.ads.linkedin.com,443,https://dc.ads.linkedin.com:443/collect/,https,image/gif,GET,13.107.42.14,/collect/,1711602358,2620:1ec:21::14,,1,False,,,,,,
https://dev.visualwebsiteoptimizer.com/,,200,,AS396982,GOOGLE-CLOUD-PLATFORM,US,34.98.128.0/21,dev.visualwebsiteoptimizer.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-07-04T07:32:57Z,2023-08-05T07:32:57Z,CN=*.visualwebsiteoptimizer.com,*.visualwebsiteoptimizer.com,,visualwebsiteoptimizer.com,"CN=Starfield Secure Certificate Authority - G2, OU=http://certs.starfieldtech.com/repository/, O=Starfield Technologies\, Inc., L=Scottsdale, ST=Arizona, C=US",Starfield Secure Certificate Authority - G2,"Starfield Technologies, Inc.",1d0cce48350144d814d9da37760563b9,9170675382f69c270d50814326267aaadd14dda14efff2978a37c3359543abbe,True,ctls,dev.visualwebsiteoptimizer.com,443,https://dev.visualwebsiteoptimizer.com:443,https,application/javascript,GET,34.96.102.137,/,-1840324437,34.96.102.137,HTTP/3,1,False,gfra1,,,google,True,
https://downloads.intercomcdn.com,,403,,AS16509,AS16509,Unknown,15.197.128.0/17,downloads.intercomcdn.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-23T00:00:00Z,2023-09-06T23:59:59Z,CN=intercom-attachments-10.com,intercom-attachments-10.com,,*.intercom-attachments-7.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,d3d2f4a6ae27e9d4c6a67adab61f8aca,5897dfc2c4baf6d2d58fa6918fddab15cc174783db2bfee9931f07fbb2ba7e43,True,ctls,downloads.intercomcdn.com,443,https://downloads.intercomcdn.com:443,https,text/html,GET,15.197.143.135,/,-1840324437,3.33.152.127,Nginx,1,False,nginx,,fonts.intercomcdn.com,,,
https://fast.wistia.net,Sign in to your Wistia account,200,7159,AS54113,FASTLY,US,151.101.8.0/22,auth.wistia.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-01-31T00:00:00Z,2024-02-29T23:59:59Z,CN=*.wistia.com,*.wistia.com,,wistia.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,2c9abe91ca067cc6704840d4dd3ed0ab,efed0a3cb3b70c0d3eee3bcb7a563412d55d3249f4f404c0b75bd943e1216e1e,True,ctls,auth.wistia.com,443,https://fast.wistia.net:443,https,text/html,GET,151.101.2.110,/,837614330,2a04:4e42:600::622,HSTS,130,False,,https://auth.wistia.com/session/new?app=wistia,,fastly,True,
https://googleads.g.doubleclick.net,Enterprise Advertising & Analytics Solutions - Google Marketing Platform,200,128610,AS15169,GOOGLE,US,142.250.0.0/15,marketingplatform.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-24T11:56:06Z,2023-07-17T11:56:05Z,CN=*.google.com,*.google.com,,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ccf98682d60d9e7ef59d3d2493cd2a21,190dea597b07fed314c500a17b16b54a5b1cd3646bd078459020b1653ba147d7,True,ctls,marketingplatform.google.com,443,https://googleads.g.doubleclick.net:443,https,text/html,GET,142.250.185.226,/,-1184133586,2a00:1450:4001:827::2002,HTTP/3,2179,False,sffe,https://marketingplatform.google.com/about/enterprise/,https://csp.withgoogle.com/csp/uxe-owners-acl/marketing_platform,,,
https://googleads.g.doubleclick.net/pagead/viewthroughconversion/,,200,42,AS15169,GOOGLE,US,142.250.0.0/15,www.google.de,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-24T12:00:50Z,2023-07-17T12:00:49Z,CN=www.google.de,www.google.de,,www.google.de,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,25fe1e432bdb79fc74e400be19163532,f37766b60ae58a56d0bc0d622aeccde139be4a1101d41dfe1343b89cdd271009,,ctls,www.google.de,443,https://googleads.g.doubleclick.net:443/pagead/viewthroughconversion/,https,image/gif,GET,142.250.185.226,/pagead/viewthroughconversion/,-1184133586,2a00:1450:4001:827::2002,HTTP/3,1,False,cafe,https://www.google.de/pagead/1p-user-list/?is_vtc=1&random=3779753283&ipr=y,,,,
https://heatmap.visualwebsiteoptimizer.com,,200,8,AS396982,GOOGLE-CLOUD-PLATFORM,US,34.110.0.0/19,heatmap.visualwebsiteoptimizer.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-07-04T07:32:57Z,2023-08-05T07:32:57Z,CN=*.visualwebsiteoptimizer.com,*.visualwebsiteoptimizer.com,,visualwebsiteoptimizer.com,"CN=Starfield Secure Certificate Authority - G2, OU=http://certs.starfieldtech.com/repository/, O=Starfield Technologies\, Inc., L=Scottsdale, ST=Arizona, C=US",Starfield Secure Certificate Authority - G2,"Starfield Technologies, Inc.",1d0cce48350144d814d9da37760563b9,9170675382f69c270d50814326267aaadd14dda14efff2978a37c3359543abbe,True,ctls,heatmap.visualwebsiteoptimizer.com,443,https://heatmap.visualwebsiteoptimizer.com:443,https,text/html,GET,34.107.191.254,/,-780928015,34.107.191.254,HTTP/3,1,False,Apache,,,google,True,
