new,host,a,soa,status_code,ns,mx,txt,caa,cname,aaaa,cdn,cdn-name,has_internal_ips,internal_ips
[x],m.sb-onetrader.danskebank.com,"212.93.38.47, 212.93.47.47","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],m.sb-onetrader.danskebank.dk,"212.93.38.47, 212.93.47.47","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],mailin.danskebank.com,212.93.39.125,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,v=spf1 -all,,,,,,,
[x],mailin.syst.danskebank.com,,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,"mailin1.syst.danskebank.com, mailin2.syst.danskebank.com",v=spf1 include:syst.danskebank.com -all,,,,,,,
[x],mailin1.syst.danskebank.com,185.218.229.7,,NOERROR,,,,,,,,,,
[x],mailin2.syst.danskebank.com,185.218.230.7,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,v=spf1 -all,,,,,,,
[x],mailin3.danskebank.com,212.93.49.133,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],mailin3.syst.danskebank.com,212.93.49.144,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],mam.danskebank.com,185.218.228.27,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],markets.danskebank.com,"212.93.59.169, 212.93.61.169","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],mb.danskebank.dk,"212.93.59.152, 212.93.61.152","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],mcm.danskebank.dk,212.93.39.222,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,"pdns109.ultradns.com, pdns109.ultradns.net, pdns109.ultradns.biz, pdns109.ultradns.org",,,,,,,,,
[x],mcmsyst.danskebank.dk,212.93.39.224,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],meeting-acts02.danskebank.com,185.218.228.41,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],meeting.danskebank.com,"212.93.59.85, 212.93.61.85","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],meeting02.danskebank.com,185.218.228.20,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],meeting03.danskebank.com,185.218.228.21,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],meeting04.danskebank.com,185.218.228.22,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],mitid-broker.danskebank.com,"212.93.38.107, 212.93.47.107","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],mlauth.danskebank.dk,212.93.36.125,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],mobil.danskebank.dk,"212.93.38.26, 212.93.47.26","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],mobilelife-api.danskebank.com,212.93.34.185,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],mobilepaypos.danskebank.dk,"212.93.61.150, 212.93.59.150","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],mobilepaypos2.danskebank.dk,"212.93.61.164, 212.93.59.164","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],mobilepaypos3.danskebank.dk,212.93.46.5,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],mobilepayws.danskebank.dk,"212.93.61.31, 212.93.59.31","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,"pdns109.ultradns.com, pdns109.ultradns.net, pdns109.ultradns.biz, pdns109.ultradns.org",,,,,,,,,
[x],mobiltdankort.danskebank.dk,"212.93.61.69, 212.93.59.69","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,"pdns109.ultradns.com, pdns109.ultradns.net, pdns109.ultradns.biz, pdns109.ultradns.org",,,,,,,,,
[x],ms-omb.danskebank.dk,"212.93.61.150, 212.93.59.150","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,"pdns109.ultradns.com, pdns109.ultradns.net, pdns109.ultradns.biz, pdns109.ultradns.org",,,,,,,,,
[x],myprofile.danskebank.dk,"212.93.47.54, 212.93.38.54","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],ne-housing-services.danskebank.com,"212.93.47.94, 212.93.38.94","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],netbank2.danskebank.dk,"212.93.59.70, 212.93.61.70","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],new-customer-api.danskebank.dk,"212.93.47.89, 212.93.38.89","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],new-customer.danskebank.dk,204.74.99.100,,NOERROR,"pdns109.ultradns.com, pdns109.ultradns.net, pdns109.ultradns.biz, pdns109.ultradns.org",,,,,,,,,
[x],news.danskebank.dk,"159.135.149.37, 52.211.138.63","ns-100.awsdns-12.com, awsdns-hostmaster.amazon.com",NOERROR,"ns-100.awsdns-12.com, ns-1425.awsdns-50.org, ns-1632.awsdns-12.co.uk, ns-662.awsdns-18.net",mx.anpdm.com,v=spf1 mx include:_spf.anpdm.com -all,,customlink.anpdm.com,,,,,
[x],nicebot.danskebank.com,20.73.199.134,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],nordania.danskebank.dk,"212.93.47.53, 212.93.38.53","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],nreuoizqfy26x9q.danskebank.com,212.93.45.49,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],ny-kunde.danskebank.dk,"212.93.47.129, 212.93.38.129","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],obp-auth-az23.danskebank.com,"212.93.61.188, 212.93.59.188","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],obp-auth.danskebank.com,"212.93.59.188, 212.93.61.188","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],obp-data-az23.danskebank.com,"212.93.61.189, 212.93.59.189","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],obp-web.danskebank.com,"212.93.61.2, 212.93.59.2",,NOERROR,,,,,,,,,,
[x],onetrader.danskebank.com,"212.93.61.169, 212.93.59.169","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],onetrader.danskebank.dk,"212.93.59.169, 212.93.61.169","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],onlineinfo.danskebank.dk,212.93.35.90,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],oos-sf.danskebank.com,185.218.228.33,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,"pdns109.ultradns.com, pdns109.ultradns.net, pdns109.ultradns.biz, pdns109.ultradns.org",,,,,,,,,
[x],openbanking.danskebank.com,204.74.99.100,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],partnerapi.danskebank.com,212.93.34.65,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,"pdns109.ultradns.com, pdns109.ultradns.net, pdns109.ultradns.biz, pdns109.ultradns.org",,,,,,,,,
[x],partnerapi3.danskebank.com,"212.93.47.118, 212.93.38.118","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,"pdns109.ultradns.com, pdns109.ultradns.net, pdns109.ultradns.biz, pdns109.ultradns.org",,,,,,,,,
[x],pocmcm.danskebank.dk,212.93.39.226,,NOERROR,,,,,,,,,,
[x],preprodemeeting.danskebank.dk,212.93.39.205,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],priips.danskebank.com,,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],privateapps.danskebank.com,"212.93.59.77, 212.93.61.77","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],privatebusiness.danskebank.com,"212.93.59.51, 212.93.61.51","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],privatecontact.danskebank.com,"212.93.59.22, 212.93.61.22","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,"pdns109.ultradns.com, pdns109.ultradns.net, pdns109.ultradns.biz, pdns109.ultradns.org",,,,,,,,,
[x],privatecontact.danskebank.dk,"212.93.59.22, 212.93.61.22",,NOERROR,,,,,,,,,,
[x],privatecontact17.danskebank.com,"212.93.61.22, 212.93.59.22","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],privatemobilepayservicescert.danskebank.com,"212.93.59.179, 212.93.61.179","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],privatemobilepayservicesssl.danskebank.com,"212.93.59.180, 212.93.61.180","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,"pdns109.ultradns.com, pdns109.ultradns.net, pdns109.ultradns.biz, pdns109.ultradns.org",,,,,,,,,
[x],privateservice01.danskebank.com,"212.93.59.78, 212.93.61.78","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],privateservice02.danskebank.com,"212.93.61.52, 212.93.59.52","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],privateservice03.danskebank.com,"212.93.61.162, 212.93.59.162","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],prod-mobilepayws.danskebank.dk,212.93.46.34,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],prod-www.danskebank.dk,212.93.36.130,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],psb-logon.danskebank.com,212.93.34.175,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],psd2-api.danskebank.com,"212.93.47.50, 212.93.38.50","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],psd2-mb3.danskebank.com,"212.93.59.188, 212.93.61.188","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],publicapps.danskebank.com,"212.93.61.156, 212.93.59.156","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],publication.danskebank.com,"85.222.140.6, 85.222.140.13, 85.222.140.11","dns1.p02.nsone.net, hostmaster.nsone.net",NOERROR,,,,,"publication.danskebank.com.00d1t000000qu5yeae.live.siteforce.com, n.edge2.salesforce.com, europe.edge2.salesforce.com, fra.edge2.salesforce.com",,,,,
[x],publiccontact.danskebank.com,"212.93.61.21, 212.93.59.21","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,"pdns109.ultradns.com, pdns109.ultradns.net, pdns109.ultradns.biz, pdns109.ultradns.org",,,,,,,,,
[x],publiccontact17.danskebank.com,"212.93.59.21, 212.93.61.21","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,"pdns109.ultradns.com, pdns109.ultradns.net, pdns109.ultradns.biz, pdns109.ultradns.org",,,,,,,,,
[x],publiccontact17.danskebank.dk,"212.93.59.21, 212.93.61.21","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],publicmobilepay.danskebank.com,212.93.36.163,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],publicservice01.danskebank.com,,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],qa-mobilepaypos.danskebank.dk,212.93.46.30,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],qa-mobilepaypos2.danskebank.dk,212.93.46.31,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,"pdns109.ultradns.com, pdns109.ultradns.net, pdns109.ultradns.biz, pdns109.ultradns.org",,,,,,,,,
[x],qa-mobilepaypos3.danskebank.dk,212.93.46.32,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],qa-mobilepayws.danskebank.dk,212.93.46.33,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],qwac-api4.danskebank.com,"212.93.47.147, 212.93.38.147","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],ras1.danskebank.dk,"212.93.33.144, 212.93.33.147, 212.93.33.146, 212.93.33.145","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],ras10.danskebank.dk,212.93.33.149,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],ras2.danskebank.dk,"212.93.33.149, 212.93.33.150, 212.93.33.151","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],ras3.danskebank.dk,212.93.33.144,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],ras4.danskebank.dk,212.93.33.148,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],ras5.danskebank.dk,212.93.33.147,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],ras7.danskebank.dk,212.93.33.146,,NOERROR,,,,,,,,,,
[x],ras8.danskebank.dk,212.93.33.150,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],ras9.danskebank.dk,212.93.33.145,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],rd-valuation-qa.danskebank.com,"212.93.59.7, 212.93.61.7","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],rd-valuation.danskebank.com,"212.93.61.8, 212.93.59.8",,NOERROR,"pdns109.ultradns.com, pdns109.ultradns.net, pdns109.ultradns.biz, pdns109.ultradns.org",,,,,,,,,
[x],research.danskebank.com,"212.93.59.174, 212.93.61.174","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],research.danskebank.dk,204.74.99.100,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],response.danskebank.com,"212.93.61.159, 212.93.59.159",,NOERROR,,,,,,,,,,
[x],rest-district.danskebank.com,"212.93.61.10, 212.93.59.10","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],sandbox-api.danskebank.com,212.93.34.176,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],sandbox-api1.danskebank.com,"212.93.59.130, 212.93.61.130","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],sandbox-api2.danskebank.com,"212.93.59.126, 212.93.61.126","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],sandbox-api3.danskebank.com,"212.93.38.116, 212.93.47.116","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],sandbox-api4.danskebank.com,"212.93.38.120, 212.93.47.120","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],sandbox-cl7.danskebank.com,"212.93.61.138, 212.93.59.138","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,"pdns109.ultradns.com, pdns109.ultradns.net, pdns109.ultradns.biz, pdns109.ultradns.org",,,,,,,,,
[x],sandbox-cl7.danskebank.dk,"212.93.59.138, 212.93.61.138","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],sandbox-cl8.danskebank.com,"212.93.59.139, 212.93.61.139","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],sandbox-debtregisternorway.danskebank.com,"212.93.61.220, 212.93.59.220",,NOERROR,,,,,,,,,,
[x],sandbox-obp-api.danskebank.com,"212.93.38.2, 212.93.47.2","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],sandbox-obp-auth.danskebank.com,"212.93.59.148, 212.93.61.148","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],sandbox-obp-data.danskebank.com,"212.93.59.125, 212.93.61.125","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,"pdns109.ultradns.com, pdns109.ultradns.net, pdns109.ultradns.biz, pdns109.ultradns.org",,,,,,,,,
[x],sandbox-obp-web.danskebank.com,"212.93.61.16, 212.93.59.16","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],sandbox-partnerapi3.danskebank.com,"212.93.38.117, 212.93.47.117","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],sandbox-psd2-auth.danskebank.com,"212.93.59.148, 212.93.61.148","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],sandbox-psd2-mb3.danskebank.com,"212.93.59.148, 212.93.61.148","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],sandbox-shared-logon.danskebank.com,"212.93.59.129, 212.93.61.129","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],sandbox-userapi4.danskebank.com,"212.93.38.121, 212.93.47.121","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],sandprod-mobilepaypos.danskebank.dk,212.93.46.20,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],sandprod-mobilepaypos2.danskebank.dk,212.93.46.21,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],sandprod-mobilepaypos3.danskebank.dk,212.93.46.22,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],sandprod-mobilepayws.danskebank.dk,,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],sb-onetrader.danskebank.dk,"212.93.59.140, 212.93.61.140","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],sbc2.danskebank.com,185.218.228.55,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],secure.auth.june.dk,109.68.89.126,"ns01.osl.basefarm.net, hostmaster.basefarm.net",NOERROR,,,,,secure-mobilelife-dk.signicat.cloud,,,,,
[x],securemail.danskebank.com,"212.93.59.248, 212.93.61.248","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],securereader.danskebank.com,"212.93.38.48, 212.93.47.48","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],sepa-instant-syst.danskebank.com,"212.93.61.131, 212.93.59.131","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],sf.danskebank.com,,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],shared-logon.danskebank.com,"212.93.47.8, 212.93.38.8",,NOERROR,,,,,,,,,,
[x],sip.pl.danskebank.com,"185.218.229.115, 185.218.229.114",,NOERROR,,,,,,,,,,
[x],sip.syst.danskebank.com,185.218.229.106,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],sip02.de.danskebank.com,"185.218.230.114, 185.218.230.115",,NOERROR,,,,,,,,,,
[x],smtpedge.syst.danskebank.com,,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],static-mb3.danskebank.com,,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],sunday.dk,,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],survey.danskebank.dk,,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],syndicate.danskebank.dk,"52.222.236.20, 52.222.236.121, 52.222.236.71, 52.222.236.31","ns-187.awsdns-23.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,"danske-prod.pp.issuebook.co.uk, danske.issuebook.ihsmarkit.com",,True,cloudfront,,
[x],syst-bapp-integration.danskebank.com,"212.93.45.46, 212.93.49.46","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],syst-cardgw.danskebank.com,,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],test-emm.danskebank.com,,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],test-sf.danskebank.com,212.93.34.183,,NOERROR,,,,,,,,,,
[x],test.danskebank.com,,,NOERROR,,,,"amazon.com, letsencrypt.org",,,,,,
[x],ticker.danskebank.dk,,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],tietoevryatm-pci.danskebank.com,,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],ul.danskebank.com,,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],userapi2.danskebank.com,,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],userapi4.danskebank.dk,,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],valhalla2.danskebank.dk,,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],vpn2011.danskebank.dk,,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],watermark.publication.danskebank.com,,"dns1.p05.nsone.net, hostmaster.nsone.net",NOERROR,,,,,convex-cougar-a9z1a1vx5f96m9hv57dy9zzo.herokudns.com,,,,,
[x],web.danskebank.com,,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],web.danskebank.dk,,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],webconf02.danskebank.dk,,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],webconf02.syst.danskebank.dk,,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],webpayment.danskebank.com,,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],wm.danskebank.com,,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],wm.danskebank.dk,,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],www-2.danskebank.dk,,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],www.beta.danskebank.dk,,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],www.danskebank.com,,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],www.danskebank.dk,,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],y48498.danskebank.com,,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],y48499.danskebank.com,,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],y48501.danskebank.com,,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],y75522.syst.danskebank.com,,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],z2-sf.danskebank.com,,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],z3-sf.danskebank.com,,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],z4-sf.danskebank.com,,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
