input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn_name,cdn,final_url,csp_domains_,tls_mismatched,tls_wildcard_certificate,location,tls_expired
cardadm.danskebank.com,Cards Activation - Danske Bank,200,4210,AS12483,DANSKEBANK-AS Aarhus Denmark,DK,212.93.32.0/19,cardadm.danskebank.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-03T00:47:06Z,2024-01-04T00:26:49Z,"CN=cardadm.danskebank.com, O=Danske Bank A/S, L=Copenhagen K, ST=Copenhagen, C=DK",cardadm.danskebank.com,Danske Bank A/S,cardadm.danskebank.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,f9bb4d11f9367be1266bb838d337e72d,aa0f7e13560f3b5027142bba8dc1813cac6afb6f802b32570350a83ca927cabc,ctls,cardadm.danskebank.com,80,http://cardadm.danskebank.com:80,http,Kestrel,text/html,GET,212.93.38.70,/,355682820,212.93.47.70,Microsoft ASP.NET,82,False,,,https://cardadm.danskebank.com/requests/select,,,,,
cdn.sunday.dk,,403,243,AS16509,AMAZON-02,US,18.66.102.0/24,cdn.sunday.dk,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-03T10:26:04Z,2024-02-04T10:26:03Z,"CN=cdn.sunday.dk, O=Danske Bank A/S, L=Copenhagen K, ST=Copenhagen, C=DK",cdn.sunday.dk,Danske Bank A/S,cdn.sunday.dk,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,a6a9668d1351e1172b0898f2ce7837d7,290f26c5111603176ab4befa97d6bc6de902ee8f5fcac13176596697e337716d,ctls,cdn.sunday.dk,443,https://cdn.sunday.dk:443,https,AmazonS3,application/xml,GET,18.66.97.34,/,1660714116,18.66.97.113,Amazon Web Services,2,False,cloudfront,True,,,,,,
celeb-lb-prod.danskebank.com,Celebrus 9,200,870,AS12483,DANSKEBANK-AS Aarhus Denmark,DK,212.93.32.0/19,celeb-lb-prod.danskebank.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-29T08:31:07Z,2023-07-31T08:31:06Z,"CN=celeb-lb-prod.danskebank.com, O=Danske Bank A/S, L=Copenhagen K, ST=Copenhagen, C=DK",celeb-lb-prod.danskebank.com,Danske Bank A/S,celeb-lb-prod.danskebank.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,a8085c61f9dd322ae15a44a017482c7c,514e1407622fe75f8dd751932836f509fb5b09f3221bc7eac29c6db5265ea6ba,ctls,celeb-lb-prod.danskebank.com,443,https://celeb-lb-prod.danskebank.com:443,https,,text/html,GET,212.93.38.112,/,149479534,212.93.47.112,HSTS,32,False,,,,,,,,
cem.danskebank.com,,200,541,AS26380,MASTER-7-AS,US,216.119.216.0/22,cem.danskebank.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-07-18T15:49:57Z,2023-07-18T15:49:57Z,"CN=cem.danskebank.com, OU=BIP01 SRNTZ, O=MasterCard International Incorporated, L=Waterloo, C=BE",cem.danskebank.com,MasterCard International Incorporated,cem.danskebank.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",508a4a37cf1340384b53e494c7d26437,977688f65c197fa7b11acf895c6abf6e08a4bc923d58043932ef09f9055cf77f,ctls,cem.danskebank.com,80,http://cem.danskebank.com:80,http,,text/html,GET,216.119.218.188,/,-1840324437,216.119.218.188,HSTS,13,False,,,https://cem.danskebank.com/static/public-portal-ui/login-signin-component?cobrandHost=danske&hostName=null+%28359675fb-1d2e-4a06-561a-9066%29,,,,,
cemdemo.danskebank.com,,200,541,AS26380,MASTER-7-AS,US,216.119.216.0/22,cemdemo.danskebank.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-07-18T15:50:51Z,2023-07-18T15:50:51Z,"CN=cemdemo.danskebank.com, OU=BIP01 SRNTZ, O=MasterCard International Incorporated, L=Waterloo, C=BE",cemdemo.danskebank.com,MasterCard International Incorporated,cemdemo.danskebank.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",1adaca9ea197a7665601b3f5e2387e87,da89dc3d03afc1a91bfef1898232d4147eb2b33ec41fa2f8b69ffb7615906c25,ctls,cemdemo.danskebank.com,443,https://cemdemo.danskebank.com:443,https,,text/html,GET,216.119.218.187,/,-1840324437,2607:3c00:6404:5::3a,HSTS,13,False,,,https://cemdemo.danskebank.com/static/public-portal-ui/login-signin-component?cobrandHost=danske&hostName=null+%286acc7350-2cdc-49fe-5bfa-d9f9%29,,,,,
cemdemo.danskebank.dk,,200,541,AS26380,MASTER-7-AS,US,216.119.216.0/22,cemdemo.danskebank.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-07-18T15:50:51Z,2023-07-18T15:50:51Z,"CN=cemdemo.danskebank.com, OU=BIP01 SRNTZ, O=MasterCard International Incorporated, L=Waterloo, C=BE",cemdemo.danskebank.com,MasterCard International Incorporated,cemdemo.danskebank.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",1adaca9ea197a7665601b3f5e2387e87,da89dc3d03afc1a91bfef1898232d4147eb2b33ec41fa2f8b69ffb7615906c25,ctls,cemdemo.danskebank.com,80,http://cemdemo.danskebank.dk:80,http,,text/html,GET,216.119.218.187,/,-1840324437,2607:3c00:6404:5::3a,HSTS,13,False,,,https://cemdemo.danskebank.com/static/public-portal-ui/login-signin-component?cobrandHost=danske&hostName=null+%281c7c0aa1-0963-4166-6d3c-644d%29,,,,,
certauth.fs1.danskebank.com,Not Found,404,315,AS12483,DANSKEBANK-AS Aarhus Denmark,DK,212.93.32.0/19,certauth.fs1.danskebank.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2018-09-21T07:11:07Z,2020-12-20T06:51:03Z,"CN=fs1.danskebank.com, O=Danske Bank A/S, L=Copenhagen K, ST=Copenhagen, C=DK",fs1.danskebank.com,Danske Bank A/S,fs1.danskebank.com,"CN=GlobalSign Organization Validation CA - SHA256 - G2, O=GlobalSign nv-sa, C=BE",GlobalSign Organization Validation CA - SHA256 - G2,GlobalSign nv-sa,7ebc02f4410defa5f1cf9d8ca47bd9b7,f601ad694524fe7e660772e5723b94893347b4242a172d8b3383fecc1d5027e7,ctls,certauth.fs1.danskebank.com,443,https://certauth.fs1.danskebank.com:443,https,Microsoft-HTTPAPI/2.0,text/html,GET,212.93.49.138,/,,212.93.49.138,Microsoft HTTPAPI:2.0,7,False,,,,,True,,,True
christmas.danskebank.com,403 Forbidden,403,199,AS47527,DLX-AS,DK,185.126.152.0/23,,,,,,,,,,,,,,,,,,,80,http://christmas.danskebank.com:80,http,Apache,text/html,GET,185.126.153.87,/,-855688948,185.126.153.87,Apache,8,False,,,,,,,,
cl8.danskebank.dk,,200,56,AS12483,DANSKEBANK-AS Aarhus Denmark,DK,212.93.32.0/19,cl8.danskebank.dk,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-20T16:12:48Z,2024-03-23T16:12:47Z,"CN=cl8.danskebank.com, O=Danske Bank A/S, L=Copenhagen K, ST=Copenhagen, C=DK",cl8.danskebank.com,Danske Bank A/S,cl8.danskebank.fi,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,d794b751a44f9412779323f2b5e0aae9,4463dfa722488af37674b542aef6b3cd65ace9708295b47f872debfac499c72a,ctls,cl8.danskebank.dk,443,https://cl8.danskebank.dk:443,https,unknown,text/html,GET,212.93.61.171,/,1291156236,212.93.59.171,HSTS,6,False,,,,,,,,
client-account-opening-panel.danskebank.dk,Client.Account.Opening,200,1349,AS12483,DANSKEBANK-AS Aarhus Denmark,DK,212.93.32.0/19,client-account-opening-panel.danskebank.dk,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-21T13:42:02Z,2023-12-23T13:28:52Z,"CN=client-account-opening-panel.danskebank.dk, O=Danske Bank A/S, L=Copenhagen K, ST=Copenhagen, C=DK",client-account-opening-panel.danskebank.dk,Danske Bank A/S,client-account-opening-panel.danskebank.se,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,378cb542062458b97e8f04892be0b2fe,d9b8c5f0767a59540958e96fe7ef6cbc57866aea4acb148d8046b5c6b6875ba0,ctls,client-account-opening-panel.danskebank.dk,443,https://client-account-opening-panel.danskebank.dk:443,https,nginx/1.21.4,text/html,GET,212.93.59.243,/,-1851491385,212.93.61.243,Nginx:1.21.4,12,False,,,,,,,,
connect.danskebank.com,Danske Bank Group,404,1165,AS12483,DANSKEBANK-AS Aarhus Denmark,DK,212.93.32.0/19,connect.danskebank.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-13T02:42:02Z,2024-03-16T02:24:26Z,"CN=connect.danskebank.com, O=Danske Bank A/S, L=Copenhagen K, ST=Copenhagen, C=DK",connect.danskebank.com,Danske Bank A/S,connect04.danskebank.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,a251b8250d597abfb9deeb3f7d069284,825de28bbe78e8c7a1f64cb8c1ee4c29ee5435b1a2b1d8773d830be058f5bce5,ctls,connect.danskebank.com,443,https://connect.danskebank.com:443,https,Microsoft-IIS/10.0,text/html,GET,212.93.59.134,/,-974364617,212.93.61.134,Windows Server,26,False,,,,,,,,
content-ci360.danskebank.dk,,403,243,AS20940,AKAMAI-ASN1,NL,2.20.0.0/14,content-ci360.danskebank.dk,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-19T05:51:15Z,2023-07-18T05:51:14Z,CN=content-ci360.danskebank.dk,content-ci360.danskebank.dk,,content-ci360.danskebank.dk,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,5d1d5422f2bf5f1b5946cab51ad1f669,1a434d72dfe23577b413bee1b77997d3aae73b758a782eab5f45d9f31e566a9c,ctls,content-ci360.danskebank.dk,443,https://content-ci360.danskebank.dk:443,https,AmazonS3,application/xml,GET,2.17.100.131,/,-739767036,2.17.100.136,Amazon Web Services,2,False,,,,,,,,
corporates-institutions.danskebank.com,Not Found,404,315,AS39921,"DE-RACKSPACE Frankfurt, Germany",GB,159.135.128.0/18,,,,,,,,,,,,,,,,,,,80,http://corporates-institutions.danskebank.com:80,http,Microsoft-HTTPAPI/2.0,text/html,GET,159.135.149.37,/,225052475,159.135.149.37,Microsoft HTTPAPI:2.0,7,False,,,,,,,,
csplus-district-screens.danskebank.com,Create FINVOICE,200,1465,AS12483,DANSKEBANK-AS Aarhus Denmark,DK,212.93.32.0/19,csplus-district-screens.danskebank.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-18T08:32:01Z,2024-02-19T08:24:49Z,"CN=csplus-district-screens.danskebank.pl, O=Danske Bank A/S, L=Copenhagen K, ST=Copenhagen, C=DK",csplus-district-screens.danskebank.pl,Danske Bank A/S,csplus-district-screens.danskenet.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,426b786a41599a28c2fe3cb95b0bf979,6cc8274f7651eed3e907ee03e20bf05794863b4842b663e0b75883d3c0fde9e4,ctls,csplus-district-screens.danskebank.com,443,https://csplus-district-screens.danskebank.com:443,https,nginx/1.14.0,text/html,GET,212.93.61.37,/,-431787567,212.93.59.37,Nginx:1.14.0,13,False,,,,,,,,
csplus-district-screens.danskebank.dk,Create FINVOICE,200,1465,AS12483,DANSKEBANK-AS Aarhus Denmark,DK,212.93.32.0/19,csplus-district-screens.danskebank.dk,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-18T08:42:05Z,2024-02-19T08:24:49Z,"CN=csplus-district-screens.danskebank.pl, O=Danske Bank A/S, L=Copenhagen K, ST=Copenhagen, C=DK",csplus-district-screens.danskebank.pl,Danske Bank A/S,csplus-district-screens.danskenet.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,999662b1ee7cb2a91db181d7eefb3a25,4380c87f3cf3d5db5640a35f5320d5159a5ac084b2c7966e5a3265f7b4eebfd9,ctls,csplus-district-screens.danskebank.dk,443,https://csplus-district-screens.danskebank.dk:443,https,nginx/1.14.0,text/html,GET,212.93.59.37,/,-431787567,212.93.61.37,Nginx:1.14.0,13,False,,,,,,,,
danskebank.dk,Privatkunde | Danske Bank,200,214656,AS12483,DANSKEBANK-AS Aarhus Denmark,DK,212.93.32.0/19,danskebank.dk,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-18T01:12:09Z,2023-12-20T00:48:11Z,"CN=www.danskebank.dk, O=Danske Bank A/S, L=Copenhagen K, ST=Copenhagen, C=DK",www.danskebank.dk,Danske Bank A/S,danskebank.dk,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,cbeb8243ade727e582bd900c7ba025c1,c843d43f2e9238d631c479917465182e747106cb68b8aefa8f05a6e40823b7c5,ctls,danskebank.dk,443,https://danskebank.dk:443,https,,text/html,GET,212.93.59.104,/,355682820,212.93.61.104,ZURB Foundation,2870,False,,,https://danskebank.dk/privat,maps.gstatic.com,,,,
delivery-ci360.test.danskebank.com,,404,43,AS16509,AS16509,Unknown,99.80.0.0/15,delivery-ci360.test.danskebank.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-01T00:00:00Z,2024-05-29T23:59:59Z,CN=ci-euw1.ireland.delivery.aimatch.net,ci-euw1.ireland.delivery.aimatch.net,,delivery-ci360.footbelsite-acc.rbfa.be,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,1a167f6ca18c7b09c7d3816c690f6121,242eefc68e035e21245bcd43f8e7f6d07cb6b76781929fcfdec2ead15665667d,ctls,delivery-ci360.test.danskebank.com,443,https://delivery-ci360.test.danskebank.com:443,https,Match/7643.a77b1aa6742973e91214032ea1ee90472be2a01e (i-04bdb99f5819147f2),image/gif,GET,99.80.16.99,/,960797450,54.72.27.94,,1,False,,,,,,,,
digitalsignering.danskebank.dk,Privatkunde | Danske Bank,200,214656,AS12483,DANSKEBANK-AS Aarhus Denmark,DK,212.93.32.0/19,danskebank.dk,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-18T01:12:09Z,2023-12-20T00:48:11Z,"CN=www.danskebank.dk, O=Danske Bank A/S, L=Copenhagen K, ST=Copenhagen, C=DK",www.danskebank.dk,Danske Bank A/S,danskebank.dk,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,cbeb8243ade727e582bd900c7ba025c1,c843d43f2e9238d631c479917465182e747106cb68b8aefa8f05a6e40823b7c5,ctls,danskebank.dk,443,https://digitalsignering.danskebank.dk:443,https,,text/html,GET,212.93.61.47,/,690093196,212.93.59.47,ZURB Foundation,2870,False,,,https://danskebank.dk/privat,https://energihjem.dk,,,,
district.danskebank.com,District,200,18273,AS12483,DANSKEBANK-AS Aarhus Denmark,DK,212.93.32.0/19,district.danskebank.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-27T23:17:02Z,2024-04-27T22:57:56Z,"CN=district.danskebank.com, O=Danske Bank A/S, L=Copenhagen K, ST=Copenhagen, C=DK",district.danskebank.com,Danske Bank A/S,rest-district.danskebank.se,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,397cd076f50626694135d6f5898cd152,5ec259efb3d6d87d93cbfa9ebe54f78222104ee7bff064de19a917a02b8ee47a,ctls,district.danskebank.com,443,https://district.danskebank.com:443,https,nginx,text/html,GET,212.93.59.9,/,-827746895,212.93.61.9,Nginx,277,False,,,,,,,,
download.danskebank.dk,403 Forbidden,403,202,AS12483,DANSKEBANK-AS Aarhus Denmark,DK,212.93.32.0/19,download.danskebank.dk,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-18T00:57:02Z,2023-12-20T00:48:11Z,"CN=www.danskebank.dk, O=Danske Bank A/S, L=Copenhagen K, ST=Copenhagen, C=DK",www.danskebank.dk,Danske Bank A/S,danskebank.dk,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,0f10ec113761a345e20a8993b9b40239,8cbf12e3a84f31b30342c92eeb954eb44cd0be79e6187f98844526984db27fb1,ctls,download.danskebank.dk,443,https://download.danskebank.dk:443,https,,text/html,GET,212.93.47.30,/,-366337701,212.93.38.30,HSTS,9,False,,,,,,,,
ebank.danskebank.dk,,404,21,AS12483,DANSKEBANK-AS Aarhus Denmark,DK,212.93.32.0/19,ebank.danskebank.dk,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-23T12:32:02Z,2024-02-24T12:11:46Z,"CN=ebank.danskebank.fi, O=Danske Bank A/S, L=Copenhagen K, ST=Copenhagen, C=DK",ebank.danskebank.fi,Danske Bank A/S,ebank.danskebank.se,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,50c1777f85e770a80054cce8e61d2b3c,9aeb14209936e051ef652e6ef449ac5c719a013d9fbb02d971030fb1a9228fc2,ctls,ebank.danskebank.dk,443,https://ebank.danskebank.dk:443,https,,text/plain,GET,212.93.59.223,/,-1669793162,212.93.61.223,HSTS,1,False,,,,https://ebanking2.danskebank.dk,,,,
ebanking.danskebank.dk,403 Forbidden,403,202,AS12483,DANSKEBANK-AS Aarhus Denmark,DK,212.93.32.0/19,ebanking.danskebank.dk,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-18T01:02:03Z,2023-12-20T00:48:11Z,"CN=www.danskebank.dk, O=Danske Bank A/S, L=Copenhagen K, ST=Copenhagen, C=DK",www.danskebank.dk,Danske Bank A/S,danskebank.dk,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,ff6a4aefd4c8df839466826604c12b01,375a04829b4371606a0c8f5adabbd24ae0ceaf336275fd747e2072b9245ccfa0,ctls,ebanking.danskebank.dk,443,https://ebanking.danskebank.dk:443,https,,text/html,GET,212.93.38.20,/,-366337701,212.93.47.20,HSTS,9,False,,,,,,,,
eum.danskebank.com,,404,43,AS12483,DANSKEBANK-AS Aarhus Denmark,DK,212.93.32.0/19,eum.danskebank.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-10T06:17:02Z,2023-12-12T05:57:13Z,"CN=eum.danskebank.com, O=Danske Bank A/S, L=Copenhagen K, ST=Copenhagen, C=DK",eum.danskebank.com,Danske Bank A/S,eum.danskebank.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,c34b936a988f523c3fc5b54d9d5506c4,626b30b7d79b758569c2ca02c749b7c4ef733161442bdef957ff3432733916c4,ctls,eum.danskebank.com,443,https://eum.danskebank.com:443,https,,application/json,GET,212.93.59.245,/,-2069203784,212.93.61.245,HSTS,1,False,,,,,,,,
events.danskebank.com,Landing page events.danskebank.com,200,18175,AS14618,AMAZON-AES,US,3.218.182.0/24,events.danskebank.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-01-17T08:41:08Z,2023-02-18T08:41:08Z,"CN=events.danskebank.com, O=Danske Bank A/S, L=Copenhagen K, ST=Copenhagen, C=DK",events.danskebank.com,Danske Bank A/S,events.danskebank.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,9f217a58dd5bd773c9b01e053f642ffe,b0795faeda3087d35c95deff9283ee22d9c6cac47f98759f1ec111985a0ea534,ctls,events.danskebank.com,443,https://events.danskebank.com:443,https,Apache,text/html,GET,3.212.245.166,/,1893498597,3.208.75.151,PHP,248,False,,,https://events.danskebank.com/ehome/index.php?eventid=236741&,https://*.eventscloud.com,,,,True
execution-ci360.danskebank.dk,503 Service Temporarily Unavailable,503,162,AS16509,AMAZON-02,US,13.32.132.0/24,execution-ci360.danskebank.dk,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2023-08-25T23:59:59Z,CN=execution-ci360.danskebank.dk,execution-ci360.danskebank.dk,,execution-ci360.danskebank.dk,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,c3dd96bcbd5ad9e2896b327fe37cd2b0,dc4bcb209b773a3b0d7852f79069d3681795d756eab4e5046e2d98069e2c39c1,ctls,execution-ci360.danskebank.dk,443,https://execution-ci360.danskebank.dk:443,https,awselb/2.0,text/html,GET,13.32.121.119,/,1862162275,2600:9000:2240:ce00:15:c0fb:7480:93a1,Amazon Web Services,7,False,cloudfront,True,,,,,,
financing.danskebank.dk,Danske Bank Financing,200,3466,AS12483,DANSKEBANK-AS Aarhus Denmark,DK,212.93.32.0/19,financing.danskebank.dk,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-22T11:07:02Z,2023-10-24T10:42:11Z,"CN=financing.danskebank.dk, O=Danske Bank A/S, L=Copenhagen K, ST=Copenhagen, C=DK",financing.danskebank.dk,Danske Bank A/S,financing.danskebank.se,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,6c384f4fc4cd4a3d74ab0f7706092d2c,4d4b1a43bb7bf895ccfae1758bb6caf75d12c6ea372e7af58dd48fbdd4e4ca01,ctls,financing.danskebank.dk,443,https://financing.danskebank.dk:443,https,,text/html,GET,212.93.59.29,/,1130042388,212.93.61.29,Node.js,24,False,,,,,,,,
foldermanagement.danskebank.com,FolderManagement,200,1329,AS12483,DANSKEBANK-AS Aarhus Denmark,DK,212.93.32.0/19,foldermanagement.danskebank.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-31T13:02:03Z,2024-05-01T12:38:57Z,"CN=foldermanagement.danskebank.se, O=Danske Bank A/S, L=Copenhagen K, ST=Copenhagen, C=DK",foldermanagement.danskebank.se,Danske Bank A/S,foldermanagement.danskebank.pl,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,12cd7ad85165f155cb0b4819d81a1a19,ba4148cdbecdcb60c26e535d5954277758ec8bc12f0a80e6fceea584254e497c,ctls,foldermanagement.danskebank.com,80,http://foldermanagement.danskebank.com:80,http,nginx/1.23.2,text/html,GET,212.93.59.186,/,-1851491385,212.93.61.186,Nginx:1.23.2,12,False,,,https://foldermanagement.danskebank.com/,,,,,
foldermanagement.danskebank.dk,FolderManagement,200,1329,AS12483,DANSKEBANK-AS Aarhus Denmark,DK,212.93.32.0/19,foldermanagement.danskebank.dk,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-31T12:42:04Z,2024-05-01T12:38:57Z,"CN=foldermanagement.danskebank.se, O=Danske Bank A/S, L=Copenhagen K, ST=Copenhagen, C=DK",foldermanagement.danskebank.se,Danske Bank A/S,foldermanagement.danskebank.pl,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,6fc5972686a453204f8f9edc579156a8,a980074e2fd0e785ef7e123f9eb7266512035f81889370f107071b371eb0fbe4,ctls,foldermanagement.danskebank.dk,443,https://foldermanagement.danskebank.dk:443,https,nginx/1.23.2,text/html,GET,212.93.61.186,/,-1851491385,212.93.59.186,Nginx:1.23.2,12,False,,,,,,,,
forberedelse.danskebank.dk,Mødeforberedelse,200,532,AS12483,DANSKEBANK-AS Aarhus Denmark,DK,212.93.32.0/19,forberedelse.danskebank.dk,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-05-10T07:05:58Z,2023-06-11T07:05:57Z,"CN=forberedelse.danskebank.dk, O=Danske Bank A/S, L=Copenhagen K, ST=Copenhagen, C=DK",forberedelse.danskebank.dk,Danske Bank A/S,forberedelse.danskenet.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,6af3e31fea03b38b8d86c4dadcc0a2e6,96c2aeff1265e2667200b1087c7d3300d0f7bfbae18178f03996c8b957d7a266,ctls,forberedelse.danskebank.dk,443,https://forberedelse.danskebank.dk:443,https,,text/html,GET,212.93.61.215,/,-356800302,212.93.59.215,HSTS,17,False,,,,https:,,,,
fs1.danskebank.com,Not Found,404,315,AS12483,DANSKEBANK-AS Aarhus Denmark,DK,212.93.32.0/19,fs1.danskebank.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-10T07:11:02Z,2023-09-11T07:11:01Z,"CN=fs1.danskebank.com, O=Danske Bank A/S, L=Copenhagen K, ST=Copenhagen, C=DK",fs1.danskebank.com,Danske Bank A/S,certauth.fs1.danskebank.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,3afd5a9b8c459300e2ceb26ebab7a4dc,4ef5eb011c35414c1726f9e0f595af4339f551df5df4a9c1fc28e1b70feac2a2,ctls,fs1.danskebank.com,80,http://fs1.danskebank.com:80,http,Microsoft-HTTPAPI/2.0 Microsoft-HTTPAPI/2.0,text/html,GET,212.93.59.151,/,225052475,212.93.61.151,Microsoft HTTPAPI:2.0,7,False,,,https://fs1.danskebank.com/,,,,,
