new,host,a,aaaa,cname,soa,caa,status_code,cdn,cdn-name,ns,has_internal_ips,internal_ips,mx,txt
[x],dev-licensing.nutanix.com,104.105.88.220,"2600:1408:7400:2a7::376f, 2600:1408:7400:294::376f","dev-licensing.nutanix.com.edgekey.net, e14191.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],dev-my.nutanix.com,95.101.45.166,,"dev-my.nutanix.com.edgekey.net, e14191.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],dev-portal.nutanix.com,23.222.46.128,,"dev-portal.nutanix.com.edgekey.net, e9966.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],dev-pricer.nutanix.com,,,"dev-pricer.nutanix.com.edgekey.net, e14191.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],dev-raft.nutanix.com,23.197.143.49,,"dev-raft.nutanix.com.edgekey.net, e14191.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],dev-usage-api.nutanix.com,"2.16.187.105, 2.16.187.56","2a02:26f0:3100::1735:2b61, 2a02:26f0:3100::1735:2b70","dev-usage-api.nutanix.com.edgekey.net, e26240.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],dev.beam.nutanix.com,"104.18.210.56, 104.18.211.56","2606:4700::6812:d238, 2606:4700::6812:d338",ssl.readmessl.com,"jeremy.ns.cloudflare.com, dns.cloudflare.com","pki.goog; cansignhttpexchanges=yes, comodoca.com, digicert.com, letsencrypt.org",NOERROR,True,cloudflare,,,,,
[x],dev.nutanix.com,,,u6921638.wl139.sendgrid.net,"aisha.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,,,
[x],dev.saas.nutanix.com,,,,"ns-2035.awsdns-62.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,"ns-1373.awsdns-43.org, ns-2035.awsdns-62.co.uk, ns-320.awsdns-40.com, ns-895.awsdns-47.net",,,,v=spf1 ip4:198.21.4.205 ~all
[x],dev.salesportal.nutanix.com,35.231.244.204,,,"ns-1902.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,True,google,,,,,
[x],dev.test-xi-leap-readiness.nutanix.com,"10.197.28.16, 10.197.28.166",,,"ns-1796.awsdns-32.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,"ns-281.awsdns-35.com, ns-568.awsdns-07.net, ns-1500.awsdns-59.org, ns-1796.awsdns-32.co.uk",True,"10.197.28.16, 10.197.28.166",,
[x],dev.veritas.nutanix.com,"10.197.28.16, 10.197.28.166",,,"ns-345.awsdns-43.com, awsdns-hostmaster.amazon.com",,NOERROR,,,"ns-876.awsdns-45.net, ns-1229.awsdns-25.org, ns-1897.awsdns-45.co.uk, ns-345.awsdns-43.com",True,"10.197.28.16, 10.197.28.166",,
[x],developers.nutanix.com,192.146.154.112,,,"ns-1902.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
[x],dm3-ras.xlabs.nutanix.com,216.223.175.69,,,"ns-1902.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
[x],dmz.stage-xi.nutanix.com,"92.123.189.49, 92.123.189.67",,"stage-xi.nutanix.com.edgekey.net, e26240.dscb.akamaiedge.net",,,NOERROR,,,,,,,
[x],dmz.xi.nutanix.com,"95.101.74.158, 95.101.74.137","2a02:26f0:c900:9::5f65:4a89, 2a02:26f0:c900:9::5f65:4a9e","xi.nutanix.com.edgekey.net, e26240.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],dns.nutanix.com,4.30.150.26,,,"ns-1902.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
[x],docebo-callback.nutanix.com,35.227.27.253,,,"ns-1902.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,True,google,,,,,
[x],docs.epoch.nutanix.com,"185.199.110.153, 185.199.111.153, 185.199.108.153, 185.199.109.153","2606:50c0:8002::153, 2606:50c0:8000::153, 2606:50c0:8001::153, 2606:50c0:8003::153",netsil.github.io,"dns1.p05.nsone.net, hostmaster.nsone.net, ns-1622.awsdns-10.co.uk, awsdns-hostmaster.amazon.com","digicert.com, letsencrypt.org",NOERROR,,,,,,,
[x],docs.nutanix.com,192.146.154.70,,redirect.nutanix.com,"ns-1902.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
[x],downloads-staging.cloud.nutanix.com,"52.84.195.48, 52.84.195.71, 52.84.195.60, 52.84.195.90, 205.251.193.30","2600:9000:20ae:5000:11:511b:1a00:93a1, 2600:9000:20ae:2400:11:511b:1a00:93a1, 2600:9000:20ae:f000:11:511b:1a00:93a1, 2600:9000:20ae:ce00:11:511b:1a00:93a1, 2600:9000:20ae:4a00:11:511b:1a00:93a1, 2600:9000:20ae:5800:11:511b:1a00:93a1, 2600:9000:20ae:a000:11:511b:1a00:93a1, 2600:9000:20ae:1e00:11:511b:1a00:93a1, 2600:9000:5305:fe00::1",d3nomkd0jat3e0.cloudfront.net,"ns-286.awsdns-35.com, awsdns-hostmaster.amazon.com",,NOERROR,True,cloudfront,"ns-286.awsdns-35.com, ns-693.awsdns-22.net, ns-1534.awsdns-63.org, ns-1960.awsdns-53.co.uk",,,,
[x],downloads-staging.console.nutanix.com,"108.138.7.95, 108.138.7.33, 108.138.7.91, 108.138.7.82","2600:9000:2490:a600:1c:d28d:cf00:93a1, 2600:9000:2490:c200:1c:d28d:cf00:93a1, 2600:9000:2490:fe00:1c:d28d:cf00:93a1, 2600:9000:2490:dc00:1c:d28d:cf00:93a1, 2600:9000:2490:7c00:1c:d28d:cf00:93a1, 2600:9000:2490:d600:1c:d28d:cf00:93a1, 2600:9000:2490:5800:1c:d28d:cf00:93a1, 2600:9000:2490:3800:1c:d28d:cf00:93a1",d230v6tmujd8ho.cloudfront.net,"ns-833.awsdns-40.net, awsdns-hostmaster.amazon.com",,NOERROR,True,cloudfront,"ns-488.awsdns-61.com, ns-833.awsdns-40.net, ns-2016.awsdns-60.co.uk, ns-1248.awsdns-28.org",,,,
[x],downloads.console.nutanix.com,"18.66.122.52, 18.66.122.95, 18.66.122.35, 18.66.122.92",,d3ob2c2rrv2zae.cloudfront.net,"ns-364.awsdns-45.com, awsdns-hostmaster.amazon.com",,NOERROR,True,cloudfront,,,,,
[x],downloads.frame.nutanix.com,"143.204.89.92, 143.204.89.34, 143.204.89.23, 143.204.89.32",,d3atgrt46uh6hh.cloudfront.net,"ns-1941.awsdns-50.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,True,cloudfront,,,,,
[x],downloads.staging.frame.nutanix.com,"65.9.66.54, 65.9.66.64, 65.9.66.41, 65.9.66.44","2600:9000:206f:4c00:1d:88e:e580:93a1, 2600:9000:206f:9600:1d:88e:e580:93a1, 2600:9000:206f:a00:1d:88e:e580:93a1, 2600:9000:206f:2c00:1d:88e:e580:93a1, 2600:9000:206f:3000:1d:88e:e580:93a1, 2600:9000:206f:f200:1d:88e:e580:93a1, 2600:9000:206f:c00:1d:88e:e580:93a1, 2600:9000:206f:bc00:1d:88e:e580:93a1",dmgkec8cg9t3q.cloudfront.net,"ns-262.awsdns-32.com, awsdns-hostmaster.amazon.com",,NOERROR,True,cloudfront,"ns-883.awsdns-46.net, ns-1233.awsdns-26.org, ns-1825.awsdns-36.co.uk, ns-262.awsdns-32.com",,,,
[x],elevate.nutanix.com,95.100.66.77,,"elevate.nutanix.com.edgekey.net, e14191.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],emeapartnerxtribe.nutanix.com,"52.204.233.198, 34.192.229.91, 52.23.59.102",,emeanutanixpartner.influitive.com,"ns-1354.awsdns-41.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
[x],engage.nutanix.com,"104.85.249.139, 104.85.249.144","2a02:26f0:a600::b9e1:fa29, 2a02:26f0:a600::b9e1:fa42","v3gateway.folloze.com, custom-hostname.edgesuite.net, a1210.dscb.akamai.net","n0dscb.akamai.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],enterpriseenrollment.nutanix.com,20.91.147.72,,"enterpriseenrollment.manage.microsoft.com, manage-pe.trafficmanager.net, pexsucpeu03.swedencentral.cloudapp.azure.com, pexsucpeu02.westeurope.cloudapp.azure.com, pexsucpeu01.northeurope.cloudapp.azure.com","ns1-07.azure-dns.com, azuredns-hostmaster.microsoft.com, ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,True,azure,,,,,
[x],epoch.nutanix.com,,,,"ns-1660.awsdns-15.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
[x],eu-west-2.dev-xi.nutanix.com,,,,"ns-1745.awsdns-26.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
[x],eu-west-2.stage-xi.nutanix.com,"95.101.74.158, 95.101.74.137","2a02:26f0:c900:9::5f65:4a9e, 2a02:26f0:c900:9::5f65:4a89","stage-xi.nutanix.com.edgekey.net, e26240.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],eu-west-2.xi.nutanix.com,"23.61.11.175, 23.61.11.184","2600:1408:7400::17de:4ff3, 2600:1408:7400::17de:4fa9","xi.nutanix.com.edgekey.net, e26240.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],event-exchangedns.xi.nutanix.com,"2.17.100.224, 2.17.100.152","2a02:26f0:ab00::214:8e70, 2a02:26f0:ab00::214:8e48","xi.nutanix.com.edgekey.net, e26240.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],event.nutanix.com,54.84.134.174,,,"ns-1902.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
[x],events.nutanix.com,"44.237.96.3, 34.216.185.121, 44.238.221.146",,ingress4.prd.rainfocus.com,"ns-931.awsdns-52.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
[x],fa-dev.nutanix.com,95.100.66.77,,"fa.nutanix.com.edgekey.net, e14191.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],feedback-api-green.nutanix.com,104.102.35.93,,"feedback-api-green.nutanix.com.edgekey.net, e9966.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],feedback-api.nutanix.com,23.199.211.98,,"feedback-api.nutanix.com.edgekey.net, e9966.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],flow.nutanix.com,"108.138.7.55, 108.138.7.88, 108.138.7.83, 108.138.7.65",,,"ns-538.awsdns-03.net, awsdns-hostmaster.amazon.com",,NOERROR,True,cloudfront,,,,,
[x],fp-callback.nutanix.com,35.229.89.136,,,"ns-1902.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,True,google,,,,,
[x],fra02-prd-esx-01a.xi.nutanix.com,"95.101.74.137, 95.101.74.158","2a02:26f0:c900:9::5f65:4a9e, 2a02:26f0:c900:9::5f65:4a89","xi.nutanix.com.edgekey.net, e26240.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],frame-repository-prod.frame.nutanix.com,10.253.8.240,,,"ns-335.awsdns-41.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,True,10.253.8.240,,
[x],frame-repository-staging.staging.frame.nutanix.com,10.253.8.60,,,"ns-625.awsdns-14.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,True,10.253.8.60,,
[x],frame-rsyslog-prod.frame.nutanix.com,10.224.44.64,,,"ns-335.awsdns-41.com, awsdns-hostmaster.amazon.com",,NOERROR,,,"ns-1125.awsdns-12.org, ns-2043.awsdns-63.co.uk, ns-335.awsdns-41.com, ns-628.awsdns-14.net",True,10.224.44.64,,
[x],frame.nutanix.com,"44.215.82.39, 52.200.151.81, 54.81.63.74",,,"ns-335.awsdns-41.com, awsdns-hostmaster.amazon.com",,NOERROR,,,"ns-1125.awsdns-12.org, ns-2043.awsdns-63.co.uk, ns-335.awsdns-41.com, ns-628.awsdns-14.net",,,"mxa.mailgun.org, mxb.mailgun.org",
[x],frontline-blue.nutanix.com,"23.213.161.207, 23.213.161.208",,"frontline-blue.nutanix.com.edgekey.net, e26240.dscb.akamaiedge.net",,,NOERROR,,,,,,,
[x],frontline-green.nutanix.com,"95.101.74.137, 95.101.74.158","2a02:26f0:c900:9::5f65:4a9e, 2a02:26f0:c900:9::5f65:4a89","frontline-green.nutanix.com.edgekey.net, e26240.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],frontline-uat-blue.nutanix.com,"104.71.130.57, 104.71.130.33","2600:1408:7400::17de:4ff3, 2600:1408:7400::17de:4fa9","frontline-uat-blue.nutanix.com.edgekey.net, e26240.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],frontline-uat-green.nutanix.com,"2.17.100.152, 2.17.100.224","2a02:26f0:ab00::214:8e48, 2a02:26f0:ab00::214:8e70","frontline-uat-green.nutanix.com.edgekey.net, e26240.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],frontline-uat.nutanix.com,"2.17.100.152, 2.17.100.224",,"frontline-uat.nutanix.com.edgekey.net, e26240.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],frontline.nutanix.com,"95.101.74.158, 95.101.74.137",,"frontline.nutanix.com.edgekey.net, e26240.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],ftp.nutanix.com,192.146.155.27,,,"ns-1902.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
[x],gateway-external-api-staging.console.nutanix.com,"80.239.254.36, 95.101.133.64","2001:2030:0:17::50ef:fe24, 2001:2030:0:17::5f65:8540","staging.console.nutanix.com.edgekey.net, e28941.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],gateway-external-api.cloud.nutanix.com,23.36.239.36,"2a02:26f0:1700:19d::181c, 2a02:26f0:1700:18f::181c","cloud.nutanix.com.edgekey.net, e6172.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],gateway-external-api.console.nutanix.com,"2.17.100.147, 2.17.100.251","2a02:26f0:7100::210:11b, 2a02:26f0:7100::210:152","console.nutanix.com.edgekey.net, e28784.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],gcp-v1-ftpmirror-my-oceania.xi.nutanix.com,"2.16.187.56, 2.16.187.105","2a02:26f0:3100::1735:2b61, 2a02:26f0:3100::1735:2b70","xi.nutanix.com.edgekey.net, e26240.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],go.nutanix.com,"104.17.70.206, 104.17.72.206, 104.17.71.206, 104.17.74.206, 104.17.73.206",,"nutanix.mktoweb.com, sjh.mktossl.com","bart.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,,,,,
[x],gp.nutanix.com,192.146.155.4,,rno-gpp.nutanix.com,"ns-1902.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
[x],grafana-prod.cloud-internal.nutanix.com,10.246.11.157,,,"ns-1502.awsdns-59.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,True,10.246.11.157,,
[x],grafana-prod.frame.nutanix.com,10.224.44.118,,,"ns-335.awsdns-41.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,True,10.224.44.118,,
[x],grafana-staging.staging.frame.nutanix.com,10.228.44.150,,,"ns-625.awsdns-14.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,True,10.228.44.150,,
[x],groups.nutanix.com,142.250.185.83,2a00:1450:4001:80e::2013,ghs.google.com,"ns1.google.com, dns-admin.google.com",,NOERROR,,,,,,,
[x],gsp57-apse1a-siriv2.xi.nutanix.com,"2.20.142.17, 2.20.143.80","2a02:26f0:e8::6856:6ec1, 2a02:26f0:e8::6856:6ec2","xi.nutanix.com.edgekey.net, e26240.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],hackathon.nutanix.com,"44.214.80.212, 54.84.22.157",,ssl2.brightidea.com,"ns-647.awsdns-16.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
[x],haproxy2-score-bc-wdc04-p4.xi.nutanix.com,"2.17.100.152, 2.17.100.224","2a02:26f0:ab00::214:8e70, 2a02:26f0:ab00::214:8e48","xi.nutanix.com.edgekey.net, e26240.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],hclgp.nutanix.com,,,,"ns-1902.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
[x],hello.nutanix.com,52.37.107.41,,,"ns-1902.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,smtp.siftrock.com,v=spf1 include:mktomail.com ~all
[x],helper-stage.nutanix.com,192.146.154.40,,,"ns-1902.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
[x],helper.nutanix.com,192.146.154.41,,,,,NOERROR,,,,,,,
[x],hi.epoch.nutanix.com,35.244.137.189,,prod-cloud.epoch.nutanix.com,"ns-1660.awsdns-15.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,True,google,,,,,
[x],honeywell.epoch.nutanix.com,35.244.137.189,,prod-cloud.epoch.nutanix.com,"ns-1660.awsdns-15.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,True,google,,,,,
[x],hosted.nutanix.com,66.70.4.73,,poc1.nutanix.com,"ns-1902.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
[x],hostedpoc.nutanix.com,66.151.134.230,,,"ns-1902.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
[x],iam-user-authn-loginflag.us-west-dev.iam.xi.nutanix.com,,,,,,NOERROR,,,,,,,
[x],iam.testdrive.nutanix.com,34.105.44.34,,,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,True,google,,,,,
[x],idp-rnd.nutanix.com,"80.239.150.51, 80.239.150.65",,"idp-rnd.nutanix.com.edgekey.net, e26240.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],idp-test.nutanix.com,,,"idp-test.nutanix.com.edgekey.net, e26240.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],idp.nutanix.com,104.88.29.162,,"idp.nutanix.com.edgekey.net, e14191.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],idp1.nutanix.com,54.241.24.126,,,"ns-1902.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
[x],imap.nutanix.com,"64.233.167.108, 64.233.167.109","2a00:1450:400c:c00::6c, 2a00:1450:400c:c00::6d",imap.gmail.com,"ns1.google.com, dns-admin.google.com",,NOERROR,,,,,,,
[x],img-external-api-devtest.dev.frame.nutanix.com,54.83.58.104,,,"ns-1036.awsdns-01.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
[x],img-external-api-prod.cloud-internal.nutanix.com,"34.206.191.109, 54.204.186.71",,prod-img-external-1082685351.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
[x],img-external-api-prod.frame.nutanix.com,"3.232.99.193, 3.84.166.110",,prod-img-external-1931132439.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
[x],img-staging.console.nutanix.com,"95.101.74.149, 95.101.74.143","2a02:26f0:c900:9::5f65:4a95, 2a02:26f0:c900:9::5f65:4a8f","staging.console.nutanix.com.edgekey.net, e28941.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],img.cloud-internal.nutanix.com,"34.206.191.109, 54.204.186.71",,,"ns-1502.awsdns-59.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
[x],img.cloud.nutanix.com,23.36.239.36,"2a02:26f0:1700:19d::181c, 2a02:26f0:1700:18f::181c","cloud.nutanix.com.edgekey.net, e6172.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],img.staging.frame.nutanix.com,"54.87.241.11, 54.157.216.57",,,"ns-625.awsdns-14.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
[x],info.nutanix.com,"104.17.73.206, 104.17.71.206, 104.17.72.206, 104.17.74.206, 104.17.70.206",,mkto-h0163.com,"ns1.marketo.com, ops.localhost",,NOERROR,True,cloudflare,"ns1.marketo.com, ns2.mktdns.com",,,,
[x],insights.xi.nutanix.com,,,,"ns-1503.awsdns-59.org, awsdns-hostmaster.amazon.com",,NOERROR,,,"ns-106.awsdns-13.com, ns-1503.awsdns-59.org, ns-1544.awsdns-01.co.uk, ns-998.awsdns-60.net",,,,
[x],insights001.nutanix.com,206.169.130.226,,,"ns-1902.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
[x],insights3.nutanix.com,206.169.130.226,,,"ns-1902.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
[x],install.nutanix.com,"52.21.7.235, 18.210.174.178",,eos-lb-1958264059.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
[x],intranet.nutanix.com,192.146.155.35,,redirect.nutanix.com,"ns-1902.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
[x],investorday.nutanix.com,"104.126.37.146, 104.126.37.170",,"nutanixinvestorday.gcs-web.com, leapfrog-ssl-54.gcs-web.com.edgekey.net, e112851.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],iot.nutanix.com,"2.17.100.224, 2.17.100.152",,,"a1-144.akam.net, hostmaster.iot.nutanix.com",,NOERROR,,,,,,,
[x],ip-153-62.xi.nutanix.com,"2.17.100.152, 2.17.100.224",,"xi.nutanix.com.edgekey.net, e26240.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],iris.epoch.nutanix.com,35.244.137.189,,prod-cloud.epoch.nutanix.com,"ns-1660.awsdns-15.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,True,google,,,,,
[x],jenkins-api.cloud-internal.nutanix.com,"52.54.142.142, 54.86.223.140",,security-jenkins-webhook-elb-344648394.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
[x],jenkins.cloud-internal.nutanix.com,10.246.1.21,,,"ns-1502.awsdns-59.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,True,10.246.1.21,,
[x],jira-it-test.nutanix.com,192.146.155.50,,,"ns-1902.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
[x],jira-saas.nutanix.com,192.146.154.60,,,"ns-1902.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
[x],jira.nutanix.com,192.146.154.102,,,"ns-1902.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
[x],jiradev-partners.nutanix.com,192.146.154.103,,,"ns-1902.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
[x],jiradr.nutanix.com,192.146.155.54,,,"ns-1902.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
[x],jiratest.nutanix.com,192.146.155.48,,,"ns-1902.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
[x],jobs.nutanix.com,192.146.155.35,,redirect.nutanix.com,"ns-1902.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
[x],joinxtribe.nutanix.com,192.146.155.35,,redirect.nutanix.com,"ns-1902.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
[x],kb.nutanix.com,192.146.154.70,,redirect.nutanix.com,"ns-1902.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
[x],kibana.insights.nutanix.com,"54.201.75.127, 54.188.18.22, 54.212.155.242",,ops-alb-456971089.us-west-2.elb.amazonaws.com,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
[x],kottonyofficial.xi.nutanix.com,"2.16.187.105, 2.16.187.56","2a02:26f0:3100::1735:2b70, 2a02:26f0:3100::1735:2b61","xi.nutanix.com.edgekey.net, e26240.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],lab-vpn.nutanix.com,66.151.134.243,,,"ns-1902.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
[x],labs.dev-xi.nutanix.com,10.41.28.115,,,"ns-1745.awsdns-26.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,True,10.41.28.115,,
[x],leap-events.epoch.nutanix.com,34.107.207.74,,,"ns-1660.awsdns-15.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,True,google,,,,,
[x],leap-events.xi.nutanix.com,"205.251.193.187, 205.251.195.79, 205.251.196.70, 205.251.199.39",,,"ns-443.awsdns-55.com, awsdns-hostmaster.amazon.com",,NOERROR,,,"ns-443.awsdns-55.com, ns-1831.awsdns-36.co.uk, ns-1094.awsdns-08.org, ns-847.awsdns-41.net",,,,
[x],leap.xi-rposizer.nutanix.com,"18.67.65.37, 18.67.65.22, 18.67.65.54, 18.67.65.46","2600:9000:2269:2400:4:fd52:cb00:93a1, 2600:9000:2269:8200:4:fd52:cb00:93a1, 2600:9000:2269:9400:4:fd52:cb00:93a1, 2600:9000:2269:2e00:4:fd52:cb00:93a1, 2600:9000:2269:8600:4:fd52:cb00:93a1, 2600:9000:2269:4000:4:fd52:cb00:93a1, 2600:9000:2269:1800:4:fd52:cb00:93a1, 2600:9000:2269:9000:4:fd52:cb00:93a1",,"ns-435.awsdns-54.com, awsdns-hostmaster.amazon.com",,NOERROR,True,cloudfront,,,,,
[x],learningacademy.nutanix.com,104.88.29.162,"2001:2030:4e:b0::376f, 2001:2030:4e:80::376f","learningacademy.nutanix.com.edgekey.net, e14191.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
