new,host,a,ns,status_code,soa,aaaa,cname,txt,cdn,cdn-name,mx,has_internal_ips,internal_ips,caa
[x],elm-200-96.dnsecho.opera.com,192.29.200.168,"h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net, h11-09-08.opera-mini.net",NOERROR,,,,,,,,,,
[x],elm-203-9.beta.opera-mini.net,82.145.211.252,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],emes-proxy.dnsecho.opera.com,74.125.187.133,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],emico.dnsecho.opera.com,84.200.70.40,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],en0-3-5-7.beta.opera-mini.net,82.145.211.250,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],engenhariaeetc.dnsecho.opera.com,176.56.185.248,"h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net, h11-09-08.opera-mini.net",NOERROR,,,,,,,,,,
[x],engineering-ip-git.dnsecho.opera.com,84.200.69.80,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],engineering-privateapps-uat.dnsecho.opera.com,,,NOERROR,,,,,,,,,,
[x],engineeringarolium.dnsecho.opera.com,,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],engineeringbucket-data-stagingdefaultproduction.dnsecho.opera.com,74.63.24.239,"h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net, h11-09-08.opera-mini.net",NOERROR,,,,,,,,,,
[x],engineeringcachetemp-vpnintegrationarchivecorp.dnsecho.opera.com,95.179.253.118,"n14-10-08.opera-mini.net, n15-10-07.opera-mini.net, h11-09-08.opera-mini.net, h14-04-06.opera-mini.net",NOERROR,,,,,,,,,,
[x],engineeringioclients-stats-corp.dnsecho.opera.com,5.45.234.201,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],engineeringpreferences-a172-227-103-8.beta.opera-mini.net,185.26.181.237,"n15-10-07.opera-mini.net, h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net",NOERROR,,,,,,,,,,
[x],engineeringpreferences-teamuploads-v1-web.dnsecho.opera.com,,"h14-04-06.opera-mini.net, n15-10-07.opera-mini.net, h11-09-08.opera-mini.net, n14-10-08.opera-mini.net",NOERROR,,,,,,,,,,
[x],engineeringteam-temp-redirect-eurepository-postgresmx.dnsecho.opera.com,,"h11-09-08.opera-mini.net, n15-10-07.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net",NOERROR,,,,,,,,,,
[x],engineeringvip.dnsecho.opera.com,156.154.77.143,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],engineeringwebservices-start-clients.dnsecho.opera.com,216.66.80.30,"h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, h11-09-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],eproxy-wc-11.beta.opera-mini.net,82.145.211.254,"n14-10-08.opera-mini.net, n15-10-07.opera-mini.net, h11-09-08.opera-mini.net, h14-04-06.opera-mini.net",NOERROR,,,,,,,,,,
[x],epsilon-110-95.dnsecho.opera.com,,,NOERROR,,,,,,,,,,
[x],erpprdws.dnsecho.opera.com,156.154.76.145,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],error-customerspanel-tuk.dnsecho.opera.com,208.69.33.91,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],error-ftsam-94-5.mini5-1.opera-mini.net,82.145.209.254,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],error-status-v3engineering.dnsecho.opera.com,141.8.180.48,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],errorcmc-encoder.dnsecho.opera.com,192.29.200.168,"n15-10-07.opera-mini.net, h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net",NOERROR,,,,,,,,,,
[x],errorcorporateclients-backupconfig.dnsecho.opera.com,192.29.200.168,"n14-10-08.opera-mini.net, n15-10-07.opera-mini.net, h11-09-08.opera-mini.net, h14-04-06.opera-mini.net",NOERROR,,,,,,,,,,
[x],errorv4.dnsecho.opera.com,"205.171.9.234, 82.145.209.69, 82.145.210.27, 82.145.222.157, 82.145.222.220","n14-10-08.opera-mini.net, h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],errorvpn.dnsecho.opera.com,141.8.128.44,"n15-10-07.opera-mini.net, h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net",NOERROR,,,,,,,,,,
[x],es-forumdocker-meforumninsapi.dnsecho.opera.com,172.253.193.194,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],et-0-2-1.mini5-1.opera-mini.net,82.145.209.241,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],et-1-1-2.beta.opera-mini.net,82.145.209.242,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],et-2-2-1.beta.opera-mini.net,"82.145.209.241, 82.145.209.69, 82.145.210.27, 82.145.222.157, 82.145.222.220","h11-09-08.opera-mini.net, n15-10-07.opera-mini.net, n14-10-08.opera-mini.net, h14-04-06.opera-mini.net",NOERROR,,,,,,,,,,
[x],et-2-3-1.dnsecho.opera.com,"70.34.248.202, 82.145.209.69, 82.145.210.27, 82.145.222.157, 82.145.222.220","n15-10-07.opera-mini.net, h14-04-06.opera-mini.net, h11-09-08.opera-mini.net, n14-10-08.opera-mini.net",NOERROR,,,,,,,,,,
[x],et-3-1-1.beta.opera-mini.net,82.145.209.241,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],et-3-1-1.mini5-1.opera-mini.net,82.145.209.241,"n14-10-08.opera-mini.net, n15-10-07.opera-mini.net, h11-09-08.opera-mini.net, h14-04-06.opera-mini.net",NOERROR,,,,,,,,,,
[x],et-3-1-5.beta.opera-mini.net,82.145.209.254,"h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net, h11-09-08.opera-mini.net",NOERROR,,,,,,,,,,
[x],et-4-3-2.beta.opera-mini.net,82.145.209.242,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],et-6-1-5.beta.opera-mini.net,82.145.209.254,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],et-7-1-1.mini5-1.opera-mini.net,82.145.209.241,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],et-7-2-1.mini5-1.opera-mini.net,82.145.209.241,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],et-7-3-1.beta.opera-mini.net,185.26.181.241,"n15-10-07.opera-mini.net, h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net",NOERROR,,,,,,,,,,
[x],et-8-1-5.beta.opera-mini.net,82.145.209.254,,NOERROR,,,,,,,,,,
[x],et-8-2-2.beta.opera-mini.net,82.145.209.242,,NOERROR,,,,,,,,,,
[x],et-8-3-2.beta.opera-mini.net,82.145.209.242,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],et-9-1-2.beta.opera-mini.net,82.145.209.242,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],et-9-3-2.mini5-1.opera-mini.net,"82.145.209.242, 82.145.209.69, 82.145.210.27, 82.145.222.157, 82.145.222.220","h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],et1-9-9-7.mini5-1.opera-mini.net,82.145.211.250,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],et3-0-3-2.mini5-1.opera-mini.net,"82.145.209.242, 82.145.209.69, 82.145.210.27, 82.145.222.157, 82.145.222.220","h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net, h11-09-08.opera-mini.net",NOERROR,,,,,,,,,,
[x],et3-22-1.beta.opera-mini.net,82.145.209.241,"n15-10-07.opera-mini.net, n14-10-08.opera-mini.net, h11-09-08.opera-mini.net, h14-04-06.opera-mini.net",NOERROR,,,,,,,,,,
[x],et6-1.mini5-1.opera-mini.net,,"h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net, h11-09-08.opera-mini.net",NOERROR,,,,,,,,,,
[x],ete-0-1-1.beta.opera-mini.net,82.145.209.241,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],ete-0-1-1.dnsecho.opera.com,45.136.153.213,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],ete-1-1-2.beta.opera-mini.net,82.145.209.242,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],eth-1-2-p44.adx.opera.com,82.145.213.10,,NOERROR,"nic1.opera.com, hostmaster.opera.com",,,,,,,,,
[x],ethos-canary-ha-production1-ap-northeast-1.mini5-1.opera-mini.net,82.145.209.241,"n14-10-08.opera-mini.net, n15-10-07.opera-mini.net, h11-09-08.opera-mini.net, h14-04-06.opera-mini.net",NOERROR,,,,,,,,,,
[x],eu-central-1.bite4-cust.opera-mini.net,"82.145.209.241, 82.145.209.69, 82.145.210.27, 82.145.222.157, 82.145.222.220","n14-10-08.opera-mini.net, h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],eu-east-1.beta.opera-mini.net,82.145.209.241,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],eur-p-gen-6-126-228-10.beta.opera-mini.net,82.145.211.253,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],eur-p-gen-6-126-228-9.mini5-1.opera-mini.net,82.145.211.252,"h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net, h11-09-08.opera-mini.net",NOERROR,,,,,,,,,,
[x],eur-p-gen-6-126-59-3.beta.opera-mini.net,185.26.181.243,"h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net, h11-09-08.opera-mini.net",NOERROR,,,,,,,,,,
[x],eur-p-gen-6-126-6-12.beta.opera-mini.net,82.145.212.253,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],eur-p-gen-6-126-80-11.beta.opera-mini.net,82.145.211.254,"n14-10-08.opera-mini.net, n15-10-07.opera-mini.net, h11-09-08.opera-mini.net, h14-04-06.opera-mini.net",NOERROR,,,,,,,,,,
[x],eur-p-gen-6-126-80-11.mini5-1.opera-mini.net,82.145.211.254,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],eur-p-gen-6-126-94-3.beta.opera-mini.net,"82.145.209.243, 82.145.209.69, 82.145.210.27, 82.145.222.157, 82.145.222.220","h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],eur-p-gen-6-127-57-2.mini5-1.opera-mini.net,,,NOERROR,,,,,,,,,,
[x],eur-p-gen-6-127-92-6.mini5-1.opera-mini.net,82.145.211.249,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],eur-p-gen-6-64-23-3.mini5-1.opera-mini.net,82.145.209.243,,NOERROR,,,,,,,,,,
[x],eur-p-gen-6-64-54-10.beta.opera-mini.net,82.145.211.253,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],eur-p-gen-6-64-54-10.mini5-1.opera-mini.net,82.145.211.253,"h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, h11-09-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],euro-truck-simulator-2.beta.opera-mini.net,82.145.209.242,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],eurwbn-134-232-114-3.mini5-1.opera-mini.net,"82.145.209.243, 82.145.209.69, 82.145.210.27, 82.145.222.157, 82.145.222.220","n15-10-07.opera-mini.net, h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net",NOERROR,,,,,,,,,,
[x],eurwbn-134-232-211-2.beta.opera-mini.net,"82.145.209.242, 82.145.209.69, 82.145.210.27, 82.145.222.157, 82.145.222.220","h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net, h11-09-08.opera-mini.net",NOERROR,,,,,,,,,,
[x],eurwbn-134-232-22-11.mini5-1.opera-mini.net,82.145.211.254,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],eurwbn-134-232-62-6.beta.opera-mini.net,82.145.211.249,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],eurwbn01-134-232-158-10.beta.opera-mini.net,82.145.211.253,"n15-10-07.opera-mini.net, h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net",NOERROR,,,,,,,,,,
[x],euw-cistorebackups-www-test.dnsecho.opera.com,"70.34.248.202, 82.145.209.69, 82.145.210.27, 82.145.222.157, 82.145.222.220","n15-10-07.opera-mini.net, h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net",NOERROR,,,,,,,,,,
[x],euwe.dnsecho.opera.com,74.125.187.130,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],eventintra.dnsecho.opera.com,45.136.153.213,"h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net, h11-09-08.opera-mini.net",NOERROR,,,,,,,,,,
[x],eventsslvpn.dnsecho.opera.com,74.63.24.247,"n14-10-08.opera-mini.net, n15-10-07.opera-mini.net, h11-09-08.opera-mini.net, h14-04-06.opera-mini.net",NOERROR,,,,,,,,,,
[x],ex-artisan.dnsecho.opera.com,216.66.80.30,"h11-09-08.opera-mini.net, n15-10-07.opera-mini.net, n14-10-08.opera-mini.net, h14-04-06.opera-mini.net",NOERROR,,,,,,,,,,
[x],examplesdefaultproduction.dnsecho.opera.com,208.69.33.92,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],exchangemysqlbackups.dnsecho.opera.com,93.158.164.68,"n14-10-08.opera-mini.net, n15-10-07.opera-mini.net, h11-09-08.opera-mini.net, h14-04-06.opera-mini.net",NOERROR,,,,,,,,,,
[x],exe-0-1-4.beta.opera-mini.net,82.145.209.244,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],exe-0-1-6.beta.opera-mini.net,82.145.211.249,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],exe-0-1-8.beta.opera-mini.net,"82.145.211.251, 82.145.209.69, 82.145.210.27, 82.145.222.157, 82.145.222.220","n15-10-07.opera-mini.net, h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net",NOERROR,,,,,,,,,,
[x],exe-0-2-1.beta.opera-mini.net,82.145.209.241,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],exe-1-1-2.mini5-1.opera-mini.net,82.145.209.242,"h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net, h11-09-08.opera-mini.net",NOERROR,,,,,,,,,,
[x],exe-1-3-2.mini5-1.opera-mini.net,82.145.209.242,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],exe-2-1-1.beta.opera-mini.net,82.145.209.241,"h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net, h11-09-08.opera-mini.net",NOERROR,,,,,,,,,,
[x],exe-2-2-1.beta.opera-mini.net,82.145.209.241,"n15-10-07.opera-mini.net, h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net",NOERROR,,,,,,,,,,
[x],exe-2-3-2.mini5-1.opera-mini.net,185.26.181.242,"h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net, h11-09-08.opera-mini.net",NOERROR,,,,,,,,,,
[x],exe-6-1-1.mini5-1.opera-mini.net,"82.145.209.241, 82.145.209.69, 82.145.210.27, 82.145.222.157, 82.145.222.220","n14-10-08.opera-mini.net, h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],explorer3d.dnsecho.opera.com,84.200.69.80,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],ext5.dnsecho.opera.com,84.200.70.40,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],extended.dnsecho.opera.com,162.158.85.176,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],external-dft4-2.beta.opera-mini.net,,,NOERROR,,,,,,,,,,
[x],external-dft4-2.mini5-1.opera-mini.net,185.26.181.242,"n15-10-07.opera-mini.net, h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net",NOERROR,,,,,,,,,,
[x],externalfms1.dnsecho.opera.com,172.71.245.60,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],f1-9-9-7.beta.opera-mini.net,,,NOERROR,,,,,,,,,,
[x],f1-9-9-7.mini5-1.opera-mini.net,"82.145.211.250, 82.145.209.69, 82.145.210.27, 82.145.222.157, 82.145.222.220","h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],f10-5-10-5.beta.opera-mini.net,185.26.181.254,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],f10-5-10-5.mini5-1.opera-mini.net,82.145.209.254,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],fab3-1-gdc.dnsecho.opera.com,"70.34.248.202, 82.145.209.69, 82.145.210.27, 82.145.222.157, 82.145.222.220","n15-10-07.opera-mini.net, n14-10-08.opera-mini.net, h11-09-08.opera-mini.net, h14-04-06.opera-mini.net",NOERROR,,,,,,,,,,
[x],facc1-1.mini5-1.opera-mini.net,82.145.209.241,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],facebook-messenger-for-windows-7.beta.opera-mini.net,82.145.211.250,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],facebook-messenger-for-windows-7.mini5-1.opera-mini.net,82.145.211.250,"n15-10-07.opera-mini.net, h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net",NOERROR,,,,,,,,,,
[x],faithweb.dnsecho.opera.com,45.136.153.213,"n14-10-08.opera-mini.net, n15-10-07.opera-mini.net, h11-09-08.opera-mini.net, h14-04-06.opera-mini.net",NOERROR,,,,,,,,,,
[x],fbc-9-10-3.beta.opera-mini.net,82.145.209.243,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],fbc-9-10-3.mini5-1.opera-mini.net,"82.145.209.243, 82.145.209.69, 82.145.210.27, 82.145.222.157, 82.145.222.220","n15-10-07.opera-mini.net, h14-04-06.opera-mini.net, h11-09-08.opera-mini.net, n14-10-08.opera-mini.net",NOERROR,,,,,,,,,,
[x],fbcn12-1.mini5-1.opera-mini.net,185.26.181.241,"h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net, h11-09-08.opera-mini.net",NOERROR,,,,,,,,,,
[x],fbdj5-1.mini5-1.opera-mini.net,82.145.209.241,,NOERROR,,,,,,,,,,
[x],fbdo2-1.beta.opera-mini.net,82.145.209.241,"n15-10-07.opera-mini.net, h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net",NOERROR,,,,,,,,,,
[x],fben4-1.beta.opera-mini.net,82.145.209.241,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],fbey20-1.mini5-1.opera-mini.net,82.145.209.241,"h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net, h11-09-08.opera-mini.net",NOERROR,,,,,,,,,,
[x],fbkk10-1.beta.opera-mini.net,82.145.209.241,"n15-10-07.opera-mini.net, h14-04-06.opera-mini.net, h11-09-08.opera-mini.net, n14-10-08.opera-mini.net",NOERROR,,,,,,,,,,
[x],fbkl1-1.mini5-1.opera-mini.net,82.145.209.241,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],fblr17-1.mini5-1.opera-mini.net,82.145.209.241,"h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net, h11-09-08.opera-mini.net",NOERROR,,,,,,,,,,
[x],fbma1-1.mini5-1.opera-mini.net,82.145.209.241,"h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net, h11-09-08.opera-mini.net",NOERROR,,,,,,,,,,
[x],fbom19-2.beta.opera-mini.net,,,NOERROR,,,,,,,,,,
[x],fbrs1-1.mini5-1.opera-mini.net,,,NOERROR,,,,,,,,,,
[x],fc10-2.mini5-1.opera-mini.net,82.145.209.242,"h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net, h11-09-08.opera-mini.net",NOERROR,,,,,,,,,,
[x],fcai11-1.mini5-1.opera-mini.net,82.145.209.241,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],fcai20-6.mini5-1.opera-mini.net,82.145.211.249,"h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net, h11-09-08.opera-mini.net",NOERROR,,,,,,,,,,
[x],fccp1-1.mini5-1.opera-mini.net,82.145.209.241,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],fccs3-1.beta.opera-mini.net,82.145.209.241,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],fccu9-2.mini5-1.opera-mini.net,82.145.209.242,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],fcgh21-1.mini5-1.opera-mini.net,82.145.209.241,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],fcgh31-1.mini5-1.opera-mini.net,82.145.209.241,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],fcgk29-1.mini5-1.opera-mini.net,82.145.209.241,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
