input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,lines,failed,cdn,tech_,csp_domains_,tls_mismatched,tls_wildcard_certificate,final_url
report.hcaptcha.starlink.com,hCaptcha - Stop more bots. Start protecting privacy.,200,84587,www.hcaptcha.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-15T00:00:00Z,2024-04-14T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",76f1a09a9fc70f20b972707426b775ee,9218de85ef236a86c9984357602141f0e40794e8a07f4ccf91f1d229e7c828fc,ctls,www.hcaptcha.com,google,443,https://report.hcaptcha.starlink.com:443,https,cloudflare,text/html,GET,34.111.246.71,/,-1185648493,34.111.246.71,328,False,True,hCaptcha,newassets.hcaptcha.com,,True,https://www.hcaptcha.com
shop.starlink.com,Starlink,200,2149,shop.starlink.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-30T00:00:00Z,2023-10-12T23:59:59Z,"CN=shop.starlink.com, O=Space Exploration Technologies Corp., L=Hawthorne, ST=California, C=US",shop.starlink.com,Space Exploration Technologies Corp.,shop.starlink.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,a609be41aee48f1ca7d43ba3251f3442,3fdafc6a377786cb0153611a9931c19f0ab05ecca4b6d40566e76d6ab6644ede,ctls,shop.starlink.com,fastly,443,https://shop.starlink.com:443,https,whydoyoucare?,text/html,GET,151.101.2.133,/,1197276648,151.101.194.133,47,False,True,hCaptcha,https://geolocation.onetrust.com,,,
sip.starlink.com,,404,75,sip.starlink.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,2023-03-28T19:00:19Z,2024-03-22T19:00:19Z,"CN=sipfed.online.lync.com, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",sipfed.online.lync.com,Microsoft Corporation,*.lync.com,"CN=Microsoft Azure TLS Issuing CA 05, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 05,Microsoft Corporation,6e32f8be92e2cf4aff781cff883f13f7,c7f7a0fb5d80892059f25bab5abeb7ffbef9ec512abd9475cf96c0bacc21d3c7,ctls,sip.starlink.com,,443,https://sip.starlink.com:443,https,RTC/7.0,text/plain,GET,52.112.192.11,/,-773955100,2603:1027:0:48::20,4,False,,HSTS,,True,True,
starlink.com,Starlink,200,4493,www.starlink.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-05-26T00:00:00Z,2023-06-26T23:59:59Z,"CN=starlink.com, O=Space Exploration Technologies Corp., L=Hawthorne, ST=California, C=US",starlink.com,Space Exploration Technologies Corp.,api.starlink.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,b0fa39fc3d9809008be417c7b81d0784,9a7de891d3b2b08d1e30af924274bfee04ec3c3bebe718114e4793bd19982864,ctls,www.starlink.com,fastly,443,https://starlink.com:443,https,whydoyoucare?,text/html,GET,151.101.66.133,/,-1307621008,151.101.66.133,65,False,True,hCaptcha,https://fonts.gstatic.com,,,https://www.starlink.com/
support-agent.starlink.com,Sign in to your account,200,204154,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-24T00:00:00Z,2024-02-24T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,5a0c035fd36e190a9a002ffd08801cce,51cfd1c52666a532589d6759379eab229c80ad93cf9e47beb8519dd205096065,ctls,login.microsoftonline.com,azure,443,https://support-agent.starlink.com:443,https,,text/html,GET,52.149.215.200,/,177255967,52.149.215.200,173,False,True,HSTS,,,,https://login.microsoftonline.com/ef182401-f482-4ecf-9209-b9e49675cff7/oauth2/authorize?response_type=code&client_id=d90869bc-3edf-4898-92bb-d02b4b697888&scope=openid&nonce=508efa09-5d77-43d5-aef6-a60644b04e9c&redirect_uri=https%3a%2f%2fsupport-agent.starlink.com%2f&state=AppProxyState%3a%7b%22InvalidTokenRetry%22%3anull%2c%22IsMsofba%22%3afalse%2c%22OriginalRawUrl%22%3a%22https%3a%5c%2f%5c%2fsupport-agent.starlink.com%5c%2f%22%2c%22RequestProfileId%22%3anull%2c%22SessionId%22%3a%227469d17f-e7e2-4313-a082-37bf89fbb54e%22%7d%23EndOfStateParam%23&client-request-id=7469d17f-e7e2-4313-a082-37bf89fbb54e
support.starlink.com,Help Center,200,2302,support.starlink.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-05-26T00:00:00Z,2023-06-26T23:59:59Z,"CN=starlink.com, O=Space Exploration Technologies Corp., L=Hawthorne, ST=California, C=US",starlink.com,Space Exploration Technologies Corp.,api.starlink.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,b0fa39fc3d9809008be417c7b81d0784,9a7de891d3b2b08d1e30af924274bfee04ec3c3bebe718114e4793bd19982864,ctls,support.starlink.com,fastly,443,https://support.starlink.com:443,https,whydoyoucare?,text/html,GET,146.75.122.133,/,108337695,146.75.122.133,48,False,True,HSTS,https://analytics.twitter.com,,,
tech-test.starlink.com,,404,,tech-test.starlink.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-05-27T00:00:00Z,2023-05-30T23:59:59Z,"CN=tech-test.spacex.com, O=Space Exploration Technologies Corp., L=Hawthorne, ST=California, C=US",tech-test.spacex.com,Space Exploration Technologies Corp.,tech-test.starlink.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,2f4aee0d066572ec54459831f0ca5a58,ce757c3409187270d531c70b47525352159c4a33c52b52b4038eeb3c43454d13,ctls,tech-test.starlink.com,,443,https://tech-test.starlink.com:443,https,,,GET,52.244.86.116,/,-1840324437,52.244.86.116,1,False,,,,,,
uk.starlink.com,Authentication Required,401,9780,uk.starlink.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-03-16T21:17:24Z,2023-06-14T21:17:23Z,CN=uk.starlink.com,uk.starlink.com,,uk.starlink.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,fa7d3466dd62f81366b6ed7856234231,85878719f608afe329ae37c416a090f382c456a8067b6e0a091e3de736e14407,ctls,uk.starlink.com,,443,https://uk.starlink.com:443,https,Vercel,text/html,GET,76.76.21.61,/,515341074,76.76.21.98,5,False,,Vercel,,,,
web-api.starlink.com,,404,,web-api.starlink.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-13T00:00:00Z,2023-09-13T23:59:59Z,"CN=web-api.starlink.com, O=Space Exploration Technologies Corp., L=Hawthorne, ST=California, C=US",web-api.starlink.com,Space Exploration Technologies Corp.,web-api.starlink.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,4eb10012027821ea434847e4223ded21,9a57cfe523ea0d1d446d24f1421ef594f35a69660924a388da4f49024a7ffffe,ctls,web-api.starlink.com,google,443,https://web-api.starlink.com:443,https,envoy,,GET,34.120.0.3,/,-1840324437,34.120.0.3,1,False,True,HTTP/3,,,,
webmail.starlink.com,Sign In,200,211250,sso.secureserver.net,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-10-04T01:30:11Z,2023-11-05T01:30:11Z,"CN=*.secureserver.net, O=Special Domain Services\, LLC, L=Tempe, ST=Arizona, C=US",*.secureserver.net,"Special Domain Services, LLC",secureserver.net,"CN=Starfield Secure Certificate Authority - G2, OU=http://certs.starfieldtech.com/repository/, O=Starfield Technologies\, Inc., L=Scottsdale, ST=Arizona, C=US",Starfield Secure Certificate Authority - G2,"Starfield Technologies, Inc.",75a208eec6aede64ae63b10a7697d857,2633df2f68a7928c16a85e52956a6055d0e6b36d9c33effef3c42234a2fdaa87,ctls,sso.secureserver.net,,443,https://webmail.starlink.com:443,https,,text/html,GET,173.201.193.133,/,-2068596668,68.178.252.20,98,False,,React,,,True,https://sso.secureserver.net/login?app=o365&realm=pass
www.starlink.com,Starlink,200,4493,www.starlink.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-05-26T00:00:00Z,2023-06-26T23:59:59Z,"CN=starlink.com, O=Space Exploration Technologies Corp., L=Hawthorne, ST=California, C=US",starlink.com,Space Exploration Technologies Corp.,api.starlink.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,b0fa39fc3d9809008be417c7b81d0784,9a7de891d3b2b08d1e30af924274bfee04ec3c3bebe718114e4793bd19982864,ctls,www.starlink.com,fastly,443,https://www.starlink.com:443,https,whydoyoucare?,text/html,GET,151.101.2.133,/,-1307621008,151.101.194.133,65,False,True,hCaptcha,https://cdn.cookielaw.org,,,
