input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,csp_domains_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_mismatched,tls_subject_org_,tls_wildcard_certificate,cdn_name,cdn,final_url
developer.myfitnesspal.com,Site not found · GitHub Pages,404,9115,AS54113,AS54113,Unknown,185.199.108.0/22,,developer.myfitnesspal.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2024-03-20T23:59:59Z,"CN=*.github.io, O=GitHub\, Inc., L=San Francisco, ST=California, C=US",*.github.io,githubusercontent.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,f45a0dd4c867ee46fb7560d0015132c3,382cd42d33c02bc6678e657ce17b846d0473a7e791cdb35b8ead901af1e11a08,ctls,developer.myfitnesspal.com,443,https://developer.myfitnesspal.com:443,https,GitHub.com,text/html,GET,185.199.110.153,/,1920503104,185.199.111.153,Varnish,80,False,True,"GitHub, Inc.",True,,,
developer.ua.com,MapMyRun Documentation - Home,200,4265,AS16552,AS16552,Unknown,96.45.94.0/24,,developer.underarmour.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-30T00:00:00Z,2024-02-28T23:59:59Z,CN=developer.underarmour.com,developer.underarmour.com,developer.underarmour.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,29bcef0766e020e20133b3e8577bfbbf,5fe54863d86e7263fd09a4e801a20fc8858bc908d656cd7456a56e39659925e8,ctls,developer.underarmour.com,443,https://developer.ua.com:443,https,GitHub.com,text/html,GET,96.45.83.103,/,-1700323260,96.45.83.195,Varnish,131,False,,,,,,https://developer.underarmour.com
development-na04.ecm.underarmour.com,401 - Authorization Required.,401,407,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,,development-na04.ecm.underarmour.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2023-03-17T23:45:27Z,2023-06-15T23:45:26Z,CN=*.ecm.underarmour.com,*.ecm.underarmour.com,*.ecm.underarmour.com.mx,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,6fb8c7c19c4e29fce557df9e8d022b6a,23d3da84cd76f0a886ad5102b3f9e1c12cb85084a42251558e911cda9c1fd688,ctls,development-na04.ecm.underarmour.com,80,http://development-na04.ecm.underarmour.com:80,http,cloudflare,text/html,GET,104.19.157.108,/,1299828188,104.19.156.108,Salesforce Commerce Cloud,17,False,True,,True,cloudflare,True,https://development-na04.ecm.underarmour.com/
devint-api.mapmyfitness.com,MapMyFitness,200,13408,AS14618,AMAZON-AES,US,34.224.0.0/12,,devint-api.mapmyfitness.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2024-01-20T23:59:59Z,CN=*.uacf.io,*.uacf.io,*.mfpaws.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,09af9846ec0622631d7a46fa73e9a575,202d98e92e1b8bc33c1e45c59e0b7330e9c1c136bfb700fa7b511a646fa77f7a,ctls,devint-api.mapmyfitness.com,443,https://devint-api.mapmyfitness.com:443,https,,text/html,GET,34.236.65.196,/,566218143,35.172.152.119,Sentry:6.17.5,106,False,True,,True,,,
devint.mapmyfitness.com,MapMyFitness,200,13408,AS14618,AMAZON-AES,US,35.168.0.0/13,,devint.mapmyfitness.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2024-01-20T23:59:59Z,CN=*.uacf.io,*.uacf.io,*.mfpaws.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,09af9846ec0622631d7a46fa73e9a575,202d98e92e1b8bc33c1e45c59e0b7330e9c1c136bfb700fa7b511a646fa77f7a,ctls,devint.mapmyfitness.com,443,https://devint.mapmyfitness.com:443,https,,text/html,GET,35.172.152.119,/,1494302000,34.236.65.196,Sentry:6.17.5,106,False,True,,True,,,
dnd.myfitnesspal.com,MyFitnessPal x Divorced Not Dead Podcast,200,38521,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,,dnd.myfitnesspal.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-10T01:47:30Z,2023-08-08T01:47:29Z,CN=dnd.myfitnesspal.com,dnd.myfitnesspal.com,dnd.myfitnesspal.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,74c594484ab964f0b33b9cbddd411dea,115ba9705989a629fe7b269a53ac0b52e0ab42e219d9990dec7b9be18fc86917,ctls,dnd.myfitnesspal.com,443,https://dnd.myfitnesspal.com:443,https,cloudflare,text/html,GET,104.18.26.189,/,-1468854848,2606:4700::6812:1bbd,YouTube,496,False,,,,cloudflare,True,
dtmc.mapmyfitness.com,Invalid URL,400,209,AS20940,AKAMAI-ASN1,NL,2.20.0.0/14,,dtmc.mapmyfitness.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2022-06-28T00:00:00Z,2023-06-30T23:59:59Z,"CN=a248.e.akamai.net, O=Akamai Technologies\, Inc., L=Cambridge, ST=Massachusetts, C=US",a248.e.akamai.net,*.akamaized.net,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,b8cdc00e1dc897fa6768667f6f060486,a1ac71dd8fdaeb4aaf9b5e1952536ade1c8ffd70b5004556df9d51f82b227591,ctls,dtmc.mapmyfitness.com,443,https://dtmc.mapmyfitness.com:443,https,AkamaiGHost,text/html,GET,2.16.202.72,/,266091945,2a02:26f0:780::210:ca72,,8,False,True,"Akamai Technologies, Inc.",True,,,
dunk.myfitnesspal.com,MyFitnessPal x Down to Dunk Podcast,200,38517,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,,dunk.myfitnesspal.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-10T05:38:50Z,2023-08-08T05:38:49Z,CN=dunk.myfitnesspal.com,dunk.myfitnesspal.com,dunk.myfitnesspal.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,957142e419ff1133cc0da7342673f2fd,92121d81e5c3cdfb0deadc7f8c649310078bf40bf6697809064136fafffb95bb,ctls,dunk.myfitnesspal.com,443,https://dunk.myfitnesspal.com:443,https,cloudflare,text/html,GET,104.18.26.189,/,-1468854848,2606:4700::6812:1bbd,YouTube,496,False,,,,cloudflare,True,
dy.ua.com,,404,,AS14618,AMAZON-AES,US,34.224.0.0/12,,dy.ua.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2023-10-17T23:59:59Z,CN=*.dynamicyield.com,*.dynamicyield.com,*.dynamicyield.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,a24ac36c6a5c099020c806d9010a414d,996cd5e6feecd4c9a204e6bcb35dbab1c7208a7782e811453f1a1b805b5d361e,ctls,dy.ua.com,443,https://dy.ua.com:443,https,,text/html,GET,34.233.129.148,/,-1840324437,52.5.66.47,,1,False,True,,True,,,
dynamic-assets.mapmyfitness.com,MapMyFitness,200,15914,AS14618,AMAZON-AES,US,54.88.0.0/14,,dynamic-assets.mapmyfitness.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2024-01-20T23:59:59Z,CN=*.uacf.io,*.uacf.io,*.mfpaws.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,09af9846ec0622631d7a46fa73e9a575,202d98e92e1b8bc33c1e45c59e0b7330e9c1c136bfb700fa7b511a646fa77f7a,ctls,dynamic-assets.mapmyfitness.com,443,https://dynamic-assets.mapmyfitness.com:443,https,,text/html,GET,54.80.69.143,/,1494302000,35.172.152.119,Sentry:6.17.5,151,False,True,,True,,,
emmamacdonald.myfitnesspal.com,MyFitnessPal X Emma MacDonald,200,38604,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,,emmamacdonald.myfitnesspal.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-10T02:20:21Z,2023-08-08T02:20:20Z,CN=emmamacdonald.myfitnesspal.com,emmamacdonald.myfitnesspal.com,emmamacdonald.myfitnesspal.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,f43cb6e06472b109cd2e37fd5ed839b1,9e26358ef317eb7cba9e5c3f3b0505f277da903301dc709ef7d59973e4cf8e9e,ctls,emmamacdonald.myfitnesspal.com,443,https://emmamacdonald.myfitnesspal.com:443,https,cloudflare,text/html,GET,104.18.26.189,/,-1468854848,2606:4700::6812:1bbd,YouTube,496,False,,,,cloudflare,True,
emplois.underarmour.com,"Working at Under Armour, Inc.",200,42193,AS20940,AKAMAI-ASN1,NL,2.20.0.0/14,,emplois.underarmour.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-28T12:01:24Z,2023-07-27T12:01:23Z,CN=emplois.underarmour.com,emplois.underarmour.com,emplois.underarmour.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,3ca294efe87a9df95866cbc990aa9a9f,b52fd71eebeb6e8f99dee9180987b69d566e4798c72ff67ea505366cd598a211,ctls,emplois.underarmour.com,443,https://emplois.underarmour.com:443,https,Kestrel,text/html,GET,2.16.181.75,/,-674532093,2.20.132.146,jQuery,808,False,,,,,,
engineering.mapmyfitness.com,ERROR: The request could not be satisfied,403,915,AS0,Not routed,None,13.224.192.0/21,,,,,,,,,,,,,,,,,,,80,http://engineering.mapmyfitness.com:80,http,CloudFront,text/html,GET,13.224.189.49,/,-1066513133,13.224.189.41,Amazon Web Services,20,False,,,,cloudfront,True,
enrollme.underarmour.com,Fastly error: unknown domain enrollme.underarmour.com,500,276,AS54113,FASTLY,US,151.101.8.0/22,,enrollme.underarmour.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-10T04:55:11Z,2024-05-11T04:55:10Z,CN=n.sni-347-default.ssl.fastly.net,n.sni-347-default.ssl.fastly.net,n.sni-347-default.ssl.fastly.net,"CN=GlobalSign Atlas R3 DV TLS CA 2023 Q1, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2023 Q1,GlobalSign nv-sa,e67535aeec2b1f365040c3f5bb2cb334,ce405f481c095e45001c1df8439b8e0167e675711e7f169eabdf102a059a5b14,ctls,enrollme.underarmour.com,443,https://enrollme.underarmour.com:443,https,Varnish,text/html,GET,151.101.1.91,/,304510041,151.101.193.91,Varnish,8,False,True,,,fastly,True,
enterpriseenrollment.underarmour.com,Microsoft Intune admin center,200,39775,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,20.64.0.0/10,,intune.microsoft.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-20T00:03:25Z,2024-04-14T00:03:25Z,"CN=intune.microsoft.com, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",intune.microsoft.com,intune.microsoft.com,"CN=Microsoft Azure TLS Issuing CA 06, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 06,Microsoft Corporation,fbe882ad9daeb5df0f0d14db966ea3c8,d5bab55b00d08eec6b9981deee10c77d19ccdd091bfd836e38b6bc95a281a90d,ctls,intune.microsoft.com,443,https://enterpriseenrollment.underarmour.com:443,https,,text/html,GET,20.91.147.72,/,1631801191,20.91.147.72,HSTS,4,False,,Microsoft Corporation,,,,https://intune.microsoft.com/
enterpriseregistration.underarmour.com,Service,404,1565,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,20.196.0.0/18,,enterpriseregistration.underarmour.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-14T19:36:32Z,2024-02-09T19:36:32Z,"CN=*.enterpriseregistration.windows.net, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",*.enterpriseregistration.windows.net,enterpriseregistration.windows.net,"CN=Microsoft Azure TLS Issuing CA 06, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 06,Microsoft Corporation,a6e45158afb23e4d3d7ad5975ed54d03,62af4b86a7f8d2913ffabbbb4465a2cd43cdd51d772ff6a8a77cdfe4968a5037,ctls,enterpriseregistration.underarmour.com,443,https://enterpriseregistration.underarmour.com:443,https,,text/html,GET,20.190.137.40,/,-2070773535,20.190.137.40,HSTS,14,False,True,Microsoft Corporation,True,azure,True,
error.mapmyrun.com,,403,243,AS16509,AS16509,Unknown,54.232.0.0/15,,d29u5s8525jzx4.cloudfront.net,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-08T00:00:00Z,2023-12-07T23:59:59Z,CN=*.cloudfront.net,*.cloudfront.net,*.cloudfront.net,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,3ce77498ac0d9db2c0fbac4ace488223,0e61dc9128a6d01c3583e46cb871e9590ca7636f3b394e60b910fdb249e90465,ctls,d29u5s8525jzx4.cloudfront.net,80,http://error.mapmyrun.com:80,http,AmazonS3,application/xml,GET,54.231.193.125,/,1427353708,52.217.41.67,Amazon Web Services,2,False,,,True,,,https://d29u5s8525jzx4.cloudfront.net/
es.mapmyfitness.com,ERROR: The request could not be satisfied,403,915,AS0,Not routed,None,13.224.192.0/21,,,,,,,,,,,,,,,,,,,80,http://es.mapmyfitness.com:80,http,CloudFront,text/html,GET,13.224.189.49,/,205881006,13.224.189.41,Amazon Web Services,20,False,,,,cloudfront,True,
es.mapmyride.com,ERROR: The request could not be satisfied,403,915,AS0,Not routed,None,13.224.192.0/21,,,,,,,,,,,,,,,,,,,80,http://es.mapmyride.com:80,http,CloudFront,text/html,GET,13.224.189.52,/,1387252939,13.224.189.41,Amazon Web Services,20,False,,,,cloudfront,True,
es.mapmywalk.com,ERROR: The request could not be satisfied,403,915,AS0,Not routed,None,13.224.192.0/21,,,,,,,,,,,,,,,,,,,80,http://es.mapmywalk.com:80,http,CloudFront,text/html,GET,13.224.189.49,/,776132625,13.224.189.41,Amazon Web Services,20,False,,,,cloudfront,True,
es.underarmour.com,Under Armour® Official Store | FREE Shipping Available,200,490953,AS16552,AS16552,Unknown,96.45.94.0/24,https://first.sandbox.ua.coremedia.cloud,www.underarmour.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-15T00:00:00Z,2024-02-14T23:59:59Z,"CN=www.underarmour.com, O=Under Armour\, Inc., L=Baltimore, ST=Maryland, C=US, serialNumber=D04444345, businessCategory=Private Organization, jurisdictionStateOrProvince=Maryland, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Maryland, jurisdictionCountry=US",www.underarmour.com,www.underarmour.ca,"CN=DigiCert TLS Hybrid ECC SHA384 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS Hybrid ECC SHA384 2020 CA1,DigiCert Inc,20150c72bc040ad0d612b777747786ab,120d7c57cd54d518f49c25170bd0b07c7a2daccc0cd224a57dab782d96383871,ctls,www.underarmour.com,443,https://es.underarmour.com:443,https,cloudflare,text/html,GET,96.45.83.195,/,209702855,96.45.82.74,Varnish,7077,False,,"Under Armour, Inc.",,,,https://www.underarmour.com/en-us/?originalhost=es.underarmour.com
fantasy.myfitnesspal.com,MyFitnessPal x Athletic Fantasy Football Podcast,200,38576,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,,fantasy.myfitnesspal.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-10T04:06:15Z,2023-08-08T04:06:14Z,CN=fantasy.myfitnesspal.com,fantasy.myfitnesspal.com,fantasy.myfitnesspal.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,4b0802a9096376608c8741838a86d1d9,18d9ae9e966962723dc0bde8966d46d526cb8a4a00fc6bfe9338ea0938d3ed62,ctls,fantasy.myfitnesspal.com,443,https://fantasy.myfitnesspal.com:443,https,cloudflare,text/html,GET,104.18.27.189,/,-1468854848,2606:4700::6812:1abd,YouTube,496,False,,,,cloudflare,True,
fastly-tools.ecm.underarmour.com,Redirecting...,200,1574,AS16509,AS16509,Unknown,76.76.21.0/24,https://www.underarmour.com,fastly-tools.ecm.underarmour.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-04-26T00:50:04Z,2023-07-25T00:50:03Z,CN=fastly-tools.ecm.underarmour.com,fastly-tools.ecm.underarmour.com,fastly-tools.ecm.underarmour.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,1193a25ce9e8be8dbfbe3f639e13f58d,675ca2a6358b2828419376ed142f4a268158e4718c345eda9eb4efb4fb547a5e,ctls,fastly-tools.ecm.underarmour.com,443,https://fastly-tools.ecm.underarmour.com:443,https,Vercel,text/html,GET,76.76.21.22,/,2047092629,76.76.21.123,Vercel,1,False,,,,,,
feedback.underarmour.com,,200,909,AS16552,AS16552,Unknown,96.45.94.0/24,,feedback.underarmour.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-06-13T00:00:00Z,2023-06-25T23:59:59Z,CN=*.dnsmadeeasy.com,*.dnsmadeeasy.com,dnsmadeeasy.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,80285afa39493bd3bc6bd357764adc5e,2bb2b85484b70046e7546483d9f4e30859e70e5cd6f46041952e813ce0aa2287,ctls,feedback.underarmour.com,443,https://feedback.underarmour.com:443,https,DNSME HTTP Redirection,text/html,GET,96.45.82.74,/,-1282179627,96.45.83.195,,21,False,True,,True,,,
fonts.underarmour.com,Service Unavailable,503,268,AS20940,AKAMAI-ASN1,NL,23.48.0.0/12,,fonts.underarmour.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-21T00:00:00Z,2024-03-19T23:59:59Z,"CN=www.underarmour.com, O=Under Armour\, Inc., L=Baltimore, ST=Maryland, C=US, serialNumber=D04444345, businessCategory=Private Organization, jurisdictionStateOrProvince=Maryland, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Maryland, jurisdictionCountry=US",www.underarmour.com,admin.underarmour.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,49f794f5e21a3137c8b87c17470c451f,db3610613361f0e4ed80b45f8540a35c6e8f170307761c5f5b4acd65077a188c,ctls,fonts.underarmour.com,443,https://fonts.underarmour.com:443,https,AkamaiGHost,text/html,GET,23.55.231.171,/,-1259875633,23.55.231.171,,9,False,,"Under Armour, Inc.",,,,
forbmore.ua.com,ForBmore,200,432581,AS16552,AS16552,Unknown,96.45.94.0/24,,about.underarmour.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-09-28T00:00:00Z,2023-09-28T23:59:59Z,"CN=about.underarmour.com, O=Under Armour\, Inc., L=Baltimore, ST=Maryland, C=US",about.underarmour.com,about.underarmour.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1a343816265ca8f00125b1f898232e09,0f89d6401029b455f0ca5620f2ab51606e02e4d8916eaa2cdfba3551670e2a76,ctls,about.underarmour.com,443,https://forbmore.ua.com:443,https,,text/html,GET,96.45.83.195,/,-822484772,96.45.82.74,Java,3558,False,,"Under Armour, Inc.",,,,https://about.underarmour.com/en/forbmore.html
fr.mapmyfitness.com,ERROR: The request could not be satisfied,403,915,AS0,Not routed,None,13.224.192.0/21,,,,,,,,,,,,,,,,,,,80,http://fr.mapmyfitness.com:80,http,CloudFront,text/html,GET,13.224.189.41,/,1923434716,13.224.189.49,Amazon Web Services,20,False,,,,cloudfront,True,
fr.mapmyride.com,ERROR: The request could not be satisfied,403,915,AS0,Not routed,None,13.224.192.0/21,,,,,,,,,,,,,,,,,,,80,http://fr.mapmyride.com:80,http,CloudFront,text/html,GET,13.224.189.31,/,262106747,13.224.189.52,Amazon Web Services,20,False,,,,cloudfront,True,
fr.mapmyrun.com,ERROR: The request could not be satisfied,403,915,AS0,Not routed,None,13.224.192.0/21,,,,,,,,,,,,,,,,,,,80,http://fr.mapmyrun.com:80,http,CloudFront,text/html,GET,13.224.189.41,/,1467364795,13.224.189.49,Amazon Web Services,20,False,,,,cloudfront,True,
fr.mapmywalk.com,ERROR: The request could not be satisfied,403,915,AS0,Not routed,None,13.224.192.0/21,,,,,,,,,,,,,,,,,,,80,http://fr.mapmywalk.com:80,http,CloudFront,text/html,GET,13.224.189.49,/,-604260531,13.224.189.31,Amazon Web Services,20,False,,,,cloudfront,True,
freeze.ecm.underarmour.com,Authentication Required,401,9780,AS16509,AS16509,Unknown,76.76.21.0/24,,freeze.ecm.underarmour.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-03-11T03:57:01Z,2023-06-09T03:57:00Z,CN=freeze.ecm.underarmour.com,freeze.ecm.underarmour.com,freeze.ecm.underarmour.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,0746571b4f537029e945b56830d57e72,f716ce93809059adbf9781cec0849759275d2877d67c1e59d1250b8d30cf5594,ctls,freeze.ecm.underarmour.com,80,http://freeze.ecm.underarmour.com:80,http,Vercel,text/html,GET,76.76.21.123,/,515341074,76.76.21.22,Vercel,5,False,,,,,,https://freeze.ecm.underarmour.com/
frontend.myfitnesspal.com,MyFitnessPal | MyFitnessPal,200,492116,AS16509,AS16509,Unknown,13.225.96.0/21,https://csp-report.browser-intake-datadoghq.com/api/v2/logs?dd-api-key=pub6bacd8a3d2ff4a25d741e639b3320206&dd-evp-origin=content-security-policy&ddsource=csp-report&ddtags=env:nutrition-prod,www.myfitnesspal.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2023-09-12T23:59:59Z,CN=myfitnesspal.com,myfitnesspal.com,*.myfitnesspal.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,e043ec437e382b9efee09821cb804d16,61159d332a5026841992ef53f4ceb7d2b69e1681ef174ae6ce3e7e7a0842129c,ctls,www.myfitnesspal.com,443,https://frontend.myfitnesspal.com:443,https,,text/html,GET,13.225.78.70,/,33983877,2600:9000:21f3:d000:1e:f4a8:3140:93a1,HSTS,1,False,,,True,cloudfront,True,https://www.myfitnesspal.com/
frontenddocs.ecm.underarmour.com,Sign In,200,5508,AS16509,AS16509,Unknown,76.76.21.0/24,,frontenddocs.ecm.underarmour.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-03-01T10:10:11Z,2023-05-30T10:10:10Z,CN=frontenddocs.ecm.underarmour.com,frontenddocs.ecm.underarmour.com,frontenddocs.ecm.underarmour.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,76200d163609a9b3532dc9fdaf75c728,727aa5fa4c163c1f436de678a03ea654a8d1a4863b0057408a1a430f8f5e53ee,ctls,frontenddocs.ecm.underarmour.com,443,https://frontenddocs.ecm.underarmour.com:443,https,Vercel,text/html,GET,76.76.21.142,/,158297817,76.76.21.98,Vercel,1,False,,,,,,https://frontenddocs.ecm.underarmour.com/api/auth/signin?callbackUrl=%2F
gabifuller.myfitnesspal.com,MyFitnessPal X Gabi Fuller,200,38565,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,,gabifuller.myfitnesspal.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-10T03:12:59Z,2023-08-08T03:12:58Z,CN=gabifuller.myfitnesspal.com,gabifuller.myfitnesspal.com,gabifuller.myfitnesspal.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,a0e360525d6bbb590734068af2718e05,aa7819639566befd500e810d8d6174cd61c5f248bd0de36187b1a00d20011935,ctls,gabifuller.myfitnesspal.com,443,https://gabifuller.myfitnesspal.com:443,https,cloudflare,text/html,GET,104.18.27.189,/,-1468854848,2606:4700::6812:1abd,YouTube,496,False,,,,cloudflare,True,
garbage.myfitnesspal.com,MyFitnessPal x Are you garbage? Podcast,200,38560,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,,garbage.myfitnesspal.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-10T01:29:03Z,2023-08-08T01:29:02Z,CN=garbage.myfitnesspal.com,garbage.myfitnesspal.com,garbage.myfitnesspal.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,dbd1a12e0c4a1979d2e26f66770d9f49,3284b1a458b38eb4f37e7c927d8cdd359e70afa41d63624e857c27f7295d7dc2,ctls,garbage.myfitnesspal.com,443,https://garbage.myfitnesspal.com:443,https,cloudflare,text/html,GET,104.18.27.189,/,-1468854848,2606:4700::6812:1abd,YouTube,496,False,,,,cloudflare,True,
genwhy.myfitnesspal.com,MyFitnessPal x Generation Why Podcast,200,38546,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,,genwhy.myfitnesspal.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-10T01:48:30Z,2023-08-08T01:48:29Z,CN=genwhy.myfitnesspal.com,genwhy.myfitnesspal.com,genwhy.myfitnesspal.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,08e01747eb2bc4b673e64fe79c827ba6,b0a6b9966420a9902b73bf6e1baa90260ef1794000faf403aa4f41265b469caa,ctls,genwhy.myfitnesspal.com,443,https://genwhy.myfitnesspal.com:443,https,cloudflare,text/html,GET,104.18.26.189,/,-1468854848,2606:4700::6812:1bbd,YouTube,496,False,,,,cloudflare,True,
googleca.myfitnesspal.com,MyFitnessPal + Google CA,200,71846,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,,googleca.myfitnesspal.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-13T03:31:28Z,2023-06-11T03:31:27Z,CN=googleca.myfitnesspal.com,googleca.myfitnesspal.com,googleca.myfitnesspal.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,b69f7943d1e67995c64554ed5347d434,6a412031dcba022ed735e93e56213d52d9865e387189775742c50c1d27aa8d13,ctls,googleca.myfitnesspal.com,443,https://googleca.myfitnesspal.com:443,https,cloudflare,text/html,GET,104.18.27.189,/,-1468854848,2606:4700::6812:1bbd,HSTS,844,False,,,,cloudflare,True,
