input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,csp_domains_,tls_expired,tls_subject_org_,tls_wildcard_certificate,final_url,tls_mismatched,tls_self_signed
aihealth.stanford.edu,AI Health,200,63487,aihealth.stanford.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-29T00:00:00Z,2023-09-29T23:59:59Z,"CN=stanford.edu, O=Stanford University, ST=California, C=US",stanford.edu,sites.stanford.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,ba79de701433a1bbb7ae5adf8ba7cbe3,73b5d7a20c9dad276dfbf9c390ec5ad3ab464de77150592f2ab56cb1c8c561c2,ctls,aihealth.stanford.edu,,443,https://aihealth.stanford.edu:443,https,nginx,text/html,GET,34.215.171.12,/,997500400,34.215.171.12,Varnish,433,False,,,,Stanford University,True,,True,
aiindex.stanford.edu,Artificial Intelligence Index,200,74018,aiindex.stanford.edu,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-29T11:17:31Z,2023-06-27T11:17:30Z,CN=aiindex.net,aiindex.net,www.aiindex.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,4aae9598caf136e3e9903ecd5870380a,01b5683104cb0193645216c6e4a0e5791dc102414d9583e2243db8db7e548e67,ctls,aiindex.stanford.edu,,443,https://aiindex.stanford.edu:443,https,nginx,text/html,GET,23.185.0.1,/,1254289222,2620:12a:8000::1,WordPress,261,False,,,,,,,,
aikido.stanford.edu,Stanford Aikido,200,37357,aikido.stanford.edu,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-20T14:32:10Z,2023-06-18T14:32:09Z,CN=aikido.stanford.edu,aikido.stanford.edu,aikido.stanford.edu,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,b895c20a35c2f7baba8c245cce9acb30,dd8e5392cbee626e428ed497b403510bc8b41ee213ef9587e085d400131278ff,ctls,aikido.stanford.edu,,443,https://aikido.stanford.edu:443,https,Squarespace,text/html,GET,198.185.159.145,/,-1103473249,198.49.23.145,Squarespace Commerce,635,False,,,,,,,,
aim.stanford.edu,Anesthesia Informatics and Media Lab | We get to do fun stuff ;-),200,67622,aim.stanford.edu,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-08T00:00:00Z,2024-02-08T23:59:59Z,"CN=aim.stanford.edu, O=Stanford University, ST=California, C=US",aim.stanford.edu,aim.stanford.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,3fc3afd8691050fe1fe2a018a116ac6b,fca1577286202ddcef8e46a09502b0f05d6c16559f9b79ac810ac3f1819f5e7d,ctls,aim.stanford.edu,,443,https://aim.stanford.edu:443,https,nginx/1.23.3,text/html,GET,171.65.176.50,/,400693044,171.65.176.50,WordPress:6.2,1033,False,,,,Stanford University,,,,
aimi.stanford.edu,Center for Artificial Intelligence in Medicine & Imaging,200,86807,aimi.stanford.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-29T00:00:00Z,2023-09-29T23:59:59Z,"CN=stanford.edu, O=Stanford University, ST=California, C=US",stanford.edu,sites.stanford.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,ba79de701433a1bbb7ae5adf8ba7cbe3,73b5d7a20c9dad276dfbf9c390ec5ad3ab464de77150592f2ab56cb1c8c561c2,ctls,aimi.stanford.edu,,443,https://aimi.stanford.edu:443,https,nginx,text/html,GET,34.215.171.12,/,997500400,34.215.171.12,Varnish,702,False,,,,Stanford University,True,,True,
aire.stanford.edu,Stanford AIRE,200,48055,aire.stanford.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-29T00:00:00Z,2023-09-29T23:59:59Z,"CN=stanford.edu, O=Stanford University, ST=California, C=US",stanford.edu,sites.stanford.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,ba79de701433a1bbb7ae5adf8ba7cbe3,73b5d7a20c9dad276dfbf9c390ec5ad3ab464de77150592f2ab56cb1c8c561c2,ctls,aire.stanford.edu,,443,https://aire.stanford.edu:443,https,nginx,text/html,GET,34.215.171.12,/,997500400,34.215.171.12,Varnish,298,False,,,,Stanford University,True,,True,
airstudy.stanford.edu,Apnea and Insomnia Research (AIR) Study | Sleep Health and Insomnia Program (SHIP)  | Stanford Medicine,200,88405,med.stanford.edu,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-07-06T00:00:00Z,2023-07-06T23:59:59Z,"CN=med.stanford.edu, O=Stanford University, ST=California, C=US",med.stanford.edu,www.med.stanford.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,9ddce5a5445ca997dcc8c8f9588f0ad1,6a4dee8c79cba97a16d8717d5d6fa58db970cc4688c34417e6c9fcd3a3062bfe,ctls,med.stanford.edu,,443,https://airstudy.stanford.edu:443,https,Apache/2.4.46 () Communique/4.3.3,text/html,GET,171.65.104.14,/,501588424,171.65.104.14,Java,2570,False,,,,Stanford University,True,https://med.stanford.edu:443/insomnia/AIRStudyMainPage.html,,
aisafety.stanford.edu,Stanford AI Safety,200,83389,aisafety.stanford.edu,443,True,tls12,TLS_RSA_WITH_AES_128_GCM_SHA256,2023-05-05T00:00:00Z,2024-05-04T23:59:59Z,"CN=stanford.edu, O=Stanford University, ST=California, C=US",stanford.edu,www-v6.stanford.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,6e50ace6409cd02ee665f3112237bb52,d4d0b2f39624e14730b74d57fc150a18d3fed5c1f24754ee9bea40b3d7df8e6e,ctls,aisafety.stanford.edu,,443,https://aisafety.stanford.edu:443,https,Apache,text/html,GET,171.67.215.200,/,-1508641789,2607:f6d0:0:925a::ab43:d7c8,jQuery,1664,False,,,,Stanford University,True,,,
akpsi.stanford.edu,AKPsi Pi Tau Chapter,200,8266,akpsi.stanford.edu,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-12T14:50:07Z,2023-07-11T14:50:06Z,CN=akpsi.stanford.edu,akpsi.stanford.edu,akpsi.stanford.edu,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,64ce9238538b2a7eacb097d1b0a45f44,13cca80221ae25011af65c527b81b14d63c4dd722a8d48c52cf3e93d21c6bb61,ctls,akpsi.stanford.edu,google,443,https://akpsi.stanford.edu:443,https,Netlify,text/html,GET,35.198.80.163,/,-211789001,2a05:d014:275:cb02::c8,Netlify,1,False,True,,,,,,,
alertsu.stanford.edu,Stanford University Department of Public Safety,200,63204,police.stanford.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-06-09T00:00:00Z,2023-06-09T23:59:59Z,"CN=police.stanford.edu, OU=IT Services, O=Stanford University, ST=California, C=US",police.stanford.edu,*.police.stanford.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,6be6e33a66a083010af4dbd2844ad2e4,4facf4bf3095a30961e9d6cd765b44230a869669641c04bb143d30ecdbd431ca,ctls,police.stanford.edu,,80,http://alertsu.stanford.edu:80,http,Microsoft-IIS/8.0,text/html,GET,52.219.216.51,/,354441195,52.219.216.51,Windows Server,1271,False,,,,Stanford University,True,https://police.stanford.edu/,,
algolia.alumni.stanford.edu,Home Page,200,6543,algolia.alumni.stanford.edu,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-13T11:30:07Z,2023-06-11T11:30:06Z,CN=algolia.alumni.stanford.edu,algolia.alumni.stanford.edu,algolia.alumni.stanford.edu,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,0a1c3a95d2979a8c4de488915172f2d6,ac995e74a5079a04662ab279b4d6f5db05f6f59bd410df509bbc8d74f08f9c45,ctls,algolia.alumni.stanford.edu,,443,https://algolia.alumni.stanford.edu:443,https,Netlify,text/html,GET,52.28.22.142,/,1272551934,2a05:d014:275:cb01:457d:6b8c:73fc:8f8f,webpack,1,False,,https:,,,,,,
ali.stanford.edu,Applied Learning Initiative,200,6889,,,,,,,,,,,,,,,,,,,443,https://ali.stanford.edu:443,https,GitHub.com,text/html,GET,54.81.116.232,/,566218143,54.81.116.232,GitHub Pages,154,False,,,,,,http://appliedlearninginitiative.org/,,
alice.stanford.edu,Stanford Computer Science,200,55257,alice.stanford.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-17T00:00:00Z,2024-04-16T23:59:59Z,"CN=cs.stanford.edu, O=Stanford University, ST=California, C=US",cs.stanford.edu,www4.cs.stanford.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,8774693b08b3d3510af32937351367f0,d9b0931463bdd1ac77122ff770c3a5ebcfda6caa93f799f7fefe4e6ada8c8eeb,ctls,alice.stanford.edu,,443,https://alice.stanford.edu:443,https,Apache/2.4.6 (CentOS),text/html,GET,171.64.64.64,/,654219252,171.64.64.64,PHP:5.4.16,635,False,,,,Stanford University,,,True,
alizadehlab.stanford.edu,,200,418,alizadehlab.stanford.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-08-19T00:00:00Z,2023-08-19T23:59:59Z,"CN=aalab7.stanford.edu, O=Stanford University, ST=California, C=US",aalab7.stanford.edu,aalab.stanford.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,cb32298f517eada98f5ee0b6c78f61f7,ba960816b3276ce02e2d3e1f5932ff76249e2e5bdd3102a8eb00caf0dfbea4f6,ctls,alizadehlab.stanford.edu,,443,https://alizadehlab.stanford.edu:443,https,Apache,text/html,GET,171.67.96.217,/,-366337701,171.67.96.217,HSTS,17,False,,url=http://med.stanford.edu/ash_alizadeh.html,,Stanford University,,,True,
allencenter.stanford.edu,,404,2963,allencenter.stanford.edu,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-19T00:00:00Z,2023-06-17T23:59:59Z,CN=allencenter.stanford.edu,allencenter.stanford.edu,www.allencenter.stanford.edu,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,4cf7b56eba98f16def8d5acc3e3a8ac4,e747d4aecffdcab3126cfc20b15ae2b1491d3794f711349bbe960b41f5545645,ctls,allencenter.stanford.edu,google,443,https://allencenter.stanford.edu:443,https,Pepyaka/1.19.10,text/html,GET,34.117.168.233,/,1010985170,34.117.168.233,Wix,63,False,True,,,,,,,
alloy.stanford.edu,Stanford Artificial Intelligence Laboratory,200,98923,ai.stanford.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-11-03T00:00:00Z,2023-11-03T23:59:59Z,"CN=ai.stanford.edu, O=Stanford University, ST=California, C=US",ai.stanford.edu,ai.stanford.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,19ae6093c8f285b7c21530693422dc2b,3c464ca501da36b7d78ae2709282915208899470916e3543ce733b89e6605061,ctls,ai.stanford.edu,,443,https://alloy.stanford.edu:443,https,Apache/2.4.37,text/html,GET,171.64.68.10,/,-1840324437,171.64.68.10,WordPress:6.2,707,False,,,,Stanford University,,https://ai.stanford.edu/,,
almond-static.stanford.edu,,400,397,almond-static.stanford.edu,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-12T00:00:00Z,2023-10-12T23:59:59Z,"CN=almond-static.stanford.edu, O=Stanford University, ST=California, C=US",almond-static.stanford.edu,almond-static.stanford.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,b344bf59603026b77ddf6e9ca8dda1ce,76ac463da3d2d1c32c0cea5cdfcce78d965831bc23e1ec07d4dcb0239a381ffc,ctls,almond-static.stanford.edu,cloudfront,443,https://almond-static.stanford.edu:443,https,AmazonS3,application/xml,GET,13.32.27.50,/,-486515079,2600:9000:211e:6800:15:b0a9:4100:93a1,Amazon Web Services,2,False,True,,,Stanford University,,,,
alpineclub.stanford.edu,Stanford Alpine Club,200,114271,alpineclub.stanford.edu,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-18T02:56:43Z,2023-07-17T03:46:35Z,CN=alpineclub.stanford.edu,alpineclub.stanford.edu,alpineclub.stanford.edu,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,f75bdcab86c773c44d41cd14dc45a8eb,85e42afff44b6479de2fc1d3558fb045331f3796f976516f35d4fac803c0ded8,ctls,alpineclub.stanford.edu,,443,https://alpineclub.stanford.edu:443,https,ESF,text/html,GET,142.250.186.83,/,-1477981230,2a00:1450:4001:828::2013,,25,False,,https://google-admin.corp.google.com/,,,,,,
alpslab.stanford.edu,Home,200,6569,alpslab.stanford.edu,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-25T21:39:10Z,2023-07-24T21:39:09Z,CN=alpslab.stanford.edu,alpslab.stanford.edu,alpslab.stanford.edu,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,1fa0dfe8bf0b3075f132d13ae0b5996a,24576d4585e0d1618281b0b1f83ec219c20d817e03b60dcec90d5a08a66fdcf1,ctls,alpslab.stanford.edu,,443,https://alpslab.stanford.edu:443,https,GitHub.com,text/html,GET,185.199.111.153,/,-1700323260,2606:50c0:8002::153,Varnish,170,False,,,,,,,,
alt.stanford.edu,Access forbidden : Stanford University,403,5471,alt.stanford.edu,443,True,tls12,TLS_RSA_WITH_AES_128_GCM_SHA256,2023-05-05T00:00:00Z,2024-05-04T23:59:59Z,"CN=stanford.edu, O=Stanford University, ST=California, C=US",stanford.edu,www-v6.stanford.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,6e50ace6409cd02ee665f3112237bb52,d4d0b2f39624e14730b74d57fc150a18d3fed5c1f24754ee9bea40b3d7df8e6e,ctls,alt.stanford.edu,,443,https://alt.stanford.edu:443,https,Apache,text/html,GET,171.67.215.200,/,1495961220,2607:f6d0:0:925a::ab43:d7c8,HSTS,123,False,,,,Stanford University,True,,,
alu.stanford.edu,Appropriate Lab Utilization,200,5403,pathologists.stanford.edu,443,True,tls12,TLS_RSA_WITH_AES_128_GCM_SHA256,2023-05-05T00:00:00Z,2024-05-04T23:59:59Z,"CN=stanford.edu, O=Stanford University, ST=California, C=US",stanford.edu,www-v6.stanford.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,6e50ace6409cd02ee665f3112237bb52,d4d0b2f39624e14730b74d57fc150a18d3fed5c1f24754ee9bea40b3d7df8e6e,ctls,pathologists.stanford.edu,,80,http://alu.stanford.edu:80,http,Apache,text/html,GET,54.81.116.232,/,1494302000,54.81.116.232,HSTS,123,False,,,,Stanford University,True,https://pathologists.stanford.edu/alu/index.html,,
alumni-esc.stanford.edu,Alumni | Stanford Doerr School of Sustainability,200,133517,sustainability.stanford.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-29T00:00:00Z,2023-09-29T23:59:59Z,"CN=stanford.edu, O=Stanford University, ST=California, C=US",stanford.edu,sites.stanford.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,ba79de701433a1bbb7ae5adf8ba7cbe3,73b5d7a20c9dad276dfbf9c390ec5ad3ab464de77150592f2ab56cb1c8c561c2,ctls,sustainability.stanford.edu,,80,http://alumni-esc.stanford.edu:80,http,nginx,text/html,GET,54.81.116.232,/,566218143,54.81.116.232,Varnish,1246,False,,,,Stanford University,True,https://sustainability.stanford.edu/alumni,True,
alumni-soe.stanford.edu,Welcome Engineering Alumni | Stanford University School of Engineering,200,133952,engineering.stanford.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-29T00:00:00Z,2023-09-29T23:59:59Z,"CN=stanford.edu, O=Stanford University, ST=California, C=US",stanford.edu,sites.stanford.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,ba79de701433a1bbb7ae5adf8ba7cbe3,73b5d7a20c9dad276dfbf9c390ec5ad3ab464de77150592f2ab56cb1c8c561c2,ctls,engineering.stanford.edu,,80,http://alumni-soe.stanford.edu:80,http,nginx,text/html,GET,54.81.116.232,/,1494302000,54.81.116.232,Varnish,845,False,,,,Stanford University,True,https://engineering.stanford.edu/get-involved/welcome-engineering-alumni,True,
alumni-sso-uat.stanford.edu,ADAPT SSO Service Provider,200,464,alumni-sso-uat.stanford.edu,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-16T17:50:22Z,2023-06-14T17:50:21Z,CN=adapt-sso-uat.stanford.edu,adapt-sso-uat.stanford.edu,myaccount-sso-uat.stanford.edu,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,8ac5415907946bb342bfb8c14a58c93f,b871a1e5c44afd527c0857416cd81281401e344420d1d021592d9d9876c11d90,ctls,alumni-sso-uat.stanford.edu,,443,https://alumni-sso-uat.stanford.edu:443,https,Netlify,text/html,GET,18.198.149.45,/,-1891070546,2a05:d014:275:cb00:ce75:162:d945:5f34,Netlify,16,False,,*.storyblok.com,,,,,,
alumni-sso.stanford.edu,ADAPT SSO Service Provider,200,464,alumni-sso.stanford.edu,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T23:50:48Z,2023-07-23T23:50:47Z,CN=adapt-sso.stanford.edu,adapt-sso.stanford.edu,myaccount-sso.stanford.edu,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,1bb32051d1abb4b7e4f53960f78d1bee,38821818fce8ce7bad68763fc0d4e419290c6077845586a4ad2c2cc0f4ab0827,ctls,alumni-sso.stanford.edu,,443,https://alumni-sso.stanford.edu:443,https,Netlify,text/html,GET,3.65.48.84,/,-1891070546,2a05:d014:275:cb01:949b:27e2:ac2c:f10b,Netlify,16,False,,*.storyblok.com,,,,,,
alumni.gsb.stanford.edu,Alumni | Stanford Graduate School of Business,200,572459,www.gsb.stanford.edu,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-25T06:45:36Z,2023-07-24T06:45:35Z,CN=public-live.gsb.stanford.edu,public-live.gsb.stanford.edu,www.gsb.stanford.edu,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,07ec5ed4e335379e5331b2b25524090e,355bf01e8a405ae17921b4a78417a52f5c4aab3f3e2a1d05dfe9e7efac63730f,ctls,www.gsb.stanford.edu,,80,http://alumni.gsb.stanford.edu:80,http,nginx,text/html,GET,171.67.46.251,/,1004589529,171.67.46.251,Varnish,13346,False,,,,,,https://www.gsb.stanford.edu/alumni,,
alumni.law.stanford.edu,,200,31,alumni.law.stanford.edu,443,True,tls13,TLS_AES_256_GCM_SHA384,2020-01-15T00:00:00Z,2022-01-14T23:59:59Z,"CN=law.stanford.edu, OU=IT Services, O=Stanford University, street=450 Serra Mall, L=Stanford, ST=California, postalCode=94305, C=US",law.stanford.edu,*.law.stanford.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,5822fe0a0436116c65cad3dbb74435dd,2aa2e003e688bf181cac14c680a16cfdd4346f9c5e3a7326018b8da2f1fee5b6,ctls,alumni.law.stanford.edu,,443,https://alumni.law.stanford.edu:443,https,Apache,text/html,GET,171.64.210.243,/,-2116824842,171.64.210.243,HSTS,2,False,,,True,Stanford University,True,,,
alumni.stanford.edu,Welcome to the Stanford Alumni Association | Stanford Alumni Association,200,372822,alumni.stanford.edu,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-21T23:06:35Z,2023-07-20T23:06:34Z,CN=alumni.stanford.edu,alumni.stanford.edu,youngalumni.alumni.stanford.edu,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,c6092c10593aa49c65a0b2b59e7fe2a4,b9d1a3ef2f2e3dc4168dc698bafdeceab582332e8686b328ad612680ceeb8120,ctls,alumni.stanford.edu,,443,https://alumni.stanford.edu:443,https,Netlify,text/html,GET,147.75.40.150,/,961668727,147.75.40.150,webpack,462,False,,https:,,,,,,
alumnicenterevents.alumni.stanford.edu,Alumni Center Events | Stanford Alumni Association,200,352800,alumni.stanford.edu,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-21T23:06:35Z,2023-07-20T23:06:34Z,CN=alumni.stanford.edu,alumni.stanford.edu,youngalumni.alumni.stanford.edu,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,c6092c10593aa49c65a0b2b59e7fe2a4,b9d1a3ef2f2e3dc4168dc698bafdeceab582332e8686b328ad612680ceeb8120,ctls,alumni.stanford.edu,google,443,https://alumnicenterevents.alumni.stanford.edu:443,https,Netlify,text/html,GET,35.234.94.17,/,531634654,2a05:d014:275:cb01:457d:6b8c:73fc:8f8f,webpack,466,False,True,https:,,,,https://alumni.stanford.edu/alumni-center-events/,,
alumnicenterevents.stanford.edu,Event Spaces | Stanford Alumni Association,200,378113,alumni.stanford.edu,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-21T23:06:35Z,2023-07-20T23:06:34Z,CN=alumni.stanford.edu,alumni.stanford.edu,youngalumni.alumni.stanford.edu,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,c6092c10593aa49c65a0b2b59e7fe2a4,b9d1a3ef2f2e3dc4168dc698bafdeceab582332e8686b328ad612680ceeb8120,ctls,alumni.stanford.edu,,443,https://alumnicenterevents.stanford.edu:443,https,Netlify,text/html,GET,54.81.116.232,/,1494302000,54.81.116.232,webpack,462,False,,https:,,,,https://alumni.stanford.edu/alumni-center-events/event-spaces/,,
alumnilogin.stanford.edu,,200,,alumnilogin.stanford.edu,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-18T00:00:00Z,2024-05-18T23:59:59Z,"CN=*.us1.gigya.com, O=SAP SE, L=Walldorf, ST=Baden-Württemberg, C=DE",*.us1.gigya.com,*.my.console.us1-st1.cdc.cloud.sap,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,93d6168193f0cc3140006300e8e13c09,d7ba4740c9e3219eb618f08e98a0e5d8f6c355e281354829ede613ec5cb8d9da,ctls,alumnilogin.stanford.edu,,443,https://alumnilogin.stanford.edu:443,https,,text/html,GET,18.210.153.8,/,-1516177449,18.210.235.241,,1,False,,,,SAP SE,True,,True,
ambadylab.stanford.edu,Access forbidden : Stanford University,403,5471,ambadylab.stanford.edu,443,True,tls12,TLS_RSA_WITH_AES_128_GCM_SHA256,2023-05-05T00:00:00Z,2024-05-04T23:59:59Z,"CN=stanford.edu, O=Stanford University, ST=California, C=US",stanford.edu,www-v6.stanford.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,6e50ace6409cd02ee665f3112237bb52,d4d0b2f39624e14730b74d57fc150a18d3fed5c1f24754ee9bea40b3d7df8e6e,ctls,ambadylab.stanford.edu,,443,https://ambadylab.stanford.edu:443,https,Apache,text/html,GET,171.67.215.200,/,1495961220,2607:f6d0:0:925a::ab43:d7c8,HSTS,123,False,,,,Stanford University,True,,,
amcom-amc-tst.stanford.edu,IIS Windows Server,200,703,amcom-amc-tst.stanford.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-06-20T00:00:00Z,2023-06-20T23:59:59Z,"CN=amcom-amc-tst.stanford.edu, OU=IT Services, O=Stanford University, ST=California, C=US",amcom-amc-tst.stanford.edu,sp-smapp-d2.stanford.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,059dcf9e511723ee99972b6e01b9031b,7a5931781664c1d2a29acae797756db4f9a1b23e7dcbc062bd18dc2613617179,ctls,amcom-amc-tst.stanford.edu,,443,https://amcom-amc-tst.stanford.edu:443,https,Microsoft-IIS/10.0,text/html,GET,171.67.233.88,/,1631801191,171.67.233.88,Windows Server,32,False,,,,Stanford University,,,,
amcom-amc.stanford.edu,Microsoft Internet Information Services,200,724,amcom-amc.stanford.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-06-20T00:00:00Z,2023-06-20T23:59:59Z,"CN=amcom-amc.stanford.edu, OU=IT Services, O=Stanford University, ST=California, C=US",amcom-amc.stanford.edu,sp-smapp-p2.stanford.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,0372dbc11aca4e99d725402ac0863059,14329f9b4d1a5ecb03e2f94f3045e0236bc65da3fca5c5a4a95a6825877d6bb4,ctls,amcom-amc.stanford.edu,,443,https://amcom-amc.stanford.edu:443,https,Microsoft-IIS/10.0,text/html,GET,171.67.233.87,/,1631801191,171.67.233.87,Windows Server,32,False,,,,Stanford University,,,,
amgbusse.stanford.edu,Anna Grzymala-Busse,200,64306,amgbusse.stanford.edu,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-22T17:52:57Z,2023-06-20T18:34:44Z,CN=amgbusse.stanford.edu,amgbusse.stanford.edu,amgbusse.stanford.edu,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,d81057ed1336fec97a938fece5815c6b,99bc84473a6b7df86938b48d17c7a52054f26abe01043df0dbc32ead1ab59d0d,ctls,amgbusse.stanford.edu,,443,https://amgbusse.stanford.edu:443,https,ESF,text/html,GET,142.250.186.51,/,1470895240,2a00:1450:4001:810::2013,,27,False,,https://google-admin.corp.google.com/,,,,,,
amharic.stanford.edu,African and Middle Eastern Languages | Language Center,200,113846,language.stanford.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-29T00:00:00Z,2023-09-29T23:59:59Z,"CN=stanford.edu, O=Stanford University, ST=California, C=US",stanford.edu,sites.stanford.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,ba79de701433a1bbb7ae5adf8ba7cbe3,73b5d7a20c9dad276dfbf9c390ec5ad3ab464de77150592f2ab56cb1c8c561c2,ctls,language.stanford.edu,,80,http://amharic.stanford.edu:80,http,nginx,text/html,GET,54.81.116.232,/,1494302000,54.81.116.232,Varnish,1053,False,,,,Stanford University,True,https://language.stanford.edu/programs-languages/african-and-middle-eastern-languages,True,
