input,title,status_code,content_length,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,csp_domains_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,tls_wildcard_certificate,tls_mismatched,final_url
rest-pro.upstox.com,,403,23,cloudfront,443,https://rest-pro.upstox.com:443,https,,application/json,GET,13.225.78.53,/,968070783,13.225.78.63,Amazon Web Services,1,False,True,,rest-pro.upstox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-20T00:00:00Z,2024-05-17T23:59:59Z,CN=upstox.com,upstox.com,,*.upstox.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,6b371175fc468158e3ef0df29471d704,94eba1e20247c24b056d3262fae72fd145dfda2d124d6ce8ddcbd83ed86df078,ctls,rest-pro.upstox.com,True,,
roundup.upstox.com,Upstox,200,619,cloudflare,443,https://roundup.upstox.com:443,https,cloudflare,text/html,GET,104.18.0.212,/,1733561871,2606:4700::6812:d4,HSTS,1,False,True,,roundup.upstox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-16T00:00:00Z,2023-12-15T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",roundup.upstox.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",e1385e937bda09160c0b6c34b7674513,1399bd4f27e5af0e8567a0992dd2cdfc1a1266e86a051cd5b4cf48d561ab3160,ctls,roundup.upstox.com,,,
secops.upstox.com,403 Forbidden,403,118,,443,https://secops.upstox.com:443,https,awselb/2.0,text/html,GET,35.154.7.180,/,1344368402,3.7.96.106,,7,False,,,secops.upstox.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-14T00:00:00Z,2023-07-11T23:59:59Z,CN=*.upstox.com,*.upstox.com,,*.prod.upstox.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,6ae3c1281f7474b1bd02164f0e751ce4,aa5d05ef6f858dc4dd4bed4671104e405098516b9284822ccf6645161103c292,ctls,secops.upstox.com,True,,
sensibull.upstox.com,Sensibull | India's first Option Trading Platform,200,10499,cloudflare,443,https://sensibull.upstox.com:443,https,cloudflare,text/html,GET,104.18.0.212,/,10979745,2606:4700::6812:1d4,HSTS,1,False,True,https://7eae552da389ebb083bedadbd9428ed2.report-uri.com/r/d/csp/reportOnly,sensibull.upstox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-13T00:00:00Z,2023-08-12T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sensibull.upstox.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",34825e7a4de3e0d377e1f20a449ba6d5,3bb494a23a17a98237068901d20de553e9fa5fdc3dfc31777fb9b7a59a80cf1a,ctls,sensibull.upstox.com,,,
service-uat.upstox.com,,401,70,cloudflare,443,https://service-uat.upstox.com:443,https,cloudflare,application/json,GET,104.18.3.135,/,836225022,2606:4700::6812:387,HTTP/3,1,False,True,https://endpoint6.collection.us2.sumologic.com/receiver/v1/http/ZaVnC4dhaV2rhVeK_8-2O11aIYbmIoR_QbMhUbG_a9x_T4UXzexbVytyX4hCAFolrKKge1yc6fZyJy0flgJWX0Vh_3EPIK_Qgw1GdpGtV8nMPxnr5Jmd6g==,service-uat.upstox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-24T00:00:00Z,2023-06-23T23:59:59Z,"CN=service-uat.upstox.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",service-uat.upstox.com,"Cloudflare, Inc.",*.service-uat.upstox.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ea2a2ff474fffa621acd3a98baafad29,d4ed832627f734dc90e44e48dec4b1f3df6ef2f9c5b65bf393767eb4d8dfc4a8,ctls,service-uat.upstox.com,True,,
simsim-api.upstox.com,Error 404 (Not Found)!!1,404,1557,cloudflare,443,https://simsim-api.upstox.com:443,https,cloudflare,text/html,GET,104.18.0.212,/,302920777,2606:4700::6812:d4,HSTS,12,False,True,,simsim-api.upstox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-13T00:00:00Z,2023-08-12T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",901506bd2c3acfe04340562ff8339a29,a343dadcb1a4151b487b9f169db075f381d5320d43611d36357ce495f6dc0daa,ctls,simsim-api.upstox.com,,,
sip.upstox.com,,404,76,,443,https://sip.upstox.com:443,https,RTC/7.0,text/plain,GET,52.112.192.139,/,750187110,2603:1027:0:48::20,HSTS,4,False,,,sip.upstox.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,2023-03-28T19:00:19Z,2024-03-22T19:00:19Z,"CN=sipfed.online.lync.com, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",sipfed.online.lync.com,Microsoft Corporation,*.lync.com,"CN=Microsoft Azure TLS Issuing CA 05, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 05,Microsoft Corporation,6e32f8be92e2cf4aff781cff883f13f7,c7f7a0fb5d80892059f25bab5abeb7ffbef9ec512abd9475cf96c0bacc21d3c7,ctls,sip.upstox.com,True,True,
smallcases.upstox.com,Invest in ideas | smallcases on Upstox,200,28993,cloudfront,443,https://smallcases.upstox.com:443,https,AmazonS3,text/html,GET,13.32.121.107,/,-1761190891,13.32.121.79,React,5,False,True,,smallcases.upstox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-15T00:00:00Z,2024-03-14T23:59:59Z,CN=smallcases.upstox.com,smallcases.upstox.com,,smallcases.upstox.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,49d27a5cf80b48e12f90b7060866e250,d75ffff547b9b6cd78f25fe862a3751e091dd7f2a710fbe359358076370a9e4a,ctls,smallcases.upstox.com,,,
sparkline.static-uat.upstox.com,,526,,cloudflare,443,https://sparkline.static-uat.upstox.com:443,https,cloudflare,,GET,104.18.20.40,/,-1840324437,2606:4700::6812:1528,Cloudflare,1,False,True,,sparkline.static-uat.upstox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-08T00:00:00Z,2024-03-07T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",fc12dd5c0ca976b75f3b4b5bf13846b3,d33700fb4ccc708ef84bfab02374af1f51abf55d8279d54ac5c414c7ae24479f,ctls,sparkline.static-uat.upstox.com,,,
sparkline.static.upstox.com,Error 404 (Not Found)!!1,404,1557,cloudflare,443,https://sparkline.static.upstox.com:443,https,cloudflare,text/html,GET,104.18.10.68,/,302920777,2606:4700::6812:b44,Cloudflare,12,False,True,,sparkline.static.upstox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-24T00:00:00Z,2024-01-23T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",0338e4189dbef686fda6272fa1b0c589,b06ffad76b1611aa396d02539ecec095cf3952461043d08a9a2bb30d91f8de81,ctls,sparkline.static.upstox.com,,,
streak.upstox.com,"Streak | Create, backtest and deploy trading strategies",200,3646,cloudflare,443,https://streak.upstox.com:443,https,cloudflare,text/html,GET,104.18.0.212,/,-1582845598,2606:4700::6812:d4,HSTS,1,False,True,,streak.upstox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-13T00:00:00Z,2023-08-12T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",streak.upstox.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",9756422f2b276f9482fd0a3892dd6d8a,edaed4fd499255fc264da071159fddbca3072e816a78f132e9783bac5097562e,ctls,streak.upstox.com,,,
uat-cdn.upstox.com,ERROR: The request could not be satisfied,502,507,cloudfront,443,https://uat-cdn.upstox.com:443,https,CloudFront,text/html,GET,18.66.122.94,/,-246069259,18.66.122.80,Amazon Web Services,16,False,True,,uat-cdn.upstox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-20T00:00:00Z,2024-05-17T23:59:59Z,CN=upstox.com,upstox.com,,*.upstox.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,6b371175fc468158e3ef0df29471d704,94eba1e20247c24b056d3262fae72fd145dfda2d124d6ce8ddcbd83ed86df078,ctls,uat-cdn.upstox.com,True,,
uat-live-api.upstox.com,,403,23,cloudflare,443,https://uat-live-api.upstox.com:443,https,cloudflare,application/json,GET,104.18.0.212,/,968070783,2606:4700::6812:1d4,HSTS,1,False,True,,uat-live-api.upstox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-13T00:00:00Z,2023-08-12T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",uat-live-api.upstox.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",9a9f1963b8f0a0196d9580313a4333ab,1547ef0fb504f75783f75de9af2cf19dd479dded22acfdc50ffe3199bd310fb5,ctls,uat-live-api.upstox.com,,,
uat-live-order-margin-calculator.upstox.com,,200,78,cloudflare,443,https://uat-live-order-margin-calculator.upstox.com:443,https,cloudflare,application/json,GET,104.18.0.212,/,1593207841,2606:4700::6812:1d4,HSTS,1,False,True,,uat-live-order-margin-calculator.upstox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-04T00:00:00Z,2024-04-02T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",bc30e4355a2183eb27e40b97ae5eaaf6,e9ad5f45e53236f79532bce1e28e3e9d30be43a85ff23706afcb8a31c37fecf1,ctls,uat-live-order-margin-calculator.upstox.com,,,
uat-live-ws-api.upstox.com,502 Bad Gateway,502,122,cloudflare,443,https://uat-live-ws-api.upstox.com:443,https,cloudflare,text/html,GET,104.18.0.212,/,590066698,2606:4700::6812:1d4,HSTS,7,False,True,,uat-live-ws-api.upstox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-13T00:00:00Z,2023-08-12T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",f60047db311b6863d3faf87989879e0a,1259675ad9c10c34f4b26a81803b4bc4a8c0f35eb5d4026fbc5e8dcc395fd08e,ctls,uat-live-ws-api.upstox.com,,,
uat-live-ws.upstox.com,Origin DNS error | uat-live-ws.upstox.com | Cloudflare,530,6218,cloudflare,443,https://uat-live-ws.upstox.com:443,https,cloudflare,text/html,GET,104.18.1.212,/,-1173934790,2606:4700::6812:d4,Cloudflare,93,False,True,,uat-live-ws.upstox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-13T00:00:00Z,2023-08-12T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",uat-live-ws.upstox.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",97af3bef3b6cad5c9e3214a1b669b38f,fc30b22a7cf83b77ca69cb47fa033dc0661bb9e96676c1092086c5df6af58836,ctls,uat-live-ws.upstox.com,,,
uat-pro-4.upstox.com,Upstox Pro,200,5497,cloudflare,443,https://uat-pro-4.upstox.com:443,https,cloudflare,text/html,GET,104.18.1.212,/,1733561871,2606:4700::6812:1d4,HSTS,1,False,True,*.pndsn.com,uat-pro.upstox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-31T00:00:00Z,2023-08-30T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",408b40b86447ee4e838bbd2458397047,ee39e75641c6f4d66c0f9739ff0b40b4de88111110035090b2b5820880b197d0,ctls,uat-pro.upstox.com,,,https://uat-pro.upstox.com:443/
uat-pro.upstox.com,Upstox Pro,200,5497,cloudflare,443,https://uat-pro.upstox.com:443,https,cloudflare,text/html,GET,104.18.0.212,/,-1526298489,2606:4700::6812:1d4,HSTS,1,False,True,*.gstatic.com,uat-pro.upstox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-31T00:00:00Z,2023-08-30T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",408b40b86447ee4e838bbd2458397047,ee39e75641c6f4d66c0f9739ff0b40b4de88111110035090b2b5820880b197d0,ctls,uat-pro.upstox.com,,,
uat-referrals-pro.upstox.com,,200,15,cloudflare,443,https://uat-referrals-pro.upstox.com:443,https,cloudflare,application/json,GET,104.18.0.212,/,1593207841,2606:4700::6812:1d4,HSTS,1,False,True,,uat-referrals-pro.upstox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-13T00:00:00Z,2023-08-12T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",uat-referrals-pro.upstox.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",8f4cda175a2f9c69fc76fccde7b55eaf,bd703c089c1580e947ec3078cf3969536e9026233ed0f2843d2c4886735fa2e9,ctls,uat-referrals-pro.upstox.com,,,
uplink.upstox.com,Upstox Accounts,200,3352,cloudflare,443,https://uplink.upstox.com:443,https,cloudflare,text/html,GET,104.18.0.212,/,1733561871,2606:4700::6812:1d4,HSTS,1,False,True,,uplink.upstox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-05T00:00:00Z,2024-05-03T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",uplink.upstox.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",fd447636ca11fb4bb5066cbe2fc43038,3eae74bf8eb13bb3faa607859557d271b7bb3aa9d4dd69b08d4ab76ecd1c1b36,ctls,uplink.upstox.com,,,
upstox-api-rest-service-b.prod.upstox.com,,200,96,,443,https://upstox-api-rest-service-b.prod.upstox.com:443,https,,application/json,GET,43.205.152.142,/,578579,3.6.106.242,Node.js,1,False,,,upstox-api-rest-service-b.prod.upstox.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-14T00:00:00Z,2023-07-11T23:59:59Z,CN=*.upstox.com,*.upstox.com,,*.prod.upstox.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,6ae3c1281f7474b1bd02164f0e751ce4,aa5d05ef6f858dc4dd4bed4671104e405098516b9284822ccf6645161103c292,ctls,upstox-api-rest-service-b.prod.upstox.com,True,,
upstox-api-ws-service.prod.upstox.com,,200,96,,443,https://upstox-api-ws-service.prod.upstox.com:443,https,,application/json,GET,13.126.116.70,/,1343795500,35.154.48.122,Node.js,1,False,,,upstox-api-ws-service.prod.upstox.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-14T00:00:00Z,2023-07-11T23:59:59Z,CN=*.upstox.com,*.upstox.com,,*.prod.upstox.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,6ae3c1281f7474b1bd02164f0e751ce4,aa5d05ef6f858dc4dd4bed4671104e405098516b9284822ccf6645161103c292,ctls,upstox-api-ws-service.prod.upstox.com,True,,
validate.upstox.com,,200,57,cloudflare,443,https://validate.upstox.com:443,https,cloudflare,application/json,GET,104.18.0.212,/,1733561871,2606:4700::6812:1d4,Node.js,1,False,True,,validate.upstox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-13T00:00:00Z,2023-08-12T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",validate.upstox.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",b5f588552ed233d082c94eecfd1837df,097c615ff9ba09cdf52f121755586a69ba357eac8832325d3cd6fec4cfb7016d,ctls,validate.upstox.com,,,
webapp-uat-dev-1346.upstox.com,502 Bad Gateway,502,122,cloudflare,443,https://webapp-uat-dev-1346.upstox.com:443,https,cloudflare,text/html,GET,104.18.0.212,/,590066698,2606:4700::6812:d4,HSTS,7,False,True,,webapp-uat-dev-1346.upstox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-13T00:00:00Z,2023-08-12T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",webapp-uat-dev-1346.upstox.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",1419ffc0420b2abb93879a0fc104d28e,260cd68ef8cf18d6f7d51ed065dcd9ed437a26ab991c877d8b7d6ec0f64718da,ctls,webapp-uat-dev-1346.upstox.com,,,
www.upstox.com,Trading - Online Share Market Trading App in India - Best Stock Trading Platform,200,339280,cloudfront,443,https://www.upstox.com:443,https,nginx,text/html,GET,18.155.129.78,/,-1840324437,2600:9000:244f:8400:0:c47c:5c0:93a1,WordPress,2626,False,True,,upstox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-12T00:00:00Z,2024-05-09T23:59:59Z,CN=upstox.com,upstox.com,,*.upstox.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,fa7215293b6fb43a5df522b1145ffc18,a6f957d555d4d4ce3c46174d8e99e238968d908caca98d8b6afdd73c3dd1eb1a,ctls,upstox.com,True,,https://upstox.com:443/
