input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,content_type,method,host,path,favicon,tech_,lines,failed,cdn,tls_mismatched,tls_subject_org_,webserver,final_url,chain_status_codes_,csp_domains_,location
polopoly.atg.se,Sign On,200,5934,lpoamw.atg.se,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-05-03T00:00:00Z,2023-06-03T23:59:59Z,"CN=*.atg.se, O=AB Trav och Galopp, L=Bromma, C=SE",*.atg.se,atg.se,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,5f5c6ac81e5567d97fd4096e2bb4bbce,5dfdbdea19ed50e2e662dd78378df8c6789383a1a925893bea37cf0177f77baa,True,ctls,lpoamw.atg.se,,443,https://polopoly.atg.se:443,https,text/html,GET,195.198.34.237,/,375133320,Oracle Dynamic Monitoring Service,238,False,,,AB Trav och Galopp,,https://lpoamw.atg.se:443/oaam_server/oamLoginPage.jsp?tap_token=v2.0%7EOAAMTAPPartner%7ENEVGMzc3MkYyRTU0MDE3MjA3RkRGQn40NTI3QzlFQkVDMTE3REFBOEE5MDlGQUE2Njc3MEJGQjU1NUM4OEQ0fjMyRDJFQjhGMTVBODcwNjNBMDREQTAyNjMxRTlGQ0FCfjkyRUI4RUUzRUY4Qjk3MTIyNkZEMTc1ODc4QjhEMTk2M0REMjk2RkM5Mzk4REM2MjJBNjUyNjkwNUJFNEFBRkZERjQyOTgwNDJGNzRGN0M3NTE5OTU0MUUwNUU3OUNGN0JDMEZGOEI3QzNEMEQ1MzJDN0ZCQ0ZFRjQ1NTZGOUE1QTU1MUM4ODg1NzRFOUY2MjcxODU4MjI4QUU2MTJCMTkzRkMzOEI0MTgzQTNFMEJCRkM0RkY0REM1MDlERUUzMzcyOEQ1M0VGN0I0NkVCMTVCNjk5OTk5QkVENjhDQTE5MTFFQTQyM0M1MUNFQzlCNjhBQkRGRUNBQzY3M0FCNDM%3D&TapSubmitURL=https%3A%2F%2Flpoamw.atg.se%3A443%2Foam%2Fserver%2Fdap%2Fcred_submit&authn_try_count=0&contextType=external&TAPPartnerId=OAAMTAPPartner&SERVER_HOST_ALIAS=OAMSERVER&MatchLDAPAttribute=uid&daptoken=string&challenge_url=%2Foaam_server%2FoamLoginPage.jsp&TAPOverrideResource=http%3A%2F%2FIAMSuiteAgent%3A80%2FoamTAPAuthenticate&request_id=1906604571147695519&locale=en_US&resource_url=https%253A%252F%252Fpolopoly.atg.se%252Fpolopoly,200,,
print.atg.se,,302,,print.atg.se,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-05-03T00:00:00Z,2023-06-03T23:59:59Z,"CN=*.atg.se, O=AB Trav och Galopp, L=Bromma, C=SE",*.atg.se,atg.se,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,5f5c6ac81e5567d97fd4096e2bb4bbce,5dfdbdea19ed50e2e662dd78378df8c6789383a1a925893bea37cf0177f77baa,True,ctls,print.atg.se,,443,https://print.atg.se:443,https,text/html,GET,195.198.34.77,/,528847340,HSTS,1,False,,,AB Trav och Galopp,,https://print.atg.se/ords/r/infocore_external/atgprint/login_desktop?session=27640062957822,302,,http://print.atg.se/ords/r/infocore_external/atgprint/home?session=14462224401985
prod.streaming.aws.atg.se,,403,23,prod.streaming.aws.atg.se,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2023-09-06T23:59:59Z,CN=prod.streaming.aws.atg.se,prod.streaming.aws.atg.se,*.prod.streaming.aws.atg.se,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,28b2fc0ae433d7c5a8a65dc3396ff96c,42c4bda8afdb1b6eba2992b0ba2527239ee7ffd98e84e656f5481f471d4bec26,True,ctls,prod.streaming.aws.atg.se,cloudfront,443,https://prod.streaming.aws.atg.se:443,https,application/json,GET,108.138.7.73,/,968070783,Amazon Web Services,1,False,True,,,,,,,
promo.atg.se,,400,351,promo.atg.se,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-22T00:00:00Z,2023-09-21T23:59:59Z,"CN=promo.atg.se, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",promo.atg.se,promo.atg.se,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",d47614966a8df52b1528ae6358562411,ae887fa1296543d85e615f694169eca27e71e9cbd3fceb1bea061b2846ad81f6,,ctls,promo.atg.se,cloudflare,443,https://promo.atg.se:443,https,application/xml,GET,104.16.78.104,/,546401282,Cloudflare,3,False,True,,"Cloudflare, Inc.",cloudflare,,,,
qa.search.atg.se,,403,23,qa.search.atg.se,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-17T00:00:00Z,2024-04-14T23:59:59Z,CN=*.search.atg.se,*.search.atg.se,*.search.atg.se,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,aa2ea698a730c4930252b3ceeac4097c,3c22047098e3a010e7aac53ba0e71360ecfdc4293af8ea3917138b875614c3a7,True,ctls,qa.search.atg.se,cloudfront,443,https://qa.search.atg.se:443,https,application/json,GET,52.222.214.69,/,968070783,Amazon Web Services,1,False,True,,,,,,,
remote.atg.se,BIG-IP logout page,200,5274,remote.atg.se,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-05-03T00:00:00Z,2023-06-03T23:59:59Z,"CN=*.atg.se, O=AB Trav och Galopp, L=Bromma, C=SE",*.atg.se,atg.se,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,5f5c6ac81e5567d97fd4096e2bb4bbce,5dfdbdea19ed50e2e662dd78378df8c6789383a1a925893bea37cf0177f77baa,True,ctls,remote.atg.se,,443,https://remote.atg.se:443,https,text/html,GET,185.134.13.25,/,878647854,F5 BigIP,131,False,,,AB Trav och Galopp,BigIP,https://remote.atg.se/my.logout.php3?errorcode=19,200,,
search.atg.se,,403,23,search.atg.se,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-17T00:00:00Z,2024-04-14T23:59:59Z,CN=search.atg.se,search.atg.se,search.atg.se,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,54ea8547794b1282557e81b9bbfd3b94,af4a4a49702d7f3e6673ea298b49dfeca9e7b4d5bead97340d42843a52fd87f5,,ctls,search.atg.se,cloudfront,443,https://search.atg.se:443,https,application/json,GET,52.222.214.69,/,968070783,Amazon Web Services,1,False,True,,,,,,,
sip.atg.se,,404,75,sip.atg.se,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,2023-03-28T19:00:19Z,2024-03-22T19:00:19Z,"CN=sipfed.online.lync.com, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",sipfed.online.lync.com,*.lync.com,"CN=Microsoft Azure TLS Issuing CA 05, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 05,Microsoft Corporation,6e32f8be92e2cf4aff781cff883f13f7,c7f7a0fb5d80892059f25bab5abeb7ffbef9ec512abd9475cf96c0bacc21d3c7,True,ctls,sip.atg.se,,443,https://sip.atg.se:443,https,text/plain,GET,52.112.196.46,/,85715182,HSTS,4,False,,True,Microsoft Corporation,RTC/7.0,,,,
smetric.atg.se,,200,,smetric.atg.se,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,2024-03-08T23:59:59Z,"CN=*.sc.omtrdc.net, O=Adobe Systems Incorporated, L=San Jose, ST=California, C=US",*.sc.omtrdc.net,sc.omtrdc.net,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,5aea0482f5687fba1e7b20b2977a3e7a,1a773e957c8bb8819956df96b254fce6c3d34e51c3a7073ffe3ac7833bfc089f,True,ctls,smetric.atg.se,,443,https://smetric.atg.se:443,https,,GET,63.140.62.160,/,1936786007,,1,False,,True,Adobe Systems Incorporated,jag,,,,
spela.atg.se,ATG,200,16250,www.atg.se,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-06-15T00:00:00Z,2023-06-15T23:59:59Z,"CN=www.atg.se, O=AB Trav och Galopp, L=Bromma, C=SE, serialNumber=5561804161, businessCategory=Private Organization, jurisdictionCountry=SE, businessCategory=Private Organization, jurisdictionCountry=SE",www.atg.se,atg.se,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,a2e7108b25190c0aa3eb9f6414ad2a6d,d20af34aed0e3922d6cb51cb7ce0ef33fbb517fd17e73c5e4368db5d772e7e09,,ctls,www.atg.se,,443,https://spela.atg.se:443,https,text/html,GET,195.198.34.108,/,1077389992,Varnish:5.2,97,False,,,AB Trav och Galopp,,https://www.atg.se/?originsite=spela,200,,
spelskolan.atg.se,Websupport - websupport.se | Apache Cluster 30,200,6520,,,,,,,,,,,,,,,,,,,,80,http://spelskolan.atg.se:80,http,text/html,GET,195.74.38.136,/,-620920616,PHP:5.6.40,294,False,,,,Apache,,,,
sso.aws.atg.se,Signin,200,6042,atg-azure-sso.auth.eu-west-1.amazoncognito.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-28T00:00:00Z,2024-02-26T23:59:59Z,CN=*.auth.eu-west-1.amazoncognito.com,*.auth.eu-west-1.amazoncognito.com,auth.eu-west-1.amazoncognito.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,73e207c67344fc8a1b1c0aa709b0fc75,ce29048a299dd221d8740c98aec633286b25ea508fecfe48e057dbdb04b699b4,True,ctls,atg-azure-sso.auth.eu-west-1.amazoncognito.com,cloudfront,443,https://sso.aws.atg.se:443,https,text/html,GET,13.32.121.97,/,1339002629,HSTS,163,False,True,,,Server,https://atg-azure-sso.auth.eu-west-1.amazoncognito.com/login?response_type=code&client_id=3d00u1t4losae592qgju1ddsag&scope=email+openid&redirect_uri=https%3A%2F%2Fsso.aws.atg.se%2Fauthorize,200,,
startlists.aws.atg.se,401 Authorization Required,401,670,startlists.aws.atg.se,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-14T00:00:00Z,2023-08-19T23:59:59Z,CN=startlists.aws.atg.se,startlists.aws.atg.se,startlists.aws.atg.se,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,1543d82c3eba8ccaf9b5003c9f1aa2c1,6d0d3d31d34b96f4e45da22038ac3ad1c776feb07442ae07110ed44bd2a234aa,,ctls,startlists.aws.atg.se,,443,https://startlists.aws.atg.se:443,https,text/html,GET,54.195.66.19,/,1209440599,Nginx:1.22.0,8,False,,,,nginx/1.22.0,,,,
swagger.atg.se,,403,23,swagger.atg.se,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-14T00:00:00Z,2024-03-14T23:59:59Z,CN=swagger.atg.se,swagger.atg.se,*.swagger.atg.se,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,1f3baabc23967a38483dd05d51152432,aff703378a15a63d31cc0323812cf5b9b9781ce697bd9bdc2fc54f1581d1be16,True,ctls,swagger.atg.se,,443,https://swagger.atg.se:443,https,application/json,GET,13.49.141.154,/,968070783,,1,False,,,,,,,,
t.email.atg.se,302 Found,302,207,t.email.atg.se,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-15T00:00:00Z,2024-02-20T23:59:59Z,"CN=t.email.atg.se, O=AB Trav och Galopp, L=Bromma, C=SE",t.email.atg.se,www.t.email.atg.se,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,a96576a050642115b40c0568791b8d9c,4906b668d4a332223c546a6584ee602ff756c44614d6a8cc2ae74d7c1b8ad6fb,,ctls,t.email.atg.se,,443,https://t.email.atg.se:443,https,text/html,GET,52.213.160.179,/,-780928015,Apache,8,False,,,AB Trav och Galopp,Apache,https://t.email.atg.se/,302,,https://t.email.atg.se/
t.news.atg.se,404,404,217,t.news.atg.se,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-11-01T00:00:00Z,2023-11-01T23:59:59Z,"CN=t.news.atg.se, O=AB Trav och Galopp, L=Bromma, C=SE",t.news.atg.se,www.t.news.atg.se,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,c2a8c64c7e94f714584379b1ddfa76b8,e62de1b966349c01078668df512a35cc384ef6df72eecdaea332ce5815d55453,,ctls,t.news.atg.se,,443,https://t.news.atg.se:443,https,text/html,GET,99.81.50.75,/,-771924771,Apache,12,False,,,AB Trav och Galopp,Apache,,,,
test.developer.atg.se,Signin,200,6042,atg-azure-sso.auth.eu-west-1.amazoncognito.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-28T00:00:00Z,2024-02-26T23:59:59Z,CN=*.auth.eu-west-1.amazoncognito.com,*.auth.eu-west-1.amazoncognito.com,auth.eu-west-1.amazoncognito.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,73e207c67344fc8a1b1c0aa709b0fc75,ce29048a299dd221d8740c98aec633286b25ea508fecfe48e057dbdb04b699b4,True,ctls,atg-azure-sso.auth.eu-west-1.amazoncognito.com,cloudfront,443,https://test.developer.atg.se:443,https,text/html,GET,13.32.121.109,/,-117908899,HSTS,163,False,True,,,Server,https://atg-azure-sso.auth.eu-west-1.amazoncognito.com/login?response_type=code&client_id=3d00u1t4losae592qgju1ddsag&scope=email+openid&redirect_uri=https%3A%2F%2Fsso.aws.atg.se%2Fauthorize,200,,
test1.dev.atg.se,Signin,200,6046,atgsso.auth.eu-west-1.amazoncognito.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-28T00:00:00Z,2024-02-26T23:59:59Z,CN=*.auth.eu-west-1.amazoncognito.com,*.auth.eu-west-1.amazoncognito.com,auth.eu-west-1.amazoncognito.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,73e207c67344fc8a1b1c0aa709b0fc75,ce29048a299dd221d8740c98aec633286b25ea508fecfe48e057dbdb04b699b4,True,ctls,atgsso.auth.eu-west-1.amazoncognito.com,cloudfront,443,https://test1.dev.atg.se:443,https,text/html,GET,143.204.215.6,/,-1703214460,HSTS,163,False,True,,,Server,https://atgsso.auth.eu-west-1.amazoncognito.com/login?response_type=code&client_id=29s14b0l1o9atnuc733u2lg9r6&scope=email+openid&redirect_uri=https%3A%2F%2Fauth.dev.atg.se%2Fauthorize,200,,
tillsammans.atg.se,,200,,tillsammans.atg.se,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-25T00:00:00Z,2023-11-03T23:59:59Z,"CN=tillsammans.atg.se, O=AB Trav och Galopp, L=Bromma, C=SE, serialNumber=556180-4161, businessCategory=Private Organization, jurisdictionCountry=SE, businessCategory=Private Organization, jurisdictionCountry=SE",tillsammans.atg.se,www.tillsammans.atg.se,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,58d832182f9e04177a0fdcfb14e5b174,ef6286518bd35ac48e362228c470fb742bb04d3602781106e66cde70da680777,,ctls,tillsammans.atg.se,,443,https://tillsammans.atg.se:443,https,text/html,GET,195.198.34.41,/,-429731846,Java,1,False,,,AB Trav och Galopp,,,,,
umbraco.atg.se,Sign On,200,6125,lpoamw.atg.se,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-05-03T00:00:00Z,2023-06-03T23:59:59Z,"CN=*.atg.se, O=AB Trav och Galopp, L=Bromma, C=SE",*.atg.se,atg.se,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,5f5c6ac81e5567d97fd4096e2bb4bbce,5dfdbdea19ed50e2e662dd78378df8c6789383a1a925893bea37cf0177f77baa,True,ctls,lpoamw.atg.se,,443,https://umbraco.atg.se:443,https,text/html,GET,195.198.34.238,/,1631801191,Oracle Dynamic Monitoring Service,242,False,,,AB Trav och Galopp,,https://lpoamw.atg.se:443/oaam_server/oamLoginPage.jsp?tap_token=v2.0%7EOAAMTAPPartner%7ENEUxMzg1QUQ3NjBERkE2RUUxRDI2M35GRTg4MDZCQjhGODJFQUE2RkE3RDYwMTY4ODRFRkQ0RjFCQzhDQTJGfjkyNDY0MjYyQjI5MDdCNkY3ODQ3RjhBREZCNzRFMzE5fjJBOEYwRTA4M0VFQUUxMTQwMkI1OEIyNjBFNDFCOEQwQzJDMzc3NTBGRDhENTg5MEFEM0VGNTdFNzczOEZCRDA5REUyQjlFRTNGQjkyNDI0MjQyMDMzNzc0NkQ4NjEzNDM3QzI1Q0E5NzI2RUM5RDMzNzM5QTE5RDA1RTJCMUE4RDIzQTlDMTU1QTgxNzZCNUEwN0MwOTdENzYzQzA3QURGMEU0MEE3RTBDOEQ5MEJFMTg5ODU1NUY5MDBFQ0U0NUVGRTZBRjczM0Q5QTlBMDRBN0E4RDNDMkRBRTZBMEIzRThGMDM1REJFNjg3MkQzN0IxRThDNURBMEQ3QkNEQjc%3D&TapSubmitURL=https%3A%2F%2Flpoamw.atg.se%3A443%2Foam%2Fserver%2Fdap%2Fcred_submit&authn_try_count=0&contextType=external&TAPPartnerId=OAAMTAPPartner&SERVER_HOST_ALIAS=OAMSERVER&MatchLDAPAttribute=uid&daptoken=string&challenge_url=%2Foaam_server%2FoamLoginPage.jsp&TAPOverrideResource=http%3A%2F%2FIAMSuiteAgent%3A80%2FoamTAPAuthenticate&request_id=-3127272046715334806&locale=en_US&resource_url=https%253A%252F%252Fumbraco.atg.se%252Fumbraco,200,,
vmiv75.atg.se,ATG,200,16253,www.atg.se,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-06-15T00:00:00Z,2023-06-15T23:59:59Z,"CN=www.atg.se, O=AB Trav och Galopp, L=Bromma, C=SE, serialNumber=5561804161, businessCategory=Private Organization, jurisdictionCountry=SE, businessCategory=Private Organization, jurisdictionCountry=SE",www.atg.se,atg.se,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,a2e7108b25190c0aa3eb9f6414ad2a6d,d20af34aed0e3922d6cb51cb7ce0ef33fbb517fd17e73c5e4368db5d772e7e09,,ctls,www.atg.se,,443,https://vmiv75.atg.se:443,https,text/html,GET,195.198.34.39,/,-1579516024,Varnish:5.2,97,False,,,AB Trav och Galopp,,https://www.atg.se/vmiv75,200,,
waf.dev.atg.se,Signin,200,6046,atgsso.auth.eu-west-1.amazoncognito.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-28T00:00:00Z,2024-02-26T23:59:59Z,CN=*.auth.eu-west-1.amazoncognito.com,*.auth.eu-west-1.amazoncognito.com,auth.eu-west-1.amazoncognito.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,73e207c67344fc8a1b1c0aa709b0fc75,ce29048a299dd221d8740c98aec633286b25ea508fecfe48e057dbdb04b699b4,True,ctls,atgsso.auth.eu-west-1.amazoncognito.com,cloudfront,443,https://waf.dev.atg.se:443,https,text/html,GET,18.66.112.26,/,1903971397,HSTS,163,False,True,,,Server,https://atgsso.auth.eu-west-1.amazoncognito.com/login?response_type=code&client_id=29s14b0l1o9atnuc733u2lg9r6&scope=email+openid&redirect_uri=https%3A%2F%2Fauth.dev.atg.se%2Fauthorize,200,,
web.dev.atg.se,Signin,200,6046,atgsso.auth.eu-west-1.amazoncognito.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-28T00:00:00Z,2024-02-26T23:59:59Z,CN=*.auth.eu-west-1.amazoncognito.com,*.auth.eu-west-1.amazoncognito.com,auth.eu-west-1.amazoncognito.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,73e207c67344fc8a1b1c0aa709b0fc75,ce29048a299dd221d8740c98aec633286b25ea508fecfe48e057dbdb04b699b4,True,ctls,atgsso.auth.eu-west-1.amazoncognito.com,cloudfront,443,https://web.dev.atg.se:443,https,text/html,GET,143.204.215.6,/,-119164919,HSTS,163,False,True,,,Server,https://atgsso.auth.eu-west-1.amazoncognito.com/login?response_type=code&client_id=29s14b0l1o9atnuc733u2lg9r6&scope=email+openid&redirect_uri=https%3A%2F%2Fauth.dev.atg.se%2Fauthorize,200,,
www.atg.se,ATG,200,16250,www.atg.se,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-06-15T00:00:00Z,2023-06-15T23:59:59Z,"CN=www.atg.se, O=AB Trav och Galopp, L=Bromma, C=SE, serialNumber=5561804161, businessCategory=Private Organization, jurisdictionCountry=SE, businessCategory=Private Organization, jurisdictionCountry=SE",www.atg.se,atg.se,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,a2e7108b25190c0aa3eb9f6414ad2a6d,d20af34aed0e3922d6cb51cb7ce0ef33fbb517fd17e73c5e4368db5d772e7e09,,ctls,www.atg.se,,443,https://www.atg.se:443,https,text/html,GET,195.198.34.30,/,1077389992,Varnish:5.2,97,False,,,AB Trav och Galopp,,,,,
www.kundservice.dev.atg.se,Signin,200,6046,atgsso.auth.eu-west-1.amazoncognito.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-28T00:00:00Z,2024-02-26T23:59:59Z,CN=*.auth.eu-west-1.amazoncognito.com,*.auth.eu-west-1.amazoncognito.com,auth.eu-west-1.amazoncognito.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,73e207c67344fc8a1b1c0aa709b0fc75,ce29048a299dd221d8740c98aec633286b25ea508fecfe48e057dbdb04b699b4,True,ctls,atgsso.auth.eu-west-1.amazoncognito.com,cloudfront,443,https://www.kundservice.dev.atg.se:443,https,text/html,GET,143.204.215.79,/,-1353145242,HSTS,163,False,True,,,Server,https://atgsso.auth.eu-west-1.amazoncognito.com/login?response_type=code&client_id=29s14b0l1o9atnuc733u2lg9r6&scope=email+openid&redirect_uri=https%3A%2F%2Fauth.dev.atg.se%2Fauthorize,200,,
www.tillsammans.atg.se,,200,,tillsammans.atg.se,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-25T00:00:00Z,2023-11-03T23:59:59Z,"CN=tillsammans.atg.se, O=AB Trav och Galopp, L=Bromma, C=SE, serialNumber=556180-4161, businessCategory=Private Organization, jurisdictionCountry=SE, businessCategory=Private Organization, jurisdictionCountry=SE",tillsammans.atg.se,www.tillsammans.atg.se,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,58d832182f9e04177a0fdcfb14e5b174,ef6286518bd35ac48e362228c470fb742bb04d3602781106e66cde70da680777,,ctls,tillsammans.atg.se,,443,https://www.tillsammans.atg.se:443,https,text/html,GET,195.198.34.41,/,-429731846,Java,1,False,,,AB Trav och Galopp,,https://tillsammans.atg.se/,200,,
