input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,lines,failed,csp_domains_,tls_mismatched,tls_wildcard_certificate,cdn_name,tech_,cdn,tls_expired,final_url,location
configurator.intel.com,,200,2166,configurator.intel.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-14T00:00:00Z,2023-10-14T23:59:59Z,"CN=configurator.intel.com, O=Intel Corporation, ST=California, C=US",configurator.intel.com,Intel Corporation,orderconfigurator.intel.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,dfdfb4bcf9e1440ab171f7828873ebab,0567c236e709910670611058ac0a3f15ca95316c8b11b7defad9d4b47d0ca131,ctls,configurator.intel.com,443,https://configurator.intel.com:443,https,,text/html,GET,192.198.160.81,/,-230353730,192.198.160.81,95,False,,,,,Java,,,https://configurator.intel.com/CPQUi/,
connect.intel.com,Intel® - Insights Subscription Page,200,69775,connect.intel.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-03T00:00:00Z,2024-01-03T23:59:59Z,"CN=connect.intel.com, O=Intel Corporation, ST=California, C=US",connect.intel.com,Intel Corporation,connect.intel.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,05b8c401c69f7c01f6a422ae99a2dab6,b969cdd079e1b79ebd862505713560855d812afea64ee7ceede5ddf7250ee548,ctls,connect.intel.com,80,http://connect.intel.com:80,http,,text/html,GET,130.35.201.120,/,-1270699277,130.35.201.120,1087,False,,,,oracle,ZURB Foundation,True,,https://connect.intel.com/,
connected.intel.com,Connected - Login,200,66654,connected.intel.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-07-18T00:00:00Z,2023-07-18T23:59:59Z,"CN=connected.intel.com, O=Intel Corporation, ST=California, C=US",connected.intel.com,Intel Corporation,test.connected.intel.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,d5850ece6f863951236d4314ef0065a6,05938b933c537c8542035814b31bc6ecfb40edc5824dbad88b83401b113994c2,ctls,connected.intel.com,443,https://connected.intel.com:443,https,,text/html,GET,3.21.109.18,/,-1101242862,3.21.109.18,999,False,wss://connected.intel.com,,,,HSTS,,,,
connectimc-mu.intel.com,,200,315,connectimc-mu.intel.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-12-12T08:16:19Z,2023-12-07T08:16:19Z,"CN=scsamc01.intel.com, O=Intel Corporation, L=Santa Clara, ST=California, C=US",scsamc01.intel.com,Intel Corporation,scsamc01.intel.com,"CN=Intel Internal Issuing CA 5A, O=Intel Corporation, C=US",Intel Internal Issuing CA 5A,Intel Corporation,58f29076c80ff216899b3404e14a8d0d,5361a64658281cdbab4b2871a20eb1fe6ca7b3455ae2b0ab7e689f4f73a130a2,ctls,connectimc-mu.intel.com,443,https://connectimc-mu.intel.com:443,https,,text/html,GET,134.191.220.98,/,-1840324437,134.191.220.98,9,False,,True,,,HSTS,,,,
connectpilot-jf.intel.com,,200,4157,connectpilot-jf.intel.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-03T00:00:00Z,2023-11-03T23:59:59Z,"CN=connectpilot.intel.com, O=Intel Corporation, ST=California, C=US",connectpilot.intel.com,Intel Corporation,icc-portal-srr.ice.intel.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,d3562bf2c0183293a09346ad45828daa,6968feb864f79fcf8dce00947321151a23097e725fb4e48213b12e9b86dfc357,ctls,connectpilot-jf.intel.com,443,https://connectpilot-jf.intel.com:443,https,BigIP,text/html,GET,134.134.139.17,/,878647854,134.134.139.17,101,False,,,,,F5 BigIP,,,https://connectpilot-jf.intel.com/my.logout.php3?errorcode=19,
connectpilot.eglb.intel.com,,200,4157,connectpilot.eglb.intel.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-03T00:00:00Z,2023-11-03T23:59:59Z,"CN=connectpilot.intel.com, O=Intel Corporation, ST=California, C=US",connectpilot.intel.com,Intel Corporation,icc-portal-srr.ice.intel.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,d3562bf2c0183293a09346ad45828daa,6968feb864f79fcf8dce00947321151a23097e725fb4e48213b12e9b86dfc357,ctls,connectpilot.eglb.intel.com,443,https://connectpilot.eglb.intel.com:443,https,BigIP,text/html,GET,192.198.151.75,/,878647854,192.198.151.75,101,False,,True,,,F5 BigIP,,,https://connectpilot.eglb.intel.com/my.logout.php3?errorcode=19,
connectpilot.intel.com,,200,4157,connectpilot.intel.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-03T00:00:00Z,2023-11-03T23:59:59Z,"CN=connectpilot.intel.com, O=Intel Corporation, ST=California, C=US",connectpilot.intel.com,Intel Corporation,icc-portal-srr.ice.intel.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,d3562bf2c0183293a09346ad45828daa,6968feb864f79fcf8dce00947321151a23097e725fb4e48213b12e9b86dfc357,ctls,connectpilot.intel.com,443,https://connectpilot.intel.com:443,https,BigIP,text/html,GET,192.198.151.75,/,878647854,192.198.151.75,101,False,,,,,F5 BigIP,,,https://connectpilot.intel.com/my.logout.php3?errorcode=19,
consumerint.intel.com,WebContentNotFound,404,321,consumerint.intel.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-25T00:00:00Z,2023-08-25T23:59:59Z,CN=consumerint.intel.com,consumerint.intel.com,,consumerint.intel.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",f761765d5cd38a523faf6f48afa51eff,096d1c0f2d865e7153fd21bff6def3ccbaf6eb7c536a695e9d05604fca4c82f0,ctls,consumerint.intel.com,443,https://consumerint.intel.com:443,https,,text/html,GET,13.107.237.45,/,1151877793,2620:1ec:48:1::45,1,False,,,,,Azure Front Door,,,,
consumption-api-dev.intel.com,,200,11,consumption-api-dev.intel.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-11-18T00:00:00Z,2023-11-18T23:59:59Z,"CN=consumption-dev.intel.com, O=Intel Corporation, ST=California, C=US",consumption-dev.intel.com,Intel Corporation,consumption-api-dev.intel.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,cd2405c549a5747eb07ca665bc28a33b,957452f670411f8fd94ebc06f5e001e3118e90be9f0ce23e79bf8283f607c0fd,ctls,consumption-api-dev.intel.com,443,https://consumption-api-dev.intel.com:443,https,Unit/1.23.0,application/json,GET,20.99.152.94,/,2125685474,20.99.152.94,1,False,,,,,,,,,
consumption-dev.intel.com,Consumption Data Management,200,3508,consumption-dev.intel.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-11-18T00:00:00Z,2023-11-18T23:59:59Z,"CN=consumption-dev.intel.com, O=Intel Corporation, ST=California, C=US",consumption-dev.intel.com,Intel Corporation,consumption-api-dev.intel.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,cd2405c549a5747eb07ca665bc28a33b,957452f670411f8fd94ebc06f5e001e3118e90be9f0ce23e79bf8283f607c0fd,ctls,consumption-dev.intel.com,443,https://consumption-dev.intel.com:443,https,nginx/1.24.0,text/html,GET,20.99.152.94,/,-2009722838,20.99.152.94,10,False,,,,,Nginx:1.24.0,,,,
consumption.intel.com,Consumption Data Management,200,3508,consumption.intel.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-24T00:00:00Z,2024-01-24T23:59:59Z,"CN=consumption.intel.com, O=Intel Corporation, ST=California, C=US",consumption.intel.com,Intel Corporation,consumption-api.intel.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,22ca1dea1a0be2e7366dd1211c4ec50e,211482592f6321928b1aae67c15592334a88646a5afbda989db8c1dad6f1678c,ctls,consumption.intel.com,443,https://consumption.intel.com:443,https,nginx/1.22.1,text/html,GET,20.69.81.163,/,-2009722838,20.69.81.163,10,False,,,,,Nginx:1.22.1,,,,
contextsensing.intel.com,Intel® Context Sensing SDK - Discontinued,200,123457,www.intel.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-30T00:00:00Z,2024-01-30T23:59:59Z,"CN=*.intel.com, O=Intel Corporation, ST=California, C=US",*.intel.com,Intel Corporation,intel.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,1ddb67c4520945d44bdc3bd2359d2a84,1b819da36bf764e421ed7a3449b1f1cee6fa2d5247be9b9d3ce5c97e8d1dc928,ctls,www.intel.com,443,https://contextsensing.intel.com:443,https,Apache,text/html,GET,23.37.59.110,/,-1722299176,2a02:26f0:3500:88e::1ea2,3251,False,*.intel.com,,True,,Java,,,https://www.intel.com/content/www/us/en/developer/articles/tool/context-sensing-sdk-discontinued.html,
core.intel.com,"Intel® Core™ i7 Processor - Features, Benefits and FAQs",200,151010,www.intel.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-30T00:00:00Z,2024-01-30T23:59:59Z,"CN=*.intel.com, O=Intel Corporation, ST=California, C=US",*.intel.com,Intel Corporation,intel.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,1ddb67c4520945d44bdc3bd2359d2a84,1b819da36bf764e421ed7a3449b1f1cee6fa2d5247be9b9d3ce5c97e8d1dc928,ctls,www.intel.com,80,http://core.intel.com:80,http,Apache,text/html,GET,192.198.165.191,/,984445460,192.198.165.191,4785,False,*.intel.com,,True,,Java,,,https://www.intel.com/content/www/us/en/products/details/processors/core/i7.html,
corpredirect.intel.com,Error: Page Not Found,404,117098,www.intel.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-30T00:00:00Z,2024-01-30T23:59:59Z,"CN=*.intel.com, O=Intel Corporation, ST=California, C=US",*.intel.com,Intel Corporation,intel.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,1ddb67c4520945d44bdc3bd2359d2a84,1b819da36bf764e421ed7a3449b1f1cee6fa2d5247be9b9d3ce5c97e8d1dc928,ctls,www.intel.com,443,https://corpredirect.intel.com:443,https,Apache,text/html,GET,23.201.251.4,/,-1047308503,2a02:26f0:480:58b::1ea2,3198,False,*.intel.com,,True,,Java,,,https://www.intel.com/content/www/us/en/404.html?ref=/,
cqpreview.intel.com,Invalid URL,400,208,cqpreview.intel.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-30T00:00:00Z,2024-01-30T23:59:59Z,"CN=*.intel.com, O=Intel Corporation, ST=California, C=US",*.intel.com,Intel Corporation,intel.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,1ddb67c4520945d44bdc3bd2359d2a84,1b819da36bf764e421ed7a3449b1f1cee6fa2d5247be9b9d3ce5c97e8d1dc928,ctls,cqpreview.intel.com,443,https://cqpreview.intel.com:443,https,AkamaiGHost,text/html,GET,23.37.59.110,/,331836968,2a02:26f0:3500:885::1ea2,8,False,,,True,,,,,,
cqr360w.cps.intel.com,,404,73,cqr360w.cps.intel.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-19T00:00:00Z,2024-04-18T23:59:59Z,"CN=cqrapps.intel.com, O=Intel Corporation, ST=California, C=US",cqrapps.intel.com,Intel Corporation,prd1cqr360w04.sym.cps.intel.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,f6c8245bea6887c21948cff55ad081f0,94a34a462b76754a51db271e6cae75177f98b4c30efca1fc22b10570d27d8569,ctls,cqr360w.cps.intel.com,443,https://cqr360w.cps.intel.com:443,https,,text/plain,GET,192.198.165.213,/,-261257627,192.198.165.213,2,False,,True,,,,,,,
cqrapps-cdn.intel.com,Sign in to your account,200,200997,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-02T00:00:00Z,2024-03-02T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,4ceb9ced5b9a448baf4eb595cb5ac3ac,451bd20790847897690ff09ec60812993db03eef241cb1e2b1054c370205650c,ctls,login.microsoftonline.com,443,https://cqrapps-cdn.intel.com:443,https,,text/html,GET,23.201.251.4,/,135251246,2a02:26f0:480:586::1ea2,173,False,,,,,HSTS,,,https://login.microsoftonline.com/46c98d88-e344-4ed4-8496-4ed7712e255d/saml2?SAMLRequest=fZJfb9sgFMW%2FisU7tsF27KAkUpZoWqRuS5OsD32ZKFy3SBhcLu62bz%2Fb2Z%2FuYX1DR%2FdcfufACmVne7Ed4pM7wfMAGJPDfk2%2BclbpBdOMas6XtFyWmjZ1w2j7UFRKQ81kUZPkDgIa79aEpzlJDogDHBxG6eIo5bygeUUZu7BK5IWoqpRX%2FJ4k%2B%2FEW42ScnU8x9iiyzPpH49LOqODRt9E7axykyndZuVDLRjcNhaIsaQm6pE25XEynumYceFXpbMrBSfLeBwVzmjVppUWYqI4S0bzAH%2BUYfPTK23fGaeMe12QITniJBoWTHaCISpy3H2%2FEmEo8XIdQfLhcjvT4%2BXwhyRYRwoS%2F8w6HDsIZwotR8OV08zeQeg6y7zE1LoKdg0xc4KJRc%2FTsPCJPEkm%2Bd9ahmJ%2FibZj%2BFznZrKZpMTceXvnftsvf3GSzuz0Vi3yVvVpz3dmLT6PvsD96a9SPqdBOxv%2BvZSmbFaNpO4%2BKwWEPyrQG9NiUtf7bLoCMY%2F0xDGP72eZ667%2B%2FbvMT&RelayState=http%3A%2F%2Fcqrapps.intel.com%2F,
cqrapps.intel.com,Sign in to your account,200,199470,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-02T00:00:00Z,2024-03-02T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,4ceb9ced5b9a448baf4eb595cb5ac3ac,451bd20790847897690ff09ec60812993db03eef241cb1e2b1054c370205650c,ctls,login.microsoftonline.com,443,https://cqrapps.intel.com:443,https,,text/html,GET,23.201.251.4,/,135251246,2a02:26f0:480:586::1ea2,174,False,,,,,HSTS,,,https://login.microsoftonline.com/46c98d88-e344-4ed4-8496-4ed7712e255d/saml2?SAMLRequest=fZJPT%2BMwEMW%2FSuS7kzh%2FSmK1lbqtVluJXUJbOHBZuc4ULDl28DgsfHucdBfYA1yf5s383rPnKDrd89XgH8wOHgdAH203C%2FI7FyKrRSZpKo6MFsXxSKs6ndECUsnqqs7bipHoFhwqaxYki1MSbREH2Br0wvggpVlO05IydmAlT3NelnFe5nck2oQrygg%2FOR%2B875Enibb3ysSdks6iPXlrtDIQS9slxUzWVVtVFPKiCABtQauiHlHaiwuWQVaWbTLmyEj03ToJU5oFOQmNMFI1AlE9wZvSOOuttPqbMq0y9wsyOMOtQIXciA6Qe8n3q5%2BXPKTix%2FMQ8h%2BHQ0Obq%2F2BRCtEcCP%2B2hocOnB7cE9Kws3u8j2QfHSi7zFWxoOegoxcYLySU%2FRkH5BHiUTPnTbIp6f4Gqb%2FS06W83GaT427D%2F6v7eIfN1mur3f5LJ0nH9acd%2Fb8V%2FBtN43VSr6MhXbCf76WxWxSVEtP0ygfDPYg1UlBG5rS2v5ZOxA%2B1O%2FdENpPluer%2F%2F%2B65Ss%3D&RelayState=http%3A%2F%2Fcqrapps.intel.com%2F,
create.info.intel.com,Creativity Boost Registration Page,200,14598,create.info.intel.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-29T01:50:04Z,2023-06-27T01:50:03Z,CN=create.info.intel.com,create.info.intel.com,,create.info.intel.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,a3b4da030123063185170dca0d43f4f7,bd03a09c4f6412d5f8617c0a953dc74f580789ddf0ef29795e04a1d319b5de3e,ctls,create.info.intel.com,443,https://create.info.intel.com:443,https,cloudflare,text/html,GET,199.60.103.30,/,-690807932,2606:2c40::c73c:67e2,324,False,,,,,HubSpot CMS Hub,,,https://create.info.intel.com/registration,
create.intel.com,Intel Create - More Power for Your Content Creation,200,254835,www.intel.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-30T00:00:00Z,2024-01-30T23:59:59Z,"CN=*.intel.com, O=Intel Corporation, ST=California, C=US",*.intel.com,Intel Corporation,intel.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,1ddb67c4520945d44bdc3bd2359d2a84,1b819da36bf764e421ed7a3449b1f1cee6fa2d5247be9b9d3ce5c97e8d1dc928,ctls,www.intel.com,443,https://create.intel.com:443,https,Apache,text/html,GET,23.201.251.4,/,566218143,2a02:26f0:480:58b::1ea2,8810,False,https://premiersupport.intel.com,,True,,Java,,,https://www.intel.com/content/www/us/en/products/creative-pro.html,
csp-pathtoinnovation.intel.com,Cloud Computing Solutions – Intel,200,205104,www.intel.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-30T00:00:00Z,2024-01-30T23:59:59Z,"CN=*.intel.com, O=Intel Corporation, ST=California, C=US",*.intel.com,Intel Corporation,intel.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,1ddb67c4520945d44bdc3bd2359d2a84,1b819da36bf764e421ed7a3449b1f1cee6fa2d5247be9b9d3ce5c97e8d1dc928,ctls,www.intel.com,443,https://csp-pathtoinnovation.intel.com:443,https,Apache,text/html,GET,13.91.95.74,/,-957520442,13.91.95.74,5898,False,*.intel.com,,True,azure,Java,True,,https://www.intel.com/content/www/us/en/cloud-computing/overview.html,
csrreportbuilder.intel.com,Intel Corporate Responsibility Report Builder,200,232165,www.intel.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-30T00:00:00Z,2024-01-30T23:59:59Z,"CN=*.intel.com, O=Intel Corporation, ST=California, C=US",*.intel.com,Intel Corporation,intel.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,1ddb67c4520945d44bdc3bd2359d2a84,1b819da36bf764e421ed7a3449b1f1cee6fa2d5247be9b9d3ce5c97e8d1dc928,ctls,www.intel.com,443,https://csrreportbuilder.intel.com:443,https,Apache,text/html,GET,52.27.212.222,/,566218143,100.20.24.52,6313,False,*.intel.com,,True,,Java,,,https://www.intel.com/content/www/us/en/corporate-responsibility/csr-report-builder.html,
customercare.intel.com,Online Case Management Lightning,200,74340,supporttickets.intel.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-08-04T00:00:00Z,2023-08-04T23:59:59Z,"CN=supporttickets.intel.com, O=Intel Corporation, ST=California, C=US",supporttickets.intel.com,Intel Corporation,supporttickets.intel.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,09cdee5a8e8301ff8a904f4b605e550f,7f9ecd3b8498458bbc0f2e766c31ae7da458b417ae1ece48ea6b59f6d1c446fc,ctls,supporttickets.intel.com,443,https://customercare.intel.com:443,https,sfdcedge,text/html,GET,23.37.37.239,/,-931344706,2a02:26f0:3400:184::1ea2,682,False,https://*.intel.sg,,,,HSTS,,,https://supporttickets.intel.com/s/?language=en_US,
day1-cdrdv2.intel.com,,404,2339,day1-cdrdv2.intel.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-18T00:00:00Z,2023-10-18T23:59:59Z,"CN=cdrdv2.intel.com, O=Intel Corporation, ST=California, C=US",cdrdv2.intel.com,Intel Corporation,tst-cdrv2.intel.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,7d2e834276359ad13fae91c7f5afec48,67734bf8bd90a8b0fce8a55258b47a20f35ea4e2d2600e62b88514a5e5548940,ctls,day1-cdrdv2.intel.com,443,https://day1-cdrdv2.intel.com:443,https,,text/html,GET,192.198.172.47,/,813181967,192.198.172.47,63,False,,,,,Java,,,,
dcmdemo.intel.com,Intel(R) Data Center Manager Console,200,1016,dcmdemo.intel.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-08-04T00:00:00Z,2023-08-04T23:59:59Z,"CN=dcmdemo.intel.com, O=Intel Corporation, ST=California, C=US",dcmdemo.intel.com,Intel Corporation,dcmdemo.intel.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,4c37fa99c6b7470f68f6acfd17fe54d1,2d4dc4ab0b1f7ff3f949c99a745d28a5d671065670bafd911df628f23d7a1202,ctls,dcmdemo.intel.com,443,https://dcmdemo.intel.com:443,https,,text/html,GET,52.27.90.252,/,1181933378,52.27.90.252,17,False,,,,,,,,https://dcmdemo.intel.com/DcmConsole/,
demotour.intel.com,Page not found - Intel Communities,404,103309,community.intel.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-08T00:00:00Z,2023-06-08T23:59:59Z,"CN=community.intel.com, O=Intel Corporation, L=Folsom, ST=California, C=US",community.intel.com,Intel Corporation,forums.intel.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,8585338238c247d93ac89cde493565f9,6b7baaceb51120c6f2c1cc988dcff8c9fcdd1dd9562fd8166cd5bfe8f399d549,ctls,community.intel.com,80,http://demotour.intel.com:80,http,Apache,text/html,GET,192.198.165.191,/,,192.198.165.191,1788,False,,,,,PHP,,,https://community.intel.com/t5/errors/error404page,
design-studio.intel.com,Intel® PDS,200,11417,design-studio.intel.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-06T00:00:00Z,2024-01-06T23:59:59Z,"CN=design-studio.intel.com, O=Intel Corporation, ST=California, C=US",design-studio.intel.com,Intel Corporation,design-studio.intel.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,ca4e30ea276b116c3c8a37b8225fe64d,0dd6b288342d035e5d3c0b783ff2720a57ad416aff8d12ca80cb36ab02e99b86,ctls,design-studio.intel.com,443,https://design-studio.intel.com:443,https,istio-envoy,text/html,GET,40.118.228.125,/,-1840324437,40.118.228.125,90,False,,,,azure,HSTS,True,,https://design-studio.intel.com/portal-frontend,
designcenter.intel.com,Resource & Documentation Center,200,158667,www.intel.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-30T00:00:00Z,2024-01-30T23:59:59Z,"CN=*.intel.com, O=Intel Corporation, ST=California, C=US",*.intel.com,Intel Corporation,intel.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,1ddb67c4520945d44bdc3bd2359d2a84,1b819da36bf764e421ed7a3449b1f1cee6fa2d5247be9b9d3ce5c97e8d1dc928,ctls,www.intel.com,443,https://designcenter.intel.com:443,https,Apache,text/html,GET,13.91.95.74,/,-2096092661,13.91.95.74,6068,False,*.intel.com,,True,azure,Java,True,,https://www.intel.com/content/www/us/en/resources-documentation/developer.html,
designintools.intel.com,"Design and Validation Tools, Tool Store - Review, Marketing Platform - Designer Resources",200,14870,designintools.intel.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-11T00:00:00Z,2023-10-11T23:59:59Z,"CN=designintools.intel.com, O=Intel Corporation, ST=California, C=US",designintools.intel.com,Intel Corporation,designintools.intel.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,df2eb15c48de1ef3eb39b0ee2b7a761b,e12f4823d29596f88be6ee344fbf8ad84829cd5db19f1d2d8a7da343df5de110,ctls,designintools.intel.com,443,https://designintools.intel.com:443,https,,text/html,GET,146.75.121.124,/,1390728920,146.75.121.124,76,False,fpdbs.paypal.com,,,fastly,Typekit,True,,,
dev-digitalrequest.intel.com,Log in - (Development) DigitalRequest,200,52554,dev-digitalrequest.intel.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-30T00:00:00Z,2024-01-30T23:59:59Z,"CN=*.intel.com, O=Intel Corporation, ST=California, C=US",*.intel.com,Intel Corporation,intel.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,1ddb67c4520945d44bdc3bd2359d2a84,1b819da36bf764e421ed7a3449b1f1cee6fa2d5247be9b9d3ce5c97e8d1dc928,ctls,dev-digitalrequest.intel.com,443,https://dev-digitalrequest.intel.com:443,https,,text/html,GET,23.37.59.110,/,859916038,2a02:26f0:3500:885::1ea2,705,False,,,True,,Java,,,https://dev-digitalrequest.intel.com/login.jsp,
