input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,lines,failed,csp_domains_,webserver,tech_,tls_expired,tls_mismatched,cdn_name,cdn,final_url,tls_self_signed,tls_wildcard_certificate
app.business-overdraft.rbs.co.uk,,200,61053,AS15169,GOOGLE,US,172.217.0.0/19,app.business-overdraft-form.rbs.co.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-16T00:00:00Z,2024-02-16T23:59:59Z,"CN=app.business-overdraft-form.rbs.co.uk, O=Natwest Group Plc, ST=Midlothian, C=GB",app.business-overdraft-form.rbs.co.uk,Natwest Group Plc,www.app.business-overdraft-form.rbs.co.uk,"CN=COMODO RSA Organization Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Organization Validation Secure Server CA,COMODO CA Limited,bfcd1d62b8575a2b261cc4254cfeb1bd,167ecd73f6875df928789fc5278eef5021f994bd36caf2802ae06957c99461c5,ctls,app.business-overdraft-form.rbs.co.uk,443,https://app.business-overdraft.rbs.co.uk:443,https,text/html,GET,172.217.23.115,/,-730646123,2a00:1450:4001:828::2013,91,False,*.omtrdc.net,Google Frontend,Python,,,,,https://app.business-overdraft-form.rbs.co.uk,,
app.business-plus-credit-card.rbs.co.uk,,200,63844,AS15169,GOOGLE,US,142.250.0.0/15,app.business-plus-credit-card.rbs.co.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-06T00:00:00Z,2023-11-06T23:59:59Z,"CN=app.trade-guarantee.rbs.co.uk, O=Natwest Group Plc, ST=Midlothian, C=GB",app.trade-guarantee.rbs.co.uk,Natwest Group Plc,app.small-business-loan.rbs.co.uk,"CN=COMODO RSA Organization Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Organization Validation Secure Server CA,COMODO CA Limited,5c6afd1519853569dc6ce05469de077f,285377b3fd2a5eff7615470d6d2e6f3b5f99cec20aeac03c1d57cfe2149a8071,ctls,app.business-plus-credit-card.rbs.co.uk,443,https://app.business-plus-credit-card.rbs.co.uk:443,https,text/html,GET,142.250.185.147,/,-2100206907,2a00:1450:4001:80b::2013,91,False,*.googleusercontent.com,Google Frontend,Python,,,,,,,
app.business-reserve.rbs.co.uk,,200,10098,AS15169,GOOGLE,US,142.250.0.0/15,app.business-reserve.rbs.co.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-06T00:00:00Z,2023-11-06T23:59:59Z,"CN=app.trade-guarantee.rbs.co.uk, O=Natwest Group Plc, ST=Midlothian, C=GB",app.trade-guarantee.rbs.co.uk,Natwest Group Plc,app.small-business-loan.rbs.co.uk,"CN=COMODO RSA Organization Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Organization Validation Secure Server CA,COMODO CA Limited,5c6afd1519853569dc6ce05469de077f,285377b3fd2a5eff7615470d6d2e6f3b5f99cec20aeac03c1d57cfe2149a8071,ctls,app.business-reserve.rbs.co.uk,80,http://app.business-reserve.rbs.co.uk:80,http,text/html,GET,142.250.185.211,/,793588424,2a00:1450:4001:827::2013,91,False,*.facebook.com,Google Frontend,Python,,,,,https://app.business-reserve.rbs.co.uk/,,
app.digital-banking-enrolment.rbs.co.uk,,200,72159,AS15169,GOOGLE,US,142.250.0.0/15,app.digital-banking-enrolment.rbs.co.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-06T00:00:00Z,2023-11-06T23:59:59Z,"CN=app.digital-banking-enrolment.rbs.co.uk, O=Natwest Group Plc, ST=Midlothian, C=GB",app.digital-banking-enrolment.rbs.co.uk,Natwest Group Plc,www.app.digital-banking-enrolment.rbs.co.uk,"CN=COMODO RSA Organization Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Organization Validation Secure Server CA,COMODO CA Limited,eea3d877b9ea83e9dc42f7949dcb12e0,f78f412a2387fa78b7d27fe97b840ab66010493cdb0e4f375fe499295c0bf293,ctls,app.digital-banking-enrolment.rbs.co.uk,80,http://app.digital-banking-enrolment.rbs.co.uk:80,http,text/html,GET,142.250.185.147,/,331674348,2a00:1450:4001:80e::2013,93,False,*.google.com,Google Frontend,Python,,,,,https://app.digital-banking-enrolment.rbs.co.uk/,,
app.import-letter-of-credit.rbs.co.uk,,200,107394,AS15169,GOOGLE,US,142.250.0.0/15,app.import-letter-of-credit.rbs.co.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-06T00:00:00Z,2023-11-06T23:59:59Z,"CN=app.trade-guarantee.rbs.co.uk, O=Natwest Group Plc, ST=Midlothian, C=GB",app.trade-guarantee.rbs.co.uk,Natwest Group Plc,app.small-business-loan.rbs.co.uk,"CN=COMODO RSA Organization Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Organization Validation Secure Server CA,COMODO CA Limited,5c6afd1519853569dc6ce05469de077f,285377b3fd2a5eff7615470d6d2e6f3b5f99cec20aeac03c1d57cfe2149a8071,ctls,app.import-letter-of-credit.rbs.co.uk,443,https://app.import-letter-of-credit.rbs.co.uk:443,https,text/html,GET,142.250.181.243,/,540557239,2a00:1450:4001:808::2013,91,False,*.google.co.uk,Google Frontend,Python,,,,,,,
app.liquidity-manager.rbs.co.uk,,200,10980,AS15169,GOOGLE,US,172.217.0.0/19,app.liquidity-manager.rbs.co.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-06T00:00:00Z,2023-11-06T23:59:59Z,"CN=app.trade-guarantee.rbs.co.uk, O=Natwest Group Plc, ST=Midlothian, C=GB",app.trade-guarantee.rbs.co.uk,Natwest Group Plc,app.small-business-loan.rbs.co.uk,"CN=COMODO RSA Organization Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Organization Validation Secure Server CA,COMODO CA Limited,5c6afd1519853569dc6ce05469de077f,285377b3fd2a5eff7615470d6d2e6f3b5f99cec20aeac03c1d57cfe2149a8071,ctls,app.liquidity-manager.rbs.co.uk,443,https://app.liquidity-manager.rbs.co.uk:443,https,text/html,GET,172.217.16.211,/,922801655,2a00:1450:4001:80e::2013,91,False,*.omtrdc.net,Google Frontend,Python,,,,,,,
app.one-card.rbs.co.uk,,200,125177,AS15169,GOOGLE,US,142.250.82.0/24,app.one-card.rbs.co.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-06T00:00:00Z,2023-11-06T23:59:59Z,"CN=app.trade-guarantee.rbs.co.uk, O=Natwest Group Plc, ST=Midlothian, C=GB",app.trade-guarantee.rbs.co.uk,Natwest Group Plc,app.small-business-loan.rbs.co.uk,"CN=COMODO RSA Organization Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Organization Validation Secure Server CA,COMODO CA Limited,5c6afd1519853569dc6ce05469de077f,285377b3fd2a5eff7615470d6d2e6f3b5f99cec20aeac03c1d57cfe2149a8071,ctls,app.one-card.rbs.co.uk,443,https://app.one-card.rbs.co.uk:443,https,text/html,GET,142.250.74.211,/,-409831206,2a00:1450:4001:828::2013,91,False,ajax.googleapis.com,Google Frontend,Python,,,,,,,
app.trade-guarantee.rbs.co.uk,,200,111739,AS15169,GOOGLE,US,172.217.0.0/19,app.trade-guarantee.rbs.co.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-06T00:00:00Z,2023-11-06T23:59:59Z,"CN=app.trade-guarantee.rbs.co.uk, O=Natwest Group Plc, ST=Midlothian, C=GB",app.trade-guarantee.rbs.co.uk,Natwest Group Plc,app.small-business-loan.rbs.co.uk,"CN=COMODO RSA Organization Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Organization Validation Secure Server CA,COMODO CA Limited,5c6afd1519853569dc6ce05469de077f,285377b3fd2a5eff7615470d6d2e6f3b5f99cec20aeac03c1d57cfe2149a8071,ctls,app.trade-guarantee.rbs.co.uk,80,http://app.trade-guarantee.rbs.co.uk:80,http,text/html,GET,172.217.18.19,/,2130137804,2a00:1450:4001:813::2013,91,False,*.gstatic.com,Google Frontend,Python,,,,,https://app.trade-guarantee.rbs.co.uk/,,
applink.rbs.co.uk,Download the Royal Bank app,200,231661,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,www.rbs.co.uk,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-08-05T00:00:00Z,2023-08-27T23:59:59Z,"CN=rbs.co.uk, O=Natwest Group Plc, L=Edinburgh, ST=Midlothian, C=GB",rbs.co.uk,Natwest Group Plc,www.rbsif.co.uk,"CN=COMODO RSA Organization Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Organization Validation Secure Server CA,COMODO CA Limited,53e83b966aba8b5b1bd5d3407447942c,ee72b9537ad11eeedf95c83935d0ef05f8adde8a7f126d128c13208951ac1606,ctls,www.rbs.co.uk,443,https://applink.rbs.co.uk:443,https,text/html,GET,109.234.206.56,/,526826874,109.234.206.56,76,False,*.pinterest.com,,ZURB Foundation,,,,,https://www.rbs.co.uk/banking-with-royal-bank-of-scotland/royal-bank-app/app-download.html,,
apply.rbs.co.uk,,404,67,AS21301,RBS-FM-AS,GB,155.136.200.0/23,apply.rbs.co.uk,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-20T00:00:00Z,2024-03-22T23:59:59Z,"CN=apply.rbs.co.uk, O=Natwest Group Plc, ST=Midlothian, C=GB",apply.rbs.co.uk,Natwest Group Plc,www.apply.rbs.co.uk,"CN=COMODO RSA Organization Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Organization Validation Secure Server CA,COMODO CA Limited,be89690742770275040f2ca83cb4bc85,a891394627a01a036e2f8ce8eec858ecbc2f5d1a78283d14235b8aa4f7cf1d97,ctls,apply.rbs.co.uk,443,https://apply.rbs.co.uk:443,https,text/plain,GET,155.136.200.16,/,-60330771,155.136.200.16,2,False,,,HSTS,,,,,,,
asset.digitalbanking.rbs.co.uk,,404,22,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,20.64.0.0/10,asset.digitalbanking.rbs.co.uk,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-11T00:00:00Z,2023-10-30T23:59:59Z,"CN=asset.nwolb.com, O=Natwest Group Plc, ST=Midlothian, C=GB",asset.nwolb.com,Natwest Group Plc,asset.ulsterbankanytimebanking.ie,"CN=COMODO RSA Organization Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Organization Validation Secure Server CA,COMODO CA Limited,c0e48c28377ba0721a0398c8aa11557f,6d6fd06241d38ccc767c19870910b2954aea73905e74fd1952d7ddde1fe0b8c3,ctls,asset.digitalbanking.rbs.co.uk,443,https://asset.digitalbanking.rbs.co.uk:443,https,application/json,GET,20.71.8.211,/,2125685474,20.71.8.211,1,False,,uvicorn,Uvicorn,,,,,,,
auth.sandbox.rbs.co.uk,,200,1087,AS16509,AS16509,Unknown,52.52.0.0/15,auth.sandbox.rbs.co.uk,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-07-04T00:00:00Z,2023-07-04T23:59:59Z,"CN=developer.sandbox.rbs.co.uk, OU=DES, O=The Royal Bank of Scotland Group Plc, L=Edinburgh, ST=Midlothian, C=GB",developer.sandbox.rbs.co.uk,The Royal Bank of Scotland Group Plc,webbanking.sandbox.rbs.co.uk,"CN=COMODO RSA Organization Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Organization Validation Secure Server CA,COMODO CA Limited,50f63b33b51f9d5b0fe73cb709fdf6ba,bee424a527f92ab8d12906603da045bf2fe253abcbf4cece0ff01ab9a6d7bdd3,ctls,auth.sandbox.rbs.co.uk,443,https://auth.sandbox.rbs.co.uk:443,https,text/html,GET,52.51.135.206,/,-1463124301,108.128.171.117,31,False,,,,,,,,,,
auth.yourbusinessprofile.rbs.co.uk,RBS,200,713,AS16509,AS16509,Unknown,54.220.0.0/16,auth.yourbusinessprofile.rbs.co.uk,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-14T00:00:00Z,2024-02-15T23:59:59Z,CN=*.yourbusinessprofile.rbs.co.uk,*.yourbusinessprofile.rbs.co.uk,,*.yourbusinessprofile.rbs.co.uk,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,92de4bbeaa44d33b9c4787051a58d0a3,005220ce2c9390ea21493f9992f24c1dfa5da309d973f86163e9417bd2772c7f,ctls,auth.yourbusinessprofile.rbs.co.uk,443,https://auth.yourbusinessprofile.rbs.co.uk:443,https,text/html,GET,54.220.225.87,/,1218936670,18.202.72.68,1,False,,nginx,Nginx,,,,,,,True
auth0.securebanking.ulsterbank.co.uk.glb2p.rbs.com,Forbidden,403,1463,AS21054,RBSG-UK-AS Edinburgh,GB,155.136.202.0/23,auth0.securebanking.ulsterbank.co.uk.glb2p.rbs.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-12-15T00:00:00Z,2024-01-15T23:59:59Z,"CN=auth0.securebanking.ulsterbank.co.uk, O=Natwest Group Plc, ST=Midlothian, C=GB",auth0.securebanking.ulsterbank.co.uk,Natwest Group Plc,www.auth0.securebanking.ulsterbank.co.uk,"CN=COMODO RSA Organization Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Organization Validation Secure Server CA,COMODO CA Limited,dfbab73ab4af7c05715893acbc77130f,05e1f6143b70b46674e30472765f3b40d6957934f902f6742fa4cbea3e9627c3,ctls,auth0.securebanking.ulsterbank.co.uk.glb2p.rbs.com,443,https://auth0.securebanking.ulsterbank.co.uk.glb2p.rbs.com:443,https,text/html,GET,155.136.202.53,/,1959552773,155.136.202.53,52,False,,,HSTS,,True,,,,,
auth0.securebusiness.natwest.com.glb2p.rbs.com,Forbidden,403,1463,AS21054,RBSG-UK-AS Edinburgh,GB,155.136.202.0/23,auth0.securebusiness.natwest.com.glb2p.rbs.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-15T00:00:00Z,2024-03-14T23:59:59Z,"CN=auth0.securebusiness.natwest.com, O=Natwest Group Plc, ST=Midlothian, C=GB",auth0.securebusiness.natwest.com,Natwest Group Plc,www.bankline.securebusiness.natwest.com,"CN=COMODO RSA Organization Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Organization Validation Secure Server CA,COMODO CA Limited,490418cd9cf29caa3b0b8aebafb4a9a7,305d26995b3d7aadb4d0de91d899a5b8ca464b10b863621e2236c57fcfad7952,ctls,auth0.securebusiness.natwest.com.glb2p.rbs.com,443,https://auth0.securebusiness.natwest.com.glb2p.rbs.com:443,https,text/html,GET,155.136.202.21,/,1959552773,155.136.202.21,52,False,,,HSTS,,True,,,,,
auth0z2.securebanking.natwest.com.glb2p.rbs.com,Forbidden,403,1463,AS21054,RBSG-UK-AS Edinburgh,GB,155.136.202.0/23,auth0z2.securebanking.natwest.com.glb2p.rbs.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-26T00:00:00Z,2023-10-26T23:59:59Z,"CN=auth0z2.securebanking.natwest.com, O=Natwest Group Plc, ST=Midlothian, C=GB",auth0z2.securebanking.natwest.com,Natwest Group Plc,www.auth0z2.securebanking.natwest.com,"CN=COMODO RSA Organization Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Organization Validation Secure Server CA,COMODO CA Limited,8720e9b1be5034eadee1401a8a099ff3,59073d41f3896e1e4ee92ac022112e339e93707c71973bcb22ebe6fc1cf2139e,ctls,auth0z2.securebanking.natwest.com.glb2p.rbs.com,443,https://auth0z2.securebanking.natwest.com.glb2p.rbs.com:443,https,text/html,GET,155.136.202.64,/,1959552773,155.136.202.64,52,False,,,HSTS,,True,,,,,
auth0z2.securebanking.rbs.co.uk,Forbidden,403,1463,AS21054,RBSG-UK-AS Edinburgh,GB,155.136.202.0/23,auth0z2.securebanking.rbs.co.uk,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-27T00:00:00Z,2023-10-27T23:59:59Z,"CN=auth0z2.securebanking.rbs.co.uk, O=Natwest Group Plc, ST=Midlothian, C=GB",auth0z2.securebanking.rbs.co.uk,Natwest Group Plc,www.auth0z2.securebanking.rbs.co.uk,"CN=COMODO RSA Organization Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Organization Validation Secure Server CA,COMODO CA Limited,efd6779fb41ea262f1e708400fd93c94,6ffb275a3a699f8e7215c3e510241965ac435adc93ff5318163179d2baed7cf4,ctls,auth0z2.securebanking.rbs.co.uk,443,https://auth0z2.securebanking.rbs.co.uk:443,https,text/html,GET,155.136.202.65,/,1959552773,155.136.202.65,52,False,,,HSTS,,,,,,,
auth0z2.securebanking.rbs.co.uk.glb2p.rbs.com,Forbidden,403,1463,AS21054,RBSG-UK-AS Edinburgh,GB,155.136.202.0/23,auth0z2.securebanking.rbs.co.uk.glb2p.rbs.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-27T00:00:00Z,2023-10-27T23:59:59Z,"CN=auth0z2.securebanking.rbs.co.uk, O=Natwest Group Plc, ST=Midlothian, C=GB",auth0z2.securebanking.rbs.co.uk,Natwest Group Plc,www.auth0z2.securebanking.rbs.co.uk,"CN=COMODO RSA Organization Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Organization Validation Secure Server CA,COMODO CA Limited,efd6779fb41ea262f1e708400fd93c94,6ffb275a3a699f8e7215c3e510241965ac435adc93ff5318163179d2baed7cf4,ctls,auth0z2.securebanking.rbs.co.uk.glb2p.rbs.com,443,https://auth0z2.securebanking.rbs.co.uk.glb2p.rbs.com:443,https,text/html,GET,155.136.202.65,/,1959552773,155.136.202.65,52,False,,,HSTS,,True,,,,,
autopay.rbs.co.uk,RBS Autopay,200,9866,AS24958,TBSH,GB,37.200.112.0/21,autopay.rbs.co.uk,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-08-08T00:00:00Z,2023-09-08T23:59:59Z,"CN=autopay.rbs.co.uk, O=Natwest Group Plc, L=Edinburgh, ST=Midlothian, C=GB",autopay.rbs.co.uk,Natwest Group Plc,www.autopay.rbs.co.uk,"CN=COMODO RSA Organization Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Organization Validation Secure Server CA,COMODO CA Limited,3fd00350b285afbd2d02ff035dc72008,19d26eac4a03247673db086f23b7cfea1956a2fdc071cac236d97935cbffee90,ctls,autopay.rbs.co.uk,80,http://autopay.rbs.co.uk:80,http,text/html,GET,37.200.113.148,/,-119867224,37.200.113.148,8,False,"analytics.pt-x.com/piwik.js
",,HSTS,,,,,https://autopay.rbs.co.uk/ui,,
bankhelp.rbs.co.uk,Ask RBS CMS a question: Clients' Monies Service,200,15288,AS5089,NTL,GB,91.224.0.0/11,bankhelp.rbs.co.uk,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-01-13T00:00:00Z,2024-02-13T23:59:59Z,"CN=bankhelp.rbs.co.uk, O=Natwest Group Plc, ST=Midlothian, C=GB",bankhelp.rbs.co.uk,Natwest Group Plc,www.bankhelp.rbs.co.uk,"CN=COMODO RSA Organization Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Organization Validation Secure Server CA,COMODO CA Limited,13108b97caccbf6f7d31434999bf0145,a087853980666e28b2fab929b60caaa1e39307ac1252d3a288befae61470cc4c,ctls,bankhelp.rbs.co.uk,443,https://bankhelp.rbs.co.uk:443,https,text/html,GET,91.207.38.35,/,1351533339,91.207.38.163,1,False,,Apache,HSTS,,,,,,,
bankline.rbs.com,Forbidden,403,1463,AS21301,RBS-FM-AS,GB,155.136.200.0/23,bankline.rbs.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-06-23T00:00:00Z,2023-06-23T23:59:59Z,"CN=auth0.securebusiness.rbs.co.uk, O=Natwest Group Plc, L=Edinburgh, ST=Midlothian, C=GB",auth0.securebusiness.rbs.co.uk,Natwest Group Plc,www.bankline.securebusiness.rbs.co.uk,"CN=COMODO RSA Organization Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Organization Validation Secure Server CA,COMODO CA Limited,3b13b94c458efbcb0cdaba9f57546a78,a1776f80b9e9c31288ecf4a3a605c9725b5c99127994d8a84f8e46392957a781,ctls,bankline.rbs.com,443,https://bankline.rbs.com:443,https,text/html,GET,155.136.200.22,/,1959552773,155.136.200.22,52,False,,,HSTS,,,,,,,
bankofapis.com.glb2p.rbs.com,,404,80,AS21301,RBS-FM-AS,GB,155.136.200.0/23,bankofapis.com.glb2p.rbs.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-05-19T00:00:00Z,2023-06-19T23:59:59Z,"CN=www.bankofapis.com, O=Natwest Group Plc, L=Edinburgh, ST=Midlothian, C=GB",www.bankofapis.com,Natwest Group Plc,bankofapis.com,"CN=COMODO RSA Organization Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Organization Validation Secure Server CA,COMODO CA Limited,166d38c4b6c64562398b81c03c74c766,0a052fa4bf9dc53362f28a4bba0fb1759d86ce57d25c467deb7a60d6c329d80e,ctls,bankofapis.com.glb2p.rbs.com,443,https://bankofapis.com.glb2p.rbs.com:443,https,text/plain,GET,155.136.200.25,/,-2023735026,155.136.200.25,2,False,,,HSTS,,True,,,,,
banktoyou.rbs.co.uk,Cash Collection Services | Log in | Royal Bank of Scotland Bank to You,200,14189,AS19324,DOSARREST,US,69.172.200.0/23,banktoyou.rbs.co.uk,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-07-22T00:00:00Z,2023-08-22T23:59:59Z,"CN=banktoyou.rbs.co.uk, O=Natwest Group Plc, L=Edinburgh, ST=Midlothian, C=GB",banktoyou.rbs.co.uk,Natwest Group Plc,www.banktoyou.rbs.co.uk,"CN=COMODO RSA Organization Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Organization Validation Secure Server CA,COMODO CA Limited,aff3eeffd6254015ba62213753e192e4,4cf34c3dcda5fa96500ff016b92ae8b5b604116c740d310d886d69693a0d3cb2,ctls,banktoyou.rbs.co.uk,443,https://banktoyou.rbs.co.uk:443,https,text/html,GET,69.172.200.115,/,1351533339,69.172.200.115,338,False,,DOSarrest,Microsoft ASP.NET,,,,,https://banktoyou.rbs.co.uk/tools/login/,,
beta-api.rbs.co.uk,400 No required SSL certificate was sent,400,231,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,beta-api.rbs.co.uk,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-15T00:00:00Z,2024-04-14T23:59:59Z,"CN=api.rbs.co.uk, O=Natwest Group Plc, ST=Midlothian, C=GB",api.rbs.co.uk,Natwest Group Plc,beta-api.rbs.co.uk,"CN=COMODO RSA Organization Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Organization Validation Secure Server CA,COMODO CA Limited,c5b2001679a791e473e3f596ff25c8de,5951e9ecc44d49b3452116a1f9ab85c15d98c4ac23eda771bc7df8c36a1050a0,ctls,beta-api.rbs.co.uk,443,https://beta-api.rbs.co.uk:443,https,text/html,GET,104.155.118.226,/,-219082595,104.155.118.226,9,False,,,,,,google,True,,,
beta-consent.rbs.co.uk,403 Forbidden,403,146,AS21054,RBSG-UK-AS Edinburgh,GB,155.136.202.0/23,beta-consent.rbs.co.uk,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2018-04-05T16:50:50Z,2028-04-02T16:50:50Z,"emailAddress=root@localhost.localdomain, CN=localhost.localdomain, OU=IT, O=MyCompany, L=Seattle, ST=WA, C=US, emailAddress=root@localhost.localdomain",localhost.localdomain,MyCompany,,"emailAddress=root@localhost.localdomain, CN=localhost.localdomain, OU=IT, O=MyCompany, L=Seattle, ST=WA, C=US, emailAddress=root@localhost.localdomain",localhost.localdomain,MyCompany,aeaebefc8c52741a147766acffbba340,9e35b16af66a7118fbf5cfd9875b5bb60e15174e4e72a78bd011e477ab579699,ctls,beta-consent.rbs.co.uk,443,https://beta-consent.rbs.co.uk:443,https,text/html,GET,155.136.202.16,/,1494302000,155.136.202.16,8,False,,,HSTS,,True,,,,True,
blacktravelservice.rbs.co.uk,Unsuccessful Login | RBS Black Travel Service,200,15259,AS16509,AMAZON-02,US,13.249.0.0/23,blacktravelservice.rbs.co.uk,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-09T00:00:00Z,2024-04-07T23:59:59Z,"CN=blacktravelservice.rbs.co.uk, O=Natwest Group Plc, ST=Midlothian, C=GB",blacktravelservice.rbs.co.uk,Natwest Group Plc,www.blacktravelservice.rbs.co.uk,"CN=COMODO RSA Organization Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Organization Validation Secure Server CA,COMODO CA Limited,8093bf8a4bc075f953146f7eeb0e921f,f905749e06dc3ec7be702895742ef8b79c201e138ff02e62bfcbf7bd4c6d3b31,ctls,blacktravelservice.rbs.co.uk,443,https://blacktravelservice.rbs.co.uk:443,https,text/html,GET,13.248.185.246,/,115250740,76.223.50.16,312,False,,Apache,Lightbox,,,,,https://blacktravelservice.rbs.co.uk/unsuccessful-login,,
business-account-closure.rbs.co.uk,,200,112804,AS15169,GOOGLE,US,142.250.0.0/15,business-account-closure.rbs.co.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-29T00:00:00Z,2023-10-30T23:59:59Z,"CN=business-account-closure.rbs.co.uk, O=Natwest Group Plc, ST=Midlothian, C=GB",business-account-closure.rbs.co.uk,Natwest Group Plc,www.business-account-closure.rbs.co.uk,"CN=COMODO RSA Organization Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Organization Validation Secure Server CA,COMODO CA Limited,01c82133d84af61ce6445bf536b478e2,c5ccd9f930032b76e56dd9342e26d2d3dc4b152964a2362e7c6f3762c46305c6,ctls,business-account-closure.rbs.co.uk,443,https://business-account-closure.rbs.co.uk:443,https,text/html,GET,142.250.186.83,/,-1239488034,2a00:1450:4001:82b::2013,93,False,www.youtube.com,Google Frontend,Python,,,,,,,
