input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_subject_org_,csp_domains_,tls_expired,final_url,tls_mismatched,tls_wildcard_certificate,tls_emails_,tls_self_signed
delta-hotels.marriott.com,Find & Book Hotels | Delta Hotels by Marriott,200,126853,delta-hotels.marriott.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-09T00:00:00Z,2023-11-08T23:59:59Z,"CN=delta-hotels.marriott.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",delta-hotels.marriott.com,delta-hotels.marriott.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",2ea93ee58245b34b9b53a27e4d0bdb9a,1986876ab0709a786970744bb5860be1bcb553cc1d01f97e215cce963b6bd408,ctls,delta-hotels.marriott.com,,443,https://delta-hotels.marriott.com:443,https,cloudflare,text/html,GET,141.193.213.10,/,-1840324437,141.193.213.11,Yoast SEO:13.2,3336,False,,"Cloudflare, Inc.",,,,,,,
deltahotels.marriott.com,Find & Book Hotels | Delta Hotels by Marriott,200,126853,delta-hotels.marriott.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-09T00:00:00Z,2023-11-08T23:59:59Z,"CN=delta-hotels.marriott.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",delta-hotels.marriott.com,delta-hotels.marriott.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",2ea93ee58245b34b9b53a27e4d0bdb9a,1986876ab0709a786970744bb5860be1bcb553cc1d01f97e215cce963b6bd408,ctls,delta-hotels.marriott.com,,443,https://deltahotels.marriott.com:443,https,cloudflare,text/html,GET,141.193.213.11,/,-1376203465,141.193.213.10,Yoast SEO:13.2,3336,False,,"Cloudflare, Inc.",,,https://delta-hotels.marriott.com/,,,,
dev-oic-mipaasiaasservices-iam.marriott.com,403 Forbidden,403,548,dev-oic-mipaasiaasservices-iam.marriott.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-02T20:14:39Z,2023-11-30T20:14:39Z,"CN=www.mi-perftest1.com, O=Marriott International Inc., L=Bethesda, ST=Maryland, C=US",www.mi-perftest1.com,auth-perf1.marriott.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",738b5444e59690bea4c10e9ee78528b5,8bd6f487f5eb0aa3186ee21344fffcd71f12029d17a39642cb5b07f3a3ccf226,ctls,dev-oic-mipaasiaasservices-iam.marriott.com,,443,https://dev-oic-mipaasiaasservices-iam.marriott.com:443,https,,text/html,GET,23.36.236.241,/,566218143,2a02:26f0:1700:384::15e4,HSTS,14,False,,Marriott International Inc.,,,,,,,
dev-oic-mipaasiaasservices.marriott.com,403 Forbidden,403,548,dev-oic-mipaasiaasservices.marriott.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-02T20:14:39Z,2023-11-30T20:14:39Z,"CN=www.mi-perftest1.com, O=Marriott International Inc., L=Bethesda, ST=Maryland, C=US",www.mi-perftest1.com,auth-perf1.marriott.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",738b5444e59690bea4c10e9ee78528b5,8bd6f487f5eb0aa3186ee21344fffcd71f12029d17a39642cb5b07f3a3ccf226,ctls,dev-oic-mipaasiaasservices.marriott.com,,443,https://dev-oic-mipaasiaasservices.marriott.com:443,https,,text/html,GET,23.36.236.241,/,566218143,2a02:26f0:1700:384::15e4,HSTS,14,False,,Marriott International Inc.,,,,,,,
dev.journey.ritzcarlton.com,401 Unauthorized,401,381,dev.journey.ritzcarlton.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-08-22T00:00:00Z,2023-08-22T23:59:59Z,"CN=stage.ritzcarlton.com, O=The Ritz-Carlton Hotel Company\,L.L.C., L=Chevy Chase, ST=Maryland, C=US",stage.ritzcarlton.com,uat.ritzcarlton.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,aa44ff99f14f1356d7659928cd9eaf60,a3139baaa95cccce9c3d6867af948dd2b76151a009523acbdb18958fa23b64c8,ctls,dev.journey.ritzcarlton.com,,443,https://dev.journey.ritzcarlton.com:443,https,Apache,text/html,GET,23.37.36.24,/,-392200610,23.37.36.24,HSTS,13,False,,"The Ritz-Carlton Hotel Company,L.L.C.",,,,,,,
dev.marrtool.com,Log in,200,9431,dev.marrtool.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-11T17:55:49Z,2023-09-07T17:55:49Z,"CN=dev.marrtool.com, O=Marriott International Inc., L=Bethesda, ST=Maryland, C=US",dev.marrtool.com,test.marrtool.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",c186bf5f05c906235f41caabd2d65969,d867a9b0e4d7d98b03fec94e0be6e2ee1c5b875275e5cec03fab3f7be68c5d98,ctls,dev.marrtool.com,,443,https://dev.marrtool.com:443,https,,text/html,GET,44.213.171.22,/,2057027811,2600:1f18:45d0:600:c070:726a:13e0:af5,hCaptcha,270,False,,Marriott International Inc.,https://www.gstatic.com,,,,,,
dev.meetingimpactreport.marriott.com,401 Unauthorized,401,381,dev.meetingimpactreport.marriott.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-19T18:51:24Z,2023-06-17T18:51:23Z,CN=dev.meetingimpactreport.marriott.com,dev.meetingimpactreport.marriott.com,dev.meetingimpactreport.marriott.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,8c93f6dad8434b1fb4d20f806ec22bc2,953ded4fed4627d5068565de9156413ca6d83c25d8744bb93a207912418f616e,ctls,dev.meetingimpactreport.marriott.com,,443,https://dev.meetingimpactreport.marriott.com:443,https,Caddy Apache/2.4.56 (Debian),text/html,GET,100.25.252.234,/,-392200610,100.25.252.234,HTTP/3,13,False,,,,,,,,,
dev.ritzcarlton.com,Access Forbidden,401,16734,dev.ritzcarlton.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-08-22T00:00:00Z,2023-08-22T23:59:59Z,"CN=stage.ritzcarlton.com, O=The Ritz-Carlton Hotel Company\,L.L.C., L=Chevy Chase, ST=Maryland, C=US",stage.ritzcarlton.com,uat.ritzcarlton.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,aa44ff99f14f1356d7659928cd9eaf60,a3139baaa95cccce9c3d6867af948dd2b76151a009523acbdb18958fa23b64c8,ctls,dev.ritzcarlton.com,,443,https://dev.ritzcarlton.com:443,https,Apache,text/html,GET,23.37.57.193,/,-1510540111,23.37.57.193,ZURB Foundation,693,False,,"The Ritz-Carlton Hotel Company,L.L.C.",,,,,,,
dev1.hvmi.marriott.com,Homes & Villas | Marriott Bonvoy,503,2791,dev1.hvmi.marriott.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-11-04T19:19:21Z,2023-11-04T19:19:21Z,"CN=uat.marriott.com, O=Marriott International Inc., L=Bethesda, ST=Maryland, C=US",uat.marriott.com,auth-uat2.marriott.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",0051572dc553b8d0d5d7f537f1719283,55d474e1bb58e62b4a9ae76acf6d0665385bdd92a6d92cdeb75432dce5236551,ctls,dev1.hvmi.marriott.com,,443,https://dev1.hvmi.marriott.com:443,https,AmazonS3,text/html,GET,104.70.84.122,/,-1061113312,2a02:26f0:1700:386::4230,HSTS,70,False,,Marriott International Inc.,,,,,,,
dev2.webhook.hvmi.marriott.com,,403,42,dev2.webhook.hvmi.marriott.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-02T20:14:39Z,2023-11-30T20:14:39Z,"CN=www.mi-perftest1.com, O=Marriott International Inc., L=Bethesda, ST=Maryland, C=US",www.mi-perftest1.com,auth-perf1.marriott.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",738b5444e59690bea4c10e9ee78528b5,8bd6f487f5eb0aa3186ee21344fffcd71f12029d17a39642cb5b07f3a3ccf226,ctls,dev2.webhook.hvmi.marriott.com,,443,https://dev2.webhook.hvmi.marriott.com:443,https,,application/json,GET,23.36.236.241,/,768769774,23.36.236.241,,1,False,,Marriott International Inc.,,,,,,,
devportalgatewaypreprod.marriott.com,Error,503,175,devportalgatewaypreprod.marriott.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-02T18:14:57Z,2024-05-30T18:14:57Z,"CN=san-preprod.marriott.com, O=Marriott International Inc., L=Bethesda, ST=Maryland, C=US",san-preprod.marriott.com,clmagtest.marriott.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",7b19a6068db29d7a71c6904410c61a55,df50bf3d48b6783fe57f39da1912baccd88a2e505fb0666db0ca1dbad978ed2b,ctls,devportalgatewaypreprod.marriott.com,,443,https://devportalgatewaypreprod.marriott.com:443,https,,text/html,GET,104.126.37.162,/,-1415518380,2a02:26f0:3500:1b::1724:a39c,,5,False,,Marriott International Inc.,,,,,,,
devportalgatewayprod.marriott.com,Error 404 - Not Found,404,579,devportalgatewayprod.marriott.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-11-12T01:16:53Z,2023-11-12T01:16:52Z,"CN=san.marriott.com, O=Marriott International Inc., L=Bethesda, ST=Maryland, C=US",san.marriott.com,ae.starwoodhotels.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",df2aa0438c69e08ad394ce2abd8aa1d4,b6182913e6a33c8c9b405f1f94b46e10eab0faa43faf027bbd2c52cbae815e91,ctls,devportalgatewayprod.marriott.com,,443,https://devportalgatewayprod.marriott.com:443,https,,text/html,GET,23.37.39.214,/,-464450920,2a02:26f0:1700:387::20a3,,19,False,,Marriott International Inc.,,,,,,,
dsmportal.marriott.com,,200,6808,marriottdigitalservices.my.site.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-03T00:00:00Z,2024-03-26T23:59:59Z,"CN=prod.cdn.salesforce-experience.com, O=salesforce.com\, inc., L=San Francisco, ST=California, C=US",prod.cdn.salesforce-experience.com,*.sandbox.my.site.com,"CN=DigiCert Global G3 TLS ECC SHA384 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G3 TLS ECC SHA384 2020 CA1,DigiCert Inc,cbff9ef46b6f62e24d84e58321440f89,96d89df4025fbff2a3eb909bb3662c44ea9a04e4bbf68ba66bd536c8718c2594,ctls,marriottdigitalservices.my.site.com,,80,http://dsmportal.marriott.com:80,http,sfdcedge,text/html,GET,142.254.5.66,/,-520691214,142.254.5.66,HSTS,27,False,,"salesforce.com, inc.",https://csp-report.force.com/_/ContentDomainCSPNoAuth?type=communities,,https://marriottdigitalservices.my.site.com/saml/authn-request.jsp?saml_request_id=_2CAAAAYihKSoZMDAwMDAwMDAwMDAwMDAwAAAA8vNus9UjhOQYt9JGeEfNKhGE9AWIJg1URgmJrjydkLK8liPEMZ9VFeW2brkenXZf5evtuJYh_w5TTEuCDv5Vja2kzkyRdma2CChVQwpo_H0plbH9XbOKh_BNQ2ek869LTmIObgLnmPfbpi5vAHX32dZ1YKhk96bGEEcSMqWTaleaosk-k0Zvdfdj2K3spwLeDa3JRYYqRjFPdcFq0OEPzoxiO0Zru6O6cMaPDCBvsl_dcwOi8oFVokA4y91UbuiXgw&saml_acs=https%3A%2F%2Fmarriottdigitalservices.my.site.com%2Flogin%3Fsc%3D0LE3j0000008Qew&saml_binding_type=HttpPost&Issuer=https%3A%2F%2Fmarriottdigitalservices.my.salesforce.com&samlSsoConfig=0LE3j0000008Qew&RelayState=%2F,True,True,,
eataroundtown.marriott.com,403 Forbidden,403,425,eataroundtown.marriott.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-30T20:46:15Z,2023-06-30T20:46:14Z,"CN=eataroundtown.marriott.com, O=Marriott International Inc., L=Bethesda, ST=Maryland, C=US",eataroundtown.marriott.com,eataroundtown.marriott.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",cfec403deb74ce220f4e7f99da6564e3,57556c844d99b6ed9303950ed8c242692498d3eaef7c0e927269c2b478f752bb,ctls,eataroundtown.marriott.com,fastly,443,https://eataroundtown.marriott.com:443,https,Varnish,text/html,GET,146.75.121.245,/,-844420461,146.75.121.245,Varnish,18,False,True,Marriott International Inc.,,,,,,,
eidhelp.marriott.com,Marriott EID and Password Support,200,7621,,,,,,,,,,,,,,,,,,,80,http://eidhelp.marriott.com:80,http,Apache,text/html,GET,18.208.74.22,/,-780928015,184.72.97.159,Apache,188,False,,,,,,,,,
eleganthotels.com,Attention Required! | Cloudflare,403,4514,all-inclusive.marriott.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-09T17:03:27Z,2023-08-09T17:03:27Z,"CN=modules.marriott.com, O=Marriott International Inc., L=Bethesda, ST=Maryland, C=US",modules.marriott.com,all-inclusive.marriott.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",fabdd7e5c4ebab290988267203f568d4,131ad3f2dfb19706ce442506ff4e8f361cdfb88c1edc6c88ad1d1b874b7341d6,ctls,all-inclusive.marriott.com,,443,https://eleganthotels.com:443,https,cloudflare,text/html,GET,52.21.50.234,/,-1132321090,52.21.50.234,Cloudflare Bot Management,94,False,,Marriott International Inc.,,,https://all-inclusive.marriott.com,,,,
elite-achievement.marriott.com,403 Forbidden,403,199,elite-achievement.marriott.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2020-12-30T21:47:03Z,2022-01-22T21:47:03Z,"CN=elite-achievement.marriott.com, O=Marriott International Inc., L=Bethesda, ST=Maryland, C=US",elite-achievement.marriott.com,www.elite-achievement.marriott.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",1b882c243c53fe20db7112407bedd113,b2a68129f401d26d153a8d2054c412fd05ffebcb822cf7dc92213eef197c448b,ctls,elite-achievement.marriott.com,,443,https://elite-achievement.marriott.com:443,https,Apache,text/html,GET,100.20.100.139,/,-780928015,34.223.171.80,Apache,8,False,,Marriott International Inc.,,True,,,,,
elsalvador.marriott.com,Marriott - Vanity Redirect Server,404,935,,,,,,,,,,,,,,,,,,,443,https://elsalvador.marriott.com:443,https,Apache/2.4.56 (Amazon),text/html,GET,52.21.50.234,/,-1045002268,52.21.50.234,Apache:2.4.56,29,False,,,,,http://www.elsalvador.marriott.com/default.mi,,,,
emea.globalspa.marriott.com,,200,10208,emea.globalspa.marriott.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-11-16T18:20:45Z,2023-11-16T18:20:44Z,"CN=emea.globalspa.marriott.com, O=Marriott International Inc., L=Bethesda, ST=Maryland, C=US",emea.globalspa.marriott.com,emea.globalspa.ritzcarlton.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",3cb3f15204549e9a0f26b0801597a6a0,41c1ec13e7050a4907ec90931a063b6eeec022ee5424c7ead82d7bb6d1755db9,ctls,emea.globalspa.marriott.com,,443,https://emea.globalspa.marriott.com:443,https,Microsoft-IIS/10.0,text/html,GET,52.49.51.38,/,-858768256,54.72.203.249,Windows Server,61,False,,Marriott International Inc.,,,,,,,
engagecrisdev.marriott.com,,503,3265,engagecrisdev.marriott.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-20T04:59:48Z,2024-03-20T04:59:48Z,"CN=engagecrisdev.marriott.com, O=Marriott International Inc., L=Bethesda, ST=Maryland, C=US",engagecrisdev.marriott.com,engagecrisdev.marriott.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",99d2668d2a561f49b51b225ad8bb8399,223f4e1d3e7079cb73f48291a6652128726526da58f3e844c20bd3246dca6e80,ctls,engagecrisdev.marriott.com,,443,https://engagecrisdev.marriott.com:443,https,,text/html,GET,44.213.210.231,/,-113224736,52.203.135.234,,135,False,,Marriott International Inc.,,,,,,,
epic.marriott.com,Not Found,404,315,epic.marriott.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-10-22T12:27:17Z,2023-10-22T12:27:17Z,"CN=ci.ty.marriott.com, O=Marriott International Inc., L=Bethesda, ST=Maryland, C=US",ci.ty.marriott.com,ci.ty.loc5.marriott.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",0542a7313f50d45637407c38365bb045,afe859ef4898ab53f5bb2eb285887f915b7065bd060dfecbe0d5fc131620615a,ctls,epic.marriott.com,,443,https://epic.marriott.com:443,https,Microsoft-HTTPAPI/2.0,text/html,GET,162.130.196.230,/,225052475,162.130.196.230,Microsoft HTTPAPI:2.0,7,False,,Marriott International Inc.,,,,True,,,
essentials.marriott.com,MI Sales Companion,200,3314,mi.bookmarriott.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-06-02T19:11:47Z,2023-06-02T19:11:47Z,"CN=mi.bookmarriott.com, O=Marriott International Inc., L=Bethesda, ST=Maryland, C=US",mi.bookmarriott.com,mi.bookmarriott.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",9a9eb58554543b652487271e2b671e14,d09a90e1c1ade507f2b66f69877674dc842127b8940bad9c8449f75740a81bf2,ctls,mi.bookmarriott.com,,80,http://essentials.marriott.com:80,http,,text/html,GET,54.156.191.142,/,-1690001879,34.198.79.139,HSTS,1,False,,Marriott International Inc.,,,https://mi.bookmarriott.com/,,,,
esupplier.marriott.com,,200,54985,esupplier.marriott.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-08T04:00:35Z,2024-05-08T04:00:35Z,"CN=esupplier.marriott.com, O=Marriott International Inc., L=Bethesda, ST=Maryland, C=US",esupplier.marriott.com,esupplier.marriott.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",dee860005eb07099bcaea2b335c17e8c,511a3306165396849429aa7dd4ea4588f47f7a02254183f89ee8a394107d21b9,ctls,esupplier.marriott.com,,443,https://esupplier.marriott.com:443,https,Microsoft-IIS/10.0,text/html,GET,162.130.196.229,/,867817829,162.130.196.229,Windows Server,1082,False,,Marriott International Inc.,,,,,,,
event.marriott.com,Attention Required! | Cloudflare,403,4514,event.marriott.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-05T00:00:00Z,2023-11-05T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",f5db7d6ae106db8bfe85a268dbdd3ba7,4b16663c33b4ced4934f46b2144cf0a607b9044a84897908f30154ab28304237,ctls,event.marriott.com,cloudflare,443,https://event.marriott.com:443,https,cloudflare,text/html,GET,104.18.27.97,/,968922114,2606:4700::6812:1a61,Cloudflare Bot Management,94,False,True,"Cloudflare, Inc.",,,,,,,
explore.marriott.com,Hotel Destinations by Location | Marriott Bonvoy,200,389398,www.marriott.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-18T15:51:56Z,2023-11-10T15:51:55Z,"CN=www.marriott.com, O=Marriott International Inc., L=Bethesda, ST=Maryland, C=US",www.marriott.com,www.travelagents.marriott.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",fd366a77b3660f5f6b811c10c3af0d0f,009c340640383743bf6b3472aa4670e123f1412491729b65467ad2fe88e8dd9d,ctls,www.marriott.com,,80,http://explore.marriott.com:80,http,nginx,text/html,GET,52.21.50.234,/,-1045002268,52.21.50.234,React,6257,False,,Marriott International Inc.,,,https://www.marriott.com/en/destinations.mi,,,,
extranet.marriott.com,Extranet Login,200,5752,extranet.marriott.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-10T22:54:42Z,2024-03-22T22:54:42Z,"CN=cn-san.marriott.com, O=Marriott International Inc., L=Bethesda, ST=Maryland, C=US",cn-san.marriott.com,salesnetcloud.marriott.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",7033751cf00caece9609660e0bbb2bfe,3a0e221eefa6b31438866d8fe79ff1af527af005285370fb1a66e6d73fe9aced,ctls,extranet.marriott.com,,443,https://extranet.marriott.com:443,https,,text/html,GET,104.126.37.185,/,867817829,104.126.37.176,HSTS,24,False,,Marriott International Inc.,,,,,,,
extranet.xwip.marriott.com,Extranet Login,200,1129,extranet.xwip.marriott.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-08-26T12:51:30Z,2023-08-26T12:51:30Z,"CN=extranet.marriott.com, O=Marriott International Inc., L=Bethesda, ST=Maryland, C=US",extranet.marriott.com,extranet.marriott.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",27be016cb79378767d3f7970e9cf30b9,73f2ff9f71f0d406ec592456aebcd86de1f1d9cd69228709efc4193f67595e5f,ctls,extranet.xwip.marriott.com,,443,https://extranet.xwip.marriott.com:443,https,,text/html,GET,162.130.196.128,/,867817829,162.130.196.128,,22,False,,Marriott International Inc.,,,,True,,,
extranetcloudetc.xwip.marriott.com,Marriott Extranet - Error,403,22899,extranetcloudetc.xwip.marriott.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-02T17:25:49Z,2024-03-14T17:25:49Z,"CN=extranetcloudetc.marriott.com, O=Marriott International Inc., L=Bethesda, ST=Maryland, C=US",extranetcloudetc.marriott.com,extranetcloudetc-useast1.marriott.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",ba271ffdb881c0207d1de4b82350706f,27a6f5041676c93a99cd91195e7c6c2e68e5869696d364c181e1a778bda4a694,ctls,extranetcloudetc.xwip.marriott.com,,443,https://extranetcloudetc.xwip.marriott.com:443,https,,text/html,GET,162.130.197.92,/,-957867916,162.130.197.92,Amazon Web Services,185,False,,Marriott International Inc.,,,,True,,,
extranetcloudtest.xwip.marriott.com,Marriott Extranet - Error,403,24073,extranetcloudtest.xwip.marriott.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-25T15:32:35Z,2023-11-30T15:32:34Z,"CN=extranetcloudtest.marriott.com, O=Marriott International Inc., L=Bethesda, ST=Maryland, C=US",extranetcloudtest.marriott.com,extranetdev.marriott.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",6c439ef2213f6bfc03961a872d5e06b8,7f4a9778cfdd3b12aa317145fd8e7a2a18f85ef8a99ad76c309cfecd14c26754,ctls,extranetcloudtest.xwip.marriott.com,,443,https://extranetcloudtest.xwip.marriott.com:443,https,,text/html,GET,162.130.197.4,/,-390460369,162.130.197.4,Amazon Web Services,193,False,,Marriott International Inc.,,,,True,,,
extranetdevx509.xwip.marriott.com,Marriott Extranet - Error,403,24073,extranetdevx509.xwip.marriott.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-25T15:32:35Z,2023-11-30T15:32:34Z,"CN=extranetcloudtest.marriott.com, O=Marriott International Inc., L=Bethesda, ST=Maryland, C=US",extranetcloudtest.marriott.com,extranetdev.marriott.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",6c439ef2213f6bfc03961a872d5e06b8,7f4a9778cfdd3b12aa317145fd8e7a2a18f85ef8a99ad76c309cfecd14c26754,ctls,extranetdevx509.xwip.marriott.com,,443,https://extranetdevx509.xwip.marriott.com:443,https,,text/html,GET,52.20.188.138,/,-1563262989,52.20.188.138,,193,False,,Marriott International Inc.,,,,True,,,
