input,title,status_code,content_length,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,tls_wildcard_certificate,tls_self_signed,tls_mismatched,csp_domains_,final_url,location
cdn.capitaloneshopping.com,,404,9,cloudflare,443,https://cdn.capitaloneshopping.com:443,https,cloudflare,text/plain,GET,104.18.28.173,/,1257725933,2606:4700::6812:1dad,HSTS,1,False,True,cdn.capitaloneshopping.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-24T00:00:00Z,2023-09-07T23:59:59Z,"CN=capitaloneshopping.com, O=Capital One Financial Corporation, L=McLean, ST=Virginia, C=US, serialNumber=2419959, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",capitaloneshopping.com,Capital One Financial Corporation,shape.capitaloneshopping.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,140daf41b0d79206d4f0c33775e57f1a,40601d1b6e7b9173bd4cc2f005e1b55a1b8195cee4c777b29dbf0e1e493848d8,ctls,cdn.capitaloneshopping.com,,,,https:,,
cdn.wikibuy.com,,404,9,cloudflare,443,https://cdn.wikibuy.com:443,https,cloudflare,text/plain,GET,104.16.189.71,/,1257725933,2606:4700::6810:be47,HSTS,1,False,True,cdn.wikibuy.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-29T00:00:00Z,2024-04-28T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",wikibuy.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",e54cbbddca19854863547d31e8fd4484,5a62ed524b7f41051d054ee3651276e2365d9dba71eabf60ad7619a07f5597b7,ctls,cdn.wikibuy.com,True,,,https:,,
cdn2.capitaloneshopping.com,Not Found,404,27242,cloudflare,443,https://cdn2.capitaloneshopping.com:443,https,cloudflare,text/html,GET,104.18.28.173,/,-513000580,2606:4700::6812:1dad,HSTS,608,False,True,cdn2.capitaloneshopping.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-31T00:00:00Z,2024-03-29T23:59:59Z,"CN=cdn2.capitaloneshopping.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",cdn2.capitaloneshopping.com,"Cloudflare, Inc.",cdn2.capitaloneshopping.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",f0b53f3dc827c699e50ac3a8a750e181,9b68f9605c035b56a4ed694a8dbd8668ac1cb1933220759db1c32d68f7ef4388,ctls,cdn2.capitaloneshopping.com,,,,,,
cfxip-sea.capitalone.com,,404,721,,443,https://cfxip-sea.capitalone.com:443,https,,text/html,GET,204.63.41.30,/,-1895070927,204.63.41.30,,2,False,,cfxip-sea.capitalone.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-12-12T00:00:00Z,2023-12-11T23:59:59Z,"CN=cfxip.capitalone.com, O=Capital One Financial Corporation, L=McLean, ST=Virginia, C=US, serialNumber=2419959, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",cfxip.capitalone.com,Capital One Financial Corporation,cfxip-sea.capitalone.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,62839d1f24259f60cb528ad408de0f17,95cdc75b9353a3dfa790b7784babf3fd57f8a27e44931a2d20942138f034c5bc,ctls,cfxip-sea.capitalone.com,,,,,,
cfxiq-ash.capitalone.com,,404,721,,443,https://cfxiq-ash.capitalone.com:443,https,,text/html,GET,204.63.40.32,/,-1895070927,204.63.40.32,,2,False,,cfxiq-ash.capitalone.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-12-12T00:00:00Z,2023-12-11T23:59:59Z,"CN=cfxiq.capitalone.com, O=Capital One Financial Corporation, L=McLean, ST=Virginia, C=US, serialNumber=2419959, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",cfxiq.capitalone.com,Capital One Financial Corporation,cfxiq-ash.capitalone.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,32c33a54d50389e30b552a2b682eb207,a6f284a08f458c57e1f7f65cd39aa9f1a91bdc6d7d920804eb69bd297a27e868,ctls,cfxiq-ash.capitalone.com,,,,,,
cfxiq-sea.capitalone.com,,404,721,,443,https://cfxiq-sea.capitalone.com:443,https,,text/html,GET,204.63.41.32,/,-1895070927,204.63.41.32,,2,False,,cfxiq-sea.capitalone.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-12-12T00:00:00Z,2023-12-11T23:59:59Z,"CN=cfxiq.capitalone.com, O=Capital One Financial Corporation, L=McLean, ST=Virginia, C=US, serialNumber=2419959, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",cfxiq.capitalone.com,Capital One Financial Corporation,cfxiq-ash.capitalone.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,32c33a54d50389e30b552a2b682eb207,a6f284a08f458c57e1f7f65cd39aa9f1a91bdc6d7d920804eb69bd297a27e868,ctls,cfxiq-sea.capitalone.com,,,,,,
cfxiq.capitalone.com,,404,721,,443,https://cfxiq.capitalone.com:443,https,,text/html,GET,204.63.40.32,/,-1895070927,204.63.40.32,,2,False,,cfxiq.capitalone.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-12-12T00:00:00Z,2023-12-11T23:59:59Z,"CN=cfxiq.capitalone.com, O=Capital One Financial Corporation, L=McLean, ST=Virginia, C=US, serialNumber=2419959, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",cfxiq.capitalone.com,Capital One Financial Corporation,cfxiq-ash.capitalone.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,32c33a54d50389e30b552a2b682eb207,a6f284a08f458c57e1f7f65cd39aa9f1a91bdc6d7d920804eb69bd297a27e868,ctls,cfxiq.capitalone.com,,,,,,
cfxq-sea.capitalone.com,,404,721,,443,https://cfxq-sea.capitalone.com:443,https,,text/html,GET,204.63.41.31,/,-1895070927,204.63.41.31,,2,False,,cfxq-sea.capitalone.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-12-12T00:00:00Z,2023-12-11T23:59:59Z,"CN=cfxq.capitalone.com, O=Capital One Financial Corporation, L=McLean, ST=Virginia, C=US, serialNumber=2419959, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",cfxq.capitalone.com,Capital One Financial Corporation,cfxq-sea.capitalone.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,aacb41043267e291ba5a67c61482e4c2,3ca5d5ff55a331a661a2bb682d82e531465f582efc4b4aae09ee31725f11288d,ctls,cfxq-sea.capitalone.com,,,,,,
check-in-qa.capitalone.com,ERROR: The request could not be satisfied,403,915,cloudfront,80,http://check-in-qa.capitalone.com:80,http,CloudFront,text/html,GET,108.138.17.47,/,1241368956,108.138.17.15,Amazon Web Services,20,False,True,,,,,,,,,,,,,,,,,,,,,,,,
check-in.capitalone.com,Welcome to Capital One,200,739,cloudfront,443,https://check-in.capitalone.com:443,https,AmazonS3,text/html,GET,108.138.7.7,/,2122688666,108.138.7.128,Amazon Web Services,1,False,True,check-in.capitalone.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-12T00:00:00Z,2023-11-01T23:59:59Z,"CN=check-in.capitalone.com, O=Capital One Financial Corporation, L=McLean, ST=Virginia, C=US, serialNumber=2419959, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",check-in.capitalone.com,Capital One Financial Corporation,check-in.capitalone.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,9883f802a138ffd8ce90f78c511b5986,370b279ec0518f879bb151ee7aa557bd0532590d5540371afda05e87c6597bb5,ctls,check-in.capitalone.com,,,,,,
cks-dev.capitalone.com,,404,721,,443,https://cks-dev.capitalone.com:443,https,,text/html,GET,54.144.209.82,/,-1895070927,34.224.151.163,Amazon Web Services,2,False,,cks-dev.capitalone.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-08-08T00:00:00Z,2023-08-08T23:59:59Z,"CN=cks-dev.capitalone.com, O=Capital One Financial Corporation, L=McLean, ST=Virginia, C=US, serialNumber=2419959, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",cks-dev.capitalone.com,Capital One Financial Corporation,cks-dev.capitalone.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,5fb9772663b359de0e384bc0f6b4bfb1,589192e3a978192cbca1b881efe1f0e28483db0b7e3f33390f0912db2f2f8a9c,ctls,cks-dev.capitalone.com,,,,,,
cks.capitalone.com,,404,721,,443,https://cks.capitalone.com:443,https,,text/html,GET,34.213.151.95,/,-1895070927,52.41.177.187,Amazon Web Services,2,False,,cks.capitalone.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-08-08T00:00:00Z,2023-08-08T23:59:59Z,"CN=cks.capitalone.com, O=Capital One Financial Corporation, L=McLean, ST=Virginia, C=US, serialNumber=2419959, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",cks.capitalone.com,Capital One Financial Corporation,cks.capitalone.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,537ff3954936bb01038effb9d9ef78cc,25baaa4c68215eb088efda4c04d0860a3944e2e6c4f9a3f415bbc0840380227b,ctls,cks.capitalone.com,,,,,,
click-bankcommunication.capitalone.com,403 - Forbidden: Access is denied.,403,1233,,443,https://click-bankcommunication.capitalone.com:443,https,,text/html,GET,128.17.224.250,/,1631801191,128.17.224.250,HSTS,30,False,,click-bankcommunication.capitalone.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-02T00:00:00Z,2024-04-01T23:59:59Z,"CN=click-bankcommunication.capitalone.com, O=Salesforce.com\, Inc., L=San Francisco, ST=California, C=US",click-bankcommunication.capitalone.com,"Salesforce.com, Inc.",click-bankcommunication.capitalone.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,d973bcb99c5dce37282161f56b9bc08f,9d54b9cd7be1a9bdb10d53ce087938db2ba8d5e479a0102292cf8a4a33459e72,ctls,click-bankcommunication.capitalone.com,,,,,,
click-card.capitalone.com,403 - Forbidden: Access is denied.,403,1233,,443,https://click-card.capitalone.com:443,https,,text/html,GET,13.111.177.102,/,1631801191,13.111.177.102,HSTS,30,False,,click-card.capitalone.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-09-19T00:00:00Z,2023-10-20T23:59:59Z,"CN=click-card.capitalone.com, O=SALESFORCE.COM\, INC., L=San Francisco, ST=California, C=US",click-card.capitalone.com,"SALESFORCE.COM, INC.",click-card.capitalone.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,8314248c3a483dd998a499acd5a0d460,b5291a6346c0334cfe7dd80cb3d8ddc5ec7d1aabc4e05277bbeb15648a2ddb60,ctls,click-card.capitalone.com,,,,,,
click-cb.capitalone.com,403 - Forbidden: Access is denied.,403,1233,,443,https://click-cb.capitalone.com:443,https,,text/html,GET,13.111.42.114,/,1631801191,13.111.42.114,HSTS,30,False,,click-cb.capitalone.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-01T00:00:00Z,2024-03-31T23:59:59Z,"CN=click-cb.capitalone.com, O=Salesforce.com\, Inc., L=San Francisco, ST=California, C=US",click-cb.capitalone.com,"Salesforce.com, Inc.",click-cb.capitalone.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,92153774e3a8033febdddc4c4cfb3fae,70c3bcac1d40cf8c63ccada4e29a093f7b0cfc6117712fa003e1a783e6d2300e,ctls,click-cb.capitalone.com,,,,,,
click-message.capitalone.com,404 Not Found,404,150,,443,https://click-message.capitalone.com:443,https,msys-http,text/plain,GET,34.211.176.126,/,-1840324437,54.201.77.83,,8,False,,click-message.capitalone.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-08-02T00:00:00Z,2023-08-23T23:59:59Z,"CN=click-notification.capitalone.com, O=Capital One Financial Corporation, L=McLean, ST=Virginia, C=US",click-notification.capitalone.com,Capital One Financial Corporation,click-partneroffer.capitalone.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,c5fcdcfd0c184d2647b5a7616544a540,3b1d05a07f131e94a27a972e427c1ac5b54ae671caaed347cae43b8ecf14217b,ctls,click-message.capitalone.com,,,,,,
click-notification.capitalone.com,404 Not Found,404,150,,443,https://click-notification.capitalone.com:443,https,msys-http,text/plain,GET,34.211.176.126,/,-1840324437,54.201.77.83,,8,False,,click-notification.capitalone.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-08-02T00:00:00Z,2023-08-23T23:59:59Z,"CN=click-notification.capitalone.com, O=Capital One Financial Corporation, L=McLean, ST=Virginia, C=US",click-notification.capitalone.com,Capital One Financial Corporation,click-partneroffer.capitalone.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,c5fcdcfd0c184d2647b5a7616544a540,3b1d05a07f131e94a27a972e427c1ac5b54ae671caaed347cae43b8ecf14217b,ctls,click-notification.capitalone.com,,,,,,
click-offer.capitalone.com,404 Not Found,404,552,,443,https://click-offer.capitalone.com:443,https,msys-http,text/plain,GET,54.201.77.83,/,-1840324437,52.41.131.190,,14,False,,click-offer.capitalone.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-08-02T00:00:00Z,2023-08-23T23:59:59Z,"CN=click-notification.capitalone.com, O=Capital One Financial Corporation, L=McLean, ST=Virginia, C=US",click-notification.capitalone.com,Capital One Financial Corporation,click-partneroffer.capitalone.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,c5fcdcfd0c184d2647b5a7616544a540,3b1d05a07f131e94a27a972e427c1ac5b54ae671caaed347cae43b8ecf14217b,ctls,click-offer.capitalone.com,,,,,,
click-partnermessage.capitalone.com,404 Not Found,404,552,,443,https://click-partnermessage.capitalone.com:443,https,msys-http,text/plain,GET,52.41.131.190,/,-1840324437,34.211.176.126,,14,False,,click-partnermessage.capitalone.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-08-02T00:00:00Z,2023-08-23T23:59:59Z,"CN=click-notification.capitalone.com, O=Capital One Financial Corporation, L=McLean, ST=Virginia, C=US",click-notification.capitalone.com,Capital One Financial Corporation,click-partneroffer.capitalone.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,c5fcdcfd0c184d2647b5a7616544a540,3b1d05a07f131e94a27a972e427c1ac5b54ae671caaed347cae43b8ecf14217b,ctls,click-partnermessage.capitalone.com,,,,,,
click-partnernotification.capitalone.com,404 Not Found,404,150,,443,https://click-partnernotification.capitalone.com:443,https,msys-http,text/plain,GET,34.211.176.126,/,-1840324437,52.41.131.190,,8,False,,click-partnernotification.capitalone.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-08-02T00:00:00Z,2023-08-23T23:59:59Z,"CN=click-notification.capitalone.com, O=Capital One Financial Corporation, L=McLean, ST=Virginia, C=US",click-notification.capitalone.com,Capital One Financial Corporation,click-partneroffer.capitalone.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,c5fcdcfd0c184d2647b5a7616544a540,3b1d05a07f131e94a27a972e427c1ac5b54ae671caaed347cae43b8ecf14217b,ctls,click-partnernotification.capitalone.com,,,,,,
click-partneroffer.capitalone.com,404 Not Found,404,150,,443,https://click-partneroffer.capitalone.com:443,https,msys-http,text/plain,GET,52.41.131.190,/,-1840324437,34.211.176.126,,8,False,,click-partneroffer.capitalone.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-08-02T00:00:00Z,2023-08-23T23:59:59Z,"CN=click-notification.capitalone.com, O=Capital One Financial Corporation, L=McLean, ST=Virginia, C=US",click-notification.capitalone.com,Capital One Financial Corporation,click-partneroffer.capitalone.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,c5fcdcfd0c184d2647b5a7616544a540,3b1d05a07f131e94a27a972e427c1ac5b54ae671caaed347cae43b8ecf14217b,ctls,click-partneroffer.capitalone.com,,,,,,
click-sparkbusinesscard.capitalone.com,403 - Forbidden: Access is denied.,403,1233,,443,https://click-sparkbusinesscard.capitalone.com:443,https,,text/html,GET,13.111.42.205,/,1631801191,13.111.42.205,HSTS,30,False,,click-sparkbusinesscard.capitalone.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-12-05T00:00:00Z,2024-01-05T23:59:59Z,"CN=click-sparkbusinesscard.capitalone.com, O=SALESFORCE.COM\, INC., L=San Francisco, ST=California, C=US",click-sparkbusinesscard.capitalone.com,"SALESFORCE.COM, INC.",click-sparkbusinesscard.capitalone.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,3a4f10d7c7c32a9fa1349d978e2c07ab,12812b941f1adb8e533608fd5e21398db5dc16b70a7bb025ef5e1775f5788091,ctls,click-sparkbusinesscard.capitalone.com,,,,,,
click-springdeals.capitalone.com,403 - Forbidden: Access is denied.,403,1233,,443,https://click-springdeals.capitalone.com:443,https,,text/html,GET,13.111.165.9,/,1631801191,13.111.165.9,HSTS,30,False,,click-springdeals.capitalone.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-08-09T00:00:00Z,2023-09-09T23:59:59Z,"CN=click-springdeals.capitalone.com, O=SALESFORCE.COM\, INC., L=San Francisco, ST=California, C=US",click-springdeals.capitalone.com,"SALESFORCE.COM, INC.",click-springdeals.capitalone.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,5a176fc434d769e8489c40e352f3dd3b,cc72b861dc32e57522bf243b96b092e92d8d7eefe0d7104023a44b1f94108347,ctls,click-springdeals.capitalone.com,,,,,,
click-takechargemail.capitalone.com,404 Not Found,404,552,,443,https://click-takechargemail.capitalone.com:443,https,msys-http,text/plain,GET,52.88.110.2,/,-1840324437,54.187.134.7,,14,False,,click-takechargemail.capitalone.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-09T00:00:00Z,2023-11-23T23:59:59Z,CN=spgo.io,spgo.io,,spgo1.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,b48d2faa8da96be2c64964e60e5b333f,24aec451a732f9ce5cc82cdefd7dd980c9959bcba2bbe70c2fb5803680f2528b,ctls,click-takechargemail.capitalone.com,True,,True,,,
click.notification.capitalone.co.uk,404 Not Found,404,552,,443,https://click.notification.capitalone.co.uk:443,https,msys-http,text/html,GET,54.154.39.204,/,1593207841,54.171.7.69,,14,False,,click.notification.capitalone.co.uk,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-08-09T00:00:00Z,2023-08-10T23:59:59Z,"CN=click.notification.capitalone.co.uk, O=Capital One Financial Corporation, L=McLean, ST=Virginia, C=US, serialNumber=2419959, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",click.notification.capitalone.co.uk,Capital One Financial Corporation,click.notification.capitalone.co.uk,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,de41787ee657a8a4888a9d49f2d67d85,f857d8999dcdf2e3bc1e00bff77847b8b8b065afa0830f330e30407860015277,ctls,click.notification.capitalone.co.uk,,,,,,
client-logger-api.wikibuy.com,,200,72,cloudflare,443,https://client-logger-api.wikibuy.com:443,https,cloudflare,text/html,GET,104.16.190.71,/,1185329514,2606:4700::6810:be47,HSTS,1,False,True,client-logger-api.wikibuy.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-29T00:00:00Z,2024-04-28T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",wikibuy.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",e54cbbddca19854863547d31e8fd4484,5a62ed524b7f41051d054ee3651276e2365d9dba71eabf60ad7619a07f5597b7,ctls,client-logger-api.wikibuy.com,True,,,,,
clip-data.capitalone.co.uk,,404,721,,443,https://clip-data.capitalone.co.uk:443,https,,text/html,GET,176.34.147.229,/,-1895070927,52.215.76.30,Amazon Web Services,2,False,,clip-data.capitalone.co.uk,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-11T00:00:00Z,2024-04-10T23:59:59Z,"CN=clip-data.capitalone.co.uk, O=Capital One Financial Corporation, L=McLean, ST=Virginia, C=US, serialNumber=2419959, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",clip-data.capitalone.co.uk,Capital One Financial Corporation,clip-data.capitalone.co.uk,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,4ff40d901fe1dee404c0ac85c5d2dd26,9b372c1e8c14b840623992b047a09b473e10b2a9310ffd75add2d4b1f902d865,ctls,clip-data.capitalone.co.uk,,,,,,
clip.capitalone.co.uk,Capital One - Credit Limit Increase,200,1014,cloudfront,443,https://clip.capitalone.co.uk:443,https,server,text/html,GET,108.138.7.21,/,2122688666,108.138.7.44,HSTS,1,False,True,clip.capitalone.co.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-20T00:00:00Z,2023-09-20T23:59:59Z,"CN=clip.capitalone.co.uk, O=Capital One Financial Corporation, L=McLean, ST=Virginia, C=US, serialNumber=2419959, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",clip.capitalone.co.uk,Capital One Financial Corporation,clip-ui-prod.aws-uk.capitalonegslbex.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,966fdb722112a9c09d11985d60ba3967,26eafe20329ccbdc41ca75a501bb02fa19dafbf9cd382af0e7afbc8bd396f95a,ctls,clip.capitalone.co.uk,,,,https:,,
cloud-cardcommunication.capitalone.com,403 - Forbidden: Access is denied.,403,1233,,443,https://cloud-cardcommunication.capitalone.com:443,https,,text/html,GET,136.147.129.35,/,1631801191,136.147.129.35,,30,False,,cloud-cardcommunication.capitalone.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-01T00:00:00Z,2024-03-31T23:59:59Z,"CN=pub.s7.exacttarget.com, O=Salesforce.com\, Inc., L=San Francisco, ST=California, C=US",pub.s7.exacttarget.com,"Salesforce.com, Inc.",pub.s7.exacttarget.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,20842c6252c2eb071c46ce80114f2aec,316eb5676448730a883c79f2c332df5bb4009bc7650000f70159fc81f37df134,ctls,cloud-cardcommunication.capitalone.com,,,True,,,
