input,title,status_code,content_length,csp_domains_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_mismatched,final_url
geth.a.exodus.io,,404,15,*.exodus.com,geth.a.exodus.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-02T00:00:00Z,2024-05-01T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",a.exodus.io,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ab95034a6c71122513459963f66f6c46,0f264ad9dc6a558f9ac4fd57519b16eeba4d0b78591b3cb5f5a31de6d5fd721d,True,ctls,geth.a.exodus.io,cloudflare,443,https://geth.a.exodus.io:443,https,cloudflare,text/html,GET,104.18.31.9,/,-753586893,2606:4700::6812:1e09,Cloudflare,1,False,True,,
ghost.exodus.io,404 Not Found,404,146,,ghost.exodus.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-03T00:00:00Z,2024-04-02T23:59:59Z,"CN=exodus.io, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",exodus.io,"Cloudflare, Inc.",exodus.io,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",2acf98f75e42e11993e7fd0b1d147742,32c9c28920d91bcf5110c0dd0fd79d4679f8efffe6104e6a414147587b647085,True,ctls,ghost.exodus.io,cloudflare,443,https://ghost.exodus.io:443,https,cloudflare,text/html,GET,104.17.174.50,/,1494302000,2606:4700::6811:af32,HSTS,8,False,True,,
grafana.exodus.io,Sign in ・ Cloudflare Access,200,28812,https:,exodus.cloudflareaccess.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-11T00:00:00Z,2023-09-07T23:59:59Z,CN=ssl1075497.cloudflaressl.com,ssl1075497.cloudflaressl.com,,cloudflareaccess.com,"CN=COMODO ECC Domain Validation Secure Server CA 2, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO ECC Domain Validation Secure Server CA 2,COMODO CA Limited,87713b38da05acdabfe6e7ca7d9d65a8,20a161d033636d125bfd59b23b1d246dc3535ed149333b3dba97497ed105e8ad,True,ctls,exodus.cloudflareaccess.com,cloudflare,443,https://grafana.exodus.io:443,https,cloudflare,text/html,GET,104.17.174.50,/,-1540953422,2606:4700::6811:ae32,HSTS,68,False,True,,https://exodus.cloudflareaccess.com/cdn-cgi/access/login/grafana.exodus.io?kid=c9a869fefddd1c1ce0328a0bb6460a5ca3b333ae7e504ab6b3258a802204b9f7&redirect_url=%2F&meta=eyJraWQiOiJlZTgzZWQ2YmY1OWZhMDA0ZTFiMDhhOTZmMTQxNjBmZTc5ODc4YmNlYjRmOWMxNmNiOTQ5YWU1MjY5ZjExODY3IiwiYWxnIjoiUlMyNTYiLCJ0eXAiOiJKV1QifQ.eyJzZXJ2aWNlX3Rva2VuX3N0YXR1cyI6ZmFsc2UsImlhdCI6MTY4MzgwOTE3OCwic2VydmljZV90b2tlbl9pZCI6IiIsImF1ZCI6ImM5YTg2OWZlZmRkZDFjMWNlMDMyOGEwYmI2NDYwYTVjYTNiMzMzYWU3ZTUwNGFiNmIzMjU4YTgwMjIwNGI5ZjciLCJob3N0bmFtZSI6ImdyYWZhbmEuZXhvZHVzLmlvIiwiYXBwX3Nlc3Npb25faGFzaCI6IjY0NzBhOWU1ZTM1N2M1MWFjYTBhMDljODc2ZGRiYmZkNThiZDk1N2FkMTNjMjg3ZDY4MWM3MTQ5YmViMjM0OTQiLCJuYmYiOjE2ODM4MDkxNzgsImlzX3dhcnAiOmZhbHNlLCJpc19nYXRld2F5IjpmYWxzZSwidHlwZSI6Im1ldGEiLCJyZWRpcmVjdF91cmwiOiJcLyIsIm10bHNfYXV0aCI6eyJjZXJ0X2lzc3Vlcl9za2kiOiIiLCJjZXJ0X3ByZXNlbnRlZCI6ZmFsc2UsImNlcnRfc2VyaWFsIjoiIiwiY2VydF9pc3N1ZXJfZG4iOiIiLCJhdXRoX3N0YXR1cyI6Ik5PTkUifSwiYXV0aF9zdGF0dXMiOiJOT05FIn0.bKt5PS6V3fQeMYp2-JOWtFeC5zaQZDeVqE9SuMvzP5ah5upLxcRTico4x0mBlvgRUqCGgq-9QlKkTLpu9MENzXyFtr7CWcLODutHdnFRF9JDIcxdaaGU7q6ncT4Iz-dObjzdjv-SeSTgEx0ij1dKd84IXlWBFJquAdjOeQR7KzXaMSmrD34qggLINPb5Lm99vKQSvmmHsvJTr6lgeUi6yS1vn7VNqh2M0qXchAMXnSApNTiVY0D82kBCOxVE8pb4vU8aQTGj4BPhyL6N0Ms3ji5I_xreIG06VytR-4GuPks1mzV08Ozcrf4T808Q697oZMeOgLLalrf-AyzXkunIIQ
hedera.a.exodus.io,,404,50,*.a.exodus.io,hedera.a.exodus.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-02T00:00:00Z,2024-05-01T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",a.exodus.io,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ab95034a6c71122513459963f66f6c46,0f264ad9dc6a558f9ac4fd57519b16eeba4d0b78591b3cb5f5a31de6d5fd721d,True,ctls,hedera.a.exodus.io,cloudflare,443,https://hedera.a.exodus.io:443,https,cloudflare,application/json,GET,104.18.30.9,/,1891861636,2606:4700::6812:1f09,Cloudflare,1,False,True,,
help.exodus.io,Exodus Support,200,19879,,www.exodus.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-04T00:00:00Z,2023-12-04T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",b30590014cbe9ca28faea5c7e109c6c6,a767ff9c7a6a3f7ec5a5d821df10fffcce3949cf815f2e8a9394c987bd874675,True,ctls,www.exodus.com,cloudflare,443,https://help.exodus.io:443,https,cloudflare,text/html,GET,104.17.174.50,/,207721311,2606:4700::6811:af32,Scala,425,False,True,,https://www.exodus.com/support/
link-t.exodus.com,Invalid Dynamic Link,400,9233,https:,link-t.exodus.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-16T11:55:22Z,2023-06-14T12:53:55Z,CN=rehman-tech.com,rehman-tech.com,,link.smapzone.com,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,6ba923b56d3f97e2d42a805294b9b9d3,ca2b391f3fc1265378d5787c07ff524f9b9e9a6b8b6418a28594cd15f013bbb0,,ctls,link-t.exodus.com,,443,https://link-t.exodus.com:443,https,,text/html,GET,199.36.158.100,/,1905170354,199.36.158.100,HTTP/3,1,False,,,
litecoin.a.exodus.io,,404,15,*.a.exodus.io,litecoin.a.exodus.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-02T00:00:00Z,2024-05-01T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",a.exodus.io,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ab95034a6c71122513459963f66f6c46,0f264ad9dc6a558f9ac4fd57519b16eeba4d0b78591b3cb5f5a31de6d5fd721d,True,ctls,litecoin.a.exodus.io,cloudflare,443,https://litecoin.a.exodus.io:443,https,cloudflare,text/html,GET,104.18.30.9,/,-753586893,2606:4700::6812:1f09,Cloudflare,1,False,True,,
marley-p.exodus.io,,403,42,,marley-p.exodus.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-03T00:00:00Z,2024-04-02T23:59:59Z,"CN=exodus.io, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",exodus.io,"Cloudflare, Inc.",exodus.io,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",2acf98f75e42e11993e7fd0b1d147742,32c9c28920d91bcf5110c0dd0fd79d4679f8efffe6104e6a414147587b647085,True,ctls,marley-p.exodus.io,cloudflare,443,https://marley-p.exodus.io:443,https,cloudflare,application/json,GET,104.17.174.50,/,137290324,2606:4700::6811:af32,HSTS,1,False,True,,
metadata.exodus.com,,400,351,,metadata.exodus.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-04T00:00:00Z,2023-12-04T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",b30590014cbe9ca28faea5c7e109c6c6,a767ff9c7a6a3f7ec5a5d821df10fffcce3949cf815f2e8a9394c987bd874675,True,ctls,metadata.exodus.com,cloudflare,443,https://metadata.exodus.com:443,https,cloudflare,application/xml,GET,104.18.19.218,/,1090476944,2606:4700::6812:13da,HSTS,3,False,True,,
metadata.exodus.io,,400,351,,metadata.exodus.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-04T00:00:00Z,2023-12-04T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",b30590014cbe9ca28faea5c7e109c6c6,a767ff9c7a6a3f7ec5a5d821df10fffcce3949cf815f2e8a9394c987bd874675,True,ctls,metadata.exodus.com,cloudflare,443,https://metadata.exodus.io:443,https,cloudflare,application/xml,GET,104.17.175.50,/,-1103959254,2606:4700::6811:ae32,HSTS,3,False,True,,https://metadata.exodus.com/
neo-mag.a.exodus.io,,404,15,exodus.com,neo-mag.a.exodus.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-02T00:00:00Z,2024-05-01T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",a.exodus.io,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ab95034a6c71122513459963f66f6c46,0f264ad9dc6a558f9ac4fd57519b16eeba4d0b78591b3cb5f5a31de6d5fd721d,True,ctls,neo-mag.a.exodus.io,cloudflare,443,https://neo-mag.a.exodus.io:443,https,cloudflare,text/html,GET,104.18.30.9,/,-753586893,2606:4700::6812:1f09,Cloudflare,1,False,True,,
nfts-proxy.exodus.io,,403,42,,nfts-proxy.exodus.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-03T00:00:00Z,2024-04-02T23:59:59Z,"CN=exodus.io, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",exodus.io,"Cloudflare, Inc.",exodus.io,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",2acf98f75e42e11993e7fd0b1d147742,32c9c28920d91bcf5110c0dd0fd79d4679f8efffe6104e6a414147587b647085,True,ctls,nfts-proxy.exodus.io,cloudflare,443,https://nfts-proxy.exodus.io:443,https,cloudflare,application/json,GET,104.17.174.50,/,1593207841,2606:4700::6811:af32,HSTS,1,False,True,,
oauth.exodus.io,404 Not Found,404,146,,oauth.exodus.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-03T00:00:00Z,2024-04-02T23:59:59Z,"CN=exodus.io, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",exodus.io,"Cloudflare, Inc.",exodus.io,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",2acf98f75e42e11993e7fd0b1d147742,32c9c28920d91bcf5110c0dd0fd79d4679f8efffe6104e6a414147587b647085,True,ctls,oauth.exodus.io,cloudflare,443,https://oauth.exodus.io:443,https,cloudflare,text/html,GET,104.17.175.50,/,1494302000,2606:4700::6811:ae32,HSTS,8,False,True,,
ontexplorer.a.exodus.io,,404,89,*.a.exodus.io,ontexplorer.a.exodus.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-02T00:00:00Z,2024-05-01T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",a.exodus.io,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ab95034a6c71122513459963f66f6c46,0f264ad9dc6a558f9ac4fd57519b16eeba4d0b78591b3cb5f5a31de6d5fd721d,True,ctls,ontexplorer.a.exodus.io,cloudflare,443,https://ontexplorer.a.exodus.io:443,https,cloudflare,application/json,GET,104.18.31.9,/,1865979892,2606:4700::6812:1f09,Cloudflare,1,False,True,,
pm-bounces.exodus.com,Postmark — Email delivery for web apps,200,4374,,,,,,,,,,,,,,,,,,,,,,80,http://pm-bounces.exodus.com:80,http,AmazonS3,text/html,GET,138.197.30.54,/,-1457628171,138.197.30.54,Amazon Web Services,85,False,,,
pm-bounces.exodus.io,Postmark — Email delivery for web apps,200,4374,,,,,,,,,,,,,,,,,,,,,,80,http://pm-bounces.exodus.io:80,http,AmazonS3,text/html,GET,138.197.30.54,/,-1457628171,138.197.30.54,Amazon Web Services,85,False,,,
polygon.a.exodus.io,,200,,*.a.exodus.io,polygon.a.exodus.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-02T00:00:00Z,2024-05-01T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",a.exodus.io,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ab95034a6c71122513459963f66f6c46,0f264ad9dc6a558f9ac4fd57519b16eeba4d0b78591b3cb5f5a31de6d5fd721d,True,ctls,polygon.a.exodus.io,cloudflare,443,https://polygon.a.exodus.io:443,https,cloudflare,,GET,104.18.31.9,/,-1840324437,2606:4700::6812:1f09,Cloudflare,1,False,True,,
pricing-d.a.exodus.io,,404,72,exodus.io,pricing-d.a.exodus.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-02T00:00:00Z,2024-05-01T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",a.exodus.io,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ab95034a6c71122513459963f66f6c46,0f264ad9dc6a558f9ac4fd57519b16eeba4d0b78591b3cb5f5a31de6d5fd721d,True,ctls,pricing-d.a.exodus.io,cloudflare,443,https://pricing-d.a.exodus.io:443,https,cloudflare,application/json,GET,104.18.30.9,/,-522708096,2606:4700::6812:1f09,Cloudflare,1,False,True,,
push.exodus.io,,404,87,,push.exodus.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-03T00:00:00Z,2024-04-02T23:59:59Z,"CN=exodus.io, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",exodus.io,"Cloudflare, Inc.",exodus.io,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",2acf98f75e42e11993e7fd0b1d147742,32c9c28920d91bcf5110c0dd0fd79d4679f8efffe6104e6a414147587b647085,True,ctls,push.exodus.io,cloudflare,443,https://push.exodus.io:443,https,cloudflare,application/json,GET,104.17.174.50,/,137290324,2606:4700::6811:ae32,Node.js,1,False,True,,
qtum.a.exodus.io,,404,15,*.a.exodus.io,qtum.a.exodus.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-02T00:00:00Z,2024-05-01T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",a.exodus.io,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ab95034a6c71122513459963f66f6c46,0f264ad9dc6a558f9ac4fd57519b16eeba4d0b78591b3cb5f5a31de6d5fd721d,True,ctls,qtum.a.exodus.io,cloudflare,443,https://qtum.a.exodus.io:443,https,cloudflare,text/html,GET,104.18.31.9,/,-753586893,2606:4700::6812:1e09,Cloudflare,1,False,True,,
raven-d.a.exodus.io,,404,15,exodus.io,raven-d.a.exodus.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-02T00:00:00Z,2024-05-01T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",a.exodus.io,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ab95034a6c71122513459963f66f6c46,0f264ad9dc6a558f9ac4fd57519b16eeba4d0b78591b3cb5f5a31de6d5fd721d,True,ctls,raven-d.a.exodus.io,cloudflare,443,https://raven-d.a.exodus.io:443,https,cloudflare,text/html,GET,104.18.30.9,/,-753586893,2606:4700::6812:1f09,Cloudflare,1,False,True,,
raven.a.exodus.io,,404,15,*.a.exodus.io,raven.a.exodus.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-02T00:00:00Z,2024-05-01T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",a.exodus.io,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ab95034a6c71122513459963f66f6c46,0f264ad9dc6a558f9ac4fd57519b16eeba4d0b78591b3cb5f5a31de6d5fd721d,True,ctls,raven.a.exodus.io,cloudflare,443,https://raven.a.exodus.io:443,https,cloudflare,text/html,GET,104.18.30.9,/,-753586893,2606:4700::6812:1f09,Cloudflare,1,False,True,,
referrals.a.exodus.io,Error,404,139,,referrals.a.exodus.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-02T00:00:00Z,2024-05-01T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",a.exodus.io,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ab95034a6c71122513459963f66f6c46,0f264ad9dc6a558f9ac4fd57519b16eeba4d0b78591b3cb5f5a31de6d5fd721d,True,ctls,referrals.a.exodus.io,cloudflare,443,https://referrals.a.exodus.io:443,https,cloudflare,text/html,GET,104.18.30.9,/,1593207841,2606:4700::6812:1f09,Node.js,11,False,True,,
referrals.exodus.com,Referrals Dashboard,200,594,,referrals.exodus.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-07T06:14:11Z,2023-07-06T06:14:10Z,CN=referrals.exodus.com,referrals.exodus.com,,referrals.exodus.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,c058f6c5b09e62f2cf8b28792e8d030a,ee65f8ff01fa3659fa1f857f641e3043f76a72d1e5b807d0e30e8bfca7977322,,ctls,referrals.exodus.com,cloudflare,443,https://referrals.exodus.com:443,https,cloudflare,text/html,GET,104.18.19.218,/,-729509925,2606:4700::6812:13da,HSTS,1,False,True,,
ripple.a.exodus.io,,404,15,*.a.exodus.io,ripple.a.exodus.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-02T00:00:00Z,2024-05-01T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",a.exodus.io,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ab95034a6c71122513459963f66f6c46,0f264ad9dc6a558f9ac4fd57519b16eeba4d0b78591b3cb5f5a31de6d5fd721d,True,ctls,ripple.a.exodus.io,cloudflare,443,https://ripple.a.exodus.io:443,https,cloudflare,text/html,GET,104.18.31.9,/,-753586893,2606:4700::6812:1f09,Cloudflare,1,False,True,,
server.exodus.io,,200,,*.a.exodus.io,server.exodus.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-03T00:00:00Z,2024-04-02T23:59:59Z,"CN=exodus.io, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",exodus.io,"Cloudflare, Inc.",exodus.io,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",2acf98f75e42e11993e7fd0b1d147742,32c9c28920d91bcf5110c0dd0fd79d4679f8efffe6104e6a414147587b647085,True,ctls,server.exodus.io,cloudflare,443,https://server.exodus.io:443,https,cloudflare,text/html,GET,104.17.174.50,/,-1285597174,2606:4700::6811:ae32,Microsoft ASP.NET,1,False,True,,
simulation.a.exodus.io,,404,15,,simulation.a.exodus.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-02T00:00:00Z,2024-05-01T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",a.exodus.io,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ab95034a6c71122513459963f66f6c46,0f264ad9dc6a558f9ac4fd57519b16eeba4d0b78591b3cb5f5a31de6d5fd721d,True,ctls,simulation.a.exodus.io,cloudflare,443,https://simulation.a.exodus.io:443,https,cloudflare,text/plain,GET,104.18.31.9,/,-753586893,2606:4700::6812:1e09,Cloudflare,1,False,True,,
slack-invite.exodus.com,Slack,200,42436,,exodusmovement.slack.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-14T05:17:13Z,2023-06-12T05:17:12Z,CN=slack.com,slack.com,,slack.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,e67c58ac3f7ccae09c62a63d775dc91c,a485fc648ca51a1ee25b318a94be352aa6b396874fb15f0d66424c72d22c4da4,True,ctls,exodusmovement.slack.com,cloudflare,443,https://slack-invite.exodus.com:443,https,Apache,text/html,GET,104.18.18.218,/,-1073150717,2606:4700::6812:13da,PHP\;confidence:75,250,False,True,,https://exodusmovement.slack.com/join/shared_invite/zt-1txrtjmsl-Awcr3VcJ_yChQuYWSrvSnA
solana-qn-d.a.exodus.io,Exodus - Firewall Triggered,403,329702,,solana-qn-d.a.exodus.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-02T00:00:00Z,2024-05-01T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",a.exodus.io,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ab95034a6c71122513459963f66f6c46,0f264ad9dc6a558f9ac4fd57519b16eeba4d0b78591b3cb5f5a31de6d5fd721d,True,ctls,solana-qn-d.a.exodus.io,cloudflare,443,https://solana-qn-d.a.exodus.io:443,https,cloudflare,text/html,GET,104.18.31.9,/,2017141646,2606:4700::6812:1f09,Cloudflare,164,False,True,,
solana.a.exodus.io,,200,15,exodus.io,solana.a.exodus.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-02T00:00:00Z,2024-05-01T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",a.exodus.io,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ab95034a6c71122513459963f66f6c46,0f264ad9dc6a558f9ac4fd57519b16eeba4d0b78591b3cb5f5a31de6d5fd721d,True,ctls,solana.a.exodus.io,cloudflare,443,https://solana.a.exodus.io:443,https,cloudflare,application/json,GET,104.18.31.9,/,1588004899,2606:4700::6812:1e09,Cloudflare,1,False,True,,
support-helpers.a.exodus.io,Error,404,139,,support-helpers.a.exodus.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-02T00:00:00Z,2024-05-01T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",a.exodus.io,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ab95034a6c71122513459963f66f6c46,0f264ad9dc6a558f9ac4fd57519b16eeba4d0b78591b3cb5f5a31de6d5fd721d,True,ctls,support-helpers.a.exodus.io,cloudflare,443,https://support-helpers.a.exodus.io:443,https,cloudflare,text/html,GET,104.18.30.9,/,1593207841,2606:4700::6812:1f09,Node.js,11,False,True,,
support.exodus.io,Exodus Support,200,19879,,www.exodus.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-04T00:00:00Z,2023-12-04T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",b30590014cbe9ca28faea5c7e109c6c6,a767ff9c7a6a3f7ec5a5d821df10fffcce3949cf815f2e8a9394c987bd874675,True,ctls,www.exodus.com,cloudflare,443,https://support.exodus.io:443,https,cloudflare,text/html,GET,104.17.174.50,/,-1530239662,2606:4700::6811:af32,Scala,425,False,True,,https://www.exodus.com/support/
