input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_mismatched,final_url,csp_domains_,tls_expired
console-openshift-console.apps.ocp2.azure.dso.digital.mod.uk,403 Forbidden,403,179,console-openshift-console.apps.ocp2.azure.dso.digital.mod.uk,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-11-16T00:00:00Z,2023-11-16T23:59:59Z,CN=*.apps.ocp2.azure.dso.digital.mod.uk,*.apps.ocp2.azure.dso.digital.mod.uk,,apps.ocp2.azure.dso.digital.mod.uk,"CN=ZeroSSL RSA Domain Secure Site CA, O=ZeroSSL, C=AT",ZeroSSL RSA Domain Secure Site CA,ZeroSSL,3a107622c2a5eb8774cc2b42554fc7b9,272c8087085b8cfbee8ab6884071bef2312550ad7eca55c712f5a5b020c796fb,True,ctls,console-openshift-console.apps.ocp2.azure.dso.digital.mod.uk,,443,https://console-openshift-console.apps.ocp2.azure.dso.digital.mod.uk:443,https,Microsoft-Azure-Application-Gateway/v2,text/html,GET,20.90.66.223,/,1525958878,20.90.66.223,,8,False,,,,,
contracts.mod.uk,,200,348,contracts.mod.uk,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-11-22T00:00:00Z,2023-12-17T23:59:59Z,CN=contracts.mod.uk,contracts.mod.uk,,www.contracts.mod.uk,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,cfeae7077c78a03eb8f8795385541a5d,e04f2b981ee428576e0db6279bddb8a84fd008776e97c2edf5d67bbf2e131f28,,ctls,contracts.mod.uk,,443,https://contracts.mod.uk:443,https,Apache,text/html,GET,18.132.61.209,/,-597670220,13.41.217.225,HSTS,15,False,,,,*.jaggaer.com,
d2s.dev.service.mod.gov.uk,Defence DevSecOps Service (D2S),200,1686,d2s.dev.service.mod.gov.uk,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-22T00:00:00Z,2024-02-22T23:59:59Z,CN=*.dev.service.mod.gov.uk,*.dev.service.mod.gov.uk,,dev.service.mod.gov.uk,"CN=ZeroSSL RSA Domain Secure Site CA, O=ZeroSSL, C=AT",ZeroSSL RSA Domain Secure Site CA,ZeroSSL,0847e03517fe405841c5c22826fc2de7,64342316efa4c4b7db89cd61033270728c55a064a1eb2ee54de8cb5692f32734,True,ctls,d2s.dev.service.mod.gov.uk,,443,https://d2s.dev.service.mod.gov.uk:443,https,nginx,text/html,GET,20.108.108.248,/,2083944238,20.108.108.248,Nginx,1,False,,,,https://*.google-analytics.com,
defenceacademy.mod.uk,DAMOD,200,30174,www.da.mod.uk,443,True,tls12,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256,2023-04-21T00:00:00Z,2024-04-20T23:59:59Z,CN=www.da.mod.uk,www.da.mod.uk,,da.mod.uk,"CN=GeoTrust TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust TLS RSA CA G1,DigiCert Inc,61252bc0bd80ef2b55bd05d75fb92a7a,edfad20fe67b4e178a65eb3c3b221bc9657b286bbd6b2c81c826e109a14682c1,,ctls,www.da.mod.uk,,443,https://defenceacademy.mod.uk:443,https,openresty,text/html,GET,96.45.83.128,/,1726676976,96.45.82.45,Squiz Matrix,809,False,,,https://www.da.mod.uk/,,
defenceimagery.mod.uk,"Home Page - Welcome to Defence Imagery, where official Royal Navy, Army, RAF, and Ministry of Defence images and videos are available for download.",200,86978,www.defenceimagery.mod.uk,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-28T00:00:00Z,2024-03-27T23:59:59Z,"CN=www.defenceimagery.mod.uk, O=UK Ministry of Defence, L=London, C=GB",www.defenceimagery.mod.uk,UK Ministry of Defence,www.defenceimagery.mod.uk,"CN=Thawte TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",Thawte TLS RSA CA G1,DigiCert Inc,63f907bb2c59a264c2e03bf37b86bc6f,c6482d35609bde1b354e677f1d680a8542a0cb861946e8b0545ee356f7741676,,ctls,www.defenceimagery.mod.uk,,443,https://defenceimagery.mod.uk:443,https,Kestrel,text/html,GET,5.187.26.88,/,1714103864,5.187.26.88,Microsoft ASP.NET,798,False,,,https://www.defenceimagery.mod.uk/,,
defenseshare.mod.uk,Defence Share - Defence Share,200,10805,defenceshare.mod.uk,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-07T13:50:49Z,2023-10-09T13:50:48Z,CN=www.defenceshare.mod.uk,www.defenceshare.mod.uk,,defenceshare.mod.uk,"CN=GlobalSign GCC R3 DV TLS CA 2020, O=GlobalSign nv-sa, C=BE",GlobalSign GCC R3 DV TLS CA 2020,GlobalSign nv-sa,9ade804853a91714db879a00d15d5e89,78109ac136ad2073c530f4f16f20dfa49561228fb9970c7cb916590b86d802ce,,ctls,defenceshare.mod.uk,,80,http://defenseshare.mod.uk:80,http,Occluded,text/html,GET,31.25.189.123,/,390560741,31.25.189.123,Java,209,False,,,https://defenceshare.mod.uk/index.cfm?,,
deployments.maf.dev.iace.mod.gov.uk,502 Bad Gateway,502,183,deployments.maf.dev.iace.mod.gov.uk,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-05-11T16:57:00Z,2023-05-11T16:57:00Z,CN=deployments.maf.dev.iace.mod.gov.uk,deployments.maf.dev.iace.mod.gov.uk,,www.deployments.maf.dev.iace.mod.gov.uk,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",78ca3fdb3753438ee613be5fb8b5b986,576b7d1d3ade30717e1b97156068306c45a62d60e473c3a3b65de4b1cec148cc,,ctls,deployments.maf.dev.iace.mod.gov.uk,azure,80,http://deployments.maf.dev.iace.mod.gov.uk:80,http,Microsoft-Azure-Application-Gateway/v2,text/html,GET,20.49.157.82,/,1689593728,20.49.157.82,,8,False,True,,https://deployments.maf.dev.iace.mod.gov.uk,,True
design-system.digital.mod.uk,Home | MOD.UK Design System,200,148535,design-system.digital.mod.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-01T03:50:08Z,2023-06-30T03:50:07Z,CN=design-system.digital.mod.uk,design-system.digital.mod.uk,,design-system.digital.mod.uk,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,88c8ed03c676bd0bce4bebddacdc1991,4febe541b34caf17ff6bbcab070c3ade4a8f1176adaf43e44ee6d31e83e3928e,,ctls,design-system.digital.mod.uk,google,443,https://design-system.digital.mod.uk:443,https,Netlify,text/html,GET,34.141.55.250,/,-277525689,2a05:d014:275:cb02::c8,React,265,False,True,,,,
design-system.service.mod.gov.uk,MOD.UK Design System,200,39007,design-system.service.mod.gov.uk,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-20T00:00:00Z,2024-02-20T23:59:59Z,CN=*.service.mod.gov.uk,*.service.mod.gov.uk,,service.mod.gov.uk,"CN=ZeroSSL RSA Domain Secure Site CA, O=ZeroSSL, C=AT",ZeroSSL RSA Domain Secure Site CA,ZeroSSL,52cb8dc96ba711d919572fa7d3d1e291,ead51e9390a290147361a6a7196dbe4d6f68a21542b88b302c7cba3e5ed55016,True,ctls,design-system.service.mod.gov.uk,,443,https://design-system.service.mod.gov.uk:443,https,nginx,text/html,GET,20.90.66.223,/,-1582111580,20.90.66.223,UIKit,8,False,,,,https://*.analytics.google.com,
dev-cms.army.mod.uk,,403,16,dev-cms.army.mod.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-22T00:00:00Z,2023-06-19T23:59:59Z,"CN=army.mod.uk, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",army.mod.uk,"Cloudflare, Inc.",army.mod.uk,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",dc8376dcd78c9032556e5e14280e38c0,45b298ece76e1bf6a5f4f2164298d7c3d498e20e5b1fefa707a6d8cb1780a3fb,True,ctls,dev-cms.army.mod.uk,cloudflare,443,https://dev-cms.army.mod.uk:443,https,cloudflare,text/plain,GET,104.18.22.40,/,1253481126,2606:4700::6812:1628,Cloudflare Bot Management,1,False,True,,,,
dev-www.royalnavy.mod.uk,,403,16,dev-www.royalnavy.mod.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-21T00:00:00Z,2023-12-21T23:59:59Z,"CN=royalnavy.mod.uk, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",royalnavy.mod.uk,"Cloudflare, Inc.",royalnavy.mod.uk,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",9b2d678a376e30878eb1cf0ce956fd7b,84b15625f3783b00ab76033e749a52d928f05c30ab166f339083ac097024b122,True,ctls,dev-www.royalnavy.mod.uk,cloudflare,443,https://dev-www.royalnavy.mod.uk:443,https,cloudflare,text/plain,GET,104.18.16.76,/,1253481126,2606:4700::6812:114c,Cloudflare Bot Management,1,False,True,,,,
dev.bader.mod.uk,Just a moment...,403,7010,dev.bader.mod.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-24T00:00:00Z,2023-12-24T23:59:59Z,"CN=bader.mod.uk, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",bader.mod.uk,"Cloudflare, Inc.",*.bader.mod.uk,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",363ea6c354f47fde1c19227f10e2c3a1,5fbf6bdb6ace7b0d9f3f68f3f1840134ab2bdbb6ba9b780138d525b16d0b79aa,True,ctls,dev.bader.mod.uk,cloudflare,443,https://dev.bader.mod.uk:443,https,cloudflare,text/html,GET,104.18.21.53,/,-914549933,2606:4700::6812:1535,HTTP/3,87,False,True,,,,
devsecops.service.mod.gov.uk,Ministry of Defence,200,17371,devsecops.service.mod.gov.uk,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-20T00:00:00Z,2024-02-20T23:59:59Z,CN=*.service.mod.gov.uk,*.service.mod.gov.uk,,service.mod.gov.uk,"CN=ZeroSSL RSA Domain Secure Site CA, O=ZeroSSL, C=AT",ZeroSSL RSA Domain Secure Site CA,ZeroSSL,52cb8dc96ba711d919572fa7d3d1e291,ead51e9390a290147361a6a7196dbe4d6f68a21542b88b302c7cba3e5ed55016,True,ctls,devsecops.service.mod.gov.uk,,443,https://devsecops.service.mod.gov.uk:443,https,nginx/1.20.1,text/html,GET,20.90.66.223,/,1483217389,20.90.66.223,Nginx:1.20.1,369,False,,,,,
discovermybenefits-dev.mod.gov.uk,Discover My Benefits,200,4686,discovermybenefits-dev.mod.gov.uk,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-23T00:00:00Z,2024-01-23T23:59:59Z,"CN=discovermybenefits-dev.mod.gov.uk, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",discovermybenefits-dev.mod.gov.uk,Microsoft Corporation,discovermybenefits-dev.mod.gov.uk,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,bfd35d2621b2baee329ddf7fe30337f1,ead0bb540b1176fd6385fe3a2cca87a626c46bcf607658f9bcbffbf921c96c7d,,ctls,discovermybenefits-dev.mod.gov.uk,,443,https://discovermybenefits-dev.mod.gov.uk:443,https,,text/html,GET,13.107.253.45,/,1673899352,2620:1ec:48:1::45,HSTS,1,False,,,,https://greatstatedmb.report-uri.com/r/d/csp/enforce,
discovermybenefits-uat.mod.gov.uk,Discover My Benefits,200,4015,discovermybenefits-uat.mod.gov.uk,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-23T00:00:00Z,2024-01-23T23:59:59Z,"CN=discovermybenefits-uat.mod.gov.uk, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",discovermybenefits-uat.mod.gov.uk,Microsoft Corporation,discovermybenefits-uat.mod.gov.uk,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,de5e7b580f5d181ea458288916aa0510,ce5edb616ae6380c11be60d7bb9398844fc4a25b7a79d9a5ef64a6d00bbcdaec,,ctls,discovermybenefits-uat.mod.gov.uk,,443,https://discovermybenefits-uat.mod.gov.uk:443,https,,text/html,GET,13.107.253.45,/,1673899352,2620:1ec:48:1::45,HSTS,1,False,,,,www.google.co.uk,
display-staging.da.mod.uk,Web App - Unavailable,403,1892,display-staging.da.mod.uk,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-28T00:00:00Z,2023-08-28T23:59:59Z,CN=display-staging.da.mod.uk,display-staging.da.mod.uk,,display-staging.da.mod.uk,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",1391324042b8f46659d188d0b7b46536,a7fa434f675f5dab72f8ee0bfb3338150c35b5aff03d0bf54bcfa55ce9fdd72e,,ctls,display-staging.da.mod.uk,azure,443,https://display-staging.da.mod.uk:443,https,,text/html,GET,51.104.28.74,/,,51.104.28.74,,74,False,True,,,,
dle-dev.ice.mod.gov.uk,Working...,200,4286,sso.defencegateway.mod.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-24T00:00:00Z,2023-12-24T23:59:59Z,"CN=defencegateway.mod.uk, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",defencegateway.mod.uk,"Cloudflare, Inc.",*.defencegateway.mod.uk,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ade585c94fcace13e36abf522273e48a,cecf7c1f04442e3f058a0c140a110a4c802d18bb61336d3626bed5dda4b8711b,True,ctls,sso.defencegateway.mod.uk,,80,http://dle-dev.ice.mod.gov.uk:80,http,cloudflare,text/html,GET,3.11.103.214,/,-794591150,13.40.91.89,HSTS,1,False,,,https://sso.defencegateway.mod.uk/adfs/ls/?SAMLRequest=hZLNUsIwFEZfpZN9mzaIYIZ2psJCZlA7UF24cdLkAh3TBHtTkLe3tP7gBrfJd8%2FNdyYTFJXe8bRxW7OE9wbQeR%2BVNsi7i5g0teFWYInciAqQO8lX6f2CsyDku9o6K60mXooItSutmVqDTQX1Cup9KeFpuYjJ1rkdckqVBl%2FBPmjPg8qqYGP3QfNGV9uyKKwGtw0QLT3RGc0eVznxZu1zSiNO4F9MGwoUrMFI2AgHB3HsaC1JqDVSjZR481lMXq8GhRoxVhThMJRsoBSLwtHNSI5DwaRkYRtDbGBu0AnjYsJCNvDDoR9FeTTiw2vOxi%2FEy75K3pZGlWZz2UjRh5Df5Xnm9yWeocauQBsgyeTklXeL6zPTl7HiWy9J%2FpGJPzIn9GxTv3bHH1r0fJZZXcqjl2ptD9MaWokxiQhN%2BpG%2FvyH5BA%3D%3D&RelayState=ss%3Amem%3Acfdf35fc5bee12d6704a8acb63060554f5c58d7fb2e140bd31c07e205c6bf7d6,*.defencegateway.mod.uk,
dni.mod.uk,IIS Windows Server,200,703,,,,,,,,,,,,,,,,,,,,,80,http://dni.mod.uk:80,http,Microsoft-IIS/10.0,text/html,GET,5.187.26.87,/,1631801191,5.187.26.87,Windows Server,32,False,,,,,
email.royalnavy.mod.uk,403 Forbidden,403,199,,,,,,,,,,,,,,,,,,,,,80,http://email.royalnavy.mod.uk:80,http,Apache,text/html,GET,91.192.43.152,/,-855688948,91.192.43.151,Apache,8,False,,,,,
enterpriseenrollment.mod.gov.uk,Microsoft Intune admin center,200,39994,intune.microsoft.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-20T00:03:25Z,2024-04-14T00:03:25Z,"CN=intune.microsoft.com, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",intune.microsoft.com,Microsoft Corporation,intune.microsoft.com,"CN=Microsoft Azure TLS Issuing CA 06, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 06,Microsoft Corporation,fbe882ad9daeb5df0f0d14db966ea3c8,d5bab55b00d08eec6b9981deee10c77d19ccdd091bfd836e38b6bc95a281a90d,,ctls,intune.microsoft.com,azure,80,http://enterpriseenrollment.mod.gov.uk:80,http,,text/html,GET,13.74.111.192,/,1631801191,13.74.111.192,HSTS,4,False,True,,https://intune.microsoft.com/,,
enterpriseregistration.mod.gov.uk,Service,404,1565,enterpriseregistration.mod.gov.uk,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-14T19:36:32Z,2024-02-09T19:36:32Z,"CN=*.enterpriseregistration.windows.net, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",*.enterpriseregistration.windows.net,Microsoft Corporation,enterpriseregistration.windows.net,"CN=Microsoft Azure TLS Issuing CA 06, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 06,Microsoft Corporation,a6e45158afb23e4d3d7ad5975ed54d03,62af4b86a7f8d2913ffabbbb4465a2cd43cdd51d772ff6a8a77cdfe4968a5037,True,ctls,enterpriseregistration.mod.gov.uk,azure,443,https://enterpriseregistration.mod.gov.uk:443,https,,text/html,GET,20.190.137.40,/,-2070773535,20.190.137.40,HSTS,14,False,True,True,,,
ers.sabre.mod.uk,Defence Employer Recognition Scheme - GOV.UK,200,160862,www.gov.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-18T14:45:01Z,2024-01-01T17:26:01Z,"CN=www.gov.uk, O=Government Digital Service, L=London, ST=Greater London, C=GB",www.gov.uk,Government Digital Service,gov.uk,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,04141fbc02d876dd10d1b2bc547f8a35,9f1e807971573e98a2a2934d1aafb50857e4957d43f0106e63fb2d8b9d6d1a79,True,ctls,www.gov.uk,fastly,443,https://ers.sabre.mod.uk:443,https,nginx,text/html,GET,151.101.2.30,/,1472757244,2a04:4e42:600::542,Varnish,1867,False,True,,https://www.gov.uk/government/publications/defence-employer-recognition-scheme,www.gstatic.com,
events.da.mod.uk,Sign in to your account,200,202544,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-24T00:00:00Z,2024-02-24T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,5a0c035fd36e190a9a002ffd08801cce,51cfd1c52666a532589d6759379eab229c80ad93cf9e47beb8519dd205096065,,ctls,login.microsoftonline.com,azure,443,https://events.da.mod.uk:443,https,,text/html,GET,20.52.134.77,/,-1423708123,20.52.134.77,HSTS,173,False,True,,https://login.microsoftonline.com/267e129b-fd11-41b9-a908-15fc6967cf17/oauth2/authorize?response_type=code&client_id=90fe8a61-ae1a-4fa7-9046-7fb8ea9e89d8&scope=openid&nonce=ec07d275-c469-4487-b4f3-d77354b53182&redirect_uri=https%3a%2f%2fevents.da.mod.uk%2f&state=AppProxyState%3a%7b%22InvalidTokenRetry%22%3anull%2c%22IsMsofba%22%3afalse%2c%22OriginalRawUrl%22%3a%22https%3a%5c%2f%5c%2fevents.da.mod.uk%5c%2f%22%2c%22RequestProfileId%22%3anull%2c%22SessionId%22%3a%22dfdab451-0edc-4014-93c9-2c7cc7b2bce2%22%7d%23EndOfStateParam%23&client-request-id=dfdab451-0edc-4014-93c9-2c7cc7b2bce2,,
f1.sra.gcbps.mod.uk,,200,104,f1.sra.gcbps.mod.uk,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-08-25T07:52:06Z,2023-08-25T08:02:06Z,"CN=f1.sra.gcbps.mod.uk, OU=gcbps, OU=applications, OU=r, O=mil, C=gb",f1.sra.gcbps.mod.uk,mil,f1.sra.gcbps.mod.uk,"CN=CIS3 Issuing CA1, OU=DPKI, OU=R, O=MIL, C=GB",CIS3 Issuing CA1,MIL,f0e8003f24d2c595e08abdd3c370838e,7ae22b7ea0bda8a99e77d70c60b8ed9aba164d83181850a1cc5846c354ae62a1,,ctls,f1.sra.gcbps.mod.uk,,443,https://f1.sra.gcbps.mod.uk:443,https,,text/html,GET,161.12.32.180,/,-1840324437,161.12.32.180,HSTS,1,False,,,,,
forum.royalnavy.mod.uk,,403,16,forum.royalnavy.mod.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-21T00:00:00Z,2023-12-21T23:59:59Z,"CN=royalnavy.mod.uk, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",royalnavy.mod.uk,"Cloudflare, Inc.",royalnavy.mod.uk,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",9b2d678a376e30878eb1cf0ce956fd7b,84b15625f3783b00ab76033e749a52d928f05c30ab166f339083ac097024b122,True,ctls,forum.royalnavy.mod.uk,cloudflare,443,https://forum.royalnavy.mod.uk:443,https,cloudflare,text/plain,GET,104.18.17.76,/,1253481126,2606:4700::6812:114c,Cloudflare Bot Management,1,False,True,,,,
graph.vi-preprod.ice.mod.gov.uk,Vistair Intelligence,200,1172,vi-preprod.ice.mod.gov.uk,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-23T00:00:00Z,2024-04-21T23:59:59Z,CN=vi-preprod.ice.mod.gov.uk,vi-preprod.ice.mod.gov.uk,,*.vi-preprod.ice.mod.gov.uk,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,353be78b47c9fcb717141d43208cfd3b,f8af2061b2dbb34cba8c9c4ba2acfe4ec1217f690213170ebd61c9a745f7aaa8,True,ctls,vi-preprod.ice.mod.gov.uk,,443,https://graph.vi-preprod.ice.mod.gov.uk:443,https,nginx,text/html,GET,13.41.85.119,/,1441386177,18.168.83.131,Nginx,1,False,,,https://vi-preprod.ice.mod.gov.uk/jwtlogin?return_to=%2F,,
helpdesk.defencegateway.mod.uk,Defence Gateway Helpdesk - Powered by Kayako Help Desk Software,200,16782,helpdesk.defencegateway.mod.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-24T00:00:00Z,2023-12-24T23:59:59Z,"CN=defencegateway.mod.uk, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",defencegateway.mod.uk,"Cloudflare, Inc.",*.defencegateway.mod.uk,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ade585c94fcace13e36abf522273e48a,cecf7c1f04442e3f058a0c140a110a4c802d18bb61336d3626bed5dda4b8711b,True,ctls,helpdesk.defencegateway.mod.uk,cloudflare,80,http://helpdesk.defencegateway.mod.uk:80,http,cloudflare,text/html,GET,104.18.14.198,/,878852854,104.18.15.198,HSTS,345,False,True,,https://helpdesk.defencegateway.mod.uk/,,
ias.ahe.mod.uk,,200,315,ias.ahe.mod.uk,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-04T11:48:53Z,2023-07-03T11:48:52Z,CN=ias.ahe.mod.uk,ias.ahe.mod.uk,,ias.ahe.mod.uk,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,3bf013c905952954f24cd5c4e62c310b,efd128b0ee43b736da6fd873d67b29af84e04ae0b810c0c47effc875b56f8d8d,,ctls,ias.ahe.mod.uk,,443,https://ias.ahe.mod.uk:443,https,,text/html,GET,62.172.134.202,/,1878261793,62.172.134.202,HSTS,9,False,,,,,
identity.royalnavy.mod.uk,,403,16,identity.royalnavy.mod.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-21T00:00:00Z,2023-12-21T23:59:59Z,"CN=royalnavy.mod.uk, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",royalnavy.mod.uk,"Cloudflare, Inc.",royalnavy.mod.uk,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",9b2d678a376e30878eb1cf0ce956fd7b,84b15625f3783b00ab76033e749a52d928f05c30ab166f339083ac097024b122,True,ctls,identity.royalnavy.mod.uk,cloudflare,443,https://identity.royalnavy.mod.uk:443,https,cloudflare,text/plain,GET,104.18.17.76,/,1253481126,2606:4700::6812:114c,Cloudflare Bot Management,1,False,True,,,,
jackspeak.royalnavy.mod.uk,,403,16,jackspeak.royalnavy.mod.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-21T00:00:00Z,2023-12-21T23:59:59Z,"CN=royalnavy.mod.uk, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",royalnavy.mod.uk,"Cloudflare, Inc.",royalnavy.mod.uk,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",9b2d678a376e30878eb1cf0ce956fd7b,84b15625f3783b00ab76033e749a52d928f05c30ab166f339083ac097024b122,True,ctls,jackspeak.royalnavy.mod.uk,cloudflare,443,https://jackspeak.royalnavy.mod.uk:443,https,cloudflare,text/plain,GET,104.18.17.76,/,1253481126,2606:4700::6812:114c,Cloudflare Bot Management,1,False,True,,,,
jivetest.defencegateway.mod.uk,403 Forbidden,403,146,jivetest.defencegateway.mod.uk,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2024-02-16T23:59:59Z,CN=*.defencegateway.mod.uk,*.defencegateway.mod.uk,,*.defencegateway.mod.uk,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,76d0634d5c48836d108601684eaee4be,fd460d62c59f92fbbd3b798fa12c3e539de74ab30ae02878cef6e7eff863be2b,True,ctls,jivetest.defencegateway.mod.uk,,443,https://jivetest.defencegateway.mod.uk:443,https,nginx,text/html,GET,18.169.116.207,/,-1561873722,3.9.252.255,Nginx,8,False,,,,,
