input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,final_url,a_,tech_,lines,failed,tls_wildcard_certificate,tls_mismatched,cdn_name,cdn,csp_domains_,tls_self_signed
fota-staging-cdn.htc.com,Internal Server Error,500,282,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,fota-staging-cdn.htc.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-21T00:00:00Z,2023-09-09T23:59:59Z,"CN=star.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",star.htc.com,HTC Corporation,salestraining.htc.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1d74ef8c97a88255b7db6ce608a4e920,32728eac06ebdd42de2ebfe7d86bf1081beaafa015f8d7e0ca25d823fd58a4a7,ctls,fota-staging-cdn.htc.com,443,https://fota-staging-cdn.htc.com:443,https,AkamaiGHost,text/html,GET,104.126.37.16,/,1454566211,,2a02:26f0:ab00::5c7a:d710,,9,False,,,,,,
fotadls-cn.htc.com,403 Forbidden,403,405,AS20940,AKAMAI-ASN1,NL,23.208.0.0/12,,,,,,,,,,,,,,,,,,,80,http://fotadls-cn.htc.com:80,http,Apache/2.2.3 (Red Hat),text/html,GET,23.201.250.189,/,-2091979532,,23.201.250.189,Red Hat,13,False,,,,,,
fotadls-org-az.htc.com,,403,,AS20940,AKAMAI-ASN1,NL,23.208.0.0/12,,,,,,,,,,,,,,,,,,,80,http://fotadls-org-az.htc.com:80,http,,text/html,GET,23.212.208.194,/,-1840324437,,23.212.208.194,,1,False,,,,,,
fotadls-org-cnc.htc.com,,403,,AS20940,AKAMAI-ASN1,NL,23.208.0.0/12,fotadls-org-cnc.htc.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-03-22T00:00:00Z,2024-03-22T23:59:59Z,"CN=start.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",start.htc.com,HTC Corporation,zoodles.htc.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,7ee503258672f8257a240894be73a593,c7d81d078a120d00bb80f6034c88e9b995baf0cb38e1afc0df755eb5cd1056ec,ctls,fotadls-org-cnc.htc.com,443,https://fotadls-org-cnc.htc.com:443,https,,text/html,GET,23.201.250.189,/,-1840324437,,23.201.250.189,,1,False,,,,,,
fotadls-test.htc.com,,404,10,AS20940,AKAMAI-ASN1,NL,2.20.0.0/14,,,,,,,,,,,,,,,,,,,80,http://fotadls-test.htc.com:80,http,AkamaiNetStorage,,GET,2.16.186.42,/,-2051374730,,2.16.186.16,,2,False,,,,,,
fotadls.htc.com,,404,10,AS20940,AKAMAI-ASN1,NL,23.48.0.0/12,,,,,,,,,,,,,,,,,,,80,http://fotadls.htc.com:80,http,AkamaiNetStorage,,GET,23.37.59.43,/,-2051374730,,23.37.59.43,,2,False,,,,,,
fotamsg.htc.com,Error,403,74,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,fotamsg.htc.com,443,True,tls12,TLS_RSA_WITH_AES_256_CBC_SHA,2022-06-27T00:00:00Z,2023-07-28T23:59:59Z,"CN=*.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",*.htc.com,HTC Corporation,htc.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,160310875a8b8b3133032517f4f9de3f,985e234e490e5a872a4b8684bef9cbd55c10d77fd246d535d5cc95ca291b11c6,ctls,fotamsg.htc.com,443,https://fotamsg.htc.com:443,https,,text/html,GET,114.30.34.39,/,-1463124301,,114.30.34.39,,1,False,True,,,,,
gaming.htc.com,HTC Deutschland,200,46584,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,www.htc.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-05T00:00:00Z,2024-01-05T23:59:59Z,"CN=www.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",www.htc.com,HTC Corporation,www.recamera.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1995c5fe3a1e85dbac518a77402336b1,2e96443015ab6679b142f939a84d3c1893419723ccf127592b0013a0bd624095,ctls,www.htc.com,443,https://gaming.htc.com:443,https,nginx,text/html,GET,104.126.37.34,/,1288394194,https://www.htc.com/de/,104.126.37.16,Nginx,1074,False,,,,,https:,
getstart.htc.com,Error,503,176,AS20940,AKAMAI-ASN1,NL,23.208.0.0/12,start.htcsense.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-05T00:00:00Z,2024-01-05T23:59:59Z,"CN=*.htcsense.com, O=HTC Corporation, ST=Taoyuan City, C=TW",*.htcsense.com,HTC Corporation,htcsense.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,2630d4eeabdb192a0d1ddca461207e00,3b942951e366e5cd1dda62f33eac2d17842765fdf9ecbc423fe8222f76aa4735,ctls,start.htcsense.com,80,http://getstart.htc.com:80,http,AkamaiGHost,text/html,GET,23.201.250.189,/,1025751341,https://start.htcsense.com/message/,23.201.250.189,,5,False,True,,,,,
investors.htc.com,HTC investor,200,18910,AS20940,AKAMAI-ASN1,NL,23.208.0.0/12,investors.htc.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-03-22T00:00:00Z,2024-03-22T23:59:59Z,"CN=start.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",start.htc.com,HTC Corporation,zoodles.htc.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,7ee503258672f8257a240894be73a593,c7d81d078a120d00bb80f6034c88e9b995baf0cb38e1afc0df755eb5cd1056ec,ctls,investors.htc.com,443,https://investors.htc.com:443,https,nginx,text/html,GET,23.201.250.189,/,1543228025,https://investors.htc.com/en/,23.201.250.189,Nginx,655,False,,,,,,
ithelps.htc.com,,200,587803,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,ithelps.htc.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-21T00:00:00Z,2023-09-09T23:59:59Z,"CN=star.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",star.htc.com,HTC Corporation,salestraining.htc.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1d74ef8c97a88255b7db6ce608a4e920,32728eac06ebdd42de2ebfe7d86bf1081beaafa015f8d7e0ca25d823fd58a4a7,ctls,ithelps.htc.com,443,https://ithelps.htc.com:443,https,AkamaiNetStorage,text/html,GET,104.126.37.34,/,2042992679,https://ithelps.htc.com/plugins/servlet/samlsso?redirectTo=/secure/Dashboard.jspa,104.126.37.16,,106,False,,,,,,
itkb.htc.com,,200,587815,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,itkb.htc.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-21T00:00:00Z,2023-09-09T23:59:59Z,"CN=star.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",star.htc.com,HTC Corporation,salestraining.htc.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1d74ef8c97a88255b7db6ce608a4e920,32728eac06ebdd42de2ebfe7d86bf1081beaafa015f8d7e0ca25d823fd58a4a7,ctls,itkb.htc.com,443,https://itkb.htc.com:443,https,AkamaiNetStorage,text/html,GET,104.126.37.34,/,2042992679,,104.126.37.16,,106,False,,,,,,
mail.htc.com,Outlook,200,58834,AS9924,AS9924,Unknown,175.98.192.0/21,mail.htc.com,443,True,tls12,TLS_RSA_WITH_AES_256_GCM_SHA384,2022-06-27T00:00:00Z,2023-07-28T23:59:59Z,"CN=*.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",*.htc.com,HTC Corporation,htc.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,160310875a8b8b3133032517f4f9de3f,985e234e490e5a872a4b8684bef9cbd55c10d77fd246d535d5cc95ca291b11c6,ctls,mail.htc.com,443,https://mail.htc.com:443,https,,text/html,GET,175.98.157.173,/,-192652378,https://mail.htc.com/owa/auth/logon.aspx?url=https%3a%2f%2fmail.htc.com%2fowa%2f&reason=0,175.98.157.173,Outlook Web App:15.1.2375,1411,False,True,,,,,
mds.htc.com,,200,13,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,mds.htc.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-21T00:00:00Z,2023-09-09T23:59:59Z,"CN=star.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",star.htc.com,HTC Corporation,salestraining.htc.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1d74ef8c97a88255b7db6ce608a4e920,32728eac06ebdd42de2ebfe7d86bf1081beaafa015f8d7e0ca25d823fd58a4a7,ctls,mds.htc.com,80,http://mds.htc.com:80,http,istio-envoy,text/plain,GET,104.126.37.34,/,1318365712,https://mds.htc.com/,104.126.37.16,Envoy,1,False,,,,,,
media-myhtcstore.htc.com,Smartphones | HTC Deutschland,200,37081,AS20940,AKAMAI-ASN1,NL,23.208.0.0/12,www.htc.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-05T00:00:00Z,2024-01-05T23:59:59Z,"CN=www.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",www.htc.com,HTC Corporation,www.recamera.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1995c5fe3a1e85dbac518a77402336b1,2e96443015ab6679b142f939a84d3c1893419723ccf127592b0013a0bd624095,ctls,www.htc.com,443,https://media-myhtcstore.htc.com:443,https,nginx,text/html,GET,23.212.216.237,/,-1897387553,https://www.htc.com/de/smartphones/,23.212.216.237,Nginx,844,False,,,,,https:,
middleware-booking.htc.com,,403,75,AS20940,AKAMAI-ASN1,NL,23.208.0.0/12,middleware-booking.htc.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-03-22T00:00:00Z,2024-03-22T23:59:59Z,"CN=start.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",start.htc.com,HTC Corporation,zoodles.htc.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,7ee503258672f8257a240894be73a593,c7d81d078a120d00bb80f6034c88e9b995baf0cb38e1afc0df755eb5cd1056ec,ctls,middleware-booking.htc.com,443,https://middleware-booking.htc.com:443,https,,text/html,GET,23.201.250.189,/,-297782484,,23.201.250.189,,3,False,,,,,,
myhtcstore.htc.com,Smartphones | HTC Deutschland,200,37081,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,www.htc.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-05T00:00:00Z,2024-01-05T23:59:59Z,"CN=www.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",www.htc.com,HTC Corporation,www.recamera.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1995c5fe3a1e85dbac518a77402336b1,2e96443015ab6679b142f939a84d3c1893419723ccf127592b0013a0bd624095,ctls,www.htc.com,443,https://myhtcstore.htc.com:443,https,nginx,text/html,GET,104.126.37.34,/,1790417064,https://www.htc.com/de/smartphones/,2a02:26f0:ab00::214:8e79,Nginx,844,False,,,,,https:,
myithelps.htc.com,,200,587803,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,myithelps.htc.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-21T00:00:00Z,2023-09-09T23:59:59Z,"CN=star.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",star.htc.com,HTC Corporation,salestraining.htc.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1d74ef8c97a88255b7db6ce608a4e920,32728eac06ebdd42de2ebfe7d86bf1081beaafa015f8d7e0ca25d823fd58a4a7,ctls,myithelps.htc.com,443,https://myithelps.htc.com:443,https,AkamaiNetStorage,text/html,GET,104.126.37.34,/,2042992679,https://myithelps.htc.com/plugins/servlet/samlsso?redirectTo=/secure/Dashboard.jspa,104.126.37.16,,106,False,,,,,,
preview.htc.com,HTC Deutschland,200,46584,AS20940,AKAMAI-ASN1,NL,23.48.0.0/12,www.htc.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-05T00:00:00Z,2024-01-05T23:59:59Z,"CN=www.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",www.htc.com,HTC Corporation,www.recamera.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1995c5fe3a1e85dbac518a77402336b1,2e96443015ab6679b142f939a84d3c1893419723ccf127592b0013a0bd624095,ctls,www.htc.com,443,https://preview.htc.com:443,https,nginx,text/html,GET,23.37.37.162,/,-227649666,https://www.htc.com/de/,23.37.37.162,Nginx,1074,False,,,,,https:,
promotioncenter.htc.com,Index,200,50495,AS20940,AKAMAI-ASN1,NL,23.208.0.0/12,promotioncenter.htc.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-05T00:00:00Z,2024-01-05T23:59:59Z,"CN=www.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",www.htc.com,HTC Corporation,www.recamera.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1995c5fe3a1e85dbac518a77402336b1,2e96443015ab6679b142f939a84d3c1893419723ccf127592b0013a0bd624095,ctls,promotioncenter.htc.com,443,https://promotioncenter.htc.com:443,https,Microsoft-IIS/7.5,text/html,GET,23.212.216.237,/,1631801191,,23.212.216.237,Windows Server,742,False,,,,,,
recruiting.htc.com,Error 404--Not Found,404,1214,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,recruiting.htc.com,443,True,tls12,TLS_RSA_WITH_AES_256_CBC_SHA,2022-06-27T00:00:00Z,2023-07-28T23:59:59Z,"CN=*.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",*.htc.com,HTC Corporation,htc.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,160310875a8b8b3133032517f4f9de3f,985e234e490e5a872a4b8684bef9cbd55c10d77fd246d535d5cc95ca291b11c6,ctls,recruiting.htc.com,443,https://recruiting.htc.com:443,https,,text/html,GET,113.196.158.28,/,-119286333,,113.196.158.28,JavaServer Pages:2.1,21,False,True,,,,,
relay02.htc.com,Outlook,200,27958,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,relay02.htc.com,443,True,tls12,TLS_RSA_WITH_AES_256_GCM_SHA384,2022-06-27T00:00:00Z,2023-07-28T23:59:59Z,"CN=*.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",*.htc.com,HTC Corporation,htc.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,160310875a8b8b3133032517f4f9de3f,985e234e490e5a872a4b8684bef9cbd55c10d77fd246d535d5cc95ca291b11c6,ctls,relay02.htc.com,80,http://relay02.htc.com:80,http,,text/html,GET,114.30.34.120,/,-460615394,https://relay02.htc.com/owa/auth/logon.aspx?url=https%3a%2f%2frelay02.htc.com%2fowa%2f&reason=0,114.30.34.120,Outlook Web App:15.1.2375,1232,False,True,,,,,
relay12.htc.com,Outlook,200,27958,AS9924,AS9924,Unknown,175.98.192.0/21,relay12.htc.com,443,True,tls12,TLS_RSA_WITH_AES_256_GCM_SHA384,2022-06-27T00:00:00Z,2023-07-28T23:59:59Z,"CN=*.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",*.htc.com,HTC Corporation,htc.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,160310875a8b8b3133032517f4f9de3f,985e234e490e5a872a4b8684bef9cbd55c10d77fd246d535d5cc95ca291b11c6,ctls,relay12.htc.com,80,http://relay12.htc.com:80,http,,text/html,GET,175.98.157.173,/,593630234,https://relay12.htc.com/owa/auth/logon.aspx?url=https%3a%2f%2frelay12.htc.com%2fowa%2f&reason=0,175.98.157.173,Outlook Web App:15.1.2375,1232,False,True,,,,,
repair.htc.com,TW Mail-in,200,6455,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,repair.htc.com,443,True,tls12,TLS_RSA_WITH_AES_256_CBC_SHA,2022-06-27T00:00:00Z,2023-07-28T23:59:59Z,"CN=*.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",*.htc.com,HTC Corporation,htc.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,160310875a8b8b3133032517f4f9de3f,985e234e490e5a872a4b8684bef9cbd55c10d77fd246d535d5cc95ca291b11c6,ctls,repair.htc.com,443,https://repair.htc.com:443,https,Kestrel,text/html,GET,113.196.158.125,/,1908147121,,113.196.158.125,Microsoft ASP.NET,113,False,True,,,,,
repairs.htc.com,,200,10036,AS20940,AKAMAI-ASN1,NL,23.48.0.0/12,repairs.htc.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-03-22T00:00:00Z,2024-03-22T23:59:59Z,"CN=start.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",start.htc.com,HTC Corporation,zoodles.htc.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,7ee503258672f8257a240894be73a593,c7d81d078a120d00bb80f6034c88e9b995baf0cb38e1afc0df755eb5cd1056ec,ctls,repairs.htc.com,443,https://repairs.htc.com:443,https,istio-envoy,text/html,GET,23.37.37.162,/,1631801191,https://repairs.htc.com/ViewTicket.aspx,23.37.37.162,prettyPhoto,260,False,,,,,,
research.htc.com,"HTC Research, Edward Chang, Mobile Research, HTC Health",200,25143,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,research.htc.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-27T00:00:00Z,2023-07-28T23:59:59Z,"CN=*.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",*.htc.com,HTC Corporation,htc.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,160310875a8b8b3133032517f4f9de3f,985e234e490e5a872a4b8684bef9cbd55c10d77fd246d535d5cc95ca291b11c6,ctls,research.htc.com,80,http://research.htc.com:80,http,nginx/1.24.0,text/html,GET,104.197.96.223,/,-1840324437,https://research.htc.com/,104.197.96.223,Yoast SEO:6.3.1,417,False,True,,google,True,,
rewardcenter.htc.com,HTC Promotion - Logon,200,19596,AS20940,AKAMAI-ASN1,NL,23.208.0.0/12,rewardcenter.htc.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-05T00:00:00Z,2024-01-05T23:59:59Z,"CN=www.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",www.htc.com,HTC Corporation,www.recamera.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1995c5fe3a1e85dbac518a77402336b1,2e96443015ab6679b142f939a84d3c1893419723ccf127592b0013a0bd624095,ctls,rewardcenter.htc.com,443,https://rewardcenter.htc.com:443,https,Microsoft-IIS/7.5,text/html,GET,23.212.216.237,/,1631801191,https://rewardcenter.htc.com/Account/Logon?ReturnUrl=%2f,23.212.216.237,Windows Server,305,False,,,,,,
salestraining.htc.com,Not Found,404,315,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,salestraining.htc.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-06-27T00:00:00Z,2023-07-28T23:59:59Z,"CN=*.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",*.htc.com,HTC Corporation,htc.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,160310875a8b8b3133032517f4f9de3f,985e234e490e5a872a4b8684bef9cbd55c10d77fd246d535d5cc95ca291b11c6,ctls,salestraining.htc.com,443,https://salestraining.htc.com:443,https,Microsoft-HTTPAPI/2.0,text/html,GET,122.147.173.205,/,225052475,,122.147.173.205,Microsoft HTTPAPI:2.0,7,False,True,,,,,
service.htc.com,Service Unavailable,503,268,AS20940,AKAMAI-ASN1,NL,2.20.0.0/14,service.htc.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2022-06-28T00:00:00Z,2023-06-30T23:59:59Z,"CN=a248.e.akamai.net, O=Akamai Technologies\, Inc., L=Cambridge, ST=Massachusetts, C=US",a248.e.akamai.net,"Akamai Technologies, Inc.",*.akamaized.net,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,b8cdc00e1dc897fa6768667f6f060486,a1ac71dd8fdaeb4aaf9b5e1952536ade1c8ffd70b5004556df9d51f82b227591,ctls,service.htc.com,443,https://service.htc.com:443,https,AkamaiGHost,text/html,GET,2.16.186.72,/,599242509,,2.16.186.66,,9,False,True,True,,,,
service1.europe.htc.com,BIG-IP®- Redirect,200,3335,AS2856,BT-UK-AS BTnet UK Regional network,GB,194.74.128.0/17,service1.europe.htc.com,443,True,tls10,TLS_RSA_WITH_AES_128_CBC_SHA,2011-03-16T08:19:23Z,2035-11-05T08:19:23Z,"emailAddress=Edison_Lin@htc.com, CN=UKSL-LC1.HTC.COM, OU=HTC, O=HTC, L=UK, ST=UK, C=GB, emailAddress=Edison_Lin@htc.com",UKSL-LC1.HTC.COM,HTC,,"emailAddress=Edison_Lin@htc.com, CN=UKSL-LC1.HTC.COM, OU=HTC, O=HTC, L=UK, ST=UK, C=GB, emailAddress=Edison_Lin@htc.com",UKSL-LC1.HTC.COM,HTC,e3c3b36d0a9e7aa283d4821e2f339a28,f766d059a08829c985b292cce2c2db6e5cb7f4f3a36d3dfb567d57a407df0310,ctls,service1.europe.htc.com,443,https://service1.europe.htc.com:443,https,Apache,text/html,GET,194.74.199.194,/,-335242539,,194.74.199.194,Apache,71,False,,True,,,,True
shop.apac.htc.com,HTC Deutschland,200,46584,AS19551,AS19551,Unknown,45.60.60.0/24,www.htc.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-05T00:00:00Z,2024-01-05T23:59:59Z,"CN=www.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",www.htc.com,HTC Corporation,www.recamera.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1995c5fe3a1e85dbac518a77402336b1,2e96443015ab6679b142f939a84d3c1893419723ccf127592b0013a0bd624095,ctls,www.htc.com,443,https://shop.apac.htc.com:443,https,nginx,text/html,GET,45.60.33.126,/,-1555758716,https://www.htc.com/de/,45.60.33.126,Nginx,1074,False,,,incapsula,True,https:,
smartbattery.htc.com,,404,29,AS55960,BJ-GUANGHUAN-AP Beijing Guanghuan Xinwang Digital,CN,54.223.0.0/16,smartbattery.htc.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-24T20:10:54Z,2024-01-05T21:10:54Z,"C=US, ST=Washington, L=Seattle, O=Amazon.com Inc., CN=prod.bjs.host-management.a2z.org.cn",prod.bjs.host-management.a2z.org.cn,Amazon.com Inc.,prod.bjs.host-management.a2z.org.cn,CN=Amazon Internal Butternut RSA 2k G1 02,Amazon Internal Butternut RSA 2k G1 02,,3c552aa56ff8e755cd10500e65757631,c4a7e26191d5b3601ffdba64a6f8ee8ab06f666068fb47cda321bea6fbfd68ff,ctls,smartbattery.htc.com,443,https://smartbattery.htc.com:443,https,,,GET,54.222.143.123,/,-1644365637,,54.222.143.123,,2,False,,True,,,,
smp.htc.com,403 - Forbidden: Access is denied.,403,1233,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,smp.htc.com,443,True,tls12,TLS_RSA_WITH_AES_256_CBC_SHA,2022-06-27T00:00:00Z,2023-07-28T23:59:59Z,"CN=*.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",*.htc.com,HTC Corporation,htc.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,160310875a8b8b3133032517f4f9de3f,985e234e490e5a872a4b8684bef9cbd55c10d77fd246d535d5cc95ca291b11c6,ctls,smp.htc.com,443,https://smp.htc.com:443,https,Microsoft-IIS/7.5,text/html,GET,113.196.158.183,/,1631801191,,113.196.158.183,Windows Server,30,False,True,,,,,
sp.htc.com,Error 503--Service Unavailable,503,1357,AS9924,AS9924,Unknown,219.87.73.102/32,sp.htc.com,443,True,tls12,TLS_RSA_WITH_AES_256_CBC_SHA,2022-06-27T00:00:00Z,2023-07-28T23:59:59Z,"CN=*.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",*.htc.com,HTC Corporation,htc.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,160310875a8b8b3133032517f4f9de3f,985e234e490e5a872a4b8684bef9cbd55c10d77fd246d535d5cc95ca291b11c6,ctls,sp.htc.com,443,https://sp.htc.com:443,https,,text/html,GET,219.87.71.100,/,-252892377,,219.87.71.100,JavaServer Pages:2.1,21,False,True,,,,,
