new,host,soa,status_code,a,aaaa,cdn,cdn-name,txt,has_internal_ips,internal_ips,cname,ns,mx,caa
,stamp.webapi.stage.westerndigital.com,"ns1.wdc.com, dnsadmin.wdc.com",NOERROR,129.253.14.63,,,,,,,,"ans1.wdc.com, ans2.wdc.com, ns1.wdc.com, ns2.wdc.com",,
,stargate.a.bugcrowd.com,"ns-161.awsdns-20.com, awsdns-hostmaster.amazon.com",NOERROR,52.5.214.175,,,,,,,,,,
,status.bugcrowd.com,"edna.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,v=spf1 include:stspg-customer.com -all,,,,,,
,stg-dmp.westerndigital.com,"ns1.wdc.com, dnsadmin.wdc.com",NOERROR,,,,,,,,,,,
,stg-oneblog.westerndigital.com,"ns1.wdc.com, dnsadmin.wdc.com",NOERROR,206.189.239.148,,,,,,,,,,
,store.wd.com,"ns1.wdc.com, dnsadmin.wdc.com",NOERROR,35.167.237.18,,,,,,,,,,
,store.westerndigital.com,"ns1.wdc.com, dnsadmin.wdc.com",NOERROR,35.167.237.18,,,,,,,,,,
,students.westerndigital.com,"n0ksd.akamaiedge.net, hostmaster.akamai.com",NOERROR,23.212.200.84,,,,,,,"www.westerndigital.com.edgekey.net, e3463.ksd.akamaiedge.net",,,
,studio.westerndigital.com,"n0g.akamaiedge.net, hostmaster.akamai.com",NOERROR,184.25.218.133,,,,,,,"studio.sandisk.com.edgekey.net, e2650.g.akamaiedge.net",,,
,submissions.bugcrowd.com,"edna.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,,
,support-cn.wd.com,"dnsmasterac01.rightnowtech.com, root.rightnowtech.com",NOERROR,147.154.36.62,,True,oracle,,,,wd-cn.custhelp.com,,,
,support-cz.wd.com,"dnsmasterac01.rightnowtech.com, root.rightnowtech.com",NOERROR,147.154.36.62,,True,oracle,,,,wd-cz.custhelp.com,,,
,support-de.wd.com,"dnsmasterac01.rightnowtech.com, root.rightnowtech.com",NOERROR,147.154.36.62,,True,oracle,,,,wd-de.custhelp.com,,,
,support-en.westerndigital.com,"dnsmasterac01.rightnowtech.com, root.rightnowtech.com",NOERROR,147.154.36.62,,True,oracle,,,,wdc-en.custhelp.com,,,
,support-es.wd.com,"dnsmasterac01.rightnowtech.com, root.rightnowtech.com",NOERROR,147.154.36.62,,True,oracle,,,,wd-es.custhelp.com,"ns1.p17.dynect.net, ns4.p17.dynect.net, ns3.p17.dynect.net, ns2.p17.dynect.net, ednsac01.rightnowtech.com, ednsac02.rightnowtech.com",,
,support-eu.wd.com,"dnsmasterac01.rightnowtech.com, root.rightnowtech.com",NOERROR,147.154.36.62,,True,oracle,,,,wd-eu.custhelp.com,,,
,support-fr.wd.com,"dnsmasterac01.rightnowtech.com, root.rightnowtech.com",NOERROR,147.154.36.62,,True,oracle,,,,wd-fr.custhelp.com,,,
,support-gk.wd.com,"dnsmasterac01.rightnowtech.com, root.rightnowtech.com",NOERROR,147.154.36.62,,True,oracle,,,,wd-gk.custhelp.com,,,
,support-in.wd.com,"dnsmasterac01.rightnowtech.com, root.rightnowtech.com",NOERROR,147.154.36.62,,True,oracle,,,,wd-in.custhelp.com,,,
,support-it.wd.com,,NOERROR,147.154.36.62,,True,oracle,,,,wd-it.custhelp.com,,,
,support-jp.wd.com,"dnsmasterac01.rightnowtech.com, root.rightnowtech.com",NOERROR,147.154.36.62,,True,oracle,,,,wd-jp.custhelp.com,,,
,support-nl.wd.com,,NOERROR,147.154.36.62,,True,oracle,,,,wd-nl.custhelp.com,,,
,support-pl.wd.com,"dnsmasterac01.rightnowtech.com, root.rightnowtech.com",NOERROR,147.154.36.62,,True,oracle,,,,wd-pl.custhelp.com,,,
,support-pt.wd.com,"dnsmasterac01.rightnowtech.com, root.rightnowtech.com",NOERROR,147.154.36.62,,True,oracle,,,,wd-pt.custhelp.com,,,
,support-tr.wd.com,"dnsmasterac01.rightnowtech.com, root.rightnowtech.com",NOERROR,147.154.36.62,,True,oracle,,,,wd-tr.custhelp.com,,,
,support-zh.wd.com,"dnsmasterac01.rightnowtech.com, root.rightnowtech.com",NOERROR,147.154.36.62,,True,oracle,,,,wd-zh.custhelp.com,,,
,support.bugcrowd.com,"edna.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,,
,support.westerndigital.com,"ns1.wdc.com, dnsadmin.wdc.com",NOERROR,35.167.237.18,,,,,,,,,,
,swag.bugcrowd.com,"edna.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,,
,t.prod1.email.westerndigital.com,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,"52.88.24.175, 52.36.58.151",,,,,,,wdc-mkt-prod1-lpjpo-974620049.us-west-2.elb.amazonaws.com,,,
,t.prod1.notification.westerndigital.com,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,"52.36.58.151, 52.88.24.175",,,,,,,wdc-mkt-prod1-lpjpo-974620049.us-west-2.elb.amazonaws.com,,,
,t.prod1.productinfo.westerndigital.com,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,"52.88.24.175, 52.36.58.151",,,,,,,wdc-mkt-prod1-lpjpo-974620049.us-west-2.elb.amazonaws.com,,,
,tracker.bugcrowd.com,"edna.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.20.6.68, 104.20.7.68","2606:4700:10::6814:744, 2606:4700:10::6814:644",True,cloudflare,v=spf1 -all,,,,,,
,transporter-auth.a.bugcrowd.com,"ns-161.awsdns-20.com, awsdns-hostmaster.amazon.com",NOERROR,"10.10.128.63, 10.10.131.113, 10.10.134.17, 10.10.137.120, 10.10.132.230",,,,,True,"10.10.128.63, 10.10.131.113, 10.10.134.17, 10.10.137.120, 10.10.132.230",,,,
,um.westerndigital.com,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,"52.27.233.232, 52.42.181.160",,,,,,,elb-mycloudproducts-489185953.us-west-2.elb.amazonaws.com,,,
,vault.connectedbackup.westerndigital.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,"52.70.31.141, 52.3.26.98, 54.227.33.71",,,,,,,ed-nv-prd-web-alb-func-682484526.us-east-1.elb.amazonaws.com,,,
,videos.wd.com,"ns1.wdc.com, dnsadmin.wdc.com",NOERROR,35.167.237.18,,,,,,,,,,
,wd.com,"ns1.wdc.com, dnsadmin.wdc.com",NOERROR,"54.148.210.29, 34.208.84.145",,,,"google-site-verification=uNfSsWWSuNd-FonnTfiODPZWKtYo5zUpOWE4eQAzfIQ, v=spf1 ip4:199.15.214.45 ip4:199.15.214.46 ip4:199.15.214.47 ip4:199.15.214.48 ip4:199.15.214.49 ip4:199.15.214.50 ip4:199.15.214.199 ip4:199.15.214.200 ip4:199.15.214.201 ip4:199.15.214.202 ip4:199.15.215.77 ip4:199.15.215.78,  ip4:199.15.215.79 ip4:199.15.215.80 ip4:199.15.215.81 ip4:199.15.215.82 include:mktomail.com ~all",,,,"ns2.wdc.com, ans2.wdc.com, ns1.wdc.com, ans1.wdc.com",,
,wd2go.wd.com,"ns1.wdc.com, dnsadmin.wdc.com",NOERROR,35.167.237.18,,,,,,,,,,
,wdphotos.wd.com,"ns1.wdc.com, dnsadmin.wdc.com",NOERROR,35.167.237.18,,,,,,,,,,
,webhelp.westerndigital.com,"dns1.easydns.com, zone.easydns.com",NOERROR,"34.208.84.145, 54.148.210.29",,,,,,,sanakamai-aws.sandisk.com,,,
,websupport.wd.com,"ns1.wdc.com, dnsadmin.wdc.com",NOERROR,129.253.55.73,,,,,,,,,,
,westerndigital.com,"ns1.wdc.com, dnsadmin.wdc.com",NOERROR,35.83.93.97,,,,"v=spf1 include:spf1.wdc.com ~all, google-site-verification=jQfcUd-Tjs_WMpd2obZ6MWDtV1aRZyV_uJGQ_8y70yY, MS=ms31844720, 41dab4c729f140c8cf88adff0522cdb5.westerndigital.com, google-site-verification=0flf22bOGYwwRsFOWgi2eXy1YtSqJQH5Yd-2NarXD3E, google-site-verification=nMVZypQ8u0rbwELLWMKXTYcf6Hp233QIT7WFPgdc4Lo",,,,"ns1.wdc.com, ns2.wdc.com, ans2.wdc.com, ans1.wdc.com","mx2.hgst.iphmx.com, mx1.hgst.iphmx.com",
,wordpress.bugcrowd.com,"edna.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,,
,ww1.bugcrowd.com,"edna.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.20.7.68, 104.20.6.68","2606:4700:10::6814:644, 2606:4700:10::6814:744",True,cloudflare,,,,,,,
,ww2.bugcrowd.com,"bart.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.17.71.206, 104.17.72.206, 104.17.73.206, 104.17.74.206, 104.17.70.206",,True,cloudflare,,,,"bugcrowdinc.mktoweb.com, ab27.mktossl.com",,,
,www-dev.wd.com,"dns1.easydns.com, zone.easydns.com",NOERROR,"54.148.210.29, 34.208.84.145",,,,,,,sanakamai-aws.sandisk.com,,,
,www-dev.westerndigital.com,"dns1.easydns.com, zone.easydns.com",NOERROR,"54.148.210.29, 34.208.84.145",,,,,,,sanakamai-aws.sandisk.com,,,
,www-stage.wd.com,"dns1.easydns.com, zone.easydns.com",NOERROR,"54.148.210.29, 34.208.84.145",,,,,,,sanakamai-aws.sandisk.com,,,
,www.bilyabila.wd.com,,NOERROR,54.144.128.85,,,,,,,,,,
,www.connectedbackup.westerndigital.com,"ns1.wdc.com, dnsadmin.wdc.com",NOERROR,,,,,,,,,,,
,www.pages.bugcrowd.com,"edna.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,,
,www.portal.bugcrowd.com,"edna.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,,
,www.register.wd.com,"ns1.wdc.com, dnsadmin.wdc.com",NOERROR,129.253.55.56,,,,,,,,,,
,www.submissions.bugcrowd.com,"edna.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,,
,www.support.wd.com,"ns1.wdc.com, dnsadmin.wdc.com",NOERROR,129.253.55.56,,,,,,,,,,
,www.westerndigital.com,"n0ksd.akamaiedge.net, hostmaster.akamai.com",NOERROR,104.81.120.175,,,,,,,"www.westerndigital.com.edgekey.net, e3463.ksd.akamaiedge.net",,,
