new,host,a,aaaa,soa,status_code,ns,cname,txt,cdn,cdn-name,caa,mx
[x],3ab7cf4c.ngrok.io,3.14.182.203,2600:1f16:d83:1201::6e:1,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],3af2-52-50-11-210.ngrok.io,3.17.7.232,,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],3b049136.ngrok.io,3.14.182.203,2600:1f16:d83:1201::6e:1,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],3b067707.ngrok.io,3.14.182.203,2600:1f16:d83:1202::6e:5,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],3b516aac.ngrok.io,3.13.191.225,2600:1f16:d83:1201::6e:4,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],3b9deznae.cname.us.ngrok.io,3.134.39.220,2600:1f16:d83:1201::6e:1,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],3bee66fe.ngrok.io,3.13.191.225,2600:1f16:d83:1200::6e:3,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],3bef85bf.ngrok.io,3.17.7.232,2600:1f16:d83:1201::6e:1,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],3c0e8f32.ngrok.io,3.134.125.175,2600:1f16:d83:1201::6e:4,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],3c25cb9d.ngrok.io,3.14.182.203,2600:1f16:d83:1202::6e:2,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],3c2ea345.ngrok.io,,2600:1f16:d83:1202::6e:2,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],3c33df88.ngrok.io,3.17.7.232,2600:1f16:d83:1201::6e:1,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],3c6b-51-241-21-69.ngrok-free.app,,,"ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],3c70-162-216-14-68.ngrok-free.app,"18.158.249.75, 18.192.31.165, 3.125.102.39, 3.124.142.205, 3.125.223.134, 3.125.209.94","2a05:d014:21b:8e02::6e:2, 2a05:d014:21b:8e01::6e:4, 2a05:d014:21b:8e02::6e:5, 2a05:d014:21b:8e00::6e:0, 2a05:d014:21b:8e00::6e:3, 2a05:d014:21b:8e01::6e:1","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],3cde8db1.ngrok.io,3.22.30.40,2600:1f16:d83:1202::6e:2,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],3cef6363.ngrok.io,3.134.39.220,2600:1f16:d83:1200::6e:0,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],3d05c9a6.ngrok.io,3.134.39.220,,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],3d42-158-140-166-8.ngrok-free.app,"3.134.125.175, 3.17.7.232, 3.134.39.220, 3.13.191.225, 3.22.30.40, 3.14.182.203","2a05:d014:21b:8e02::6e:2, 2a05:d014:21b:8e00::6e:3, 2a05:d014:21b:8e00::6e:0, 2a05:d014:21b:8e01::6e:1, 2a05:d014:21b:8e01::6e:4, 2a05:d014:21b:8e02::6e:5","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],3d43-154-130-109-210.ngrok.io,3.14.182.203,2600:1f16:d83:1201::6e:1,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],3d7fcf7e.ngrok.io,3.134.125.175,2600:1f16:d83:1201::6e:1,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],3d998f91.ngrok.io,3.22.30.40,2600:1f16:d83:1202::6e:2,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],3da3ddc1.ngrok.io,3.22.30.40,2600:1f16:d83:1201::6e:4,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],3da7-213-177-197-91.ngrok.io,3.14.182.203,2600:1f16:d83:1200::6e:3,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],3db7a9e9.ngrok.io,3.17.7.232,2600:1f16:d83:1201::6e:4,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],3e1bbcd4.ngrok.io,3.14.182.203,2600:1f16:d83:1202::6e:5,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],3e1d4fb0.ngrok.io,3.22.30.40,2600:1f16:d83:1201::6e:4,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],3e798f93.ngrok.io,3.17.7.232,2600:1f16:d83:1202::6e:5,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],3e8ca3e1.ngrok.io,3.14.182.203,2600:1f16:d83:1200::6e:0,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],3ef5dcf7.ngrok.io,3.17.7.232,2600:1f16:d83:1200::6e:3,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],3f2f-86-132-250-23.ngrok.io,3.14.182.203,2600:1f16:d83:1202::6e:5,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],3f8f99a1.ngrok.io,3.134.125.175,2600:1f16:d83:1201::6e:4,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],3f9aa2b0.ngrok.io,,2600:1f16:d83:1200::6e:0,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],3fa4a976.ngrok.io,3.134.39.220,2600:1f16:d83:1200::6e:3,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],3fc8-2a00-79c0-7d8-9a00-81d2-4ffd-4d9e-ad00.ngrok.io,,,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],3fe329f4.ngrok.io,3.13.191.225,2600:1f16:d83:1200::6e:3,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],40529778.ngrok.io,3.134.125.175,2600:1f16:d83:1202::6e:5,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],405c309d.ngrok.io,,2600:1f16:d83:1200::6e:3,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],406a-62-84-119-215.ngrok.io,3.134.125.175,2600:1f16:d83:1200::6e:0,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],4086180a.ngrok.io,3.14.182.203,2600:1f16:d83:1202::6e:5,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],408a-160-154-162-235.ngrok.io,,,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],40d51356.ngrok.io,3.17.7.232,2600:1f16:d83:1200::6e:0,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],40e70bd7.ngrok.io,3.134.39.220,2600:1f16:d83:1202::6e:2,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,"ns-146.awsdns-18.com, ns-1482.awsdns-57.org, ns-1654.awsdns-14.co.uk, ns-886.awsdns-46.net",,,,,,
[x],40f6b713.ngrok.io,3.17.7.232,2600:1f16:d83:1201::6e:1,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],4102202.ngrok.dev,"18.158.249.75, 18.192.31.165, 3.124.142.205, 3.125.209.94, 3.125.223.134, 3.125.102.39","2a05:d014:21b:8e02::6e:2, 2a05:d014:21b:8e01::6e:4, 2a05:d014:21b:8e00::6e:0, 2a05:d014:21b:8e00::6e:3, 2a05:d014:21b:8e01::6e:1, 2a05:d014:21b:8e02::6e:5","ns-1483.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,"ns-139.awsdns-17.com, ns-1483.awsdns-57.org, ns-1833.awsdns-37.co.uk, ns-764.awsdns-31.net",,,,,,
[x],4105-62-84-119-215.ngrok.io,3.14.182.203,2600:1f16:d83:1202::6e:5,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],410c-72-86-36-185.ngrok-free.app,"3.125.102.39, 18.158.249.75, 18.192.31.165, 3.125.223.134, 3.124.142.205, 3.125.209.94","2a05:d014:21b:8e01::6e:1, 2a05:d014:21b:8e00::6e:0, 2a05:d014:21b:8e01::6e:4, 2a05:d014:21b:8e00::6e:3, 2a05:d014:21b:8e02::6e:2, 2a05:d014:21b:8e02::6e:5","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],41154e17.ngrok.io,3.134.125.175,2600:1f16:d83:1202::6e:2,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,"ns-146.awsdns-18.com, ns-1482.awsdns-57.org, ns-1654.awsdns-14.co.uk, ns-886.awsdns-46.net",,,,,,
[x],411bad1c.ngrok.io,3.134.39.220,2600:1f16:d83:1200::6e:3,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],418e-2a09-bac1-7ac0-50-00-246-ad.ngrok-free.app,,"2a05:d014:21b:8e01::6e:4, 2a05:d014:21b:8e00::6e:3, 2a05:d014:21b:8e02::6e:2, 2a05:d014:21b:8e00::6e:0, 2a05:d014:21b:8e01::6e:1, 2a05:d014:21b:8e02::6e:5","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-1311.awsdns-35.org, ns-1753.awsdns-27.co.uk, ns-9.awsdns-01.com, ns-988.awsdns-59.net",,,,,,
[x],41c40b60.ngrok.io,3.22.30.40,2600:1f16:d83:1200::6e:0,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],41c767d6.ngrok.io,3.17.7.232,2600:1f16:d83:1201::6e:1,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],41c9c1b0.ngrok.io,3.134.125.175,2600:1f16:d83:1202::6e:2,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],41ca0bbf7850.ngrok.io,3.14.182.203,2600:1f16:d83:1201::6e:1,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],41d18ee1.ngrok.io,3.13.191.225,2600:1f16:d83:1202::6e:5,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],41d28c949eba478a822ee5636e9a4412.ngrok.io,3.17.7.232,,,NOERROR,,,,,,,
[x],41e385ed.au.ngrok.io,54.153.239.159,2406:da1c:3b5:2501::6e:4,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],41fad72b.ngrok.io,3.17.7.232,2600:1f16:d83:1202::6e:2,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],4207a3c6.ngrok.io,3.13.191.225,2600:1f16:d83:1200::6e:0,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,"ns-146.awsdns-18.com, ns-1482.awsdns-57.org, ns-1654.awsdns-14.co.uk, ns-886.awsdns-46.net",,,,,,
[x],4219d495.ngrok.io,3.14.182.203,2600:1f16:d83:1200::6e:0,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],423cfe96.ngrok.io,3.14.182.203,2600:1f16:d83:1200::6e:0,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],42469105.ngrok.io,3.22.30.40,2600:1f16:d83:1200::6e:3,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],4270-5-90-199-190.ngrok.io,3.22.30.40,2600:1f16:d83:1200::6e:0,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],42bc58c7.ngrok.io,3.14.182.203,2600:1f16:d83:1200::6e:0,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],42c6523e.ngrok.io,3.13.191.225,,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,"ns-146.awsdns-18.com, ns-1482.awsdns-57.org, ns-1654.awsdns-14.co.uk, ns-886.awsdns-46.net",,,,,,
[x],42ce11b8.ngrok.io,3.134.39.220,2600:1f16:d83:1200::6e:0,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],430915f9.ngrok.io,3.134.125.175,2600:1f16:d83:1201::6e:4,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],430ca0bc.ngrok.io,3.134.39.220,2600:1f16:d83:1202::6e:2,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],4320-182-253-98-217.ngrok-free.app,"3.125.223.134, 3.125.209.94, 18.158.249.75, 3.125.102.39, 3.124.142.205, 18.192.31.165","2a05:d014:21b:8e02::6e:2, 2a05:d014:21b:8e01::6e:4, 2a05:d014:21b:8e00::6e:0, 2a05:d014:21b:8e01::6e:1, 2a05:d014:21b:8e00::6e:3, 2a05:d014:21b:8e02::6e:5","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],43233ecb.ngrok.io,3.134.125.175,2600:1f16:d83:1201::6e:1,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],436b29e1.ngrok.io,3.13.191.225,2600:1f16:d83:1200::6e:3,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],43a3-157-100-142-97.ngrok-free.app,"3.14.182.203, 3.17.7.232, 3.22.30.40, 3.134.125.175, 3.134.39.220, 3.13.191.225","2600:1f16:d83:1201::6e:1, 2600:1f16:d83:1200::6e:3, 2600:1f16:d83:1201::6e:4, 2600:1f16:d83:1202::6e:2, 2600:1f16:d83:1200::6e:0, 2600:1f16:d83:1202::6e:5","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],43b46d36.ngrok.io,3.22.30.40,2600:1f16:d83:1200::6e:3,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],43b8968a.ngrok.io,3.22.30.40,2600:1f16:d83:1202::6e:5,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],43db3295.ngrok.io,3.17.7.232,2600:1f16:d83:1202::6e:2,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],43e8076f.ngrok.io,3.13.191.225,2600:1f16:d83:1202::6e:5,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],43fb0e13.ngrok.io,3.14.182.203,2600:1f16:d83:1201::6e:4,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],44.194.47.20.ngrok.io,3.13.191.225,2600:1f16:d83:1201::6e:4,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],4408332e.ngrok.io,3.17.7.232,2600:1f16:d83:1202::6e:2,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],4419d89d.ngrok.io,3.13.191.225,2600:1f16:d83:1200::6e:3,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],441a-34-126-131-111.ngrok-free.app,"3.13.191.225, 3.17.7.232, 3.14.182.203, 3.22.30.40, 3.134.39.220, 3.134.125.175","2600:1f16:d83:1200::6e:0, 2600:1f16:d83:1202::6e:2, 2600:1f16:d83:1200::6e:3, 2600:1f16:d83:1201::6e:4, 2600:1f16:d83:1201::6e:1, 2600:1f16:d83:1202::6e:5","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],4516-142-122-147-172.ngrok.io,3.17.7.232,2600:1f16:d83:1201::6e:1,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],4517-2402-3a80-16e5-d371-5c97-cd06-be6f-8ee3.ngrok-free.app,,"2a05:d014:21b:8e02::6e:5, 2a05:d014:21b:8e02::6e:2, 2a05:d014:21b:8e00::6e:3, 2a05:d014:21b:8e01::6e:4, 2a05:d014:21b:8e00::6e:0, 2a05:d014:21b:8e01::6e:1","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],4543-34-71-239-9.ngrok-free.app,"3.125.102.39, 18.158.249.75, 3.125.209.94, 18.192.31.165, 3.124.142.205, 3.125.223.134","2a05:d014:21b:8e02::6e:5, 2a05:d014:21b:8e01::6e:4, 2a05:d014:21b:8e01::6e:1, 2a05:d014:21b:8e00::6e:3, 2a05:d014:21b:8e02::6e:2, 2a05:d014:21b:8e00::6e:0","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],4546-212-247-164-20.ngrok.io,3.14.182.203,2600:1f16:d83:1201::6e:4,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],4556d651.ngrok.io,3.13.191.225,2600:1f16:d83:1202::6e:5,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],45a7b580.ngrok.io,3.13.191.225,2600:1f16:d83:1201::6e:4,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],45b96e65.ngrok.io,3.13.191.225,,,NOERROR,,,,,,,
[x],45c872737820.ngrok.io,3.134.39.220,2600:1f16:d83:1200::6e:0,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],462bcf23.ngrok.io,3.17.7.232,2600:1f16:d83:1201::6e:1,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],462dcca2.ngrok.io,3.13.191.225,2600:1f16:d83:1200::6e:0,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,"ns-146.awsdns-18.com, ns-1482.awsdns-57.org, ns-1654.awsdns-14.co.uk, ns-886.awsdns-46.net",,,,,,
[x],4641-62-84-119-215.ngrok.io,3.14.182.203,2600:1f16:d83:1201::6e:4,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],4669ad45.ngrok.io,3.22.30.40,2600:1f16:d83:1200::6e:0,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],4679-116-110-110-24.ngrok.io,3.17.7.232,2600:1f16:d83:1201::6e:4,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,"ns-146.awsdns-18.com, ns-1482.awsdns-57.org, ns-1654.awsdns-14.co.uk, ns-886.awsdns-46.net",,,,,,
[x],46b5-34-139-44-73.ngrok-free.app,"3.17.7.232, 3.134.125.175, 3.22.30.40, 3.14.182.203, 3.13.191.225, 3.134.39.220","2a05:d014:21b:8e02::6e:2, 2a05:d014:21b:8e01::6e:1, 2a05:d014:21b:8e00::6e:3, 2a05:d014:21b:8e01::6e:4, 2a05:d014:21b:8e02::6e:5, 2a05:d014:21b:8e00::6e:0","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],46c2677144c0.ngrok.io,3.14.182.203,2600:1f16:d83:1201::6e:1,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],46d0faa0.ngrok.io,3.14.182.203,2600:1f16:d83:1202::6e:2,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],4710b270.ngrok.io,3.134.125.175,2600:1f16:d83:1202::6e:5,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,"ns-146.awsdns-18.com, ns-1482.awsdns-57.org, ns-1654.awsdns-14.co.uk, ns-886.awsdns-46.net",,,,,,
[x],47381a79.ngrok.io,3.134.125.175,2600:1f16:d83:1201::6e:4,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],47a544c4ce70.ngrok.io,3.14.182.203,2600:1f16:d83:1202::6e:5,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],47b0d721.ngrok.io,3.17.7.232,2600:1f16:d83:1202::6e:2,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],47b79c63.ngrok.io,3.134.39.220,2600:1f16:d83:1202::6e:2,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],47e1-2a01-4f8-c17-e1cd-00-1.ngrok-free.app,,"2a05:d014:21b:8e00::6e:3, 2a05:d014:21b:8e00::6e:0, 2a05:d014:21b:8e01::6e:4, 2a05:d014:21b:8e01::6e:1, 2a05:d014:21b:8e02::6e:2, 2a05:d014:21b:8e02::6e:5","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-1311.awsdns-35.org, ns-1753.awsdns-27.co.uk, ns-9.awsdns-01.com, ns-988.awsdns-59.net",,,,,,
[x],47e38848.ngrok.io,3.134.125.175,2600:1f16:d83:1200::6e:0,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],47eb44fb.ngrok.io,3.17.7.232,2600:1f16:d83:1202::6e:5,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],47ee-193-107-105-27.ngrok-free.app,"18.192.31.165, 3.125.209.94, 3.125.102.39, 3.124.142.205, 18.158.249.75, 3.125.223.134","2a05:d014:21b:8e02::6e:2, 2a05:d014:21b:8e02::6e:5, 2a05:d014:21b:8e00::6e:3, 2a05:d014:21b:8e01::6e:4, 2a05:d014:21b:8e01::6e:1, 2a05:d014:21b:8e00::6e:0","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],4806ff5b.ngrok.io,3.134.39.220,2600:1f16:d83:1201::6e:1,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],48380f340d33.ngrok.io,,2600:1f16:d83:1202::6e:2,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,"ns-146.awsdns-18.com, ns-1482.awsdns-57.org, ns-1654.awsdns-14.co.uk, ns-886.awsdns-46.net",,,,,,
[x],483e-98-179-168-136.ngrok-free.app,"3.125.223.134, 18.158.249.75, 3.124.142.205, 3.125.209.94, 18.192.31.165, 3.125.102.39","2a05:d014:21b:8e02::6e:2, 2a05:d014:21b:8e00::6e:3, 2a05:d014:21b:8e02::6e:5, 2a05:d014:21b:8e01::6e:4, 2a05:d014:21b:8e01::6e:1, 2a05:d014:21b:8e00::6e:0","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],48510f7a.ngrok.io,3.14.182.203,2600:1f16:d83:1200::6e:3,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],4864776c.ngrok.io,3.14.182.203,,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],486b78f6.eu.ngrok.io,3.125.102.39,2a05:d014:21b:8e00::6e:0,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],489f45ca.ngrok.io,3.22.30.40,2600:1f16:d83:1202::6e:2,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,"ns-146.awsdns-18.com, ns-1482.awsdns-57.org, ns-1654.awsdns-14.co.uk, ns-886.awsdns-46.net",,,,,,
[x],48a8b36d.ngrok.io,3.22.30.40,2600:1f16:d83:1201::6e:1,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],48aeb4a2.ngrok.io,3.13.191.225,2600:1f16:d83:1201::6e:1,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],48c137b0.ngrok.io,3.17.7.232,2600:1f16:d83:1202::6e:2,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],48c993f9.ngrok.io,3.17.7.232,2600:1f16:d83:1202::6e:2,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],48d8ed05.ngrok.io,3.134.125.175,2600:1f16:d83:1200::6e:0,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],48e70cc9131449bd8c8fe3e4becebc73.ngrok.io,3.134.39.220,2600:1f16:d83:1201::6e:4,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],48f32633.ngrok.io,3.17.7.232,2600:1f16:d83:1202::6e:5,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,"ns-146.awsdns-18.com, ns-1482.awsdns-57.org, ns-1654.awsdns-14.co.uk, ns-886.awsdns-46.net",,,,,,
[x],4916acfa.ngrok.io,3.134.39.220,2600:1f16:d83:1201::6e:4,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],4917-118-179-209-193.ngrok-free.app,"3.125.223.134, 3.125.102.39, 18.192.31.165, 18.158.249.75, 3.124.142.205, 3.125.209.94","2a05:d014:21b:8e00::6e:0, 2a05:d014:21b:8e02::6e:2, 2a05:d014:21b:8e00::6e:3, 2a05:d014:21b:8e01::6e:4, 2a05:d014:21b:8e01::6e:1, 2a05:d014:21b:8e02::6e:5","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-1311.awsdns-35.org, ns-1753.awsdns-27.co.uk, ns-9.awsdns-01.com, ns-988.awsdns-59.net",,,,,,
[x],4921ffcd.ngrok.io,3.13.191.225,2600:1f16:d83:1201::6e:1,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],493bf6f8.ngrok.io,3.14.182.203,2600:1f16:d83:1202::6e:2,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],49412880.ngrok.io,,2600:1f16:d83:1200::6e:0,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],4947821aa900.ngrok.io,3.134.39.220,2600:1f16:d83:1201::6e:4,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
