input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_subject_org_,cdn_name,cdn,csp_domains_,final_url,location,tls_expired,tls_self_signed
design.tokopedia.net,404,404,134,AS396982,GOOGLE-CLOUD-PLATFORM,US,34.98.128.0/21,design.tokopedia.net,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-05-18T00:00:00Z,2023-06-18T23:59:59Z,"CN=*.tokopedia.net, O=PT. Tokopedia, L=Jakarta Selatan, ST=Daerah Khusus Ibukota Jakarta, C=ID",*.tokopedia.net,tokopedia.net,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,12ed28ea78da4b52b496adc609e49145,dcfa2c4d933479aad3492a2aceb84f0b8499be143c4bf93763a4bbc89dbc8e21,True,ctls,design.tokopedia.net,443,https://design.tokopedia.net:443,https,,text/html,GET,34.96.123.217,/,1530892233,34.96.123.217,HTTP/3,1,False,PT. Tokopedia,google,True,,,,,
developer-beta.tokopedia.com,404,404,134,AS396982,GOOGLE-CLOUD-PLATFORM,US,34.120.0.0/14,developer-beta.tokopedia.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-08-02T00:00:00Z,2023-09-02T23:59:59Z,"CN=*.tokopedia.com, O=PT. Tokopedia, L=Jakarta Selatan, ST=Daerah Khusus Ibukota Jakarta, C=ID",*.tokopedia.com,tokopedia.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,0e289dc87eade488bf9d7dacd83ede29,d94380e7908bbe3cb3611ed2ae1aba8d37be379b5396995adc989aab89591833,True,ctls,developer-beta.tokopedia.com,80,http://developer-beta.tokopedia.com:80,http,,text/html,GET,34.120.41.164,/,1530892233,34.120.41.164,HTTP/3,1,False,PT. Tokopedia,google,True,,https://developer-beta.tokopedia.com:443/,,,
docs.ep.tokopedia.com,502 Server Error,502,332,AS396982,GOOGLE-CLOUD-PLATFORM,US,34.80.0.0/12,docs.ep.tokopedia.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-10-28T00:00:00Z,2023-10-26T23:59:59Z,"CN=*.ep.tokopedia.com, O=PT. Tokopedia, L=Jakarta Selatan, ST=Daerah Khusus Ibukota Jakarta, C=ID",*.ep.tokopedia.com,ep.tokopedia.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1a43c9073b53d0794511b035ca560789,380dc56a0a8906095e1e14666bb117a5370f104bf80b982d664d7431d1f19202,True,ctls,docs.ep.tokopedia.com,443,https://docs.ep.tokopedia.com:443,https,,text/html,GET,34.95.112.73,/,-670719049,34.95.112.73,HTTP/3,11,False,PT. Tokopedia,google,True,,,,,
ecs.tokopedia.com,404 Not Found,404,536,AS24429,"TAOBAO Zhejiang Taobao Network Co.,Ltd",CN,163.181.92.0/24,,,,,,,,,,,,,,,,,,,,80,http://ecs.tokopedia.com:80,http,Tengine,text/html,GET,163.181.92.226,/,55462883,163.181.92.225,Tengine,21,False,,,,,,,,
ecs.tokopedia.id,404 Not Found,404,536,AS24429,"TAOBAO Zhejiang Taobao Network Co.,Ltd",CN,163.181.92.0/24,ecs.tokopedia.id,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2021-09-27T00:00:00Z,2022-10-28T23:59:59Z,"CN=*.tokopedia.id, O=PT. Tokopedia, L=Jakarta Selatan, ST=Daerah Khusus Ibukota Jakarta, C=ID",*.tokopedia.id,tokopedia.id,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,140dc611af49b0eb3e2793183c9164fe,bee0f605e42df5d7c074399233e7ccaa7835652751c1dc7e1102665356e8b624,True,ctls,ecs.tokopedia.id,443,https://ecs.tokopedia.id:443,https,Tengine,text/html,GET,163.181.92.229,/,55462883,163.181.92.225,Tengine,21,False,PT. Tokopedia,,,,,,True,
ecs.tokopedia.net,404 Not Found,404,536,AS45102,"ALIBABA-CN-NET Alibaba US Technology Co., Ltd.",CN,47.88.194.150/32,ecs.tokopedia.net,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2022-05-18T00:00:00Z,2023-06-18T23:59:59Z,"CN=*.tokopedia.net, O=PT. Tokopedia, L=Jakarta Selatan, ST=Daerah Khusus Ibukota Jakarta, C=ID",*.tokopedia.net,tokopedia.net,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,12ed28ea78da4b52b496adc609e49145,dcfa2c4d933479aad3492a2aceb84f0b8499be143c4bf93763a4bbc89dbc8e21,True,ctls,ecs.tokopedia.net,443,https://ecs.tokopedia.net:443,https,Tengine,text/html,GET,47.88.144.110,/,55462883,47.88.144.110,Tengine,21,False,PT. Tokopedia,,,,,,,
ecs7-a.tokopedia.net,,403,243,AS20940,AKAMAI-ASN1,NL,23.48.0.0/12,ecs7-a.tokopedia.net,443,True,tls13,TLS_AES_256_GCM_SHA384,,2022-05-18T00:00:00Z,2023-06-18T23:59:59Z,"CN=*.tokopedia.net, O=PT. Tokopedia, L=Jakarta Selatan, ST=Daerah Khusus Ibukota Jakarta, C=ID",*.tokopedia.net,tokopedia.net,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,f08b30cee6d7a0a9a45f1ac739e3942d,b489784d32c5698365781f6c6f9a4da20a4ca65266b79b4fa9ca1a7f8a30dc66,True,ctls,ecs7-a.tokopedia.net,443,https://ecs7-a.tokopedia.net:443,https,AmazonS3,application/xml,GET,23.53.40.202,/,55462883,23.53.40.200,Amazon Web Services,2,False,PT. Tokopedia,,,,,,,
ecs7-p.tokopedia.net,,403,243,AS20940,AKAMAI-ASN1,NL,23.48.0.0/12,ecs7-p.tokopedia.net,443,True,tls13,TLS_AES_256_GCM_SHA384,,2022-05-18T00:00:00Z,2023-06-18T23:59:59Z,"CN=*.tokopedia.net, O=PT. Tokopedia, L=Jakarta Selatan, ST=Daerah Khusus Ibukota Jakarta, C=ID",*.tokopedia.net,tokopedia.net,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,f08b30cee6d7a0a9a45f1ac739e3942d,b489784d32c5698365781f6c6f9a4da20a4ca65266b79b4fa9ca1a7f8a30dc66,True,ctls,ecs7-p.tokopedia.net,443,https://ecs7-p.tokopedia.net:443,https,AmazonS3,application/xml,GET,23.53.40.201,/,55462883,23.53.40.179,Amazon Web Services,2,False,PT. Tokopedia,,,,,,,
ecs7.tokopedia.net,,403,243,AS20940,AKAMAI-ASN1,NL,23.48.0.0/12,ecs7.tokopedia.net,443,True,tls13,TLS_AES_256_GCM_SHA384,,2022-05-18T00:00:00Z,2023-06-18T23:59:59Z,"CN=*.tokopedia.net, O=PT. Tokopedia, L=Jakarta Selatan, ST=Daerah Khusus Ibukota Jakarta, C=ID",*.tokopedia.net,tokopedia.net,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,f08b30cee6d7a0a9a45f1ac739e3942d,b489784d32c5698365781f6c6f9a4da20a4ca65266b79b4fa9ca1a7f8a30dc66,True,ctls,ecs7.tokopedia.net,443,https://ecs7.tokopedia.net:443,https,AmazonS3,application/xml,GET,23.53.40.200,/,55462883,23.53.40.170,Amazon Web Services,2,False,PT. Tokopedia,,,,,,,
eris.tokopedia.net,404,404,134,AS396982,GOOGLE-CLOUD-PLATFORM,US,34.98.128.0/21,eris.tokopedia.net,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-05-18T00:00:00Z,2023-06-18T23:59:59Z,"CN=*.tokopedia.net, O=PT. Tokopedia, L=Jakarta Selatan, ST=Daerah Khusus Ibukota Jakarta, C=ID",*.tokopedia.net,tokopedia.net,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,12ed28ea78da4b52b496adc609e49145,dcfa2c4d933479aad3492a2aceb84f0b8499be143c4bf93763a4bbc89dbc8e21,True,ctls,eris.tokopedia.net,443,https://eris.tokopedia.net:443,https,,text/html,GET,34.96.123.217,/,1530892233,34.96.123.217,HTTP/3,1,False,PT. Tokopedia,google,True,,,,,
fapp1.tokopedia.com,,200,4,AS396982,GOOGLE-CLOUD-PLATFORM,US,34.120.0.0/14,,,,,,,,,,,,,,,,,,,,80,http://fapp1.tokopedia.com:80,http,nginx,application/octet-stream,GET,34.117.197.73,/,324585387,34.117.197.73,Nginx,1,False,,google,True,,,,,
fs.tokopedia.net,,301,,AS396982,GOOGLE-CLOUD-PLATFORM,US,34.98.128.0/21,fs.tokopedia.net,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-05-18T00:00:00Z,2023-06-18T23:59:59Z,"CN=*.tokopedia.net, O=PT. Tokopedia, L=Jakarta Selatan, ST=Daerah Khusus Ibukota Jakarta, C=ID",*.tokopedia.net,tokopedia.net,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,12ed28ea78da4b52b496adc609e49145,dcfa2c4d933479aad3492a2aceb84f0b8499be143c4bf93763a4bbc89dbc8e21,True,ctls,fs.tokopedia.net,443,https://fs.tokopedia.net:443,https,,,GET,34.96.123.217,/,1335698669,34.96.123.217,HTTP/3,1,False,PT. Tokopedia,google,True,,https://fs.tokopedia.net/,/,,
ghatotkacha.tokopedia.com,502 Bad Gateway,502,568,AS45102,"ALIBABA-CN-NET Alibaba US Technology Co., Ltd.",CN,47.74.0.0/15,ghatotkacha.tokopedia.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-08-02T00:00:00Z,2023-09-02T23:59:59Z,"CN=*.tokopedia.com, O=PT. Tokopedia, L=Jakarta Selatan, ST=Daerah Khusus Ibukota Jakarta, C=ID",*.tokopedia.com,tokopedia.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,0e289dc87eade488bf9d7dacd83ede29,d94380e7908bbe3cb3611ed2ae1aba8d37be379b5396995adc989aab89591833,True,ctls,ghatotkacha.tokopedia.com,443,https://ghatotkacha.tokopedia.com:443,https,nginx,text/html,GET,47.74.244.18,/,-2146279613,47.74.244.18,Nginx,14,False,PT. Tokopedia,,,,,,,
gql-staging.tokopedia.com,404,404,134,AS396982,GOOGLE-CLOUD-PLATFORM,US,34.120.0.0/14,gql-staging.tokopedia.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-08-02T00:00:00Z,2023-09-02T23:59:59Z,"CN=*.tokopedia.com, O=PT. Tokopedia, L=Jakarta Selatan, ST=Daerah Khusus Ibukota Jakarta, C=ID",*.tokopedia.com,tokopedia.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,0e289dc87eade488bf9d7dacd83ede29,d94380e7908bbe3cb3611ed2ae1aba8d37be379b5396995adc989aab89591833,True,ctls,gql-staging.tokopedia.com,443,https://gql-staging.tokopedia.com:443,https,,text/html,GET,34.120.247.251,/,1530892233,34.120.247.251,HTTP/3,1,False,PT. Tokopedia,google,True,,,,,
grc.tokopedia.net,404,404,134,AS396982,GOOGLE-CLOUD-PLATFORM,US,34.98.128.0/21,grc.tokopedia.net,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-05-18T00:00:00Z,2023-06-18T23:59:59Z,"CN=*.tokopedia.net, O=PT. Tokopedia, L=Jakarta Selatan, ST=Daerah Khusus Ibukota Jakarta, C=ID",*.tokopedia.net,tokopedia.net,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,12ed28ea78da4b52b496adc609e49145,dcfa2c4d933479aad3492a2aceb84f0b8499be143c4bf93763a4bbc89dbc8e21,True,ctls,grc.tokopedia.net,80,http://grc.tokopedia.net:80,http,,text/html,GET,34.96.123.217,/,1530892233,34.96.123.217,HTTP/3,1,False,PT. Tokopedia,google,True,,https://grc.tokopedia.net:443/,,,
groupchat-staging.tokopedia.com,404,404,134,AS15169,GOOGLE,US,34.149.0.0/16,groupchat-staging.tokopedia.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-08-02T00:00:00Z,2023-09-02T23:59:59Z,"CN=*.tokopedia.com, O=PT. Tokopedia, L=Jakarta Selatan, ST=Daerah Khusus Ibukota Jakarta, C=ID",*.tokopedia.com,tokopedia.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,0e289dc87eade488bf9d7dacd83ede29,d94380e7908bbe3cb3611ed2ae1aba8d37be379b5396995adc989aab89591833,True,ctls,groupchat-staging.tokopedia.com,443,https://groupchat-staging.tokopedia.com:443,https,,text/html,GET,34.149.157.138,/,1530892233,34.149.157.138,HTTP/3,1,False,PT. Tokopedia,google,True,,,,,
gw.tokopedia.com,,404,,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,gw.tokopedia.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2022-08-02T00:00:00Z,2023-09-02T23:59:59Z,"CN=*.tokopedia.com, O=PT. Tokopedia, L=Jakarta Selatan, ST=Daerah Khusus Ibukota Jakarta, C=ID",*.tokopedia.com,tokopedia.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ab7a4e3853a82ccbad21ce74812d02f6,dcd6c383eae11fedf15c6ff0a5e6151eecf62adcb0575c8760decb817b834083,True,ctls,gw.tokopedia.com,80,http://gw.tokopedia.com:80,http,envoy,,GET,104.75.89.108,/,-1840324437,104.75.89.108,HSTS,1,False,PT. Tokopedia,,,,https://gw.tokopedia.com/,,,
hansel-testsdk.tokopedia.com,,404,77,AS396982,GOOGLE-CLOUD-PLATFORM,US,34.120.0.0/14,hansel-testsdk.tokopedia.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-08-02T00:00:00Z,2023-09-02T23:59:59Z,"CN=*.tokopedia.com, O=PT. Tokopedia, L=Jakarta Selatan, ST=Daerah Khusus Ibukota Jakarta, C=ID",*.tokopedia.com,tokopedia.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,0e289dc87eade488bf9d7dacd83ede29,d94380e7908bbe3cb3611ed2ae1aba8d37be379b5396995adc989aab89591833,True,ctls,hansel-testsdk.tokopedia.com,80,http://hansel-testsdk.tokopedia.com:80,http,nginx,text/html,GET,34.120.177.17,/,-48476174,34.120.177.17,Nginx,1,False,PT. Tokopedia,google,True,,https://hansel-testsdk.tokopedia.com:443/,,,
help.tokopedia.com,502 Bad Gateway,502,150,AS45102,"ALIBABA-CN-NET Alibaba US Technology Co., Ltd.",CN,47.88.194.150/32,help.tokopedia.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2022-08-02T00:00:00Z,2023-09-02T23:59:59Z,"CN=*.tokopedia.com, O=PT. Tokopedia, L=Jakarta Selatan, ST=Daerah Khusus Ibukota Jakarta, C=ID",*.tokopedia.com,tokopedia.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,0e289dc87eade488bf9d7dacd83ede29,d94380e7908bbe3cb3611ed2ae1aba8d37be379b5396995adc989aab89591833,True,ctls,help.tokopedia.com,80,http://help.tokopedia.com:80,http,,text/html,GET,47.88.140.65,/,55462883,47.88.140.65,,8,False,PT. Tokopedia,,,,https://help.tokopedia.com/,,,
http-m--internet--org-tokopedia-com-25.tianma-prd-in.vivo.com,403 Forbidden,403,146,AS21859,ZEN-ECN,US,129.227.192.0/18,http-m--internet--org-tokopedia-com-25.tianma-prd-in.vivo.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-11-01T00:00:00Z,2023-12-02T23:59:59Z,"CN=*.tianma-prd-in.vivo.com, O=vivo Mobile Communication Co.\, Ltd., L=Dongguan, ST=Guangdong Province, C=CN",*.tianma-prd-in.vivo.com,*.tianma-prd-in.vivo.com,"CN=Secure Site CA G2, OU=www.digicert.com, O=DigiCert Inc, C=US",Secure Site CA G2,DigiCert Inc,e9e8432b3ca8671e3edaf95c1361f3c5,9771e622205c39200c8fec707d64b52d11979b54e1e5b711492f9845ecabbddd,True,ctls,http-m--internet--org-tokopedia-com-25.tianma-prd-in.vivo.com,443,https://http-m--internet--org-tokopedia-com-25.tianma-prd-in.vivo.com:443,https,nginx,text/html,GET,129.227.254.190,/,1557831814,129.227.254.190,Nginx,8,False,"vivo Mobile Communication Co., Ltd.",,,,,,,
images-cdn-google.tokopedia.net,,403,2,AS396982,GOOGLE-CLOUD-PLATFORM,US,34.120.0.0/14,images-cdn-google.tokopedia.net,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-05-18T00:00:00Z,2023-06-18T23:59:59Z,"CN=*.tokopedia.net, O=PT. Tokopedia, L=Jakarta Selatan, ST=Daerah Khusus Ibukota Jakarta, C=ID",*.tokopedia.net,tokopedia.net,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,12ed28ea78da4b52b496adc609e49145,dcfa2c4d933479aad3492a2aceb84f0b8499be143c4bf93763a4bbc89dbc8e21,True,ctls,images-cdn-google.tokopedia.net,443,https://images-cdn-google.tokopedia.net:443,https,awselb/2.0,application/json,GET,34.120.3.51,/,-1206076886,34.120.3.51,HTTP/3,1,False,PT. Tokopedia,google,True,,,,,
images-gcdn.tokopedia.net,,403,2,AS15169,GOOGLE,US,34.111.0.0/16,images-gcdn.tokopedia.net,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-05-18T00:00:00Z,2023-06-18T23:59:59Z,"CN=*.tokopedia.net, O=PT. Tokopedia, L=Jakarta Selatan, ST=Daerah Khusus Ibukota Jakarta, C=ID",*.tokopedia.net,tokopedia.net,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,12ed28ea78da4b52b496adc609e49145,dcfa2c4d933479aad3492a2aceb84f0b8499be143c4bf93763a4bbc89dbc8e21,True,ctls,images-gcdn.tokopedia.net,80,http://images-gcdn.tokopedia.net:80,http,awselb/2.0,application/json,GET,34.111.158.194,/,-1206076886,34.111.158.194,HTTP/3,1,False,PT. Tokopedia,google,True,,https://images-gcdn.tokopedia.net:443/,,,
images.tokopedia.net,,403,13,AS20940,AKAMAI-ASN1,NL,23.48.0.0/12,images.tokopedia.net,443,True,tls13,TLS_AES_256_GCM_SHA384,,2022-05-18T00:00:00Z,2023-06-18T23:59:59Z,"CN=*.tokopedia.net, O=PT. Tokopedia, L=Jakarta Selatan, ST=Daerah Khusus Ibukota Jakarta, C=ID",*.tokopedia.net,tokopedia.net,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,f08b30cee6d7a0a9a45f1ac739e3942d,b489784d32c5698365781f6c6f9a4da20a4ca65266b79b4fa9ca1a7f8a30dc66,True,ctls,images.tokopedia.net,80,http://images.tokopedia.net:80,http,,,GET,23.53.40.179,/,55462883,23.53.40.201,,1,False,PT. Tokopedia,,,,https://images.tokopedia.net/,,,
imt-gcp.tokopedia.com,403 Forbidden,403,548,AS396982,GOOGLE-CLOUD-PLATFORM,US,34.120.0.0/14,imt-gcp.tokopedia.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-08-02T00:00:00Z,2023-09-02T23:59:59Z,"CN=*.tokopedia.com, O=PT. Tokopedia, L=Jakarta Selatan, ST=Daerah Khusus Ibukota Jakarta, C=ID",*.tokopedia.com,tokopedia.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,0e289dc87eade488bf9d7dacd83ede29,d94380e7908bbe3cb3611ed2ae1aba8d37be379b5396995adc989aab89591833,True,ctls,imt-gcp.tokopedia.com,443,https://imt-gcp.tokopedia.com:443,https,nginx,text/html,GET,34.120.49.230,/,586998417,34.120.49.230,Nginx,14,False,PT. Tokopedia,google,True,,,,,
inbox-gcp.tokopedia.com,503 Service Temporarily Unavailable,503,206,AS15169,GOOGLE,US,35.186.192.0/18,inbox-gcp.tokopedia.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-08-02T00:00:00Z,2023-09-02T23:59:59Z,"CN=*.tokopedia.com, O=PT. Tokopedia, L=Jakarta Selatan, ST=Daerah Khusus Ibukota Jakarta, C=ID",*.tokopedia.com,tokopedia.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,0e289dc87eade488bf9d7dacd83ede29,d94380e7908bbe3cb3611ed2ae1aba8d37be379b5396995adc989aab89591833,True,ctls,inbox-gcp.tokopedia.com,443,https://inbox-gcp.tokopedia.com:443,https,,text/html,GET,35.186.254.55,/,-460329555,35.186.254.55,HTTP/3,8,False,PT. Tokopedia,google,True,,,,,
internal-staging.tokopedia.com,404,404,134,AS15169,GOOGLE,US,35.244.128.0/17,internal-staging.tokopedia.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-08-02T00:00:00Z,2023-09-02T23:59:59Z,"CN=*.tokopedia.com, O=PT. Tokopedia, L=Jakarta Selatan, ST=Daerah Khusus Ibukota Jakarta, C=ID",*.tokopedia.com,tokopedia.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,0e289dc87eade488bf9d7dacd83ede29,d94380e7908bbe3cb3611ed2ae1aba8d37be379b5396995adc989aab89591833,True,ctls,internal-staging.tokopedia.com,443,https://internal-staging.tokopedia.com:443,https,,text/html,GET,35.244.198.66,/,1530892233,35.244.198.66,HTTP/3,1,False,PT. Tokopedia,google,True,,,,,
internal.tokopedia.com,404,404,134,AS15169,GOOGLE,US,34.149.0.0/16,internal.tokopedia.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-08-02T00:00:00Z,2023-09-02T23:59:59Z,"CN=*.tokopedia.com, O=PT. Tokopedia, L=Jakarta Selatan, ST=Daerah Khusus Ibukota Jakarta, C=ID",*.tokopedia.com,tokopedia.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,0e289dc87eade488bf9d7dacd83ede29,d94380e7908bbe3cb3611ed2ae1aba8d37be379b5396995adc989aab89591833,True,ctls,internal.tokopedia.com,443,https://internal.tokopedia.com:443,https,,text/html,GET,34.149.107.28,/,1530892233,34.149.107.28,HTTP/3,1,False,PT. Tokopedia,google,True,,,,,
jaeger.tokopedia.net,403 Forbidden,403,564,AS16509,AS16509,Unknown,13.208.0.0/13,jaeger.tokopedia.net,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2022-05-18T00:00:00Z,2023-06-18T23:59:59Z,"CN=*.tokopedia.net, O=PT. Tokopedia, L=Jakarta Selatan, ST=Daerah Khusus Ibukota Jakarta, C=ID",*.tokopedia.net,tokopedia.net,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,12ed28ea78da4b52b496adc609e49145,dcfa2c4d933479aad3492a2aceb84f0b8499be143c4bf93763a4bbc89dbc8e21,True,ctls,jaeger.tokopedia.net,443,https://jaeger.tokopedia.net:443,https,nginx,text/html,GET,13.215.99.6,/,1201975693,18.139.169.37,Nginx,14,False,PT. Tokopedia,,,,,,,
kamus.tokopedia.com,Kamus Keuangan - Tokopedia,200,243405,AS15169,GOOGLE,US,34.149.0.0/16,kamus.tokopedia.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-08-02T00:00:00Z,2023-09-02T23:59:59Z,"CN=*.tokopedia.com, O=PT. Tokopedia, L=Jakarta Selatan, ST=Daerah Khusus Ibukota Jakarta, C=ID",*.tokopedia.com,tokopedia.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,0e289dc87eade488bf9d7dacd83ede29,d94380e7908bbe3cb3611ed2ae1aba8d37be379b5396995adc989aab89591833,True,ctls,kamus.tokopedia.com,443,https://kamus.tokopedia.com:443,https,nginx,text/html,GET,34.149.107.28,/,55462883,34.149.107.28,Nginx,160,False,PT. Tokopedia,google,True,https://tfhub.dev/tensorflow/,,,,
link.accounts.tokopedia.com,404 Not Found,404,564,AS11377,SENDGRID,US,167.89.0.0/17,link.accounts.tokopedia.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2022-12-14T18:12:57Z,2024-01-15T17:57:31Z,CN=*.sendgrid.net,*.sendgrid.net,sendgrid.net,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",5b6add9e6e69e62589480ba3bd94b267,53aadc5910a6619d5102afbe44af32ecae87d4ef77fea8317be1ddc34b349e10,True,ctls,link.accounts.tokopedia.com,443,https://link.accounts.tokopedia.com:443,https,nginx,text/html,GET,167.89.123.54,/,1506877856,167.89.118.83,Nginx,14,False,,,,,,,,
link.seller.tokopedia.com,404 Not Found,404,162,AS11377,SENDGRID,US,167.89.0.0/17,link.seller.tokopedia.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2022-12-14T18:12:57Z,2024-01-15T17:57:31Z,CN=*.sendgrid.net,*.sendgrid.net,sendgrid.net,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",5b6add9e6e69e62589480ba3bd94b267,53aadc5910a6619d5102afbe44af32ecae87d4ef77fea8317be1ddc34b349e10,True,ctls,link.seller.tokopedia.com,443,https://link.seller.tokopedia.com:443,https,nginx,text/html,GET,167.89.118.83,/,190856733,167.89.123.54,Nginx,8,False,,,,,,,,
