input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,webserver,final_url,tls_wildcard_certificate,tls_mismatched,tls_subject_org_,csp_domains_,tls_expired,tls_self_signed
bff-aem-vrtnieuws-app-test.vrt.be,,404,121,AS16509,AS16509,Unknown,13.225.96.0/21,bff-aem-vrtnieuws-app-test.vrt.be,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2023-10-03T23:59:59Z,CN=bff-aem-vrtnieuws-app-test.vrt.be,bff-aem-vrtnieuws-app-test.vrt.be,bff-test.vrtnieuws.be,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,929a6b7e87e8963727c042f6d974b084,a4e6946982fcb40acb8a2ff4c6b7971f76afdb1266708eeb28dad73d519bf764,ctls,bff-aem-vrtnieuws-app-test.vrt.be,cloudfront,80,http://bff-aem-vrtnieuws-app-test.vrt.be:80,http,application/json,GET,13.225.78.45,/,,13.225.78.56,Nginx,1,False,True,nginx,https://bff-aem-vrtnieuws-app-test.vrt.be/,,,,,,
bff.ketnet.be,,403,42,AS0,Not routed,None,13.32.100.0/23,bff.ketnet.be,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-10T00:00:00Z,2024-05-09T23:59:59Z,CN=bff.ketnet.be,bff.ketnet.be,bff.ketnet.be,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,91b71d00b07acfbec95fca540902d1ae,f4fcd99959332feadbb82a6b490ff8026591e62653916236c569fbf71aea83ba,ctls,bff.ketnet.be,cloudfront,443,https://bff.ketnet.be:443,https,application/json,GET,13.32.99.2,/,-515497840,2600:9000:2251:f200:1:cb07:d6c0:93a1,Amazon Web Services,1,False,True,,,,,,,,
bff.stag.ketnet.be,,403,42,AS0,Not routed,None,13.32.100.0/23,bff.stag.ketnet.be,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-09T00:00:00Z,2024-05-07T23:59:59Z,CN=bff.stag.ketnet.be,bff.stag.ketnet.be,bff.stag.ketnet.be,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,18caab2d62499519b4e636778fcea457,5157c1511b46a3c49cfccaf5d08961e7e930c366653a8d1aae90acd081034fbb,ctls,bff.stag.ketnet.be,cloudfront,443,https://bff.stag.ketnet.be:443,https,application/json,GET,13.32.99.14,/,-515497840,2600:9000:2251:c800:c:4fcc:1bc0:93a1,Amazon Web Services,1,False,True,,,,,,,,
bigband.vrt.be,De officiële website van de VRT Bigband - welkom!,200,48808,AS2635,AUTOMATTIC,US,192.0.64.0/18,bigband.vrt.be,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-15T22:20:26Z,2023-06-13T22:20:25Z,CN=tls.automattic.com,tls.automattic.com,www.wendywang2.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,4f6f883176c715da39bf141b3618e35c,5744b7b26ce12bd0cb3d78ae278e47567903e0ff14aa3c5af02cc97f6d103765,ctls,bigband.vrt.be,,443,https://bigband.vrt.be:443,https,text/html,GET,192.0.78.166,/,1274734426,192.0.78.239,WordPress.com,329,False,,nginx,,,,,,,
bobentamaratrouwen.events.vrt.be,Home | VRT.be,200,93637,AS56837,TIGRON-AS,BE,86.39.64.0/20,www.vrt.be,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2023-11-13T23:59:59Z,CN=www.vrt.be,www.vrt.be,www.vrt.be,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ecd975fdfd27cbfa90b7edf5ec53d4d0,ea845bca415d0f714309e93620edee333e89d23a29c194ed6b192523a477db6c,ctls,www.vrt.be,,80,http://bobentamaratrouwen.events.vrt.be:80,http,text/html,GET,86.39.65.98,/,,2a00:6ec0:101:1:0:98:0:1,Java,1885,False,,,https://www.vrt.be/nl/,,,,,,
branding.canvas.be,branding-canvas,200,1644,AS16509,AS16509,Unknown,76.76.21.0/24,branding.canvas.be,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-02-25T03:12:59Z,2023-05-26T03:12:58Z,CN=branding.canvas.be,branding.canvas.be,branding.canvas.be,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,77380b457cfc9771035d546f8de8e4d6,b3ab72b051aec445502770882fc340168f370733b7154b6cf51a79636ebfc07e,ctls,branding.canvas.be,,443,https://branding.canvas.be:443,https,text/html,GET,76.76.21.142,/,-523203151,76.76.21.93,Vue.js,10,False,,Vercel,,,,,,,
brandtweer.ketnet.be,Ketnet,200,3858,AS16509,AMAZON-02,US,18.66.144.0/22,www.ketnet.be,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2023-10-11T23:59:59Z,CN=www.ketnet.be,www.ketnet.be,www.ketnet.be,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,269e653404c2255b1a92b137672380a9,86ed68b8f233ad9a8fb8c84707d3b8b6922af8b9a6dcfadc8ef518d5882a0a3d,ctls,www.ketnet.be,cloudfront,443,https://brandtweer.ketnet.be:443,https,text/html,GET,18.66.147.32,/,,2600:9000:225e:4600:1f:b231:b900:93a1,Amazon Web Services,1,False,True,AmazonS3,https://www.ketnet.be/kijken/m/meisjes,,,,,,
brihang-hetzesdemetaal-extra.events.stubru.be,StuBru,200,214596,AS56837,TIGRON-AS,BE,86.39.64.0/20,stubru.be,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2023-07-23T23:59:59Z,CN=stubru.be,stubru.be,klara.be,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,65e6f4c414825b580aea67a19cdecfe2,f9af8d725f145847c8abed28c90aee4f8cd4de52b9a48f573fc5774c8893145e,ctls,stubru.be,,443,https://brihang-hetzesdemetaal-extra.events.stubru.be:443,https,text/html,GET,86.39.65.98,/,,2a00:6ec0:101:1:0:98:0:1,webpack,3,False,,nginx/1.22.0,https://stubru.be/,,,,,,
brihang-hetzesdemetaal.events.stubru.be,StuBru,200,214596,AS56837,TIGRON-AS,BE,86.39.64.0/20,stubru.be,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2023-07-23T23:59:59Z,CN=stubru.be,stubru.be,klara.be,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,65e6f4c414825b580aea67a19cdecfe2,f9af8d725f145847c8abed28c90aee4f8cd4de52b9a48f573fc5774c8893145e,ctls,stubru.be,,443,https://brihang-hetzesdemetaal.events.stubru.be:443,https,text/html,GET,86.39.65.98,/,,2a00:6ec0:101:1:0:98:0:1,webpack,3,False,,nginx/1.22.0,https://stubru.be/,,,,,,
c.vrt.be,,404,13,AS16509,AS16509,Unknown,34.240.0.0/12,c.vrt.be,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,2023-09-16T23:59:59Z,CN=c.vrt.be,c.vrt.be,c.vrt.be,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,20017eda6f59d4649711c658e6f49cff,1fab11ef8ec36231022e909d4ac860ee3ade231d6e3879e8c34b4397440f5d2b,ctls,c.vrt.be,,443,https://c.vrt.be:443,https,text/plain,GET,34.253.1.159,/,-1420358624,34.240.250.37,Akka HTTP:10.2.9,1,False,,akka-http/10.2.9,,,,,,,
cache-remote-acc-db2-corp.events.radio2.be,elke dag telt voor 2 | radio2,200,243147,AS56837,TIGRON-AS,BE,86.39.64.0/20,radio2.be,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2023-07-23T23:59:59Z,CN=stubru.be,stubru.be,klara.be,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,65e6f4c414825b580aea67a19cdecfe2,f9af8d725f145847c8abed28c90aee4f8cd4de52b9a48f573fc5774c8893145e,ctls,radio2.be,,443,https://cache-remote-acc-db2-corp.events.radio2.be:443,https,text/html,GET,86.39.65.98,/,-1312892925,2a00:6ec0:101:1:0:98:0:1,webpack,1,False,,nginx/1.22.0,https://radio2.be/,,,,,,
canvasconnect-eten.events.canvas.be,VRT MAX,200,4547,AS56837,TIGRON-AS,BE,86.39.64.0/20,www.vrt.be,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2023-11-13T23:59:59Z,CN=www.vrt.be,www.vrt.be,www.vrt.be,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ecd975fdfd27cbfa90b7edf5ec53d4d0,ea845bca415d0f714309e93620edee333e89d23a29c194ed6b192523a477db6c,ctls,www.vrt.be,,443,https://canvasconnect-eten.events.canvas.be:443,https,text/html,GET,86.39.65.98,/,,2a00:6ec0:101:1:0:98:0:1,Amazon Web Services,3,False,,AmazonS3,https://www.vrt.be/vrtnu/kanalen/canvas/?utm_medium=redirect&utm_source=canvas_home&utm_campaign=canvasmigratie&utm_content=vrt-nu,,,,https://*.omtrdc.net,,
canvasconnect-ouderenmishandeling.events.canvas.be,VRT MAX,200,4547,AS56837,TIGRON-AS,BE,86.39.64.0/20,www.vrt.be,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2023-11-13T23:59:59Z,CN=www.vrt.be,www.vrt.be,www.vrt.be,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ecd975fdfd27cbfa90b7edf5ec53d4d0,ea845bca415d0f714309e93620edee333e89d23a29c194ed6b192523a477db6c,ctls,www.vrt.be,,80,http://canvasconnect-ouderenmishandeling.events.canvas.be:80,http,text/html,GET,86.39.65.98,/,,2a00:6ec0:101:1:0:98:0:1,Amazon Web Services,3,False,,AmazonS3,https://www.vrt.be/vrtnu/kanalen/canvas/?utm_medium=redirect&utm_source=canvas_home&utm_campaign=canvasmigratie&utm_content=vrt-nu,,,,https://cdn.jsdelivr.net/npm/@snowplow/browser-plugin-performance-timing@latest/dist/index.umd.min.js,,
canvasconnect-partnergeweld.events.canvas.be,VRT MAX,200,4547,AS56837,TIGRON-AS,BE,86.39.64.0/20,www.vrt.be,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2023-11-13T23:59:59Z,CN=www.vrt.be,www.vrt.be,www.vrt.be,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ecd975fdfd27cbfa90b7edf5ec53d4d0,ea845bca415d0f714309e93620edee333e89d23a29c194ed6b192523a477db6c,ctls,www.vrt.be,,80,http://canvasconnect-partnergeweld.events.canvas.be:80,http,text/html,GET,86.39.65.98,/,,2a00:6ec0:101:1:0:98:0:1,Amazon Web Services,3,False,,AmazonS3,https://www.vrt.be/vrtnu/kanalen/canvas/?utm_medium=redirect&utm_source=canvas_home&utm_campaign=canvasmigratie&utm_content=vrt-nu,,,,https://*.smartocto.com,,
canvasconnect-privacy.events.canvas.be,VRT MAX,200,4547,AS56837,TIGRON-AS,BE,86.39.64.0/20,www.vrt.be,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2023-11-13T23:59:59Z,CN=www.vrt.be,www.vrt.be,www.vrt.be,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ecd975fdfd27cbfa90b7edf5ec53d4d0,ea845bca415d0f714309e93620edee333e89d23a29c194ed6b192523a477db6c,ctls,www.vrt.be,,80,http://canvasconnect-privacy.events.canvas.be:80,http,text/html,GET,86.39.65.98,/,,2a00:6ec0:101:1:0:98:0:1,Amazon Web Services,3,False,,AmazonS3,https://www.vrt.be/vrtnu/kanalen/canvas/?utm_medium=redirect&utm_source=canvas_home&utm_campaign=canvasmigratie&utm_content=vrt-nu,,,,https://*.vrt.be,,
canvasconnect-sportclub-guests.events.canvas.be,VRT MAX,200,4547,AS56837,TIGRON-AS,BE,86.39.64.0/20,www.vrt.be,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2023-11-13T23:59:59Z,CN=www.vrt.be,www.vrt.be,www.vrt.be,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ecd975fdfd27cbfa90b7edf5ec53d4d0,ea845bca415d0f714309e93620edee333e89d23a29c194ed6b192523a477db6c,ctls,www.vrt.be,,80,http://canvasconnect-sportclub-guests.events.canvas.be:80,http,text/html,GET,86.39.65.98,/,,2a00:6ec0:101:1:0:98:0:1,Amazon Web Services,3,False,,AmazonS3,https://www.vrt.be/vrtnu/kanalen/canvas/?utm_medium=redirect&utm_source=canvas_home&utm_campaign=canvasmigratie&utm_content=vrt-nu,,,,https://browser.sentry-cdn.com,,
canvasconnect-sportclubs.events.canvas.be,VRT MAX,200,4547,AS56837,TIGRON-AS,BE,86.39.64.0/20,www.vrt.be,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2023-11-13T23:59:59Z,CN=www.vrt.be,www.vrt.be,www.vrt.be,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ecd975fdfd27cbfa90b7edf5ec53d4d0,ea845bca415d0f714309e93620edee333e89d23a29c194ed6b192523a477db6c,ctls,www.vrt.be,,80,http://canvasconnect-sportclubs.events.canvas.be:80,http,text/html,GET,86.39.65.98,/,,86.39.65.98,Amazon Web Services,3,False,,AmazonS3,https://www.vrt.be/vrtnu/kanalen/canvas/?utm_medium=redirect&utm_source=canvas_home&utm_campaign=canvasmigratie&utm_content=vrt-nu,,,,https://*.demdex.net,,
canvasselect-spencer.events.vrt.be,32CP - Creative Partnerships - Canvas Select-Spencer,200,2632,AS56837,TIGRON-AS,BE,86.39.64.0/20,canvasselect-spencer.events.vrt.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-26T16:15:10Z,2023-06-24T16:15:09Z,CN=canvasselect-spencer.events.vrt.be,canvasselect-spencer.events.vrt.be,canvasselect-spencer.events.vrt.be,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,b0fd30a0fae7e178a15e731b29db4d75,4b9e2fd8ac07a10c3bc9cb4f5ab4d6119b7a8a937be7d23af3917b4a615d71f2,ctls,canvasselect-spencer.events.vrt.be,,443,https://canvasselect-spencer.events.vrt.be:443,https,text/html,GET,86.39.65.98,/,-51303940,2a00:6ec0:101:1:0:98:0:1,,70,False,,,https://canvasselect-spencer.events.vrt.be/login,,,,,,
canvasselect-thenorthman.events.vrt.be,32CP - Creative Partnerships - Canvas Select- The Northman,200,2657,AS56837,TIGRON-AS,BE,86.39.64.0/20,canvasselect-thenorthman.events.vrt.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-13T16:10:09Z,2023-06-11T16:10:08Z,CN=canvasselect-thenorthman.events.vrt.be,canvasselect-thenorthman.events.vrt.be,canvasselect-thenorthman.events.vrt.be,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,436b57dc0e09adf9dbfcd893a2490acd,3da358ee76f48c9500ad070d1bbca75a9a39bb759416b4a99df2761ca50b2694,ctls,canvasselect-thenorthman.events.vrt.be,,443,https://canvasselect-thenorthman.events.vrt.be:443,https,text/html,GET,86.39.65.98,/,-51303940,2a00:6ec0:101:1:0:98:0:1,,70,False,,,https://canvasselect-thenorthman.events.vrt.be/login,,,,,,
car-api.vrt.be,,403,42,AS0,Not routed,None,13.32.100.0/23,car-api.vrt.be,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2023-07-18T23:59:59Z,CN=car-api.vrt.be,car-api.vrt.be,car-api.vrt.be,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,627c685e1cff09bb703dbfe1675cdcc0,18ff7d4279ae06b59785fe1755777888f96dd5863cf4914ef6972137e15fcc04,ctls,car-api.vrt.be,cloudfront,443,https://car-api.vrt.be:443,https,application/json,GET,13.32.99.88,/,768769774,2600:9000:2251:cc00:10:cb74:bb80:93a1,Amazon Web Services,1,False,True,,,,,,,,
catchoftheday.stubru.be,StuBru,200,214596,AS16509,AMAZON-02,US,13.32.16.0/20,stubru.be,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2023-07-23T23:59:59Z,CN=stubru.be,stubru.be,klara.be,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,65e6f4c414825b580aea67a19cdecfe2,f9af8d725f145847c8abed28c90aee4f8cd4de52b9a48f573fc5774c8893145e,ctls,stubru.be,cloudfront,443,https://catchoftheday.stubru.be:443,https,text/html,GET,13.32.27.48,/,-1648759485,2600:9000:211e:fc00:1:5a5d:cd80:93a1,webpack,3,False,True,nginx/1.22.0,https://stubru.be,,,,,,
cinemacanvas-richardjewell.events.vrt.be,32CP - Creative Partnerships - Cinema Canvas - Richard Jewell,200,2667,AS56837,TIGRON-AS,BE,86.39.64.0/20,cinemacanvas-richardjewell.events.vrt.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-24T10:40:27Z,2023-07-23T10:40:26Z,CN=cinemacanvas-richardjewell.events.vrt.be,cinemacanvas-richardjewell.events.vrt.be,cinemacanvas-richardjewell.events.vrt.be,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,23e6635578f92579906c53cae73c9e99,5f08076abc4427c8cb343ac58ca58a03d18b40a99306f2f55e3f7956388a6779,ctls,cinemacanvas-richardjewell.events.vrt.be,,443,https://cinemacanvas-richardjewell.events.vrt.be:443,https,text/html,GET,86.39.65.98,/,-51303940,2a00:6ec0:101:1:0:98:0:1,,70,False,,,https://cinemacanvas-richardjewell.events.vrt.be/login,,,,,,
cinemacanvas-thecourier.events.vrt.be,32CP - Creative Partnerships - Cinema Canvas - The Courier,200,2653,AS56837,TIGRON-AS,BE,86.39.64.0/20,cinemacanvas-thecourier.events.vrt.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-10T18:10:09Z,2023-07-09T18:10:08Z,CN=cinemacanvas-thecourier.events.vrt.be,cinemacanvas-thecourier.events.vrt.be,cinemacanvas-thecourier.events.vrt.be,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,a458a0e25e811d1f7604aa07816cdc21,22f5c3a26c25bcd53b7dc888d603dae24558e4b247cec7098c52f7775026f32f,ctls,cinemacanvas-thecourier.events.vrt.be,,443,https://cinemacanvas-thecourier.events.vrt.be:443,https,text/html,GET,86.39.65.98,/,-51303940,2a00:6ec0:101:1:0:98:0:1,,70,False,,,https://cinemacanvas-thecourier.events.vrt.be/login,,,,,,
cinemaeen-theduke.events.vrt.be,32CP - Creative Partnerships - Cinema één: The Duke,200,2620,AS56837,TIGRON-AS,BE,86.39.64.0/20,cinemaeen-theduke.events.vrt.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-12T14:55:17Z,2023-07-11T14:55:16Z,CN=cinemaeen-theduke.events.vrt.be,cinemaeen-theduke.events.vrt.be,cinemaeen-theduke.events.vrt.be,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,1b772506b127a6bce99cff85dee6a83c,49b83f6804dc0ab31637b9e7e110a1afc93ab238ce83ba2fbf8b58435fe9e900,ctls,cinemaeen-theduke.events.vrt.be,,443,https://cinemaeen-theduke.events.vrt.be:443,https,text/html,GET,86.39.65.98,/,-51303940,2a00:6ec0:101:1:0:98:0:1,,70,False,,,https://cinemaeen-theduke.events.vrt.be/login,,,,,,
click.vrt.be,404 Not Found,404,150,AS16509,AMAZON-02,US,54.184.0.0/13,click.vrt.be,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-09T00:00:00Z,2023-11-23T23:59:59Z,CN=spgo.io,spgo.io,spgo1.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,b48d2faa8da96be2c64964e60e5b333f,24aec451a732f9ce5cc82cdefd7dd980c9959bcba2bbe70c2fb5803680f2528b,ctls,click.vrt.be,,443,https://click.vrt.be:443,https,text/plain,GET,54.187.134.7,/,-1840324437,35.166.255.90,,8,False,,msys-http,,True,True,,,,
cmp-sp.klara.be,,403,243,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,cmp-sp.klara.be,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-09T17:02:20Z,2023-08-07T17:02:19Z,CN=cmp-sp.dewarmsteweek.be,cmp-sp.dewarmsteweek.be,cmp-sp.vrttaal.be,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,b0ad8bee486d317188b6bccf8bc2e668,8bcab40d8b50b7fb96ea4c2e9e6baa9d869990b011ad0902fd2ac9e9dea0de0e,ctls,cmp-sp.klara.be,cloudfront,443,https://cmp-sp.klara.be:443,https,application/xml,GET,108.138.7.76,/,-954916949,108.138.7.41,Amazon Web Services,2,False,True,AmazonS3,,,,,,,
cmp-sp.radio1.be,,403,243,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,cmp-sp.radio1.be,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-09T17:02:20Z,2023-08-07T17:02:19Z,CN=cmp-sp.dewarmsteweek.be,cmp-sp.dewarmsteweek.be,cmp-sp.vrttaal.be,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,b0ad8bee486d317188b6bccf8bc2e668,8bcab40d8b50b7fb96ea4c2e9e6baa9d869990b011ad0902fd2ac9e9dea0de0e,ctls,cmp-sp.radio1.be,cloudfront,443,https://cmp-sp.radio1.be:443,https,application/xml,GET,108.138.7.41,/,-954916949,108.138.7.76,Amazon Web Services,2,False,True,AmazonS3,,,,,,,
cmp-sp.radio2.be,,403,243,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,cmp-sp.radio2.be,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-09T17:02:20Z,2023-08-07T17:02:19Z,CN=cmp-sp.dewarmsteweek.be,cmp-sp.dewarmsteweek.be,cmp-sp.vrttaal.be,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,b0ad8bee486d317188b6bccf8bc2e668,8bcab40d8b50b7fb96ea4c2e9e6baa9d869990b011ad0902fd2ac9e9dea0de0e,ctls,cmp-sp.radio2.be,cloudfront,443,https://cmp-sp.radio2.be:443,https,application/xml,GET,108.138.7.44,/,-954916949,108.138.7.39,Amazon Web Services,2,False,True,AmazonS3,,,,,,,
cmp-sp.radioplus.be,,403,243,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,cmp-sp.radioplus.be,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-09T17:02:20Z,2023-08-07T17:02:19Z,CN=cmp-sp.dewarmsteweek.be,cmp-sp.dewarmsteweek.be,cmp-sp.vrttaal.be,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,b0ad8bee486d317188b6bccf8bc2e668,8bcab40d8b50b7fb96ea4c2e9e6baa9d869990b011ad0902fd2ac9e9dea0de0e,ctls,cmp-sp.radioplus.be,cloudfront,443,https://cmp-sp.radioplus.be:443,https,application/xml,GET,108.138.7.41,/,-954916949,108.138.7.44,Amazon Web Services,2,False,True,AmazonS3,,,,,,,
cobra.canvas.be,VRT MAX,200,4547,AS16509,AMAZON-02,US,143.204.104.0/24,www.vrt.be,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2023-11-13T23:59:59Z,CN=www.vrt.be,www.vrt.be,www.vrt.be,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ecd975fdfd27cbfa90b7edf5ec53d4d0,ea845bca415d0f714309e93620edee333e89d23a29c194ed6b192523a477db6c,ctls,www.vrt.be,cloudfront,80,http://cobra.canvas.be:80,http,text/html,GET,143.204.89.120,/,,2600:9000:2156:9600:1f:ff89:b680:93a1,Amazon Web Services,3,False,True,AmazonS3,https://www.vrt.be/vrtnu/kanalen/canvas/?utm_medium=redirect&utm_source=canvas_home&utm_campaign=canvasmigratie&utm_content=vrt-nu,,,,https://*.adnxs-simple.com,,
collegialekaart.vrt.be,,200,6584,AS16509,AS16509,Unknown,76.76.21.0/24,collegialekaart.vrt.be,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-05-06T13:03:57Z,2023-08-04T13:03:56Z,CN=collegialekaart.vrt.be,collegialekaart.vrt.be,collegialekaart.vrt.be,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,73aa0c3c50b50866009d4dbe59cd7e4e,ae2ee844e92fd62fd529c1d2dec1021f64728aaac164051b56fcd49f352ab7d5,ctls,collegialekaart.vrt.be,,80,http://collegialekaart.vrt.be:80,http,text/html,GET,76.76.21.93,/,,76.76.21.98,Vercel,3,False,,Vercel,https://collegialekaart.vrt.be/,,,,,,
comedynight.events.stubru.be,StuBru,200,214596,AS56837,TIGRON-AS,BE,86.39.64.0/20,stubru.be,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2023-07-23T23:59:59Z,CN=stubru.be,stubru.be,klara.be,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,65e6f4c414825b580aea67a19cdecfe2,f9af8d725f145847c8abed28c90aee4f8cd4de52b9a48f573fc5774c8893145e,ctls,stubru.be,,443,https://comedynight.events.stubru.be:443,https,text/html,GET,86.39.65.98,/,,2a00:6ec0:101:1:0:98:0:1,webpack,3,False,,nginx/1.22.0,https://stubru.be/,,,,,,
communicatie.ketnet.be,Ketnet - Pressroom,200,78396,AS13335,CLOUDFLARENET,US,172.66.40.0/21,communicatie.ketnet.be,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-07T00:00:00Z,2024-04-06T23:59:59Z,"CN=communicatie.ketnet.be, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",communicatie.ketnet.be,communicatie.ketnet.be,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",610d94d8cd90e9a6ba1758722a5bdaf8,c38fbcab4948cad370cffe354745cc3518b0741c9b82a9013fd0ef101ffd4b69,ctls,communicatie.ketnet.be,cloudflare,443,https://communicatie.ketnet.be:443,https,text/html,GET,172.66.43.104,/,1647886551,2606:4700:3108::ac42:2b68,Varnish:6.0,830,False,True,cloudflare,,,,"Cloudflare, Inc.",https://csp.prezly.net/report,,
