new,host,a,aaaa,soa,status_code,cname,mx,txt,caa,cdn,cdn-name,ns
[x],cm4-sgp1.survey.sidn.nl,,"2600:9000:2551:e200:19:1a16:9840:93a1, 2600:9000:2551:c800:19:1a16:9840:93a1, 2600:9000:2551:2c00:19:1a16:9840:93a1, 2600:9000:2551:b400:19:1a16:9840:93a1, 2600:9000:2551:7c00:19:1a16:9840:93a1, 2600:9000:2551:8800:19:1a16:9840:93a1, 2600:9000:2551:1800:19:1a16:9840:93a1, 2600:9000:2551:c200:19:1a16:9840:93a1","ns-1700.awsdns-20.co.uk, awsdns-hostmaster.amazon.com",NOERROR,sidn2.customdomain.chkmkt.com,inbound-smtp.eu-west-1.amazonaws.com,"amazonses:VWUk5r8djH8OEaDmKzuxFNUtfzlA411JdSStojg9D2E=, v=DMARC1; p=reject; rua=mailto:dmarc@chkmkt.com; pct=100;, v=spf1 mx include:chkmkt.com -all",amazonaws.com,True,cloudfront,"ns-1019.awsdns-63.net, ns-1114.awsdns-11.org, ns-1700.awsdns-20.co.uk, ns-340.awsdns-42.com"
[x],cmsa23.survey.sidn.nl,"13.226.153.49, 13.226.153.22, 13.226.153.70, 13.226.153.30","2600:9000:2182:bc00:19:1a16:9840:93a1, 2600:9000:2182:8800:19:1a16:9840:93a1, 2600:9000:2182:b600:19:1a16:9840:93a1, 2600:9000:2182:6400:19:1a16:9840:93a1, 2600:9000:2182:4e00:19:1a16:9840:93a1, 2600:9000:2182:9200:19:1a16:9840:93a1, 2600:9000:2182:3e00:19:1a16:9840:93a1, 2600:9000:2182:9a00:19:1a16:9840:93a1","ns-1700.awsdns-20.co.uk, awsdns-hostmaster.amazon.com",NOERROR,sidn2.customdomain.chkmkt.com,inbound-smtp.eu-west-1.amazonaws.com,"v=spf1 mx include:chkmkt.com -all, amazonses:VWUk5r8djH8OEaDmKzuxFNUtfzlA411JdSStojg9D2E=, v=DMARC1; p=reject; rua=mailto:dmarc@chkmkt.com; pct=100;",,True,cloudfront,"ns-1019.awsdns-63.net, ns-1114.awsdns-11.org, ns-1700.awsdns-20.co.uk, ns-340.awsdns-42.com"
[x],cmscustomersuser-v4-englishmediaconfig-helpdesk.survey.sidn.nl,"13.32.121.91, 13.32.121.42, 13.32.121.101, 13.32.121.90","2600:9000:2240:3400:19:1a16:9840:93a1, 2600:9000:236e:ea00:19:1a16:9840:93a1, 2600:9000:2240:2400:19:1a16:9840:93a1, 2600:9000:236e:6600:19:1a16:9840:93a1, 2600:9000:236e:bc00:19:1a16:9840:93a1, 2600:9000:2240:ac00:19:1a16:9840:93a1, 2600:9000:2240:6a00:19:1a16:9840:93a1, 2600:9000:236e:e00:19:1a16:9840:93a1","ns-1700.awsdns-20.co.uk, awsdns-hostmaster.amazon.com",NOERROR,sidn2.customdomain.chkmkt.com,inbound-smtp.eu-west-1.amazonaws.com,"amazonses:VWUk5r8djH8OEaDmKzuxFNUtfzlA411JdSStojg9D2E=, v=DMARC1; p=reject; rua=mailto:dmarc@chkmkt.com; pct=100;, v=spf1 mx include:chkmkt.com -all",amazonaws.com,True,cloudfront,
[x],cmsdnsstorebackups-www-test.survey.sidn.nl,"13.32.121.101, 13.32.121.42, 13.32.121.91, 13.32.121.90","2600:9000:236e:2600:19:1a16:9840:93a1, 2600:9000:2240:2e00:19:1a16:9840:93a1, 2600:9000:2240:b600:19:1a16:9840:93a1, 2600:9000:236e:3a00:19:1a16:9840:93a1, 2600:9000:2240:9000:19:1a16:9840:93a1, 2600:9000:236e:5e00:19:1a16:9840:93a1, 2600:9000:2240:5800:19:1a16:9840:93a1, 2600:9000:236e:8c00:19:1a16:9840:93a1","ns-1700.awsdns-20.co.uk, awsdns-hostmaster.amazon.com",NOERROR,sidn2.customdomain.chkmkt.com,inbound-smtp.eu-west-1.amazonaws.com,"amazonses:VWUk5r8djH8OEaDmKzuxFNUtfzlA411JdSStojg9D2E=, v=DMARC1; p=reject; rua=mailto:dmarc@chkmkt.com; pct=100;, v=spf1 mx include:chkmkt.com -all",amazonaws.com,True,cloudfront,"ns-1114.awsdns-11.org, ns-1700.awsdns-20.co.uk, ns-340.awsdns-42.com, ns-1019.awsdns-63.net"
[x],cmsgamewikimatome.survey.sidn.nl,"13.32.121.90, 13.32.121.42, 13.32.121.101, 13.32.121.91",,"ns-1700.awsdns-20.co.uk, awsdns-hostmaster.amazon.com",NOERROR,sidn2.customdomain.chkmkt.com,,,,True,cloudfront,
[x],cmswebservicesmaster-backups-www-test.survey.sidn.nl,"13.32.121.101, 13.32.121.91, 13.32.121.90, 13.32.121.42","2600:9000:2240:ee00:19:1a16:9840:93a1, 2600:9000:2240:1000:19:1a16:9840:93a1, 2600:9000:236e:7400:19:1a16:9840:93a1, 2600:9000:236e:9600:19:1a16:9840:93a1, 2600:9000:236e:da00:19:1a16:9840:93a1, 2600:9000:236e:2800:19:1a16:9840:93a1, 2600:9000:236e:ac00:19:1a16:9840:93a1, 2600:9000:2240:6a00:19:1a16:9840:93a1","ns-1700.awsdns-20.co.uk, awsdns-hostmaster.amazon.com",NOERROR,sidn2.customdomain.chkmkt.com,inbound-smtp.eu-west-1.amazonaws.com,"v=DMARC1; p=reject; rua=mailto:dmarc@chkmkt.com; pct=100;, v=spf1 mx include:chkmkt.com -all, amazonses:VWUk5r8djH8OEaDmKzuxFNUtfzlA411JdSStojg9D2E=",amazonaws.com,True,cloudfront,"ns-1700.awsdns-20.co.uk, ns-340.awsdns-42.com, ns-1019.awsdns-63.net, ns-1114.awsdns-11.org"
[x],conference.sidn.nl,94.198.152.101,,"ns4.sidn.nl, hostmaster.sidn.nl",NOERROR,,,,,,,
[x],confluenceaccount-euwpostgresgit.survey.sidn.nl,"13.32.121.91, 13.32.121.101, 13.32.121.42, 13.32.121.90","2600:9000:236e:9e00:19:1a16:9840:93a1, 2600:9000:236e:a800:19:1a16:9840:93a1, 2600:9000:236e:b200:19:1a16:9840:93a1, 2600:9000:236e:fa00:19:1a16:9840:93a1, 2600:9000:2240:1600:19:1a16:9840:93a1, 2600:9000:2240:ec00:19:1a16:9840:93a1, 2600:9000:236e:1e00:19:1a16:9840:93a1, 2600:9000:236e:7600:19:1a16:9840:93a1","ns-1700.awsdns-20.co.uk, awsdns-hostmaster.amazon.com",NOERROR,sidn2.customdomain.chkmkt.com,inbound-smtp.eu-west-1.amazonaws.com,"v=spf1 mx include:chkmkt.com -all, amazonses:VWUk5r8djH8OEaDmKzuxFNUtfzlA411JdSStojg9D2E=, v=DMARC1; p=reject; rua=mailto:dmarc@chkmkt.com; pct=100;",amazonaws.com,True,cloudfront,
[x],confluencedatacontroller-sql.survey.sidn.nl,"143.204.231.72, 143.204.231.39, 143.204.231.121, 143.204.231.34","2600:9000:2113:d000:19:1a16:9840:93a1, 2600:9000:2113:9e00:19:1a16:9840:93a1, 2600:9000:2113:f200:19:1a16:9840:93a1, 2600:9000:2113:2400:19:1a16:9840:93a1, 2600:9000:2113:e00:19:1a16:9840:93a1, 2600:9000:2113:dc00:19:1a16:9840:93a1, 2600:9000:2113:f800:19:1a16:9840:93a1, 2600:9000:2113:7200:19:1a16:9840:93a1","ns-1700.awsdns-20.co.uk, awsdns-hostmaster.amazon.com",NOERROR,sidn2.customdomain.chkmkt.com,inbound-smtp.eu-west-1.amazonaws.com,"amazonses:VWUk5r8djH8OEaDmKzuxFNUtfzlA411JdSStojg9D2E=, v=DMARC1; p=reject; rua=mailto:dmarc@chkmkt.com; pct=100;, v=spf1 mx include:chkmkt.com -all",amazonaws.com,True,cloudfront,"ns-340.awsdns-42.com, ns-1019.awsdns-63.net, ns-1114.awsdns-11.org, ns-1700.awsdns-20.co.uk"
[x],confluenceexampledockerintra.survey.sidn.nl,"13.227.219.66, 13.227.219.23, 13.227.219.48, 13.227.219.110","2600:9000:21c7:d800:19:1a16:9840:93a1, 2600:9000:21c7:8800:19:1a16:9840:93a1, 2600:9000:21c7:5e00:19:1a16:9840:93a1, 2600:9000:21c7:2000:19:1a16:9840:93a1, 2600:9000:21c7:0:19:1a16:9840:93a1, 2600:9000:21c7:d000:19:1a16:9840:93a1, 2600:9000:21c7:4e00:19:1a16:9840:93a1, 2600:9000:21c7:4400:19:1a16:9840:93a1","ns-1700.awsdns-20.co.uk, awsdns-hostmaster.amazon.com",NOERROR,sidn2.customdomain.chkmkt.com,inbound-smtp.eu-west-1.amazonaws.com,"amazonses:VWUk5r8djH8OEaDmKzuxFNUtfzlA411JdSStojg9D2E=, v=DMARC1; p=reject; rua=mailto:dmarc@chkmkt.com; pct=100;, v=spf1 mx include:chkmkt.com -all",amazonaws.com,True,cloudfront,"ns-1019.awsdns-63.net, ns-1114.awsdns-11.org, ns-1700.awsdns-20.co.uk, ns-340.awsdns-42.com"
[x],content.sidn.nl,94.198.154.143,,"ns4.sidn.nl, hostmaster.domain-registry.nl",NOERROR,content.domain-registry.nl,,,,,,
[x],cscorpapps.survey.sidn.nl,"13.32.121.91, 13.32.121.90, 13.32.121.101, 13.32.121.42","2600:9000:2240:5a00:19:1a16:9840:93a1, 2600:9000:2240:6400:19:1a16:9840:93a1, 2600:9000:236e:5a00:19:1a16:9840:93a1, 2600:9000:2240:e600:19:1a16:9840:93a1, 2600:9000:236e:7200:19:1a16:9840:93a1, 2600:9000:2240:200:19:1a16:9840:93a1, 2600:9000:2240:2200:19:1a16:9840:93a1, 2600:9000:2240:8200:19:1a16:9840:93a1","ns-1700.awsdns-20.co.uk, awsdns-hostmaster.amazon.com",NOERROR,sidn2.customdomain.chkmkt.com,inbound-smtp.eu-west-1.amazonaws.com,"v=spf1 mx include:chkmkt.com -all, amazonses:VWUk5r8djH8OEaDmKzuxFNUtfzlA411JdSStojg9D2E=, v=DMARC1; p=reject; rua=mailto:dmarc@chkmkt.com; pct=100;",amazonaws.com,True,cloudfront,
[x],customers-beta-v2staticmyaws.survey.sidn.nl,"108.157.214.20, 108.157.214.29, 108.157.214.40, 108.157.214.4","2600:9000:2334:aa00:19:1a16:9840:93a1, 2600:9000:2334:e400:19:1a16:9840:93a1, 2600:9000:2334:2c00:19:1a16:9840:93a1, 2600:9000:2334:7000:19:1a16:9840:93a1, 2600:9000:2334:1400:19:1a16:9840:93a1, 2600:9000:2334:6200:19:1a16:9840:93a1, 2600:9000:2334:7e00:19:1a16:9840:93a1, 2600:9000:2334:6000:19:1a16:9840:93a1","ns-1700.awsdns-20.co.uk, awsdns-hostmaster.amazon.com",NOERROR,sidn2.customdomain.chkmkt.com,inbound-smtp.eu-west-1.amazonaws.com,"v=DMARC1; p=reject; rua=mailto:dmarc@chkmkt.com; pct=100;, v=spf1 mx include:chkmkt.com -all, amazonses:VWUk5r8djH8OEaDmKzuxFNUtfzlA411JdSStojg9D2E=",amazonaws.com,True,cloudfront,"ns-1019.awsdns-63.net, ns-1114.awsdns-11.org, ns-1700.awsdns-20.co.uk, ns-340.awsdns-42.com"
[x],cyclo-commuter.survey.sidn.nl,"13.32.121.42, 13.32.121.91, 13.32.121.101, 13.32.121.90","2600:9000:236e:ac00:19:1a16:9840:93a1, 2600:9000:236e:d400:19:1a16:9840:93a1, 2600:9000:236e:be00:19:1a16:9840:93a1, 2600:9000:236e:9200:19:1a16:9840:93a1, 2600:9000:236e:ea00:19:1a16:9840:93a1, 2600:9000:236e:3a00:19:1a16:9840:93a1, 2600:9000:236e:ec00:19:1a16:9840:93a1, 2600:9000:236e:1c00:19:1a16:9840:93a1","ns-1700.awsdns-20.co.uk, awsdns-hostmaster.amazon.com",NOERROR,sidn2.customdomain.chkmkt.com,inbound-smtp.eu-west-1.amazonaws.com,"amazonses:VWUk5r8djH8OEaDmKzuxFNUtfzlA411JdSStojg9D2E=, v=DMARC1; p=reject; rua=mailto:dmarc@chkmkt.com; pct=100;, v=spf1 mx include:chkmkt.com -all",amazonaws.com,True,cloudfront,
[x],d03xdb050y.survey.sidn.nl,"13.32.121.90, 13.32.121.101, 13.32.121.42, 13.32.121.91","2600:9000:21c7:8e00:19:1a16:9840:93a1, 2600:9000:21c7:3600:19:1a16:9840:93a1, 2600:9000:21c7:4400:19:1a16:9840:93a1, 2600:9000:21c7:5600:19:1a16:9840:93a1, 2600:9000:21c7:cc00:19:1a16:9840:93a1, 2600:9000:21c7:c00:19:1a16:9840:93a1, 2600:9000:21c7:8c00:19:1a16:9840:93a1, 2600:9000:21c7:4e00:19:1a16:9840:93a1","ns-1700.awsdns-20.co.uk, awsdns-hostmaster.amazon.com",NOERROR,sidn2.customdomain.chkmkt.com,inbound-smtp.eu-west-1.amazonaws.com,"amazonses:VWUk5r8djH8OEaDmKzuxFNUtfzlA411JdSStojg9D2E=, v=DMARC1; p=reject; rua=mailto:dmarc@chkmkt.com; pct=100;, v=spf1 mx include:chkmkt.com -all",amazonaws.com,True,cloudfront,"ns-1019.awsdns-63.net, ns-1114.awsdns-11.org, ns-1700.awsdns-20.co.uk, ns-340.awsdns-42.com"
[x],data-tunnel-mx.survey.sidn.nl,"18.244.102.114, 18.244.102.68, 18.244.102.7, 18.244.102.9","2600:9000:26df:fc00:19:1a16:9840:93a1, 2600:9000:26df:3c00:19:1a16:9840:93a1, 2600:9000:26df:2800:19:1a16:9840:93a1, 2600:9000:26df:1e00:19:1a16:9840:93a1, 2600:9000:26df:3400:19:1a16:9840:93a1, 2600:9000:26df:ce00:19:1a16:9840:93a1, 2600:9000:26df:5400:19:1a16:9840:93a1, 2600:9000:26df:a600:19:1a16:9840:93a1","ns-1700.awsdns-20.co.uk, awsdns-hostmaster.amazon.com",NOERROR,sidn2.customdomain.chkmkt.com,inbound-smtp.eu-west-1.amazonaws.com,"v=spf1 mx include:chkmkt.com -all, amazonses:VWUk5r8djH8OEaDmKzuxFNUtfzlA411JdSStojg9D2E=, v=DMARC1; p=reject; rua=mailto:dmarc@chkmkt.com; pct=100;",amazonaws.com,True,cloudfront,
[x],datadb2corporatemysqlbackups.survey.sidn.nl,"13.32.121.91, 13.32.121.90, 13.32.121.42, 13.32.121.101","2600:9000:2240:6c00:19:1a16:9840:93a1, 2600:9000:236e:2e00:19:1a16:9840:93a1, 2600:9000:2240:9400:19:1a16:9840:93a1, 2600:9000:2240:c000:19:1a16:9840:93a1, 2600:9000:236e:1200:19:1a16:9840:93a1, 2600:9000:236e:dc00:19:1a16:9840:93a1, 2600:9000:2240:5400:19:1a16:9840:93a1, 2600:9000:2240:200:19:1a16:9840:93a1","ns-1700.awsdns-20.co.uk, awsdns-hostmaster.amazon.com",NOERROR,sidn2.customdomain.chkmkt.com,inbound-smtp.eu-west-1.amazonaws.com,"v=spf1 mx include:chkmkt.com -all, amazonses:VWUk5r8djH8OEaDmKzuxFNUtfzlA411JdSStojg9D2E=, v=DMARC1; p=reject; rua=mailto:dmarc@chkmkt.com; pct=100;",amazonaws.com,True,cloudfront,"ns-1114.awsdns-11.org, ns-1700.awsdns-20.co.uk, ns-340.awsdns-42.com, ns-1019.awsdns-63.net"
[x],db-airflow-tiss.survey.sidn.nl,"13.32.121.91, 13.32.121.42, 13.32.121.90, 13.32.121.101",,,NOERROR,sidn2.customdomain.chkmkt.com,,,amazonaws.com,True,cloudfront,
[x],dbmsipv4.survey.sidn.nl,"13.32.121.42, 13.32.121.101, 13.32.121.91, 13.32.121.90","2600:9000:2240:f600:19:1a16:9840:93a1, 2600:9000:236e:ea00:19:1a16:9840:93a1, 2600:9000:236e:8600:19:1a16:9840:93a1, 2600:9000:236e:a800:19:1a16:9840:93a1, 2600:9000:2240:5600:19:1a16:9840:93a1, 2600:9000:2240:dc00:19:1a16:9840:93a1, 2600:9000:236e:e00:19:1a16:9840:93a1, 2600:9000:2240:b400:19:1a16:9840:93a1","ns-1700.awsdns-20.co.uk, awsdns-hostmaster.amazon.com",NOERROR,sidn2.customdomain.chkmkt.com,inbound-smtp.eu-west-1.amazonaws.com,"amazonses:VWUk5r8djH8OEaDmKzuxFNUtfzlA411JdSStojg9D2E=, v=DMARC1; p=reject; rua=mailto:dmarc@chkmkt.com; pct=100;, v=spf1 mx include:chkmkt.com -all",amazonaws.com,True,cloudfront,"ns-1019.awsdns-63.net, ns-1114.awsdns-11.org, ns-1700.awsdns-20.co.uk, ns-340.awsdns-42.com"
[x],dbmysqlbackups.survey.sidn.nl,"52.85.151.113, 52.85.151.22, 52.85.151.75, 52.85.151.94","2600:9000:201e:ea00:19:1a16:9840:93a1, 2600:9000:201e:4e00:19:1a16:9840:93a1, 2600:9000:201e:600:19:1a16:9840:93a1, 2600:9000:201e:4200:19:1a16:9840:93a1, 2600:9000:201e:3600:19:1a16:9840:93a1, 2600:9000:201e:8200:19:1a16:9840:93a1, 2600:9000:201e:9800:19:1a16:9840:93a1, 2600:9000:201e:9a00:19:1a16:9840:93a1","ns-1700.awsdns-20.co.uk, awsdns-hostmaster.amazon.com",NOERROR,sidn2.customdomain.chkmkt.com,inbound-smtp.eu-west-1.amazonaws.com,"v=spf1 mx include:chkmkt.com -all, amazonses:VWUk5r8djH8OEaDmKzuxFNUtfzlA411JdSStojg9D2E=, v=DMARC1; p=reject; rua=mailto:dmarc@chkmkt.com; pct=100;",amazonaws.com,True,cloudfront,
[x],dbs-trackjiratunnel-mx.survey.sidn.nl,"13.32.121.91, 13.32.121.101, 13.32.121.42, 13.32.121.90","2600:9000:236e:be00:19:1a16:9840:93a1, 2600:9000:2240:1800:19:1a16:9840:93a1, 2600:9000:2240:2e00:19:1a16:9840:93a1, 2600:9000:2240:4a00:19:1a16:9840:93a1, 2600:9000:2240:7a00:19:1a16:9840:93a1, 2600:9000:2240:7c00:19:1a16:9840:93a1, 2600:9000:236e:1e00:19:1a16:9840:93a1, 2600:9000:236e:2400:19:1a16:9840:93a1","ns-1700.awsdns-20.co.uk, awsdns-hostmaster.amazon.com",NOERROR,sidn2.customdomain.chkmkt.com,inbound-smtp.eu-west-1.amazonaws.com,"v=spf1 mx include:chkmkt.com -all, amazonses:VWUk5r8djH8OEaDmKzuxFNUtfzlA411JdSStojg9D2E=, v=DMARC1; p=reject; rua=mailto:dmarc@chkmkt.com; pct=100;",amazonaws.com,True,cloudfront,
[x],debezium.survey.sidn.nl,"13.32.121.91, 13.32.121.42, 13.32.121.90, 13.32.121.101","2600:9000:21c7:c00:19:1a16:9840:93a1, 2600:9000:21c7:1600:19:1a16:9840:93a1, 2600:9000:21c7:a200:19:1a16:9840:93a1, 2600:9000:21c7:c600:19:1a16:9840:93a1, 2600:9000:21c7:6600:19:1a16:9840:93a1, 2600:9000:21c7:ce00:19:1a16:9840:93a1, 2600:9000:21c7:8800:19:1a16:9840:93a1, 2600:9000:21c7:e600:19:1a16:9840:93a1","ns-1700.awsdns-20.co.uk, awsdns-hostmaster.amazon.com",NOERROR,sidn2.customdomain.chkmkt.com,inbound-smtp.eu-west-1.amazonaws.com,"amazonses:VWUk5r8djH8OEaDmKzuxFNUtfzlA411JdSStojg9D2E=, v=DMARC1; p=reject; rua=mailto:dmarc@chkmkt.com; pct=100;, v=spf1 mx include:chkmkt.com -all",amazonaws.com,True,cloudfront,"ns-1019.awsdns-63.net, ns-1114.awsdns-11.org, ns-1700.awsdns-20.co.uk, ns-340.awsdns-42.com"
[x],debug-de.survey.sidn.nl,,"2600:9000:21c7:d200:19:1a16:9840:93a1, 2600:9000:21c7:9000:19:1a16:9840:93a1, 2600:9000:21c7:3400:19:1a16:9840:93a1, 2600:9000:21c7:7200:19:1a16:9840:93a1, 2600:9000:21c7:c000:19:1a16:9840:93a1, 2600:9000:21c7:d800:19:1a16:9840:93a1, 2600:9000:21c7:cc00:19:1a16:9840:93a1, 2600:9000:21c7:400:19:1a16:9840:93a1","ns-1700.awsdns-20.co.uk, awsdns-hostmaster.amazon.com",NOERROR,sidn2.customdomain.chkmkt.com,inbound-smtp.eu-west-1.amazonaws.com,"v=DMARC1; p=reject; rua=mailto:dmarc@chkmkt.com; pct=100;, v=spf1 mx include:chkmkt.com -all, amazonses:VWUk5r8djH8OEaDmKzuxFNUtfzlA411JdSStojg9D2E=",amazonaws.com,True,cloudfront,
[x],debug-examples-accept-archivecorp.survey.sidn.nl,"13.32.121.101, 13.32.121.90, 13.32.121.42, 13.32.121.91","2600:9000:2240:5a00:19:1a16:9840:93a1, 2600:9000:2240:200:19:1a16:9840:93a1, 2600:9000:2240:2200:19:1a16:9840:93a1, 2600:9000:2240:e600:19:1a16:9840:93a1, 2600:9000:2240:6400:19:1a16:9840:93a1, 2600:9000:236e:5a00:19:1a16:9840:93a1, 2600:9000:236e:7200:19:1a16:9840:93a1, 2600:9000:2240:8200:19:1a16:9840:93a1","ns-1700.awsdns-20.co.uk, awsdns-hostmaster.amazon.com",NOERROR,sidn2.customdomain.chkmkt.com,inbound-smtp.eu-west-1.amazonaws.com,"v=DMARC1; p=reject; rua=mailto:dmarc@chkmkt.com; pct=100;, amazonses:VWUk5r8djH8OEaDmKzuxFNUtfzlA411JdSStojg9D2E=, v=spf1 mx include:chkmkt.com -all",amazonaws.com,True,cloudfront,
[x],demo-team-minerva-clients-stats-corp.survey.sidn.nl,"13.32.121.90, 13.32.121.101, 13.32.121.91, 13.32.121.42","2600:9000:2334:5800:19:1a16:9840:93a1, 2600:9000:2334:b400:19:1a16:9840:93a1, 2600:9000:2334:7a00:19:1a16:9840:93a1, 2600:9000:2334:a000:19:1a16:9840:93a1, 2600:9000:2334:4000:19:1a16:9840:93a1, 2600:9000:2334:a200:19:1a16:9840:93a1, 2600:9000:2334:7e00:19:1a16:9840:93a1, 2600:9000:2334:6600:19:1a16:9840:93a1","ns-1700.awsdns-20.co.uk, awsdns-hostmaster.amazon.com",NOERROR,sidn2.customdomain.chkmkt.com,inbound-smtp.eu-west-1.amazonaws.com,"amazonses:VWUk5r8djH8OEaDmKzuxFNUtfzlA411JdSStojg9D2E=, v=DMARC1; p=reject; rua=mailto:dmarc@chkmkt.com; pct=100;, v=spf1 mx include:chkmkt.com -all",amazonaws.com,True,cloudfront,"ns-340.awsdns-42.com, ns-1019.awsdns-63.net, ns-1114.awsdns-11.org, ns-1700.awsdns-20.co.uk"
[x],demomobile.survey.sidn.nl,"13.32.121.42, 13.32.121.91, 13.32.121.101, 13.32.121.90","2600:9000:2240:9400:19:1a16:9840:93a1, 2600:9000:236e:4e00:19:1a16:9840:93a1, 2600:9000:236e:7e00:19:1a16:9840:93a1, 2600:9000:236e:7200:19:1a16:9840:93a1, 2600:9000:236e:b600:19:1a16:9840:93a1, 2600:9000:236e:a800:19:1a16:9840:93a1, 2600:9000:2240:c800:19:1a16:9840:93a1, 2600:9000:236e:be00:19:1a16:9840:93a1","ns-1700.awsdns-20.co.uk, awsdns-hostmaster.amazon.com",NOERROR,sidn2.customdomain.chkmkt.com,inbound-smtp.eu-west-1.amazonaws.com,"amazonses:VWUk5r8djH8OEaDmKzuxFNUtfzlA411JdSStojg9D2E=, v=DMARC1; p=reject; rua=mailto:dmarc@chkmkt.com; pct=100;, v=spf1 mx include:chkmkt.com -all",amazonaws.com,True,cloudfront,
[x],dev-customers-config-meta.survey.sidn.nl,"18.244.140.119, 18.244.140.36, 18.244.140.70, 18.244.140.68","2600:9000:2551:e200:19:1a16:9840:93a1, 2600:9000:2551:c800:19:1a16:9840:93a1, 2600:9000:2551:2c00:19:1a16:9840:93a1, 2600:9000:2551:b400:19:1a16:9840:93a1, 2600:9000:2551:7c00:19:1a16:9840:93a1, 2600:9000:2551:8800:19:1a16:9840:93a1, 2600:9000:2551:1800:19:1a16:9840:93a1, 2600:9000:2551:c200:19:1a16:9840:93a1","ns-1700.awsdns-20.co.uk, awsdns-hostmaster.amazon.com",NOERROR,sidn2.customdomain.chkmkt.com,inbound-smtp.eu-west-1.amazonaws.com,"amazonses:VWUk5r8djH8OEaDmKzuxFNUtfzlA411JdSStojg9D2E=, v=DMARC1; p=reject; rua=mailto:dmarc@chkmkt.com; pct=100;, v=spf1 mx include:chkmkt.com -all",amazonaws.com,True,cloudfront,"ns-1019.awsdns-63.net, ns-1114.awsdns-11.org, ns-1700.awsdns-20.co.uk, ns-340.awsdns-42.com"
[x],diefra.survey.sidn.nl,"13.226.153.22, 13.226.153.70, 13.226.153.49, 13.226.153.30","2600:9000:2182:d000:19:1a16:9840:93a1, 2600:9000:2182:8800:19:1a16:9840:93a1, 2600:9000:2182:a400:19:1a16:9840:93a1, 2600:9000:2182:ee00:19:1a16:9840:93a1, 2600:9000:2182:c400:19:1a16:9840:93a1, 2600:9000:2182:3800:19:1a16:9840:93a1, 2600:9000:2182:8400:19:1a16:9840:93a1, 2600:9000:2182:4200:19:1a16:9840:93a1","ns-1700.awsdns-20.co.uk, awsdns-hostmaster.amazon.com",NOERROR,sidn2.customdomain.chkmkt.com,inbound-smtp.eu-west-1.amazonaws.com,"v=DMARC1; p=reject; rua=mailto:dmarc@chkmkt.com; pct=100;, v=spf1 mx include:chkmkt.com -all, amazonses:VWUk5r8djH8OEaDmKzuxFNUtfzlA411JdSStojg9D2E=",,True,cloudfront,"ns-1114.awsdns-11.org, ns-1700.awsdns-20.co.uk, ns-340.awsdns-42.com, ns-1019.awsdns-63.net"
[x],dispatcher.sidn.nl,94.198.152.82,,"ns4.sidn.nl, hostmaster.sidn.nl",NOERROR,,,,,,,
[x],dlnr.survey.sidn.nl,"13.32.121.42, 13.32.121.91, 13.32.121.90, 13.32.121.101","2600:9000:2240:1a00:19:1a16:9840:93a1, 2600:9000:2240:4200:19:1a16:9840:93a1, 2600:9000:236e:ac00:19:1a16:9840:93a1, 2600:9000:2240:4a00:19:1a16:9840:93a1, 2600:9000:2240:c00:19:1a16:9840:93a1, 2600:9000:236e:3e00:19:1a16:9840:93a1, 2600:9000:2240:be00:19:1a16:9840:93a1, 2600:9000:2240:2600:19:1a16:9840:93a1","ns-1700.awsdns-20.co.uk, awsdns-hostmaster.amazon.com",NOERROR,sidn2.customdomain.chkmkt.com,inbound-smtp.eu-west-1.amazonaws.com,"amazonses:VWUk5r8djH8OEaDmKzuxFNUtfzlA411JdSStojg9D2E=, v=DMARC1; p=reject; rua=mailto:dmarc@chkmkt.com; pct=100;, v=spf1 mx include:chkmkt.com -all",amazonaws.com,True,cloudfront,
[x],dnld.survey.sidn.nl,"13.32.121.91, 13.32.121.42, 13.32.121.101, 13.32.121.90","2600:9000:2240:5400:19:1a16:9840:93a1, 2600:9000:236e:c400:19:1a16:9840:93a1, 2600:9000:236e:ba00:19:1a16:9840:93a1, 2600:9000:2240:9200:19:1a16:9840:93a1, 2600:9000:236e:2600:19:1a16:9840:93a1, 2600:9000:2240:0:19:1a16:9840:93a1, 2600:9000:236e:0:19:1a16:9840:93a1, 2600:9000:236e:ae00:19:1a16:9840:93a1","ns-1700.awsdns-20.co.uk, awsdns-hostmaster.amazon.com",NOERROR,sidn2.customdomain.chkmkt.com,inbound-smtp.eu-west-1.amazonaws.com,"v=DMARC1; p=reject; rua=mailto:dmarc@chkmkt.com; pct=100;, v=spf1 mx include:chkmkt.com -all, amazonses:VWUk5r8djH8OEaDmKzuxFNUtfzlA411JdSStojg9D2E=",amazonaws.com,True,cloudfront,"ns-340.awsdns-42.com, ns-1019.awsdns-63.net, ns-1114.awsdns-11.org, ns-1700.awsdns-20.co.uk"
[x],dnssectest.sidn.nl,212.114.120.64,,"ns4.sidn.nl, hostmaster.sidn.nl",NOERROR,,,,,,,
