input,title,status_code,content_length,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,tls_mismatched,tls_subject_org_,final_url,csp_domains_
originenergy.com.au,"Award Winning Electricity, Gas and internet provider in Australia - Origin Energy",200,223156,cloudfront,443,https://originenergy.com.au:443,https,nginx,text/html,GET,13.224.189.79,/,-1840324437,13.224.189.53,WordPress,1537,False,True,www.originenergy.com.au,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2023-09-03T23:59:59Z,CN=originenergy.com.au,originenergy.com.au,*.originenergy.com.au,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f9839b6289e3550c383c7ec28aef2660,1a92257df55bb777fe2f3898746ec9f03e7987b5ea90e53c6fe613e6c9708949,True,ctls,www.originenergy.com.au,,,https://www.originenergy.com.au/,static.intercomassets.com
pages.lpg.originenergy.com.au,403 - Forbidden: Access is denied.,403,1233,,443,https://pages.lpg.originenergy.com.au:443,https,,text/html,GET,13.111.18.25,/,-207424980,13.111.18.25,,30,False,,pages.lpg.originenergy.com.au,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-14T00:00:00Z,2024-03-16T23:59:59Z,"CN=pages.s10.exacttarget.com, O=SALESFORCE.COM\, INC., L=San Francisco, ST=California, C=US",pages.s10.exacttarget.com,pages.s10.exacttarget.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,81a3df902101fb7cbedf72f13d4842a8,49881050537e01c4d49177b9f99bae6635eb216201de12f446d0d312c7764fc3,,ctls,pages.lpg.originenergy.com.au,True,"SALESFORCE.COM, INC.",,
pages.retail.originenergy.com.au,403 - Forbidden: Access is denied.,403,1233,,443,https://pages.retail.originenergy.com.au:443,https,,text/html,GET,13.111.18.25,/,-207424980,13.111.18.25,,30,False,,pages.retail.originenergy.com.au,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-14T00:00:00Z,2024-03-16T23:59:59Z,"CN=pages.s10.exacttarget.com, O=SALESFORCE.COM\, INC., L=San Francisco, ST=California, C=US",pages.s10.exacttarget.com,pages.s10.exacttarget.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,81a3df902101fb7cbedf72f13d4842a8,49881050537e01c4d49177b9f99bae6635eb216201de12f446d0d312c7764fc3,,ctls,pages.retail.originenergy.com.au,True,"SALESFORCE.COM, INC.",,
peoplecentral.originenergy.com.au,Welcome to People Central - Origin Energy,200,20008,cloudfront,443,https://peoplecentral.originenergy.com.au:443,https,AmazonS3,text/html,GET,143.204.89.29,/,1765232658,143.204.89.67,HSTS,251,False,True,peoplecentral.originenergy.com.au,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-13T00:00:00Z,2024-05-11T23:59:59Z,CN=peoplecentral.originenergy.com.au,peoplecentral.originenergy.com.au,peoplecentral.originenergy.com.au,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,3a07c97e41fdd4e06e0dc7b7b589f65b,060ae02b5e52e6f162610293cf9abb03caa9abad81ceaf570654e272f6a43ee3,,ctls,peoplecentral.originenergy.com.au,,,,
plan.originenergy.com.au,Origin,200,3442,cloudfront,443,https://plan.originenergy.com.au:443,https,AmazonS3,text/html,GET,52.222.236.91,/,-1851491385,2600:9000:223e:8400:1a:9068:e8c0:93a1,Amazon Web Services,26,False,True,plan.originenergy.com.au,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-07-04T21:52:33Z,2023-07-04T21:51:33Z,CN=plan.originenergy.com.au,plan.originenergy.com.au,plan.originenergy.com.au,"emailAddress=ca@trustwave.com, CN=Trustwave Domain Validation SHA256 CA\, Level 1, O=Trustwave Holdings\, Inc., L=Chicago, ST=Illinois, C=US, emailAddress=ca@trustwave.com","Trustwave Domain Validation SHA256 CA, Level 1","Trustwave Holdings, Inc.",86d159623e794b4bb02167a73ca5908a,56d95fdeccf531fb8e885d2e519f88a7a562dff04ddd27e5dee708425cf28169,,ctls,plan.originenergy.com.au,,,,
plans.api.odcdn.com.au,ERROR: The request could not be satisfied,403,919,cloudfront,443,https://plans.api.odcdn.com.au:443,https,CloudFront,text/html,GET,13.32.27.46,/,1076985253,13.32.27.27,Amazon Web Services,20,False,True,plans.api.odcdn.com.au,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2023-10-06T23:59:59Z,CN=wildcard.api.odcdn.com.au,wildcard.api.odcdn.com.au,*.plans.api.odcdn.com.au,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,ae86826cf478a4917a8ba581bd5a4fd3,0856cec073596ccc964e386a8536b6d852620a5a381645913997d450958b744a,True,ctls,plans.api.odcdn.com.au,,,,
processsafety.originenergy.com.au,Sign in to your account,200,200635,,443,https://processsafety.originenergy.com.au:443,https,,text/html,GET,52.62.201.129,/,-1140806033,54.79.209.181,HSTS,174,False,,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-02T00:00:00Z,2024-03-02T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,4ceb9ced5b9a448baf4eb595cb5ac3ac,451bd20790847897690ff09ec60812993db03eef241cb1e2b1054c370205650c,,ctls,login.microsoftonline.com,,Microsoft Corporation,https://login.microsoftonline.com/97160e56-eb00-44fe-b31d-0d6d351c636d/oauth2/authorize?response_type=code&client_id=0a1fa8eb-eaf3-4e6a-8d8e-1f0aa3a5791f&scope=openid&nonce=3686b0b7-dc35-4088-8e93-6e429da16f8d&redirect_uri=https%3a%2f%2fpsd.apps.origin.com.au%2f&state=AppProxyState%3a%7b%22InvalidTokenRetry%22%3anull%2c%22IsMsofba%22%3afalse%2c%22OriginalRawUrl%22%3a%22https%3a%5c%2f%5c%2fpsd.apps.origin.com.au%5c%2f%22%2c%22RequestProfileId%22%3anull%2c%22SessionId%22%3a%2291ce50e6-0d09-4a7d-bd6d-1ee69b902c72%22%7d%23EndOfStateParam%23&client-request-id=91ce50e6-0d09-4a7d-bd6d-1ee69b902c72,
rm.dataportal.originenergy.com.au,503 Service Temporarily Unavailable,503,162,cloudfront,443,https://rm.dataportal.originenergy.com.au:443,https,awselb/2.0,text/html,GET,13.224.189.12,/,1862162275,13.224.189.6,Amazon Web Services,7,False,True,rm.dataportal.originenergy.com.au,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2023-11-15T23:59:59Z,CN=dataportal.originenergy.com.au,dataportal.originenergy.com.au,api.dataportal.originenergy.com.au,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,469b2cf95710a5427bd07c2be82a641c,95c8a280a44550458ca6cad83de9fa25a69f61811ba776e6e4b617f3b8c591dd,True,ctls,rm.dataportal.originenergy.com.au,,,,
salesplan-api-staging.api.origindigital-pac.com.au,,403,23,cloudfront,443,https://salesplan-api-staging.api.origindigital-pac.com.au:443,https,,application/json,GET,143.204.89.106,/,968070783,143.204.89.14,Amazon Web Services,1,False,True,salesplan-api-staging.api.origindigital-pac.com.au,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2023-07-28T23:59:59Z,CN=*.origindigital-pac.com.au,*.origindigital-pac.com.au,*.api.origindigital-pac.com.au,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,495dc4f60f4ac17770f8cce8c686b02b,91fb07a067de086b6886723ec72218d2c02278030d1ba699c2ad18adae959f80,True,ctls,salesplan-api-staging.api.origindigital-pac.com.au,,,,
sanmet.originenergy.com.au,,200,,,443,https://sanmet.originenergy.com.au:443,https,jag,,GET,63.140.62.160,/,1936786007,63.140.62.164,HSTS,1,False,,sanmet.originenergy.com.au,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-20T00:00:00Z,2023-12-21T23:59:59Z,"CN=sanmet.originenergy.com.au, O=Adobe Systems Incorporated, L=San Jose, ST=California, C=US",sanmet.originenergy.com.au,anmet.originenergy.com.au,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,2c275bf9fe64527df14f4a9b0cc6f25d,3d984e8f8615732c057593126571823b1debda03ccd2b0b9892fa080769cb94a,,ctls,sanmet.originenergy.com.au,,Adobe Systems Incorporated,,
shift.originenergy.com.au,Origin Shift,200,1542,cloudfront,443,https://shift.originenergy.com.au:443,https,AmazonS3,text/html,GET,18.66.112.72,/,1792300655,2600:9000:223f:7e00:a:817b:7200:93a1,Bootstrap:5.2.0,49,False,True,shift.originenergy.com.au,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2023-08-05T23:59:59Z,CN=shift.originenergy.com.au,shift.originenergy.com.au,shift.originenergy.com.au,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,497299880bda3f6d310d3c10f2ac5c25,8a413e28265ed395431e71d359169243cdf7726b2b7852475ff73bb98439cb81,,ctls,shift.originenergy.com.au,,,,
solarportal.fe-dev.originenergy.com.au,Solar Monitoring,200,759,cloudfront,443,https://solarportal.fe-dev.originenergy.com.au:443,https,AmazonS3,text/html,GET,13.224.189.7,/,-1709960720,13.224.189.64,HSTS,1,False,True,solarportal.fe-dev.originenergy.com.au,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2024-02-12T23:59:59Z,CN=solarportal.fe-dev.originenergy.com.au,solarportal.fe-dev.originenergy.com.au,jbhifi.fe-dev.originenergy.com.au,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,2d1e1043f67c47805bb1ff721f13c91c,4d9c2fd8cef62f348b97e1e4fafb64ca8603be0de96ee2b9107172766ecb2e5e,,ctls,solarportal.fe-dev.originenergy.com.au,,,,
solarportal.fe.originenergy.com.au,Solar Monitoring,200,759,cloudfront,443,https://solarportal.fe.originenergy.com.au:443,https,AmazonS3,text/html,GET,52.222.214.92,/,-1368569089,52.222.214.46,HSTS,1,False,True,solarportal.fe.originenergy.com.au,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-26T00:00:00Z,2024-03-27T23:59:59Z,CN=solarportal.fe.originenergy.com.au,solarportal.fe.originenergy.com.au,jbhifi.fe.originenergy.com.au,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,7908ab1d55e57ba2c5843e24e3f5adeb,5cf3904620f784c46554721c9fac6cd6389d01ae0993bb29421e52715b181790,,ctls,solarportal.fe.originenergy.com.au,,,,
staging-connect.origindigital-pac.com.au,ERROR: The request could not be satisfied,403,915,cloudfront,80,http://staging-connect.origindigital-pac.com.au:80,http,CloudFront,text/html,GET,18.66.122.82,/,1182297979,2600:9000:2250:3e00:15:d8e5:d900:93a1,Amazon Web Services,20,False,True,,,,,,,,,,,,,,,,,,,,,,
static.originenergy.com.au,,403,243,cloudfront,443,https://static.originenergy.com.au:443,https,AmazonS3,application/xml,GET,52.222.214.67,/,1386974568,52.222.214.110,Amazon Web Services,2,False,True,static.originenergy.com.au,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-27T00:00:00Z,2023-09-03T23:59:59Z,CN=static.originenergy.com.au,static.originenergy.com.au,assets.originenergy.com.au,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,4423e02f200c252c74149a4098598a4b,c5cccc62b49185969433a642005500457da12093be1a5edca100336ad2f8cfdb,,ctls,static.originenergy.com.au,,,,
staticsite-cdn-staging.origindigital-pac.com.au,404 Page not found - Origin Energy,403,24945,cloudfront,443,https://staticsite-cdn-staging.origindigital-pac.com.au:443,https,AmazonS3,text/html,GET,143.204.89.78,/,-2078272572,2600:9000:2451:3e00:17:7b4a:9a40:93a1,React,440,False,True,staticsite-cdn-staging.origindigital-pac.com.au,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2024-01-19T23:59:59Z,CN=originenergy.com.au,originenergy.com.au,*.api.origindigital-pac.com.au,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,78106c5f65f0247b892960b35b6176f3,bafe056c3f6f3bc3c5687df7bc4ace4cedaeca7d4da7375e7b93c5864aa4bf71,True,ctls,staticsite-cdn-staging.origindigital-pac.com.au,,,,
statuspage.origindigital-pac.com.au,Origin Status - Page Inactive,200,31822,,443,https://statuspage.origindigital-pac.com.au:443,https,,text/html,GET,52.215.192.132,/,-1840324437,52.215.192.132,HSTS,712,False,,origin-test-newtiuytuifu.statuspage.io,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-08-08T00:00:00Z,2023-08-22T23:59:59Z,"CN=*.statuspage.io, O=Atlassian\, Inc., L=San Francisco, ST=California, C=US",*.statuspage.io,statuspage.io,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,eecd10eea6fd6ff59cf22d07af5a78bb,a0d9fe1d2d8e8246cc1c32e903693152c80723c54f60d270f0370cee839d3e17,True,ctls,origin-test-newtiuytuifu.statuspage.io,,"Atlassian, Inc.",https://origin-test-newtiuytuifu.statuspage.io/inactive,
support.originenergy.com.au,"Award Winning Electricity, Gas and internet provider in Australia - Origin Energy",200,223156,cloudfront,443,https://support.originenergy.com.au:443,https,nginx,text/html,GET,13.224.189.36,/,-1840324437,13.224.189.53,WordPress,1537,False,True,www.originenergy.com.au,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2023-09-03T23:59:59Z,CN=originenergy.com.au,originenergy.com.au,*.originenergy.com.au,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f9839b6289e3550c383c7ec28aef2660,1a92257df55bb777fe2f3898746ec9f03e7987b5ea90e53c6fe613e6c9708949,True,ctls,www.originenergy.com.au,,,https://www.originenergy.com.au/,*.gstatic.com
test.dataportal.originenergy.com.au,Data Portal,200,734,cloudfront,443,https://test.dataportal.originenergy.com.au:443,https,nginx,text/html,GET,18.66.112.114,/,1715079750,2600:9000:223f:e000:6:93a8:a980:93a1,Nginx,27,False,True,test.dataportal.originenergy.com.au,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-20T00:00:00Z,2023-12-17T23:59:59Z,CN=dataportal.originenergy.com.au,dataportal.originenergy.com.au,api.dataportal.originenergy.com.au,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,eb0b706680a3752e1dd52243bda8bb5d,9f8fd083e80b9b09aed8f8c58c03c55e46259b39388b8205bf42c442911e9d18,True,ctls,test.dataportal.originenergy.com.au,,,,
test.digital.api.odcdn.com.au,ERROR: The request could not be satisfied,502,951,cloudfront,443,https://test.digital.api.odcdn.com.au:443,https,CloudFront,text/html,GET,52.222.236.100,/,-1324872606,52.222.236.104,Amazon Web Services,20,False,True,test.digital.api.odcdn.com.au,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2023-10-05T23:59:59Z,CN=wildcard.api.odcdn.com.au,wildcard.api.odcdn.com.au,*.plans.api.odcdn.com.au,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,c37698734a5845697c7fa72790a47469,6f916c63b7fea01e94023ffc43ff410b60c00915e5f854d04d74bc593b0548bf,True,ctls,test.digital.api.odcdn.com.au,True,,,
test.distributorlookup.api.odcdn.com.au,,403,23,cloudfront,443,https://test.distributorlookup.api.odcdn.com.au:443,https,,application/json,GET,143.204.215.121,/,968070783,143.204.215.22,Amazon Web Services,1,False,True,test.distributorlookup.api.odcdn.com.au,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2023-10-05T23:59:59Z,CN=wildcard.api.odcdn.com.au,wildcard.api.odcdn.com.au,*.plans.api.odcdn.com.au,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,c37698734a5845697c7fa72790a47469,6f916c63b7fea01e94023ffc43ff410b60c00915e5f854d04d74bc593b0548bf,True,ctls,test.distributorlookup.api.odcdn.com.au,,,,
trapl.originenergy.com.au,Sign in to your account,200,207502,,80,http://trapl.originenergy.com.au:80,http,,text/html,GET,52.62.183.141,/,-263314969,54.253.233.220,HSTS,173,False,,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-02T00:00:00Z,2024-03-02T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,4ceb9ced5b9a448baf4eb595cb5ac3ac,451bd20790847897690ff09ec60812993db03eef241cb1e2b1054c370205650c,,ctls,login.microsoftonline.com,,Microsoft Corporation,https://login.microsoftonline.com/97160e56-eb00-44fe-b31d-0d6d351c636d/saml2?SAMLRequest=fVLLTuMwFN3zFZH3ThznRawmqAIhVWI2UFiwQY5zUywldvC10cx8PWlKJbphZ1vnpXO8ufk7jdEnONTWNCSNGYnAKNtrc2jI8%2F6eXpOb9mqDchr5LLbBv5tH%2BAiAPtoigvML79YaDBO4J3CfWsHz40ND3r2fUSSJl90IMlCYYrmQYzlTtMsBJHrKYznJ%2F3bxOxjtbazslKxOie5nBzgvwkCiu8VNG%2BnXiGfh0R60iSetnEU7eGtGbWBVqKu0ZFCUFDrGaJ4PQLss7Snryz4rUlVmZX%2ByIdHuriFvOeeqHqqBXlcl0LzmOZU172iRVqrgXa6yckmxQwywM%2Bil8Q3hjGeUFTTl%2B7QURS1YFbM8fyXRy7lMfixzqdegONXXkOCMsBI1CiMnQOGVeNr%2BeRALVMzOeqvsSNpT22I1dNG9dZP0v3OPL7qnwwoVYLz2%2Fy68f6fL85KkPcJOo4jvVQTO4nK1t2CC3oV9qjfJz6jt9%2FXyn7Rf&RelayState=H4sIAAAAAAAAAFWSybKiMBSG34WtogLBgFW9APSKAw4gCnZ3WQHCIEOYFbv63Tt32VVZ_Cdf_jNUzh8GMQsGlWxDujbGqGlZ_tEVXbLpLlzCjBmPYuXT1VhZ0sinUVX7hEurvI28EPViFUuNHOUERJQHlMdtWzaL6bStUZlNSJ1ESYELXEfDxCf5BHVTgmgtfpoEZY2bkhQNplZMrT4JvmVIpaUYeyojZvGTISUukoD5PWZiSrq4Pm4GP5LN6EvcFtZLy_MNVJRRNkrJV79N1f4NyrUXWR0Pht1FvqdVcEI6UKGUCPB8N277tmv9pnYtx1QySQ27WblaHoxL1HTvkblOpA0C2qZ_6Tt7y5_L49HZ2eVr1EtNKBnur19T6woz46kfPs2-PWcpL6Yw7EKdEnqqpQVHxze2Hc3t1_GacxC9vXPEWZ2pKKRi55wcybFvrplqaB-HpvGDzprS4XpT9fuVPdxN_bY7ZPzrelfMbf9x7Ix7q43cqvM3ydjlgOuq2H8MPwhPYKhuXzsN7jwxOKv6yeUjQq4PFZhcMtiHY2zNzuvsuN6vzpA4vTZoUlMf3EfpiRfj-WLrB3Ur8yHvnyByA8G6rGTd6g1LNFf3J3Fc1_aS-m3LngwMRTOve707YJ92nNGOW-RlGHUs_v7aNp78v0sTlKMPKXwSFUlLvheA2nJmwc0lQeZmEMAxUzKLEGUNHjM1zQcomAuSxIpCCFkwmweshwFVEAiIn0lY9gWao6VPH4DnfTmEISvBOWaBzAMWybzHihz0Rd4DvjDHzN9_4blHieQCAAA.H4sIAAAAAAAAADNIab6cOXGvT5efV5XYbNnP10RLnu32T7pdpnq68IOR_CsAzpEFnSAAAAA.3,
view.lpg.originenergy.com.au,Error,200,932,,443,https://view.lpg.originenergy.com.au:443,https,,text/html,GET,128.245.48.224,/,1631801191,128.245.48.224,HSTS,28,False,,view.lpg.originenergy.com.au,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-09-13T00:00:00Z,2023-10-14T23:59:59Z,"CN=view.lpg.originenergy.com.au, O=SALESFORCE.COM\, INC., L=San Francisco, ST=California, C=US",view.lpg.originenergy.com.au,view.lpg.originenergy.com.au,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,0c5a75791a601ba25b110a095e655019,665bac8eedeb7a405ee9f3b1f717a1b704ee8e39eecccf4659e868cf28aee106,,ctls,view.lpg.originenergy.com.au,,"SALESFORCE.COM, INC.",https://view.lpg.originenergy.com.au/Error.aspx,
wpengine-dns-prod.origindigital-pac.com.au,403 Forbidden,403,146,,443,https://wpengine-dns-prod.origindigital-pac.com.au:443,https,nginx,text/html,GET,3.104.148.115,/,-1561873722,52.65.90.82,Nginx,8,False,,wpengine-dns-prod.origindigital-pac.com.au,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-08-01T00:00:00Z,2023-09-01T23:59:59Z,CN=*.wpengine.com,*.wpengine.com,wpengine.com,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",9f6e180110183a1ea3146942926b0763,06a8d0764f1578615e732006cb7a087bab7084c80046a573cf1471dfe6bcbc3f,True,ctls,wpengine-dns-prod.origindigital-pac.com.au,True,,,
www.originenergy.com.au,"Award Winning Electricity, Gas and internet provider in Australia - Origin Energy",200,223156,cloudfront,443,https://www.originenergy.com.au:443,https,nginx,text/html,GET,52.222.236.38,/,-1840324437,52.222.236.8,WordPress,1537,False,True,www.originenergy.com.au,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2023-09-03T23:59:59Z,CN=originenergy.com.au,originenergy.com.au,*.originenergy.com.au,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f9839b6289e3550c383c7ec28aef2660,1a92257df55bb777fe2f3898746ec9f03e7987b5ea90e53c6fe613e6c9708949,True,ctls,www.originenergy.com.au,,,,d6tizftlrpuof.cloudfront.net
yoursay.originenergy.com.au,Not Found,404,315,,80,http://yoursay.originenergy.com.au:80,http,,text/html,GET,207.189.168.138,/,225052475,207.189.168.138,HSTS,7,False,,yoursay.originenergy.com.au,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-06-27T07:08:45Z,2023-07-29T07:08:45Z,CN=*.mcxplatform.com.au,*.mcxplatform.com.au,mcxplatform.com.au,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",c90ee2333c66a5b613eff6d65f1a66a4,6cf25489118f6a61473a9dd1328509561526dfbcd7c8cb118c040abcd2c3925b,True,ctls,yoursay.originenergy.com.au,True,,https://yoursay.originenergy.com.au/,
